"","x"
"1","3507995"
"2","5076901"
"3","5076902"
"4","5076903"
"5","5076905"
"6","5076906"
"7","5076907"
"8","5076908"
"9","5076909"
"10","5076910"
"11","5076912"
"12","5076913"
"13","5076914"
"14","5076915"
"15","5076916"
"16","5076917"
"17","5076918"
"18","5076919"
"19","5076920"
"20","5076921"
"21","5076922"
"22","5076923"
"23","5076924"
"24","5076925"
"25","5076926"
"26","5076927"
"27","5076928"
"28","5076929"
"29","5076930"
"30","5076931"
"31","5076932"
"32","5076933"
"33","5076934"
"34","5076935"
"35","5076936"
"36","5076937"
"37","5076938"
"38","5076939"
"39","5076940"
"40","5076941"
"41","5076942"
"42","5076944"
"43","5076945"
"44","5076946"
"45","5076947"
"46","5076948"
"47","5076950"
"48","3507996"
"49","3507997"
"50","3507781"
"51","3507783"
"52","3507784"
"53","3507785"
"54","3507786"
"55","3508018"
"56","3508019"
"57","3508020"
"58","3508021"
"59","3508023"
"60","3507523"
"61","3507524"
"62","3507527"
"63","3507394"
"64","3507395"
"65","3507396"
"66","3507397"
"67","3507415"
"68","3507417"
"69","3507500"
"70","3507501"
"71","3507503"
"72","3507504"
"73","3507505"
"74","3507429"
"75","3507430"
"76","3507431"
"77","3507432"
"78","3507481"
"79","3507482"
"80","3507484"
"81","3507487"
"82","3507489"
"83","3507490"
"84","3507491"
"85","3507492"
"86","3507418"
"87","3507420"
"88","3507421"
"89","3507422"
"90","3507423"
"91","3507382"
"92","3507383"
"93","3507384"
"94","3507385"
"95","3507386"
"96","3507468"
"97","3507469"
"98","3507470"
"99","3507471"
"100","3507472"
"101","3507473"
"102","3507534"
"103","3507535"
"104","3507537"
"105","3507539"
"106","3507540"
"107","3507511"
"108","3507513"
"109","3507515"
"110","3507516"
"111","3507446"
"112","3507447"
"113","3507448"
"114","3507449"
"115","3507376"
"116","3507377"
"117","3507379"
"118","3507380"
"119","3507381"
"120","3507364"
"121","3507365"
"122","3507366"
"123","3507367"
"124","3507368"
"125","3507369"
"126","3507360"
"127","3507361"
"128","3507362"
"129","3507363"
"130","3507351"
"131","3507352"
"132","3507353"
"133","3507354"
"134","3507355"
"135","3507339"
"136","3507340"
"137","3507341"
"138","3507342"
"139","3507343"
"140","3507344"
"141","3507327"
"142","3507328"
"143","3507329"
"144","3507330"
"145","3507331"
"146","3507332"
"147","3507333"
"148","3507317"
"149","3507318"
"150","3507319"
"151","3507320"
"152","3507321"
"153","3507322"
"154","3507304"
"155","3507305"
"156","3507306"
"157","3507308"
"158","3507309"
"159","3507291"
"160","3507292"
"161","3507293"
"162","3507294"
"163","3507295"
"164","3507279"
"165","3507280"
"166","3507281"
"167","3507282"
"168","3507283"
"169","3507284"
"170","3507285"
"171","3507273"
"172","3507274"
"173","3507275"
"174","3507276"
"175","3507277"
"176","3507278"
"177","3507261"
"178","3507262"
"179","3507263"
"180","3507264"
"181","3507265"
"182","3507266"
"183","3507839"
"184","3507840"
"185","3507842"
"186","3507843"
"187","3507845"
"188","3507833"
"189","3507834"
"190","3507835"
"191","3507837"
"192","3507838"
"193","3507846"
"194","3507847"
"195","3507848"
"196","3507849"
"197","3507850"
"198","3507851"
"199","3507852"
"200","3507794"
"201","3507795"
"202","3507796"
"203","3507797"
"204","3507798"
"205","3507799"
"206","3507876"
"207","3507877"
"208","3507878"
"209","3507879"
"210","3507880"
"211","3507881"
"212","3507865"
"213","3507866"
"214","3507867"
"215","3507868"
"216","3507869"
"217","3507894"
"218","3507895"
"219","3507896"
"220","3507897"
"221","3507898"
"222","3507899"
"223","3507900"
"224","3507901"
"225","3507902"
"226","3507903"
"227","3507905"
"228","3507906"
"229","3507907"
"230","3507915"
"231","3507916"
"232","3507917"
"233","3507918"
"234","3507919"
"235","3507920"
"236","3507926"
"237","3507927"
"238","3507928"
"239","3507929"
"240","3507930"
"241","3507931"
"242","3507960"
