"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39","WP_003291553.1"
"40","WP_006397350.1"
"41","WP_006397350.1"
"42","WP_006398842.1"
"43","WP_006398844.1"
"44","WP_006398851.1"
"45","WP_006398879.1"
"46","WP_006398885.1"
"47","WP_006398890.1"
"48","WP_006398898.1"
"49","WP_006398899.1"
"50","WP_006398906.1"
"51","WP_006398911.1"
"52","WP_006398915.1"
"53","WP_006398916.1"
"54","WP_006398917.1"
"55","WP_006398920.1"
"56","WP_006398924.1"
"57","WP_006398925.1"
"58","WP_006398926.1"
"59","WP_006398928.1"
"60","WP_006398930.1"
"61","WP_006398932.1"
"62","WP_006398933.1"
"63","WP_006398937.1"
"64","WP_006398942.1"
"65","WP_006398943.1"
"66","WP_006398946.1"
"67","WP_006398947.1"
"68","WP_006398956.1"
"69","WP_006398961.1"
"70","WP_006398963.1"
"71","WP_006398965.1"
"72","WP_006398988.1"
"73","WP_006399100.1"
"74","WP_006399111.1"
"75","WP_006399114.1"
"76","WP_006399115.1"
"77","WP_006399130.1"
"78","WP_006399135.1"
"79","WP_006399139.1"
"80","WP_006399142.1"
"81","WP_006399197.1"
"82","WP_006399198.1"
"83","WP_006399199.1"
"84","WP_006399203.1"
"85","WP_006399220.1"
"86","WP_006399236.1"
"87","WP_006399239.1"
"88","WP_006399240.1"
"89","WP_006399289.1"
"90","WP_006399295.1"
"91","WP_006399300.1"
"92","WP_006399301.1"
"93","WP_006399305.1"
"94","WP_006399333.1"
"95","WP_006399335.1"
"96","WP_006399349.1"
"97","WP_006399352.1"
"98","WP_006399359.1"
"99","WP_006399363.1"
"100","WP_006399370.1"
"101","WP_006399546.1"
"102","WP_006399547.1"
"103","WP_006399548.1"
"104","WP_006402876.1"
"105","WP_006402891.1"
"106","WP_006402899.1"
"107","WP_006402907.1"
"108","WP_006402908.1"
"109","WP_006402909.1"
"110","WP_006402922.1"
"111","WP_006405126.1"
"112","WP_006405291.1"
"113","WP_006405297.1"
"114","WP_006405320.1"
"115","WP_006405327.1"
"116","WP_006405401.1"
"117","WP_006405451.1"
"118","WP_006405468.1"
"119","WP_006405472.1"
"120","WP_006405482.1"
"121","WP_006405519.1"
"122","WP_006407373.1"
"123","WP_006407374.1"
"124","WP_006407426.1"
"125","WP_006408539.1"
"126","WP_006408543.1"
"127","WP_006410019.1"
"128","WP_006412423.1"
"129","WP_006412423.1"
"130","WP_006412423.1"
"131","WP_006412423.1"
"132","WP_006412871.1"
"133","WP_006412911.1"
"134","WP_006413117.1"
"135","WP_006413246.1"
"136","WP_006413433.1"
"137","WP_006414453.1"
"138","WP_006414465.1"
"139","WP_006414469.1"
"140","WP_006414711.1"
"141","WP_006415147.1"
"142","WP_006415423.1"
"143","WP_006415444.1"
"144","WP_006415450.1"
"145","WP_006415456.1"
"146","WP_006415458.1"
"147","WP_006415459.1"
"148","WP_006415950.1"
"149","WP_006416022.1"
"150","WP_006416922.1"
"151","WP_006417273.1"
"152","WP_006417408.1"
"153","WP_007180368.1"
"154","WP_007180368.1"
"155","WP_007182542.1"
"156","WP_007182911.1"
"157","WP_007182912.1"
"158","WP_007182914.1"
"159","WP_007182915.1"
"160","WP_009690611.1"
"161","WP_009690622.1"
"162","WP_009693634.1"
"163","WP_009693635.1"
"164","WP_011875599.1"
"165","WP_011880236.1"
"166","WP_011880238.1"
"167","WP_011880240.1"
"168","WP_011880243.1"
"169","WP_011880249.1"
"170","WP_011880252.1"
"171","WP_011880255.1"
"172","WP_011880257.1"
"173","WP_012211009.1"
"174","WP_012212527.1"
"175","WP_012213101.1"
"176","WP_012213993.1"
"177","WP_012217389.1"
"178","WP_012217779.1"
"179","WP_012217780.1"
"180","WP_012217781.1"
"181","WP_012217782.1"
"182","WP_012217784.1"
"183","WP_012217785.1"
"184","WP_012217786.1"
"185","WP_012217787.1"
"186","WP_012217788.1"
"187","WP_012217789.1"
"188","WP_012217790.1"
"189","WP_012217791.1"
"190","WP_012217794.1"
"191","WP_012217795.1"
"192","WP_012217796.1"
"193","WP_012217797.1"
"194","WP_012217798.1"
"195","WP_012217799.1"
"196","WP_012217800.1"
"197","WP_012217801.1"
"198","WP_012217802.1"
"199","WP_012217803.1"
"200","WP_012217804.1"
"201","WP_012217805.1"
"202","WP_012217806.1"
"203","WP_012217807.1"
"204","WP_012217809.1"
"205","WP_012217810.1"
"206","WP_012217812.1"
"207","WP_012217813.1"
"208","WP_012217815.1"
"209","WP_012217816.1"
"210","WP_012217817.1"
"211","WP_012217818.1"
"212","WP_012217819.1"
"213","WP_012217820.1"
"214","WP_012217821.1"
"215","WP_012217823.1"
"216","WP_012217824.1"
"217","WP_012217825.1"
"218","WP_012217826.1"
"219","WP_012217827.1"
"220","WP_012217828.1"
"221","WP_012217829.1"
"222","WP_012217830.1"
"223","WP_012217831.1"
"224","WP_012217832.1"
"225","WP_012217833.1"
"226","WP_012217835.1"
"227","WP_012217837.1"
"228","WP_012217838.1"
"229","WP_012217839.1"
"230","WP_012217841.1"
"231","WP_012217842.1"
"232","WP_012217843.1"
"233","WP_012217844.1"
"234","WP_012217846.1"
"235","WP_012217847.1"
"236","WP_012217848.1"
"237","WP_012217849.1"
"238","WP_012217850.1"
"239","WP_012217851.1"
"240","WP_012217854.1"
"241","WP_012217855.1"
"242","WP_012217856.1"
"243","WP_012217857.1"
"244","WP_012217858.1"
"245","WP_012217859.1"
"246","WP_012217860.1"
"247","WP_012217861.1"
"248","WP_012217862.1"
"249","WP_012217864.1"
"250","WP_012217865.1"
"251","WP_012217867.1"
"252","WP_012217869.1"
"253","WP_012217870.1"
"254","WP_012217871.1"
"255","WP_012217872.1"
"256","WP_012217873.1"
"257","WP_012217874.1"
"258","WP_012217875.1"
"259","WP_012217876.1"
"260","WP_012217877.1"
"261","WP_012217878.1"
"262","WP_012217880.1"
"263","WP_012217881.1"
"264","WP_012217882.1"
"265","WP_012217883.1"
"266","WP_012217884.1"
"267","WP_012217885.1"
"268","WP_012217886.1"
"269","WP_012217887.1"
"270","WP_012217888.1"
"271","WP_012217889.1"
"272","WP_012217890.1"
"273","WP_012217891.1"
"274","WP_012217893.1"
"275","WP_012217894.1"
"276","WP_012217895.1"
"277","WP_012217896.1"
"278","WP_012217897.1"
"279","WP_012217898.1"
"280","WP_012217899.1"
"281","WP_012217900.1"
"282","WP_012217901.1"
"283","WP_012217902.1"
"284","WP_012217903.1"
"285","WP_012217904.1"
"286","WP_012217905.1"
"287","WP_012217906.1"
"288","WP_012217908.1"
"289","WP_012217909.1"
"290","WP_012217910.1"
"291","WP_012217911.1"
"292","WP_012217912.1"
"293","WP_012217913.1"
"294","WP_012217914.1"
"295","WP_012217915.1"
"296","WP_012217916.1"
"297","WP_012217917.1"
"298","WP_012217918.1"
"299","WP_012217919.1"
"300","WP_012217920.1"
"301","WP_012217921.1"
"302","WP_012217923.1"
"303","WP_012217924.1"
"304","WP_012217925.1"
"305","WP_012217926.1"
"306","WP_012217927.1"
"307","WP_012217930.1"
"308","WP_012217931.1"
"309","WP_012217932.1"
"310","WP_012217933.1"
"311","WP_012217934.1"
"312","WP_012217935.1"
"313","WP_012217936.1"
"314","WP_012217937.1"
"315","WP_012217938.1"
"316","WP_012217939.1"
"317","WP_012217941.1"
"318","WP_012217942.1"
"319","WP_012217945.1"
"320","WP_012217946.1"
"321","WP_012217947.1"
"322","WP_012217948.1"
"323","WP_012217949.1"
"324","WP_012217950.1"
"325","WP_012217951.1"
"326","WP_012217952.1"
"327","WP_012217953.1"
"328","WP_012217954.1"
"329","WP_012217955.1"
"330","WP_012217956.1"
"331","WP_012217957.1"
"332","WP_012217958.1"
"333","WP_012217959.1"
"334","WP_012217962.1"
"335","WP_012217963.1"
"336","WP_012217964.1"
"337","WP_012217965.1"
"338","WP_012217966.1"
"339","WP_012217967.1"
"340","WP_012217968.1"
"341","WP_012217969.1"
"342","WP_012217971.1"
"343","WP_012217973.1"
"344","WP_012217974.1"
"345","WP_012217975.1"
"346","WP_012217976.1"
"347","WP_012217978.1"
"348","WP_012217981.1"
"349","WP_012217982.1"
"350","WP_012217983.1"
"351","WP_012217986.1"
"352","WP_012217987.1"
"353","WP_012217988.1"
"354","WP_012217989.1"
"355","WP_012217991.1"
"356","WP_012217992.1"
"357","WP_012217993.1"
"358","WP_012217994.1"
"359","WP_012217995.1"
"360","WP_012217996.1"
"361","WP_012217997.1"
"362","WP_012217998.1"
"363","WP_012218000.1"
"364","WP_012218001.1"
"365","WP_012218002.1"
"366","WP_012218003.1"
"367","WP_012218004.1"
"368","WP_012218005.1"
"369","WP_012218006.1"
"370","WP_012218007.1"
"371","WP_012218008.1"
"372","WP_012218010.1"
"373","WP_012218011.1"
"374","WP_012218012.1"
"375","WP_012218014.1"
"376","WP_012218015.1"
"377","WP_012218017.1"
"378","WP_012218018.1"
"379","WP_012218021.1"
"380","WP_012218025.1"
"381","WP_012218026.1"
"382","WP_012218027.1"
"383","WP_012218028.1"
"384","WP_012218029.1"
"385","WP_012218031.1"
"386","WP_012218033.1"
"387","WP_012218036.1"
"388","WP_012218037.1"
"389","WP_012218038.1"
"390","WP_012218039.1"
"391","WP_012218040.1"
"392","WP_012218041.1"
"393","WP_012218041.1"
"394","WP_012218043.1"
"395","WP_012218045.1"
"396","WP_012218047.1"
"397","WP_012218049.1"
"398","WP_012218050.1"
"399","WP_012218051.1"
