"","x"
"1","3639306"
"2","30514953"
"3","30514954"
"4","3639317"
"5","30514955"
"6","3639329"
"7","3639284"
"8","3639282"
"9","30514957"
"10","30514958"
"11","30514959"
"12","30514961"
"13","30514962"
"14","3640225"
"15","3640195"
"16","3645408"
"17","30514966"
"18","30514967"
"19","3645417"
"20","30514968"
"21","30514969"
"22","30514972"
"23","30514973"
"24","30514974"
"25","3636923"
"26","3636925"
"27","30514975"
"28","30514976"
"29","30514977"
"30","3636809"
"31","3636900"
"32","3636918"
"33","30514980"
"34","30514981"
"35","30514982"
"36","3644688"
"37","30514984"
"38","3644695"
"39","3644719"
"40","3644722"
"41","3644710"
"42","30514985"
"43","3647990"
"44","30514986"
"45","3647986"
"46","3646148"
"47","30514987"
"48","3646134"
"49","30514988"
"50","3647534"
"51","30514990"
"52","30514991"
"53","30514993"
"54","3642504"
"55","30514995"
"56","30514999"
"57","30515000"
"58","30515002"
"59","30515003"
"60","3639849"
"61","30515006"
"62","30515007"
"63","30515008"
"64","30515010"
"65","30515012"
"66","30515013"
"67","3639528"
"68","30515014"
"69","30515015"
"70","30515018"
"71","30515019"
"72","30515020"
"73","30515021"
"74","3644472"
"75","30515025"
"76","30515026"
"77","30515028"
"78","30515029"
"79","3640760"
"80","30515030"
"81","3646491"
"82","3634930"
"83","3634937"
"84","3634918"
"85","30515031"
"86","3634893"
"87","3634870"
"88","30515035"
"89","30515037"
"90","30515038"
"91","30515039"
"92","30515041"
"93","3647678"
"94","30515043"
"95","30515044"
"96","30515046"
"97","30515047"
"98","3644419"
"99","30515048"
"100","3644418"
"101","30515049"
"102","30515051"
"103","30515052"
"104","30515053"
"105","30515054"
"106","3645333"
"107","30515055"
"108","30515056"
"109","30515060"
"110","3642049"
"111","3642020"
"112","30515061"
"113","30515062"
"114","30515063"
"115","3647605"
"116","3646836"
"117","3646826"
"118","30515065"
"119","30515066"
"120","3636155"
"121","30515067"
"122","30515072"
"123","30515073"
"124","30515074"
"125","3636146"
"126","3636220"
"127","3636222"
"128","3636212"
"129","30515076"
"130","3636195"
"131","30515077"
"132","3636131"
"133","3643338"
"134","30515079"
"135","3643311"
"136","30515080"
"137","6335419"
"138","3648427"
"139","3648426"
"140","3648391"
"141","3648392"
"142","3646426"
"143","3648377"
"144","3648376"
"145","3648356"
"146","3648300"
"147","3648216"
"148","3648218"
"149","3645324"
"150","3648182"
"151","3648118"
"152","3646138"
"153","3647988"
"154","3647989"
"155","3647991"
"156","3647993"
"157","3647994"
"158","3647996"
"159","3647955"
"160","3647679"
"161","3647681"
"162","3647682"
"163","3647683"
"164","3647673"
"165","3647674"
"166","3647675"
"167","3647677"
"168","3647664"
"169","3647667"
"170","3647668"
"171","3647669"
"172","3647670"
"173","3647671"
"174","3647672"
"175","3646825"
"176","3647601"
"177","3647602"
"178","3647603"
"179","3647604"
"180","3647606"
"181","3647607"
"182","3647608"
"183","3647609"
"184","3647610"
"185","3647612"
"186","3647527"
"187","3647528"
"188","3647529"
"189","3647530"
"190","3647531"
"191","3647532"
"192","3647533"
"193","3647535"
"194","3647536"
"195","3647522"
"196","3647523"
"197","3647524"
"198","3647525"
"199","3647517"
"200","3647518"
"201","3647519"
"202","3647178"
"203","3647179"
"204","3647180"
"205","3647181"
"206","3647183"
"207","3647184"
"208","3647186"
"209","3647187"
"210","3647188"
"211","3647189"
"212","3647191"
"213","3647192"
"214","3647193"
"215","3647194"
"216","3647196"
"217","3646827"
"218","3646828"
"219","3646829"
"220","3646830"
"221","3646816"
"222","3646817"
"223","3646818"
"224","3646819"
"225","3646820"
"226","3646821"
"227","3646822"
"228","3646831"
"229","3646832"
"230","3646833"
"231","3646834"
"232","3646835"
"233","3646837"
"234","3646838"
"235","3646824"
"236","3646656"
"237","3646657"
"238","3646659"
"239","3646660"
"240","3646670"
"241","3646671"
"242","3646672"
"243","3646673"
"244","3646674"
"245","3646675"
"246","3646676"
"247","3646677"
"248","3646661"
"249","3646662"
"250","3646664"
"251","3646665"
"252","3646666"
"253","3646667"
"254","3646668"
"255","3646669"
"256","3646504"
"257","3646505"
"258","3646506"
"259","3646485"
"260","3646486"
"261","3646487"
"262","3646488"
"263","3646489"
"264","3646490"
"265","3646492"
"266","3646493"
"267","3646494"
"268","3646495"
"269","3646496"
"270","3646497"
"271","3646498"
"272","3646499"
"273","3646501"
"274","3646508"
"275","3646509"
"276","3646510"
"277","3646512"
"278","3646406"
"279","3646407"
"280","3646409"
"281","3646411"
"282","3646412"
"283","3646413"
"284","3646414"
"285","3646415"
"286","3646417"
"287","3646418"
"288","3646423"
"289","3646424"
"290","3646425"
"291","3646427"
"292","3646428"
"293","3646429"
"294","3646420"
"295","3646140"
"296","3646142"
"297","3646144"
"298","3646145"
"299","3646146"
"300","3646147"
"301","3646149"
"302","3646150"
"303","3646151"
"304","3646130"
"305","3646131"
"306","3646132"
"307","3646133"
"308","3646135"
"309","3645415"
"310","3645416"
"311","3645418"
"312","3645419"
"313","3645420"
"314","3645421"
"315","3645422"
"316","3645424"
"317","3645425"
"318","3645426"
"319","3645427"
"320","3645428"
"321","3645429"
"322","3645430"
"323","3645431"
"324","3645432"
"325","3645433"
"326","3645435"
"327","3645436"
"328","3645407"
"329","3645409"
"330","3645411"
"331","3645412"
"332","3645413"
"333","3645414"
"334","3645325"
"335","3645326"
"336","3645327"
"337","3645328"
"338","3645316"
"339","3645317"
"340","3645318"
"341","3645319"
"342","3645320"
"343","3645321"
"344","3645322"
"345","3645338"
"346","3645339"
"347","3645340"
"348","3645341"
"349","3645342"
"350","3645344"
"351","3645345"
"352","3645346"
"353","3645329"
"354","3645330"
"355","3645331"
"356","3645332"
"357","3645334"
"358","3645335"
"359","3645336"
"360","3645337"
"361","3645347"
"362","3645348"
"363","3644790"
"364","3644791"
"365","3644792"
"366","3644793"
"367","3644794"
"368","3644781"
"369","3644782"
"370","3644783"
"371","3644784"
"372","3644785"
"373","3644786"
"374","3644787"
"375","3644788"
"376","3644789"
"377","3644772"
"378","3644774"
"379","3644776"
"380","3644777"
"381","3644778"
"382","3644780"
"383","3644763"
