"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28","WP_003373491.1"
"29","WP_003448442.1"
"30","WP_003448449.1"
"31","WP_003448542.1"
"32","WP_003448546.1"
"33","WP_003448555.1"
"34","WP_003448558.1"
"35","WP_003448561.1"
"36","WP_003448562.1"
"37","WP_003448574.1"
"38","WP_003448577.1"
"39","WP_003448587.1"
"40","WP_003448590.1"
"41","WP_003448594.1"
"42","WP_003448599.1"
"43","WP_003448604.1"
"44","WP_003448621.1"
"45","WP_003448628.1"
"46","WP_003448636.1"
"47","WP_003448671.1"
"48","WP_003448672.1"
"49","WP_003448677.1"
"50","WP_003448712.1"
"51","WP_003448723.1"
"52","WP_003448736.1"
"53","WP_003448743.1"
"54","WP_003448762.1"
"55","WP_003448817.1"
"56","WP_003448822.1"
"57","WP_003448834.1"
"58","WP_003448879.1"
"59","WP_003448881.1"
"60","WP_003448909.1"
"61","WP_003448915.1"
"62","WP_003449090.1"
"63","WP_003449110.1"
"64","WP_003449118.1"
"65","WP_003449129.1"
"66","WP_003449139.1"
"67","WP_003449162.1"
"68","WP_003449164.1"
"69","WP_003449171.1"
"70","WP_003449181.1"
"71","WP_003449190.1"
"72","WP_003449204.1"
"73","WP_003449220.1"
"74","WP_003449241.1"
"75","WP_003449320.1"
"76","WP_003449332.1"
"77","WP_003449335.1"
"78","WP_003449347.1"
"79","WP_003449361.1"
"80","WP_003449367.1"
"81","WP_003449375.1"
"82","WP_003449411.1"
"83","WP_003449417.1"
"84","WP_003449423.1"
"85","WP_003449426.1"
"86","WP_003449428.1"
"87","WP_003449435.1"
"88","WP_003449440.1"
"89","WP_003449445.1"
"90","WP_003449446.1"
"91","WP_003449449.1"
"92","WP_003449452.1"
"93","WP_003449454.1"
"94","WP_003449468.1"
"95","WP_003449473.1"
"96","WP_003449485.1"
"97","WP_003449499.1"
"98","WP_003449510.1"
"99","WP_003449520.1"
"100","WP_003449524.1"
"101","WP_003449533.1"
"102","WP_003449539.1"
"103","WP_003449544.1"
"104","WP_003449576.1"
"105","WP_003449588.1"
"106","WP_003449596.1"
"107","WP_003449600.1"
"108","WP_003449608.1"
"109","WP_003449615.1"
"110","WP_003449631.1"
"111","WP_003449642.1"
"112","WP_003449648.1"
"113","WP_003449654.1"
"114","WP_003449676.1"
"115","WP_003449678.1"
"116","WP_003449684.1"
"117","WP_003449685.1"
"118","WP_003449697.1"
"119","WP_003449706.1"
"120","WP_003449708.1"
"121","WP_003449716.1"
"122","WP_003449721.1"
"123","WP_003449734.1"
"124","WP_003449737.1"
"125","WP_003449779.1"
"126","WP_003449781.1"
"127","WP_003449782.1"
"128","WP_003449785.1"
"129","WP_003449786.1"
"130","WP_003449794.1"
"131","WP_003449818.1"
"132","WP_003449831.1"
"133","WP_003449870.1"
"134","WP_003449914.1"
"135","WP_003449944.1"
"136","WP_003449949.1"
"137","WP_003449981.1"
"138","WP_003449992.1"
"139","WP_003449994.1"
"140","WP_003450005.1"
"141","WP_003450023.1"
"142","WP_003450068.1"
"143","WP_003450071.1"
"144","WP_003450079.1"
"145","WP_003450082.1"
"146","WP_003450157.1"
"147","WP_003450180.1"
"148","WP_003450198.1"
"149","WP_003450214.1"
"150","WP_003450220.1"
"151","WP_003450230.1"
"152","WP_003450292.1"
"153","WP_003450306.1"
"154","WP_003450312.1"
"155","WP_003450326.1"
"156","WP_003450331.1"
"157","WP_003450336.1"
"158","WP_003450338.1"
"159","WP_003450343.1"
"160","WP_003450391.1"
"161","WP_003450420.1"
"162","WP_003450461.1"
"163","WP_003450463.1"
"164","WP_003450470.1"
"165","WP_003450471.1"
"166","WP_003450474.1"
"167","WP_003450483.1"
"168","WP_003450538.1"
"169","WP_003450562.1"
"170","WP_003450572.1"
"171","WP_003450573.1"
"172","WP_003450588.1"
"173","WP_003450594.1"
"174","WP_003450596.1"
"175","WP_003450598.1"
"176","WP_003450599.1"
"177","WP_003450627.1"
"178","WP_003450630.1"
"179","WP_003450634.1"
"180","WP_003450655.1"
"181","WP_003450666.1"
"182","WP_003450671.1"
"183","WP_003450676.1"
"184","WP_003450694.1"
"185","WP_003450698.1"
"186","WP_003450702.1"
"187","WP_003450704.1"
"188","WP_003450706.1"
"189","WP_003450714.1"
"190","WP_003450734.1"
"191","WP_003450738.1"
"192","WP_003450751.1"
"193","WP_003450775.1"
"194","WP_003450842.1"
"195","WP_003450846.1"
"196","WP_003450857.1"
"197","WP_003450864.1"
"198","WP_003450875.1"
"199","WP_003450880.1"
"200","WP_003450881.1"
"201","WP_003450885.1"
"202","WP_003450903.1"
"203","WP_003450908.1"
"204","WP_003450912.1"
"205","WP_003450940.1"
"206","WP_003450965.1"
"207","WP_003450981.1"
"208","WP_003450986.1"
"209","WP_003450989.1"
"210","WP_003450991.1"
"211","WP_003451010.1"
"212","WP_003451015.1"
"213","WP_003451018.1"
"214","WP_003451019.1"
"215","WP_003451020.1"
"216","WP_003451025.1"
"217","WP_003451027.1"
"218","WP_003451030.1"
"219","WP_003451031.1"
"220","WP_003451034.1"
"221","WP_003451036.1"
"222","WP_003451037.1"
"223","WP_003451039.1"
"224","WP_003451042.1"
"225","WP_003451044.1"
"226","WP_003451045.1"
"227","WP_003451046.1"
"228","WP_003451049.1"
"229","WP_003451050.1"
"230","WP_003451051.1"
"231","WP_003451066.1"
"232","WP_003451068.1"
"233","WP_003451069.1"
"234","WP_003451073.1"
"235","WP_003451077.1"
"236","WP_003451079.1"
"237","WP_003451081.1"
"238","WP_003451087.1"
"239","WP_003451091.1"
"240","WP_003451099.1"
"241","WP_003451102.1"
"242","WP_003451106.1"
"243","WP_003451108.1"
"244","WP_003451121.1"
"245","WP_003451137.1"
"246","WP_003451138.1"
"247","WP_003451156.1"
"248","WP_003451157.1"
"249","WP_003451159.1"
"250","WP_003451165.1"
"251","WP_003451174.1"
"252","WP_003451178.1"
"253","WP_003451187.1"
"254","WP_003451193.1"
"255","WP_003451216.1"
"256","WP_003451221.1"
"257","WP_003451227.1"
"258","WP_003451262.1"
"259","WP_003451263.1"
"260","WP_003451265.1"
"261","WP_003451272.1"
"262","WP_003451273.1"
"263","WP_003451277.1"
"264","WP_003451288.1"
"265","WP_003451300.1"
"266","WP_003451301.1"
"267","WP_003451322.1"
"268","WP_003451331.1"
"269","WP_003451332.1"
"270","WP_003451336.1"
"271","WP_003451353.1"
"272","WP_003451357.1"
"273","WP_003451379.1"
"274","WP_003451384.1"
"275","WP_003451387.1"
"276","WP_003451389.1"
"277","WP_003451394.1"
"278","WP_003451397.1"
"279","WP_003451399.1"
"280","WP_003451402.1"
"281","WP_003451404.1"
"282","WP_003451406.1"
"283","WP_003451410.1"
"284","WP_003451429.1"
"285","WP_003451432.1"
"286","WP_003451434.1"
"287","WP_003451437.1"
"288","WP_003451446.1"
"289","WP_003451459.1"
"290","WP_003451463.1"
"291","WP_003451474.1"
"292","WP_003451481.1"
"293","WP_003451483.1"
"294","WP_003451489.1"
"295","WP_003451503.1"
"296","WP_003451516.1"
"297","WP_003451532.1"
"298","WP_003451536.1"
"299","WP_003451545.1"
"300","WP_003451549.1"
"301","WP_003451559.1"
"302","WP_003451567.1"
"303","WP_003451569.1"
"304","WP_003451570.1"
"305","WP_003451580.1"
"306","WP_003451591.1"
"307","WP_003451608.1"
"308","WP_003451626.1"
"309","WP_003451643.1"
"310","WP_003451649.1"
"311","WP_003451659.1"
"312","WP_003451668.1"
"313","WP_003451671.1"
"314","WP_003451678.1"
"315","WP_003451681.1"
"316","WP_003451685.1"
"317","WP_003451687.1"
"318","WP_003451703.1"
"319","WP_003451739.1"
"320","WP_003451771.1"
"321","WP_003451775.1"
"322","WP_003451790.1"
"323","WP_003451821.1"
"324","WP_003451873.1"
"325","WP_003451889.1"
"326","WP_003451892.1"
"327","WP_003451894.1"
"328","WP_003451906.1"
"329","WP_003451918.1"
"330","WP_003451929.1"
"331","WP_003451934.1"
"332","WP_003451945.1"
"333","WP_003451947.1"
"334","WP_003451972.1"
"335","WP_003451987.1"
"336","WP_003451991.1"
"337","WP_003451994.1"
"338","WP_003452013.1"
"339","WP_003452057.1"
"340","WP_003452066.1"
"341","WP_003452074.1"
"342","WP_003452100.1"
"343","WP_003452120.1"
"344","WP_003452122.1"
"345","WP_003452135.1"
"346","WP_003452139.1"
"347","WP_003452142.1"
"348","WP_003452162.1"
"349","WP_003452162.1"
"350","WP_003452165.1"
"351","WP_003452167.1"
"352","WP_003452170.1"
"353","WP_003452172.1"
"354","WP_003452175.1"
"355","WP_003452177.1"
"356","WP_003452181.1"
"357","WP_003452182.1"
"358","WP_003452191.1"
"359","WP_003452217.1"
"360","WP_003452243.1"
"361","WP_003452247.1"
"362","WP_003452248.1"
"363","WP_003452250.1"
"364","WP_003452252.1"
"365","WP_003452255.1"
"366","WP_003452260.1"
"367","WP_003452261.1"
"368","WP_003452273.1"
"369","WP_003452275.1"
"370","WP_003452277.1"
"371","WP_003452279.1"
"372","WP_003452282.1"
"373","WP_003452288.1"
"374","WP_003452305.1"
"375","WP_003452315.1"
"376","WP_003452335.1"
"377","WP_003452341.1"
"378","WP_003452343.1"
"379","WP_003452353.1"
"380","WP_003452357.1"
"381","WP_003452358.1"
"382","WP_003452379.1"
"383","WP_003452389.1"
"384","WP_003452392.1"
"385","WP_003452406.1"
"386","WP_003452408.1"
"387","WP_003452413.1"
"388","WP_003452418.1"
"389","WP_003452423.1"
"390","WP_003452426.1"
"391","WP_003452429.1"
"392","WP_003452430.1"
"393","WP_003452437.1"
