"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38","WP_001181005.1"
"39","WP_005539416.1"
"40","WP_005539760.1"
"41","WP_005539872.1"
"42","WP_005542826.1"
"43","WP_005543325.1"
"44","WP_005543603.1"
"45","WP_005543631.1"
"46","WP_005544066.1"
"47","WP_005544465.1"
"48","WP_005544470.1"
"49","WP_005548279.1"
"50","WP_005548786.1"
"51","WP_005596065.1"
"52","WP_005596075.1"
"53","WP_005598105.1"
"54","WP_005613503.1"
"55","WP_005623843.1"
"56","WP_005625828.1"
"57","WP_005625868.1"
"58","WP_005625871.1"
"59","WP_005625873.1"
"60","WP_005625877.1"
"61","WP_005625879.1"
"62","WP_005625881.1"
"63","WP_005625886.1"
"64","WP_005625888.1"
"65","WP_005625894.1"
"66","WP_005625897.1"
"67","WP_005625990.1"
"68","WP_005626142.1"
"69","WP_005626416.1"
"70","WP_005626527.1"
"71","WP_005626581.1"
"72","WP_005626605.1"
"73","WP_005627362.1"
"74","WP_005627389.1"
"75","WP_005627617.1"
"76","WP_005627620.1"
"77","WP_005627632.1"
"78","WP_005627655.1"
"79","WP_005628024.1"
"80","WP_005628334.1"
"81","WP_005628548.1"
"82","WP_005628626.1"
"83","WP_005628746.1"
"84","WP_005628875.1"
"85","WP_005628896.1"
"86","WP_005628952.1"
"87","WP_005629111.1"
"88","WP_005629246.1"
"89","WP_005629251.1"
"90","WP_005629464.1"
"91","WP_005629492.1"
"92","WP_005629669.1"
"93","WP_005629736.1"
"94","WP_005630043.1"
"95","WP_005630123.1"
"96","WP_005630160.1"
"97","WP_005630308.1"
"98","WP_005630575.1"
"99","WP_005630808.1"
"100","WP_005630840.1"
"101","WP_005630900.1"
"102","WP_005630954.1"
"103","WP_005630980.1"
"104","WP_005631186.1"
"105","WP_005631292.1"
"106","WP_005631374.1"
"107","WP_005631453.1"
"108","WP_005631594.1"
"109","WP_005631673.1"
"110","WP_005631703.1"
"111","WP_005631770.1"
"112","WP_005631781.1"
"113","WP_005631904.1"
"114","WP_005631918.1"
"115","WP_005632174.1"
"116","WP_005632242.1"
"117","WP_005632242.1"
"118","WP_005632504.1"
"119","WP_005632534.1"
"120","WP_005632753.1"
"121","WP_005632756.1"
"122","WP_005632782.1"
"123","WP_005632805.1"
"124","WP_005632808.1"
"125","WP_005633786.1"
"126","WP_005634891.1"
"127","WP_005635167.1"
"128","WP_005635481.1"
"129","WP_005635734.1"
"130","WP_005636074.1"
"131","WP_005636320.1"
"132","WP_005639269.1"
"133","WP_005639404.1"
"134","WP_005639843.1"
"135","WP_005641717.1"
"136","WP_005642563.1"
"137","WP_005643334.1"
"138","WP_005643340.1"
"139","WP_005643342.1"
"140","WP_005643344.1"
"141","WP_005643377.1"
"142","WP_005644190.1"
"143","WP_005644452.1"
"144","WP_005645552.1"
"145","WP_005645731.1"
"146","WP_005647194.1"
"147","WP_005647222.1"
"148","WP_005647225.1"
"149","WP_005647229.1"
"150","WP_005647241.1"
"151","WP_005647374.1"
"152","WP_005647404.1"
"153","WP_005647434.1"
"154","WP_005647489.1"
"155","WP_005647500.1"
"156","WP_005647563.1"
"157","WP_005647600.1"
"158","WP_005647625.1"
"159","WP_005647634.1"
"160","WP_005647711.1"
"161","WP_005647722.1"
"162","WP_005647730.1"
"163","WP_005647733.1"
"164","WP_005647819.1"
"165","WP_005647910.1"
"166","WP_005647969.1"
"167","WP_005647993.1"
"168","WP_005647998.1"
"169","WP_005647999.1"
"170","WP_005648011.1"
"171","WP_005648089.1"
"172","WP_005648092.1"
"173","WP_005648113.1"
"174","WP_005648117.1"
"175","WP_005648125.1"
"176","WP_005648237.1"
"177","WP_005648239.1"
"178","WP_005648296.1"
"179","WP_005648303.1"
"180","WP_005648308.1"
"181","WP_005648321.1"
"182","WP_005648338.1"
"183","WP_005648344.1"
"184","WP_005648384.1"
"185","WP_005648400.1"
"186","WP_005648402.1"
"187","WP_005648404.1"
"188","WP_005648406.1"
"189","WP_005648425.1"
"190","WP_005648442.1"
"191","WP_005648452.1"
"192","WP_005648481.1"
"193","WP_005648504.1"
"194","WP_005648518.1"
"195","WP_005648546.1"
"196","WP_005648548.1"
"197","WP_005648552.1"
"198","WP_005648575.1"
"199","WP_005648601.1"
"200","WP_005648605.1"
"201","WP_005648665.1"
"202","WP_005648666.1"
"203","WP_005648709.1"
"204","WP_005648731.1"
"205","WP_005648735.1"
"206","WP_005648742.1"
"207","WP_005648761.1"
"208","WP_005648788.1"
"209","WP_005648793.1"
"210","WP_005648810.1"
"211","WP_005648811.1"
"212","WP_005648813.1"
"213","WP_005648814.1"
"214","WP_005648856.1"
"215","WP_005648900.1"
"216","WP_005648963.1"
"217","WP_005648966.1"
"218","WP_005649034.1"
"219","WP_005649040.1"
"220","WP_005649085.1"
"221","WP_005649088.1"
"222","WP_005649108.1"
"223","WP_005649115.1"
"224","WP_005649164.1"
"225","WP_005649169.1"
"226","WP_005649190.1"
"227","WP_005649300.1"
"228","WP_005649335.1"
"229","WP_005649345.1"
"230","WP_005649382.1"
"231","WP_005649383.1"
"232","WP_005649391.1"
"233","WP_005649396.1"
"234","WP_005649402.1"
"235","WP_005649445.1"
"236","WP_005649446.1"
"237","WP_005649472.1"
"238","WP_005649475.1"
"239","WP_005649509.1"
"240","WP_005649511.1"
"241","WP_005649540.1"
"242","WP_005649559.1"
"243","WP_005649562.1"
"244","WP_005649565.1"
"245","WP_005649577.1"
"246","WP_005649599.1"
"247","WP_005649617.1"
"248","WP_005649619.1"
"249","WP_005649826.1"
"250","WP_005649848.1"
"251","WP_005649850.1"
"252","WP_005649858.1"
"253","WP_005649866.1"
"254","WP_005649868.1"
"255","WP_005649897.1"
"256","WP_005649899.1"
"257","WP_005649900.1"
"258","WP_005649958.1"
"259","WP_005650069.1"
"260","WP_005650077.1"
"261","WP_005650140.1"
"262","WP_005650143.1"
"263","WP_005650156.1"
"264","WP_005650215.1"
"265","WP_005650217.1"
"266","WP_005650218.1"
"267","WP_005650281.1"
"268","WP_005650310.1"
"269","WP_005650347.1"
"270","WP_005650386.1"
"271","WP_005650402.1"
"272","WP_005650445.1"
"273","WP_005650448.1"
"274","WP_005650488.1"
"275","WP_005650489.1"
"276","WP_005650497.1"
"277","WP_005650499.1"
"278","WP_005650500.1"
"279","WP_005650502.1"
"280","WP_005650509.1"
"281","WP_005650512.1"
"282","WP_005650518.1"
"283","WP_005650520.1"
"284","WP_005650522.1"
"285","WP_005650528.1"
"286","WP_005650535.1"
"287","WP_005650554.1"
"288","WP_005650594.1"
"289","WP_005650601.1"
"290","WP_005650603.1"
"291","WP_005650606.1"
"292","WP_005650692.1"
"293","WP_005650698.1"
"294","WP_005650699.1"
"295","WP_005650804.1"
"296","WP_005650820.1"
"297","WP_005650837.1"
"298","WP_005650892.1"
"299","WP_005650925.1"
"300","WP_005651000.1"
"301","WP_005651005.1"
"302","WP_005651039.1"
"303","WP_005651072.1"
"304","WP_005651158.1"
"305","WP_005651165.1"
"306","WP_005651167.1"
"307","WP_005651258.1"
"308","WP_005651299.1"
"309","WP_005651471.1"
"310","WP_005651506.1"
"311","WP_005651560.1"
"312","WP_005651563.1"
"313","WP_005651578.1"
"314","WP_005651583.1"
"315","WP_005651674.1"
"316","WP_005651708.1"
"317","WP_005651723.1"
"318","WP_005651810.1"
"319","WP_005651812.1"
"320","WP_005651815.1"
"321","WP_005651831.1"
"322","WP_005651833.1"
"323","WP_005651852.1"
"324","WP_005651947.1"
"325","WP_005651950.1"
"326","WP_005651954.1"
"327","WP_005652021.1"
"328","WP_005652027.1"
"329","WP_005652031.1"
"330","WP_005652035.1"
"331","WP_005652218.1"
"332","WP_005652235.1"
"333","WP_005652333.1"
"334","WP_005652354.1"
"335","WP_005652369.1"
"336","WP_005652371.1"
"337","WP_005652401.1"
"338","WP_005652408.1"
"339","WP_005652432.1"
"340","WP_005652437.1"
"341","WP_005652439.1"
"342","WP_005652441.1"
"343","WP_005652451.1"
"344","WP_005652640.1"
"345","WP_005652713.1"
"346","WP_005652728.1"
"347","WP_005652748.1"
"348","WP_005652786.1"
"349","WP_005652821.1"
"350","WP_005652932.1"
"351","WP_005652934.1"
"352","WP_005652973.1"
"353","WP_005653079.1"
"354","WP_005653088.1"
"355","WP_005653194.1"
"356","WP_005653200.1"
"357","WP_005653201.1"
"358","WP_005653255.1"
"359","WP_005653291.1"
"360","WP_005653301.1"
"361","WP_005653304.1"
"362","WP_005653307.1"
"363","WP_005653410.1"
"364","WP_005653606.1"
"365","WP_005653635.1"
"366","WP_005653793.1"
"367","WP_005653794.1"
"368","WP_005653814.1"
"369","WP_005653865.1"
"370","WP_005653867.1"
"371","WP_005653919.1"
"372","WP_005653955.1"
"373","WP_005654053.1"
"374","WP_005654063.1"
"375","WP_005654097.1"
"376","WP_005654167.1"
"377","WP_005654170.1"
"378","WP_005654219.1"
"379","WP_005654254.1"
"380","WP_005654301.1"
"381","WP_005654318.1"
"382","WP_005654324.1"
"383","WP_005654371.1"
"384","WP_005654411.1"
"385","WP_005654445.1"
"386","WP_005654456.1"
"387","WP_005654466.1"
"388","WP_005654480.1"
"389","WP_005654546.1"
"390","WP_005654658.1"
"391","WP_005654658.1"
"392","WP_005654778.1"
"393","WP_005654781.1"
"394","WP_005654784.1"
"395","WP_005654786.1"
"396","WP_005654829.1"
"397","WP_005654861.1"
"398","WP_005654871.1"
