"","x"
"1","878417"
"2","879244"
"3","879229"
"4","879230"
"5","877576"
"6","879245"
"7","877575"
"8","878214"
"9","878095"
"10","878076"
"11","877921"
"12","877795"
"13","877634"
"14","879294"
"15","879251"
"16","879255"
"17","879297"
"18","879258"
"19","879306"
"20","879309"
"21","880730"
"22","880711"
"23","880685"
"24","880901"
"25","880894"
"26","880904"
"27","880919"
"28","878631"
"29","880672"
"30","880659"
"31","880657"
"32","880646"
"33","880641"
"34","879223"
"35","879479"
"36","879212"
"37","883090"
"38","879209"
"39","879200"
"40","879196"
"41","878601"
"42","878502"
"43","878401"
"44","878350"
"45","878300"
"46","878290"
"47","877928"
"48","877666"
"49","877595"
"50","878575"
"51","878637"
"52","877739"
"53","878088"
"54","877862"
"55","877984"
"56","878150"
"57","880931"
"58","878070"
"59","880900"
"60","877992"
"61","878228"
"62","877630"
"63","878385"
"64","878495"
"65","879179"
"66","878482"
"67","878318"
"68","878366"
"69","879190"
"70","879195"
"71","879189"
"72","878396"
"73","879361"
"74","879341"
"75","879335"
"76","879396"
"77","879392"
"78","879382"
"79","879436"
"80","879413"
"81","879402"
"82","879476"
"83","879464"
"84","879446"
"85","879504"
"86","879495"
"87","879483"
"88","879573"
"89","879553"
"90","879511"
"91","880664"
"92","880654"
"93","879595"
"94","880726"
"95","880714"
"96","880677"
"97","880743"
"98","880737"
"99","880727"
"100","880786"
"101","880767"
"102","880802"
"103","881940"
"104","881877"
"105","882009"
"106","882001"
"107","882044"
"108","879416"
"109","879275"
"110","879408"
"111","879395"
"112","879388"
"113","880693"
"114","877577"
"115","878370"
"116","877585"
"117","877578"
"118","878231"
"119","878358"
"120","880611"
"121","877571"
"122","879205"
"123","880838"
"124","880627"
"125","880815"
"126","880831"
"127","880844"
"128","880875"
"129","878383"
"130","879350"
"131","879432"
"132","879331"
"133","879398"
"134","879471"
"135","879286"
"136","879399"
"137","879431"
"138","879326"
"139","879494"
"140","879447"
"141","879451"
"142","879242"
"143","879449"
"144","879465"
"145","879502"
"146","879249"
"147","879673"
"148","878563"
"149","877893"
"150","878518"
"151","878130"
"152","882145"
"153","882136"
"154","882149"
"155","882134"
"156","882140"
"157","882081"
"158","882103"
"159","879518"
"160","882025"
"161","879444"
"162","879418"
"163","879314"
"164","879316"
"165","879343"
"166","879346"
"167","878493"
"168","882156"
"169","879545"
"170","882256"
"171","877836"
"172","882282"
"173","882219"
"174","879338"
"175","878420"
"176","879259"
"177","879336"
"178","879304"
"179","878164"
"180","879288"
"181","882170"
"182","879256"
"183","879411"
"184","882255"
"185","879289"
"186","883120"
"187","883097"
"188","883101"
"189","882990"
"190","883039"
"191","879577"
"192","878345"
"193","878346"
"194","878146"
"195","879472"
"196","883080"
"197","879490"
"198","879623"
"199","879531"
"200","879445"
"201","883108"
"202","878513"
"203","879480"
"204","879760"
"205","879460"
"206","879322"
"207","879248"
"208","883035"
"209","879489"
"210","879507"
"211","879254"
"212","879334"
"213","883110"
"214","879529"
"215","883005"
"216","877906"
"217","879237"
"218","879442"
"219","879365"
"220","877806"
"221","878110"
"222","878177"
"223","880191"
"224","878086"
"225","877818"
"226","877715"
"227","878155"
"228","881957"
"229","882150"
"230","882116"
"231","877707"
"232","881909"
"233","881907"
"234","881730"
"235","881928"
"236","882048"
"237","882051"
"238","881911"
"239","881918"
"240","880907"
"241","881956"
"242","879716"
"243","882159"
"244","881952"
"245","882128"
"246","881969"
"247","880888"
"248","879262"
"249","881983"
"250","879677"
"251","881936"
"252","881878"
"253","879587"
"254","881894"
"255","880116"
"256","880870"
"257","881892"
"258","879499"
"259","881884"
"260","881981"
"261","880866"
"262","881913"
"263","880917"
"264","880697"
"265","880732"
"266","883021"
"267","880648"
"268","880607"
"269","877827"
"270","883091"
"271","880785"
"272","880776"
"273","880723"
"274","883050"
"275","880729"
"276","883024"
"277","877644"
"278","880705"
"279","880883"
"280","881922"
"281","879699"
"282","879674"
"283","879596"
"284","879633"
"285","880781"
"286","879727"
"287","880764"
"288","879473"
"289","879730"
"290","880699"
"291","880857"
"292","880681"
"293","880840"
"294","880604"
"295","880835"
