"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35","WP_000048054.1"
"36","WP_000068664.1"
"37","WP_000075969.1"
"38","WP_000124830.1"
"39","WP_000141913.1"
"40","WP_000171299.1"
"41","WP_000261775.1"
"42","WP_000456042.1"
"43","WP_000512900.1"
"44","WP_000533766.1"
"45","WP_000757161.1"
"46","WP_000794674.1"
"47","WP_000818139.1"
"48","WP_000831905.1"
"49","WP_000960947.1"
"50","WP_001020606.1"
"51","WP_001029883.1"
"52","WP_001085699.1"
"53","WP_001117401.1"
"54","WP_001140948.1"
"55","WP_001142332.1"
"56","WP_001265622.1"
"57","WP_001808836.1"
"58","WP_002876943.1"
"59","WP_002878297.1"
"60","WP_002884769.1"
"61","WP_002886077.1"
"62","WP_002894509.1"
"63","WP_003001389.1"
"64","WP_003001593.1"
"65","WP_003001620.1"
"66","WP_003001719.1"
"67","WP_003001745.1"
"68","WP_003001797.1"
"69","WP_003001852.1"
"70","WP_003001888.1"
"71","WP_003001941.1"
"72","WP_003001962.1"
"73","WP_003002062.1"
"74","WP_003002068.1"
"75","WP_003002070.1"
"76","WP_003002077.1"
"77","WP_003002079.1"
"78","WP_003002091.1"
"79","WP_003002102.1"
"80","WP_003002120.1"
"81","WP_003002130.1"
"82","WP_003002156.1"
"83","WP_003002210.1"
"84","WP_003002222.1"
"85","WP_003002236.1"
"86","WP_003002258.1"
"87","WP_003002261.1"
"88","WP_003002265.1"
"89","WP_003002315.1"
"90","WP_003002334.1"
"91","WP_003002336.1"
"92","WP_003002350.1"
"93","WP_003002366.1"
"94","WP_003002370.1"
"95","WP_003002376.1"
"96","WP_003002380.1"
"97","WP_003002384.1"
"98","WP_003002390.1"
"99","WP_003002399.1"
"100","WP_003002405.1"
"101","WP_003002450.1"
"102","WP_003002471.1"
"103","WP_003002524.1"
"104","WP_003002543.1"
"105","WP_003002675.1"
"106","WP_003002700.1"
"107","WP_003002759.1"
"108","WP_003002763.1"
"109","WP_003002793.1"
"110","WP_003002805.1"
"111","WP_003002828.1"
"112","WP_003002847.1"
"113","WP_003002861.1"
"114","WP_003002878.1"
"115","WP_003002881.1"
"116","WP_003002960.1"
"117","WP_003003071.1"
"118","WP_003003105.1"
"119","WP_003003137.1"
"120","WP_003003247.1"
"121","WP_003003254.1"
"122","WP_003003291.1"
"123","WP_003003382.1"
"124","WP_003003384.1"
"125","WP_003003387.1"
"126","WP_003003393.1"
"127","WP_003003453.1"
"128","WP_003003480.1"
"129","WP_003003486.1"
"130","WP_003003589.1"
"131","WP_003003721.1"
"132","WP_003003852.1"
"133","WP_003003892.1"
"134","WP_003003929.1"
"135","WP_003003953.1"
"136","WP_003003993.1"
"137","WP_003003995.1"
"138","WP_003004014.1"
"139","WP_003004019.1"
"140","WP_003004100.1"
"141","WP_003004175.1"
"142","WP_003004214.1"
"143","WP_003004238.1"
"144","WP_003004251.1"
"145","WP_003004253.1"
"146","WP_003004348.1"
"147","WP_003004374.1"
"148","WP_003004516.1"
"149","WP_003004547.1"
"150","WP_003004573.1"
"151","WP_003004578.1"
"152","WP_003004603.1"
"153","WP_003004689.1"
"154","WP_003004765.1"
"155","WP_003004771.1"
"156","WP_003004779.1"
"157","WP_003004977.1"
"158","WP_003005034.1"
"159","WP_003005040.1"
"160","WP_003005145.1"
"161","WP_003005165.1"
"162","WP_003005205.1"
"163","WP_003005328.1"
"164","WP_003005369.1"
"165","WP_003005404.1"
"166","WP_003005416.1"
"167","WP_003005422.1"
"168","WP_003005434.1"
"169","WP_003005477.1"
"170","WP_003005479.1"
"171","WP_003005572.1"
"172","WP_003005574.1"
"173","WP_003005585.1"
"174","WP_003005595.1"
"175","WP_003005613.1"
"176","WP_003005632.1"
"177","WP_003005673.1"
"178","WP_003005699.1"
"179","WP_003005705.1"
"180","WP_003005706.1"
"181","WP_003005853.1"
"182","WP_003005873.1"
"183","WP_003005989.1"
"184","WP_003006013.1"
"185","WP_003006064.1"
"186","WP_003006350.1"
"187","WP_003006364.1"
"188","WP_003006411.1"
"189","WP_003006433.1"
"190","WP_003006512.1"
"191","WP_003006514.1"
"192","WP_003006597.1"
"193","WP_003006600.1"
"194","WP_003006603.1"
"195","WP_003006843.1"
"196","WP_003007284.1"
"197","WP_003007564.1"
"198","WP_003007640.1"
"199","WP_003007734.1"
"200","WP_003008189.1"
"201","WP_003008260.1"
"202","WP_003008367.1"
"203","WP_003008369.1"
"204","WP_003008487.1"
"205","WP_003008546.1"
"206","WP_003008622.1"
"207","WP_003008641.1"
"208","WP_003008667.1"
"209","WP_003008843.1"
"210","WP_003008866.1"
"211","WP_003009043.1"
"212","WP_003009108.1"
"213","WP_003009125.1"
"214","WP_003009183.1"
"215","WP_003009208.1"
"216","WP_003009220.1"
"217","WP_003009233.1"
"218","WP_003009244.1"
"219","WP_003009246.1"
"220","WP_003009251.1"
"221","WP_003009322.1"
"222","WP_003009394.1"
"223","WP_003009435.1"
"224","WP_003009443.1"
"225","WP_003009465.1"
"226","WP_003009516.1"
"227","WP_003009542.1"
"228","WP_003009585.1"
"229","WP_003009591.1"
"230","WP_003009593.1"
"231","WP_003009600.1"
"232","WP_003009606.1"
"233","WP_003009631.1"
"234","WP_003009635.1"
"235","WP_003010242.1"
"236","WP_003010246.1"
"237","WP_003010296.1"
"238","WP_003010399.1"
"239","WP_003010401.1"
"240","WP_003010454.1"
"241","WP_003010846.1"
"242","WP_003010858.1"
"243","WP_003010871.1"
"244","WP_003010897.1"
"245","WP_003010968.1"
"246","WP_003011144.1"
"247","WP_003011180.1"
"248","WP_003011253.1"
"249","WP_003011566.1"
"250","WP_003011591.1"
"251","WP_003011758.1"
"252","WP_003011957.1"
"253","WP_003012031.1"
"254","WP_003012241.1"
"255","WP_003012247.1"
"256","WP_003012335.1"
"257","WP_003012408.1"
"258","WP_003012610.1"
"259","WP_003012894.1"
"260","WP_003013098.1"
"261","WP_003013593.1"
"262","WP_003014188.1"
"263","WP_003014200.1"
"264","WP_003014225.1"
"265","WP_003014291.1"
"266","WP_003014310.1"
"267","WP_003014342.1"
"268","WP_003014347.1"
"269","WP_003014381.1"
"270","WP_003014385.1"
"271","WP_003014390.1"
"272","WP_003014402.1"
"273","WP_003014412.1"
"274","WP_003014418.1"
"275","WP_003014500.1"
"276","WP_003014511.1"
"277","WP_003014523.1"
"278","WP_003014525.1"
"279","WP_003014547.1"
"280","WP_003014575.1"
"281","WP_003014599.1"
"282","WP_003014677.1"
"283","WP_003014684.1"
"284","WP_003014720.1"
"285","WP_003014723.1"
"286","WP_003014724.1"
"287","WP_003014764.1"
"288","WP_003014791.1"
"289","WP_003014794.1"
"290","WP_003014796.1"
"291","WP_003014881.1"
"292","WP_003014929.1"
"293","WP_003014934.1"
"294","WP_003014968.1"
"295","WP_003015026.1"
"296","WP_003015121.1"
"297","WP_003015125.1"
"298","WP_003015140.1"
"299","WP_003015146.1"
"300","WP_003015156.1"
"301","WP_003015158.1"
"302","WP_003015168.1"
"303","WP_003015207.1"
"304","WP_003015210.1"
"305","WP_003015213.1"
"306","WP_003015216.1"
"307","WP_003015219.1"
"308","WP_003015222.1"
"309","WP_003015245.1"
"310","WP_003015298.1"
"311","WP_003015387.1"
"312","WP_003015398.1"
"313","WP_003015400.1"
"314","WP_003015415.1"
"315","WP_003015464.1"
"316","WP_003015470.1"
"317","WP_003015477.1"
"318","WP_003015483.1"
"319","WP_003015492.1"
"320","WP_003015494.1"
"321","WP_003015562.1"
"322","WP_003015609.1"
"323","WP_003015620.1"
"324","WP_003015629.1"
"325","WP_003015632.1"
"326","WP_003015673.1"
"327","WP_003015705.1"
"328","WP_003015777.1"
"329","WP_003015886.1"
"330","WP_003015928.1"
"331","WP_003015941.1"
"332","WP_003015959.1"
"333","WP_003015985.1"
"334","WP_003016027.1"
"335","WP_003016067.1"
"336","WP_003016069.1"
"337","WP_003016077.1"
"338","WP_003016096.1"
"339","WP_003016124.1"
"340","WP_003016137.1"
"341","WP_003016149.1"
"342","WP_003016256.1"
"343","WP_003016261.1"
"344","WP_003016269.1"
"345","WP_003016272.1"
"346","WP_003016279.1"
"347","WP_003016288.1"
"348","WP_003016291.1"
"349","WP_003016299.1"
"350","WP_003016317.1"
"351","WP_003016339.1"
"352","WP_003016364.1"
"353","WP_003016373.1"
"354","WP_003016499.1"
"355","WP_003016521.1"
"356","WP_003016564.1"
"357","WP_003016592.1"
"358","WP_003016601.1"
"359","WP_003016678.1"
"360","WP_003016708.1"
"361","WP_003016726.1"
"362","WP_003016740.1"
"363","WP_003016745.1"
"364","WP_003016764.1"
"365","WP_003016809.1"
"366","WP_003016812.1"
"367","WP_003016815.1"
"368","WP_003016837.1"
"369","WP_003016930.1"
"370","WP_003016955.1"
"371","WP_003016958.1"
"372","WP_003016971.1"
"373","WP_003016974.1"
"374","WP_003016997.1"
"375","WP_003017005.1"
"376","WP_003017011.1"
"377","WP_003017039.1"
"378","WP_003017195.1"
"379","WP_003017324.1"
"380","WP_003017325.1"
"381","WP_003017328.1"
"382","WP_003017330.1"
"383","WP_003017340.1"
"384","WP_003017362.1"
"385","WP_003017375.1"
"386","WP_003017390.1"
"387","WP_003017391.1"
"388","WP_003017442.1"
"389","WP_003017471.1"
"390","WP_003017575.1"
"391","WP_003017577.1"
"392","WP_003017581.1"
"393","WP_003017582.1"
"394","WP_003017588.1"
"395","WP_003017594.1"
"396","WP_003017621.1"
"397","WP_003017645.1"
