"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35","WP_000048054.1"
"36","WP_000068664.1"
"37","WP_000124830.1"
"38","WP_000225125.1"
"39","WP_000301974.1"
"40","WP_000440801.1"
"41","WP_000533766.1"
"42","WP_000648250.1"
"43","WP_000711078.1"
"44","WP_000874693.1"
"45","WP_000960948.1"
"46","WP_001029883.1"
"47","WP_001085697.1"
"48","WP_001118385.1"
"49","WP_001140948.1"
"50","WP_001265622.1"
"51","WP_001291476.1"
"52","WP_001808836.1"
"53","WP_002893488.1"
"54","WP_002893493.1"
"55","WP_002893495.1"
"56","WP_002893496.1"
"57","WP_002893503.1"
"58","WP_002893506.1"
"59","WP_002893522.1"
"60","WP_002893523.1"
"61","WP_002893529.1"
"62","WP_002893537.1"
"63","WP_002893553.1"
"64","WP_002893555.1"
"65","WP_002893561.1"
"66","WP_002893577.1"
"67","WP_002893578.1"
"68","WP_002893583.1"
"69","WP_002893611.1"
"70","WP_002893616.1"
"71","WP_002893618.1"
"72","WP_002893621.1"
"73","WP_002893631.1"
"74","WP_002893646.1"
"75","WP_002893653.1"
"76","WP_002893657.1"
"77","WP_002893665.1"
"78","WP_002893668.1"
"79","WP_002893676.1"
"80","WP_002893678.1"
"81","WP_002893724.1"
"82","WP_002893754.1"
"83","WP_002893755.1"
"84","WP_002893760.1"
"85","WP_002893762.1"
"86","WP_002893764.1"
"87","WP_002893769.1"
"88","WP_002893782.1"
"89","WP_002893807.1"
"90","WP_002893835.1"
"91","WP_002893837.1"
"92","WP_002893853.1"
"93","WP_002893865.1"
"94","WP_002893867.1"
"95","WP_002893873.1"
"96","WP_002893879.1"
"97","WP_002893904.1"
"98","WP_002893913.1"
"99","WP_002893930.1"
"100","WP_002893931.1"
"101","WP_002893948.1"
"102","WP_002894001.1"
"103","WP_002894007.1"
"104","WP_002894014.1"
"105","WP_002894015.1"
"106","WP_002894018.1"
"107","WP_002894022.1"
"108","WP_002894024.1"
"109","WP_002894051.1"
"110","WP_002894073.1"
"111","WP_002894075.1"
"112","WP_002894078.1"
"113","WP_002894090.1"
"114","WP_002894105.1"
"115","WP_002894139.1"
"116","WP_002894148.1"
"117","WP_002894163.1"
"118","WP_002894204.1"
"119","WP_002894209.1"
"120","WP_002894227.1"
"121","WP_002894239.1"
"122","WP_002894241.1"
"123","WP_002894257.1"
"124","WP_002894275.1"
"125","WP_002894296.1"
"126","WP_002894302.1"
"127","WP_002894303.1"
"128","WP_002894312.1"
"129","WP_002894316.1"
"130","WP_002894318.1"
"131","WP_002894321.1"
"132","WP_002894328.1"
"133","WP_002894386.1"
"134","WP_002894431.1"
"135","WP_002894432.1"
"136","WP_002894435.1"
"137","WP_002894436.1"
"138","WP_002894437.1"
"139","WP_002894478.1"
"140","WP_002894479.1"
"141","WP_002894480.1"
"142","WP_002894481.1"
"143","WP_002894484.1"
"144","WP_002894486.1"
"145","WP_002894488.1"
"146","WP_002894494.1"
"147","WP_002894497.1"
"148","WP_002894501.1"
"149","WP_002894503.1"
"150","WP_002894506.1"
"151","WP_002894509.1"
"152","WP_002894513.1"
"153","WP_002894516.1"
"154","WP_002894519.1"
"155","WP_002894521.1"
"156","WP_002894524.1"
"157","WP_002894544.1"
"158","WP_002894570.1"
"159","WP_002894572.1"
"160","WP_002894584.1"
"161","WP_002894636.1"
"162","WP_002894672.1"
"163","WP_002894676.1"
"164","WP_002894681.1"
"165","WP_002894739.1"
"166","WP_002894797.1"
"167","WP_002894804.1"
"168","WP_002894851.1"
"169","WP_002894855.1"
"170","WP_002894857.1"
"171","WP_002894858.1"
"172","WP_002894860.1"
"173","WP_002894861.1"
"174","WP_002894866.1"
"175","WP_002894867.1"
"176","WP_002894878.1"
"177","WP_002894882.1"
"178","WP_002894927.1"
"179","WP_002894937.1"
"180","WP_002894965.1"
"181","WP_002894971.1"
"182","WP_002894973.1"
"183","WP_002894977.1"
"184","WP_002894992.1"
"185","WP_002895003.1"
"186","WP_002895005.1"
"187","WP_002895031.1"
"188","WP_002895033.1"
"189","WP_002895037.1"
"190","WP_002895038.1"
"191","WP_002895042.1"
"192","WP_002895048.1"
"193","WP_002895160.1"
"194","WP_002895249.1"
"195","WP_002895276.1"
"196","WP_002895310.1"
"197","WP_002895313.1"
"198","WP_002895337.1"
"199","WP_002895338.1"
"200","WP_002895341.1"
"201","WP_002895357.1"
"202","WP_002895366.1"
"203","WP_002895374.1"
"204","WP_002895377.1"
"205","WP_002895436.1"
"206","WP_002895459.1"
"207","WP_002895490.1"
"208","WP_002895497.1"
"209","WP_002895508.1"
"210","WP_002895510.1"
"211","WP_002895511.1"
"212","WP_002895516.1"
"213","WP_002895529.1"
"214","WP_002895565.1"
"215","WP_002895582.1"
"216","WP_002895599.1"
"217","WP_002895619.1"
"218","WP_002895634.1"
"219","WP_002895661.1"
"220","WP_002895666.1"
"221","WP_002895701.1"
"222","WP_002895748.1"
"223","WP_002895767.1"
"224","WP_002895769.1"
"225","WP_002895770.1"
"226","WP_002895771.1"
"227","WP_002895848.1"
"228","WP_002895849.1"
"229","WP_002895870.1"
"230","WP_002895877.1"
"231","WP_002895888.1"
"232","WP_002895890.1"
"233","WP_002895918.1"
"234","WP_002895919.1"
"235","WP_002895926.1"
"236","WP_002895961.1"
"237","WP_002895964.1"
"238","WP_002895966.1"
"239","WP_002895969.1"
"240","WP_002895990.1"
"241","WP_002895995.1"
"242","WP_002895997.1"
"243","WP_002896002.1"
"244","WP_002896005.1"
"245","WP_002896007.1"
"246","WP_002896016.1"
"247","WP_002896017.1"
"248","WP_002896021.1"
"249","WP_002896068.1"
"250","WP_002896081.1"
"251","WP_002896092.1"
"252","WP_002896119.1"
"253","WP_002896125.1"
"254","WP_002896137.1"
"255","WP_002896146.1"
"256","WP_002896162.1"
"257","WP_002896169.1"
"258","WP_002896230.1"
"259","WP_002896272.1"
"260","WP_002896287.1"
"261","WP_002896305.1"
"262","WP_002896308.1"
"263","WP_002896311.1"
"264","WP_002896350.1"
"265","WP_002896361.1"
"266","WP_002896393.1"
"267","WP_002896398.1"
"268","WP_002896400.1"
"269","WP_002896402.1"
"270","WP_002896451.1"
"271","WP_002896460.1"
"272","WP_002896461.1"
"273","WP_002896463.1"
"274","WP_002896484.1"
"275","WP_002896485.1"
"276","WP_002896496.1"
"277","WP_002896497.1"
"278","WP_002896547.1"
"279","WP_002896549.1"
"280","WP_002896558.1"
"281","WP_002896572.1"
"282","WP_002896592.1"
"283","WP_002896593.1"
"284","WP_002896602.1"
"285","WP_002896624.1"
"286","WP_002896630.1"
"287","WP_002896631.1"
"288","WP_002896642.1"
"289","WP_002896645.1"
"290","WP_002896658.1"
"291","WP_002896659.1"
"292","WP_002896670.1"
"293","WP_002896695.1"
"294","WP_002896727.1"
"295","WP_002896728.1"
"296","WP_002896729.1"
"297","WP_002896732.1"
"298","WP_002896758.1"
"299","WP_002896777.1"
"300","WP_002896778.1"
"301","WP_002896779.1"
"302","WP_002896794.1"
"303","WP_002896795.1"
"304","WP_002896807.1"
"305","WP_002896808.1"
"306","WP_002896809.1"
"307","WP_002896819.1"
"308","WP_002896821.1"
"309","WP_002896822.1"
"310","WP_002896823.1"
"311","WP_002896827.1"
"312","WP_002896828.1"
"313","WP_002896829.1"
"314","WP_002896831.1"
"315","WP_002896832.1"
"316","WP_002896907.1"
"317","WP_002896964.1"
"318","WP_002896965.1"
"319","WP_002896978.1"
"320","WP_002897016.1"
"321","WP_002897070.1"
"322","WP_002897081.1"
"323","WP_002897096.1"
"324","WP_002897134.1"
"325","WP_002897135.1"
"326","WP_002897142.1"
"327","WP_002897148.1"
"328","WP_002897212.1"
"329","WP_002897213.1"
"330","WP_002897214.1"
"331","WP_002897215.1"
"332","WP_002897226.1"
"333","WP_002897227.1"
"334","WP_002897234.1"
"335","WP_002897235.1"
"336","WP_002897255.1"
"337","WP_002897261.1"
"338","WP_002897341.1"
"339","WP_002897353.1"
"340","WP_002897401.1"
"341","WP_002897456.1"
"342","WP_002897457.1"
"343","WP_002897459.1"
"344","WP_002897461.1"
"345","WP_002897469.1"
"346","WP_002897579.1"
"347","WP_002897583.1"
"348","WP_002897584.1"
"349","WP_002897586.1"
"350","WP_002897588.1"
"351","WP_002897598.1"
"352","WP_002897599.1"
"353","WP_002897644.1"
"354","WP_002897645.1"
"355","WP_002897647.1"
"356","WP_002897686.1"
"357","WP_002897687.1"
"358","WP_002897688.1"
"359","WP_002897695.1"
"360","WP_002897753.1"
"361","WP_002897805.1"
"362","WP_002897806.1"
"363","WP_002897814.1"
"364","WP_002897853.1"
"365","WP_002897871.1"
"366","WP_002897885.1"
"367","WP_002897886.1"
"368","WP_002897903.1"
"369","WP_002897917.1"
"370","WP_002897920.1"
"371","WP_002897949.1"
"372","WP_002897962.1"
"373","WP_002897967.1"
"374","WP_002897970.1"
"375","WP_002897999.1"
"376","WP_002898025.1"
"377","WP_002898030.1"
"378","WP_002898040.1"
"379","WP_002898045.1"
"380","WP_002898048.1"
"381","WP_002898080.1"
"382","WP_002898109.1"
"383","WP_002898156.1"
"384","WP_002898159.1"
"385","WP_002898194.1"
"386","WP_002898207.1"
"387","WP_002898216.1"
"388","WP_002898260.1"
"389","WP_002898268.1"
"390","WP_002898284.1"
"391","WP_002898286.1"
"392","WP_002898305.1"
"393","WP_002898317.1"
"394","WP_002898357.1"
"395","WP_002898464.1"
"396","WP_002898467.1"
"397","WP_002898679.1"
