From,To
A0A0H3KQR3,bmj:BMULJ_05877
P55923,bmj:BMULJ_03784
P55923,bmj:BMULJ_05739
P55923,bmj:BMULJ_05880
P55923,bmj:BMULJ_06212
P55923,bmu:Bmul_4731
P55923,bmu:Bmul_5629
P55923,bmu:Bmul_5782
P55923,bmu:Bmul_6207
A0A0H3KW37,bmj:BMULJ_06105
A0A0H3KRP0,bmj:BMULJ_06103
A0A0H3KRN5,bmj:BMULJ_06098
A0A0H3KS00,bmj:BMULJ_06074
A0A0H3KRZ5,bmj:BMULJ_06069
A0A0H3KZG1,bmj:BMULJ_06065
A0A0H3KVZ0,bmj:BMULJ_06058
A0A0H3KR57,bmj:BMULJ_06057
A0A0H3KZE6,bmj:BMULJ_06050
A0A0H3KRI5,bmj:BMULJ_06046
A0A0H3KVX4,bmj:BMULJ_06043
A0A0H3KR45,bmj:BMULJ_06042
A0A0H3KRI0,bmj:BMULJ_06041
A0A0H3KVW9,bmj:BMULJ_06038
A0A0H3KRW8,bmj:BMULJ_06034
A0A0H3KVW4,bmj:BMULJ_06033
A0A0H3KR35,bmj:BMULJ_06032
A0A0H3KZC2,bmj:BMULJ_06030
A0A0H3KVV8,bmj:BMULJ_06028
A0A0H3KR30,bmj:BMULJ_06027
A9ATU4,bmj:BMULJ_06024
A9ATU4,bmu:Bmul_5473
A0A0H3KRG0,bmj:BMULJ_06020
A0A0H3KZB3,bmj:BMULJ_06019
A0A0H3KR19,bmj:BMULJ_06016
A0A0H3KRF5,bmj:BMULJ_06015
A0A0H3KRU3,bmj:BMULJ_06008
A0A0H3KRT9,bmj:BMULJ_06003
A0A0H3KR04,bmj:BMULJ_06001
A0A0H3KZ95,bmj:BMULJ_05999
A0A0H3KZ85,bmj:BMULJ_05977
A0A0H3KQ76,bmj:BMULJ_05554
A0A0H3KQ09,bmj:BMULJ_05545
A0A0H3KY65,bmj:BMULJ_05543
A0A0H3KQL2,bmj:BMULJ_05542
A0A0H3KPZ8,bmj:BMULJ_05530
A0A0H3KQJ8,bmj:BMULJ_05527
A0A0H3KY45,bmj:BMULJ_05523
A0A0H3KPZ3,bmj:BMULJ_05520
A0A0H3KPQ2,bmj:BMULJ_05488
A0A0H3KQ07,bmj:BMULJ_05487
A0A0H3KY16,bmj:BMULJ_05486
A0A0H3KPM8,bmj:BMULJ_05483
A0A0H3KPI7,bmj:BMULJ_05467
A0A0H3KUH8,bmj:BMULJ_05453
A0A0H3KPW8,bmj:BMULJ_05451
A0A0H3KXY1,bmj:BMULJ_05450
A0A0H3KXU7,bmj:BMULJ_05412
A0A0H3KQ95,bmj:BMULJ_05406
A0A0H3KQ90,bmj:BMULJ_05401
A0A0H3KUD3,bmj:BMULJ_05400
A0A0H3KPD5,bmj:BMULJ_05399
A0A0H3KUB9,bmj:BMULJ_05383
A0A0H3KPR1,bmj:BMULJ_05381
A0A0H3KXR2,bmj:BMULJ_05370
A0A0H3KPB1,bmj:BMULJ_05367
A0A0H3KW95,bmj:BMULJ_06171
A0A0H3KW91,bmj:BMULJ_06166
A0A0H3KQM5,bmj:BMULJ_03865
A0A0H3KQM5,bmj:BMULJ_05684
A0A0H3KQ35,bmj:BMULJ_03866
A0A0H3KQ35,bmj:BMULJ_05685
A0A0H3KV32,bmj:BMULJ_03867
A0A0H3KV32,bmj:BMULJ_05686
A0A0H3KZP0,bmj:BMULJ_06152
A0A0H3KW73,bmj:BMULJ_06140
A0A0H3KZL7,bmj:BMULJ_06132
A0A0H3KS54,bmj:BMULJ_06126
A0A0H3KW58,bmj:BMULJ_06125
A0A0H3KRC1,bmj:BMULJ_06124
A0A0H3KZK3,bmj:BMULJ_06112
A0A0H3KRE0,bmj:BMULJ_06000
A0A0H3KQ34,bmj:BMULJ_05570
A0A0H3KQ29,bmj:BMULJ_05565
A0A0H3KQ62,bmj:BMULJ_05539
A0A0H3KQK5,bmj:BMULJ_05532
A0A0H3KY04,bmj:BMULJ_05471
A0A0H3KQB0,bmj:BMULJ_05426
A0A0H3KPE3,bmj:BMULJ_05409
A0A0H3KUD8,bmj:BMULJ_05405
A0A0H3KQ86,bmj:BMULJ_05396
A0A0H3KUA5,bmj:BMULJ_05368
A0A0H3KRN1,bmj:BMULJ_06093
A0A0H3KZI2,bmj:BMULJ_06092
A0A0H3KRX6,bmj:BMULJ_06044
A0A0H3KZK9,bmj:BMULJ_06122
A0A0H3KT61,bmj:BMULJ_00626
