From,To
A0A0P8IDH0,ecln:ECNIH4_01620
C1IUI6,ecln:ECNIH4_22900
A0A0M2G6M3,ecln:ECNIH4_01555
A0A0M2G582,ecln:ECNIH4_01605
Q6QNE6,ecli:ECNIH5_22565
Q6QNE6,ecli:ECNIH5_22770
Q6QNE6,ecli:ECNIH5_22830
Q6QNE6,ecli:ECNIH5_22845
Q6QNE6,ecli:ECNIH5_22875
Q6QNE6,ecli:ECNIH5_23480
Q6QNE6,ecln:ECNIH4_23080
Q6QNE6,ecln:ECNIH4_23115
Q6QNE6,ecln:ECNIH4_23130
Q6QNE6,ecln:ECNIH4_23595
A0A267WG13,ecli:ECNIH5_22370
A0A267WG13,ecln:ECNIH4_01630
A0A0U1PF84,ecli:ECNIH5_22430
A0A330G8H6,ecli:ECNIH5_22435
A0A0M7JGB4,ecli:ECNIH5_22520
A0A144EHY9,ecli:ECNIH5_22525
A0A094WXS9,ecli:ECNIH5_22535
A0A0M7JLU3,ecli:ECNIH5_22315
A0A0X4CMP9,ecli:ECNIH5_21925
A0A0X6MF19,ecli:ECNIH5_21930
A0A0X4BSA2,ecli:ECNIH5_21955
A0A0X4HM42,ecli:ECNIH5_21965
A0A0M7JK66,ecli:ECNIH5_22310
A0A0X4DNI5,ecli:ECNIH5_21945
A0A094X110,eclg:EC036_09690
A0A094X110,ecln:ECNIH4_17730
A0A421IC57,eclg:EC036_29360
A0A0A6G8A7,ecln:ECNIH4_01500
A0A094XB82,eclg:EC036_17710
A0A094XB82,ecli:ECNIH5_08855
A0A094XB82,ecln:ECNIH4_13500
A0A094X0I1,eclg:EC036_10450
A0A094X0I1,ecli:ECNIH5_05225
A0A094X0I1,ecln:ECNIH4_17360
A0A0M7HI55,eclg:EC036_01120
A0A0M7HI55,ecli:ECNIH5_00750
A0A0M7HI55,ecln:ECNIH4_00655
A0A0M7F250,eclg:EC036_04210
A0A0M7F250,ecli:ECNIH5_02395
A0A0M7F250,ecln:ECNIH4_20640
A0A0M2G6Q6,eclg:EC036_02720
A0A0M2G6Q6,ecli:ECNIH5_01630
A0A0M2G6Q6,ecln:ECNIH4_21530
A0A0M3EZ48,eclg:EC036_14510
A0A0M3EZ48,ecli:ECNIH5_07390
A0A0M3EZ48,ecln:ECNIH4_15090
A0A094XFJ0,eclg:EC036_41040
A0A094XFJ0,ecli:ECNIH5_20180
A0A094XFJ0,ecln:ECNIH4_02040
A0A5E3VY07,ecln:ECNIH4_01600
A0A094XG80,eclg:EC036_40670
A0A094XG80,ecli:ECNIH5_19995
A0A094XG80,ecln:ECNIH4_02290
A0A094XFG4,eclg:EC036_40690
A0A094XFG4,ecli:ECNIH5_20005
A0A094XFG4,ecln:ECNIH4_02280
X2CJX6,eclg:EC036_44460
X2CJX6,ecli:ECNIH5_00095
X2CJX6,ecln:ECNIH4_00095
A0A094XHR4,eclg:EC036_40230
A0A094XHR4,ecli:ECNIH5_19740
A0A094XHR4,ecln:ECNIH4_02565
A0A094YMC9,eclg:EC036_32030
A0A094YMC9,ecli:ECNIH5_15390
A0A094YMC9,ecln:ECNIH4_06685
A0A094XDK4,eclg:EC036_40640
A0A094XDK4,ecli:ECNIH5_19980
A0A094XDK4,ecln:ECNIH4_02305
A0A5E3W0K9,ecln:ECNIH4_01550
A0A0A6E181,ecln:ECNIH4_01580
A0A094ZRE8,eclg:EC036_40680
A0A094ZRE8,ecli:ECNIH5_20000
A0A094ZRE8,ecln:ECNIH4_02285
A0A094XHL2,eclg:EC036_41670
A0A094XHL2,ecln:ECNIH4_21340
A0A0M2G703,ecln:ECNIH4_01540
A0A0M2G8Y7,ecli:ECNIH5_22360
A0A0M2G8Y7,ecln:ECNIH4_01640
A0A1B3F5V2,eclg:EC036_40590
A0A443U3I3,ecln:ECNIH4_01545
A0A176WUY5,ecli:ECNIH5_00210
A0A176WUY5,ecln:ECNIH4_00230
A0A0M2G706,ecln:ECNIH4_01595
A0A267W7W3,ecli:ECNIH5_19905
A0A267W7W3,ecln:ECNIH4_02380
A0A427KS89,eclg:EC036_29080
A0A095A5V2,eclg:EC036_34530
A0A095A5V2,ecli:ECNIH5_16650
A0A095A5V2,ecln:ECNIH4_05265
A0A0M3F3W6,eclg:EC036_40110
A0A0M3F3W6,ecli:ECNIH5_19675
A0A0M3F3W6,ecln:ECNIH4_02650
A0A330G3N6,ecln:ECNIH4_01610
A0A0A6G8H0,ecli:ECNIH5_22375
A0A0A6G8H0,ecln:ECNIH4_01625
A0A095A9P2,ecln:ECNIH4_01510
A0A094XUB6,eclg:EC036_43080
A0A094XUB6,ecli:ECNIH5_00980
A0A094YN48,eclg:EC036_26620
A0A094YN48,ecli:ECNIH5_12755
A0A094YN48,ecln:ECNIH4_09465
A0A094ZLD6,eclg:EC036_18240
A0A094ZLD6,ecli:ECNIH5_09095
A0A094ZLD6,ecln:ECNIH4_13240
A0A0M7J699,eclg:EC036_40580
A0A330G2U3,ecln:ECNIH4_01525
A0A0M7EQK3,eclg:EC036_17700
A0A0M7EQK3,ecli:ECNIH5_08850
A0A0M7EQK3,ecln:ECNIH4_13505
A0A0F1QGM3,eclg:EC036_30640
A0A0F1QGM3,ecli:ECNIH5_14680
A0A0M9IPM9,ecli:ECNIH5_19990
A0A0M9IPM9,ecln:ECNIH4_02295
A0A0M2G9H5,eclg:EC036_37930
A0A0M2G9H5,ecli:ECNIH5_18720
A0A0M2G9H5,ecln:ECNIH4_03560
A0A0M7G0V5,eclg:EC036_00350
A0A0M2G8G7,eclg:EC036_40710
A0A0M2G8G7,ecli:ECNIH5_20015
A0A0M2G8G7,ecln:ECNIH4_02270
A0A0M7J6Q2,eclg:EC036_40460
A0A0M2G704,ecln:ECNIH4_01570
A0A377LQB6,ecln:ECNIH4_01590
A0A0M2GE85,eclg:EC036_14460
A0A0M2GE85,ecli:ECNIH5_07365
A0A0M2GE85,ecln:ECNIH4_15115
A0A427KJ88,eclg:EC036_36640
A0A427KJ88,ecln:ECNIH4_04235
A0A094ZZS5,ecli:ECNIH5_00805
A0A094ZZS5,ecln:ECNIH4_00710
A0A0M3F9I2,eclg:EC036_11900
A0A0M3F9I2,ecli:ECNIH5_06020
A0A0M3F9I2,ecln:ECNIH4_16425
A0A094X0K5,eclg:EC036_10040
A0A094X0K5,ecli:ECNIH5_05030
A0A094X0K5,ecln:ECNIH4_17560
A0A094ZZI7,eclg:EC036_02500
A0A094ZZI7,ecli:ECNIH5_01505
A0A094ZZI7,ecln:ECNIH4_01280
A0A097V0F7,eclg:EC036_33650
A0A097V0F7,ecli:ECNIH5_16270
A0A097V0F7,ecln:ECNIH4_05665
A0A094ZRS5,eclg:EC036_40470
A0A094ZRS5,ecli:ECNIH5_19885
A0A094ZRS5,ecln:ECNIH4_02400
A0A094XHP3,ecli:ECNIH5_19960
A0A094XHP3,ecln:ECNIH4_02325
A0A0M3EZP0,eclg:EC036_40630
A0A0M3EZP0,ecln:ECNIH4_02310
A0A0F1PNH1,eclg:EC036_40650
A0A0F1PNH1,ecli:ECNIH5_19985
A0A0F1PNH1,ecln:ECNIH4_02300
A0A144G2W4,eclg:EC036_39280
A0A094YFL1,eclg:EC036_39460
A0A094YFL1,ecli:ECNIH5_19340
A0A094YFL1,ecln:ECNIH4_02980
A0A6L3E4D7,eclg:EC036_03740
A0A6L3E4D7,ecln:ECNIH4_20895
A0A094Y652,eclg:EC036_18510
A0A094Y652,ecli:ECNIH5_09340
A0A094Y652,ecln:ECNIH4_13110
A0A0N8M0W5,eclg:EC036_03630
A0A0N8M0W5,ecli:ECNIH5_02080
A0A0N8M0W5,ecln:ECNIH4_20955
A0A0F1Q457,eclg:EC036_03660
A0A0F1Q457,ecli:ECNIH5_02095
A0A0F1Q457,ecln:ECNIH4_20940
A0A094YJY9,eclg:EC036_04190
A0A094YJY9,ecli:ECNIH5_02385
A0A094XPJ0,eclg:EC036_08280
A0A094XPJ0,ecli:ECNIH5_04205
A0A094XPJ0,ecln:ECNIH4_18550
A0A094YM64,eclg:EC036_08000
A0A0M2G851,eclg:EC036_07700
A0A095A3V3,eclg:EC036_07290
A0A095A3V3,ecli:ECNIH5_03720
A0A0M2GAQ6,ecli:ECNIH5_03405
A0A0M2GAQ6,ecln:ECNIH4_19430
A0A0M2GAR9,eclg:EC036_06440
A0A0M2GAR9,ecli:ECNIH5_03320
A0A0M2GAR9,ecln:ECNIH4_19515
A0A144DZY6,eclg:EC036_06210
A0A144DZY6,ecli:ECNIH5_03205
A0A144DZY6,ecln:ECNIH4_19675
A0A0N8LZZ8,eclg:EC036_05830
