From,To
F8LLB5,ssr:SALIVB_1879
F8LLV1,ssr:SALIVB_2075
F8LLT4,ssr:SALIVB_2057
F8LLR5,ssr:SALIVB_2038
F8LLT1,ssr:SALIVB_2054
F8LLR6,ssr:SALIVB_2039
F8LLS5,ssr:SALIVB_2048
F8LLX3,ssr:SALIVB_2098
F8LJD9,ssr:SALIVB_1176
F8LJE9,ssr:SALIVB_1186
F8LJE7,ssr:SALIVB_1184
F8LHX5,ssr:SALIVB_0645
F8LGR7,ssr:SALIVB_0221
F8LGP3,ssr:SALIVB_0196
F8LGN0,ssr:SALIVB_0183
F8LGN4,ssr:SALIVB_0187
F8LGT9,ssr:SALIVB_0244
F8LGN9,ssr:SALIVB_0192
F8LGR4,ssr:SALIVB_0217
F8LGS7,ssr:SALIVB_0232
F8LGW0,ssr:SALIVB_0265
F8LGS6,ssr:SALIVB_0231
F8LGP6,ssr:SALIVB_0199
F8LGN1,ssr:SALIVB_0184
F8LGV6,ssr:SALIVB_0261
F8LGP7,ssr:SALIVB_0200
F8LGX2,ssr:SALIVB_0277
F8LGW3,ssr:SALIVB_0268
F8LGX6,ssr:SALIVB_0281
F8LGW8,ssr:SALIVB_0273
F8LGV9,ssr:SALIVB_0264
F8LH54,ssr:SALIVB_0359
F8LH58,ssr:SALIVB_0363
F8LH53,ssr:SALIVB_0358
F8LH34,ssr:SALIVB_0339
F8LH20,ssr:SALIVB_0325
F8LH23,ssr:SALIVB_0328
F8LH36,ssr:SALIVB_0341
F8LH62,ssr:SALIVB_0367
F8LH30,ssr:SALIVB_0335
F8LH39,ssr:SALIVB_0344
F8LH49,ssr:SALIVB_0354
F8LH48,ssr:SALIVB_0353
F8LHY5,ssr:SALIVB_0655
F8LIP1,ssr:SALIVB_0919
F8LIS4,ssr:SALIVB_0953
F8LIN7,ssr:SALIVB_0915
F8LIN8,ssr:SALIVB_0916
F8LIP0,ssr:SALIVB_0918
F8LGA4,ssr:SALIVB_0009
F8LGA7,ssr:SALIVB_0012
F8LG99,ssr:SALIVB_0004
F8LM19,ssr:SALIVB_2145
F8LGA2,ssr:SALIVB_0007
F8LJN5,ssr:SALIVB_1276
F8LJM0,ssr:SALIVB_1259
F8LJG3,ssr:SALIVB_1201
F8LJK4,ssr:SALIVB_1243
F8LJP0,ssr:SALIVB_1281
F8LJP4,ssr:SALIVB_1285
F8LJK2,ssr:SALIVB_1241
F8LJP6,ssr:SALIVB_1287
F8LJS3,ssr:SALIVB_1314
F8LJG4,ssr:SALIVB_1202
F8LJL8,ssr:SALIVB_1257
F8LJP1,ssr:SALIVB_1282
F8LJQ2,ssr:SALIVB_1293
F8LJR3,ssr:SALIVB_1304
F8LJR2,ssr:SALIVB_1303
F8LLB7,ssr:SALIVB_1881
F8LKX0,ssr:SALIVB_1730
F8LHQ9,ssr:SALIVB_0574
F8LKR4,ssr:SALIVB_1673
F8LHM5,ssr:SALIVB_0540
F8LKS2,ssr:SALIVB_1681
F8LHM1,ssr:SALIVB_0536
F8LKL9,ssr:SALIVB_1626
F8LHR3,ssr:SALIVB_0578
F8LL46,ssr:SALIVB_1808
F8LHI7,ssr:SALIVB_0501
F8LKV4,ssr:SALIVB_1714
F8LLE2,ssr:SALIVB_1909
F8LL10,ssr:SALIVB_1770
F8LHS0,ssr:SALIVB_0585
F8LLG4,ssr:SALIVB_1932
F8LLE4,ssr:SALIVB_1911
F8LKR9,ssr:SALIVB_1678
F8LHL5,ssr:SALIVB_0530
F8LKM6,ssr:SALIVB_1634
F8LKW9,ssr:SALIVB_1729
F8LL09,ssr:SALIVB_1769
F8LHK3,ssr:SALIVB_0518
F8LKL8,ssr:SALIVB_1625
F8LKP8,ssr:SALIVB_1657
F8LHQ8,ssr:SALIVB_0573
F8LKL7,ssr:SALIVB_1624
F8LKL1,ssr:SALIVB_1618
F8LL99,ssr:SALIVB_1862
F8LKM0,ssr:SALIVB_1627
F8LLF1,ssr:SALIVB_1918
F8LL49,ssr:SALIVB_1811
F8LLE6,ssr:SALIVB_1913
F8LHL8,ssr:SALIVB_0533
F8LKU8,ssr:SALIVB_1707
F8LHK1,ssr:SALIVB_0516
F8LKR0,ssr:SALIVB_1669
F8LKN0,ssr:SALIVB_1638
F8LKM9,ssr:SALIVB_1637
F8LLA0,ssr:SALIVB_1863
F8LL08,ssr:SALIVB_1768
F8LHP3,ssr:SALIVB_0558
F8LLA2,ssr:SALIVB_1865
F8LLE7,ssr:SALIVB_1914
F8LLF2,ssr:SALIVB_1919
F8LLE1,ssr:SALIVB_1908
F8LKY5,ssr:SALIVB_1745
F8LHI8,ssr:SALIVB_0502
F8LKZ1,ssr:SALIVB_1751
F8LHS3,ssr:SALIVB_0588
F8LLF3,ssr:SALIVB_1920
F8LLG5,ssr:SALIVB_1933
F8LKU1,ssr:SALIVB_1700
F8LIS8,ssr:SALIVB_0957
F8LJA3,ssr:SALIVB_1137
F8LIZ2,ssr:SALIVB_1023
F8LJB2,ssr:SALIVB_1147
F8LJ12,ssr:SALIVB_1043
