"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62","WP_001554375.1"
"63","WP_001554376.1"
"64","WP_004186391.1"
"65","WP_004186661.1"
"66","WP_004186709.1"
"67","WP_004189550.1"
"68","WP_004191477.1"
"69","WP_004192938.1"
"70","WP_004197638.1"
"71","WP_004197638.1"
"72","WP_004197937.1"
"73","WP_004198824.1"
"74","WP_004199272.1"
"75","WP_004199273.1"
"76","WP_004199275.1"
"77","WP_004199280.1"
"78","WP_004199523.1"
"79","WP_004199844.1"
"80","WP_004521905.1"
"81","WP_006025184.1"
"82","WP_006025620.1"
"83","WP_006051932.1"
"84","WP_006051932.1"
"85","WP_006397350.1"
"86","WP_006397382.1"
"87","WP_006398175.1"
"88","WP_006398529.1"
"89","WP_006398615.1"
"90","WP_006398637.1"
"91","WP_006398781.1"
"92","WP_006398792.1"
"93","WP_006398798.1"
"94","WP_006398799.1"
"95","WP_006399927.1"
"96","WP_006400349.1"
"97","WP_006400565.1"
"98","WP_006400641.1"
"99","WP_006400644.1"
"100","WP_006400652.1"
"101","WP_006400662.1"
"102","WP_006400672.1"
"103","WP_006401410.1"
"104","WP_006401493.1"
"105","WP_006401494.1"
"106","WP_006401505.1"
"107","WP_006402122.1"
"108","WP_006402348.1"
"109","WP_006402648.1"
"110","WP_006405724.1"
"111","WP_006405725.1"
"112","WP_006405727.1"
"113","WP_006405733.1"
"114","WP_006405734.1"
"115","WP_006405735.1"
"116","WP_006408082.1"
"117","WP_006409263.1"
"118","WP_006475972.1"
"119","WP_006475975.1"
"120","WP_006476035.1"
"121","WP_006476052.1"
"122","WP_006476104.1"
"123","WP_006476115.1"
"124","WP_006476181.1"
"125","WP_006476181.1"
"126","WP_006476181.1"
"127","WP_006476181.1"
"128","WP_006476181.1"
"129","WP_006476181.1"
"130","WP_006476208.1"
"131","WP_006476212.1"
"132","WP_006476323.1"
"133","WP_006476343.1"
"134","WP_006476345.1"
"135","WP_006476388.1"
"136","WP_006476417.1"
"137","WP_006476459.1"
"138","WP_006476497.1"
"139","WP_006476497.1"
"140","WP_006476519.1"
"141","WP_006476519.1"
"142","WP_006476550.1"
"143","WP_006476579.1"
"144","WP_006476609.1"
"145","WP_006476615.1"
"146","WP_006476661.1"
"147","WP_006476662.1"
"148","WP_006476704.1"
"149","WP_006476735.1"
"150","WP_006476737.1"
"151","WP_006476788.1"
"152","WP_006476790.1"
"153","WP_006476792.1"
"154","WP_006476832.1"
"155","WP_006476837.1"
"156","WP_006476841.1"
"157","WP_006476868.1"
"158","WP_006476873.1"
"159","WP_006476884.1"
"160","WP_006476892.1"
"161","WP_006476894.1"
"162","WP_006476903.1"
"163","WP_006476904.1"
"164","WP_006476945.1"
"165","WP_006476975.1"
"166","WP_006476977.1"
"167","WP_006476978.1"
"168","WP_006476982.1"
"169","WP_006476997.1"
"170","WP_006476999.1"
"171","WP_006477014.1"
"172","WP_006477019.1"
"173","WP_006477037.1"
"174","WP_006477062.1"
"175","WP_006477066.1"
"176","WP_006477070.1"
"177","WP_006477092.1"
"178","WP_006477093.1"
"179","WP_006477098.1"
"180","WP_006477108.1"
"181","WP_006477115.1"
"182","WP_006477123.1"
"183","WP_006477126.1"
"184","WP_006477129.1"
"185","WP_006477131.1"
"186","WP_006477138.1"
"187","WP_006477171.1"
"188","WP_006477175.1"
"189","WP_006477176.1"
"190","WP_006477177.1"
"191","WP_006477183.1"
"192","WP_006477184.1"
"193","WP_006477185.1"
"194","WP_006477187.1"
"195","WP_006477189.1"
"196","WP_006477195.1"
"197","WP_006477201.1"
"198","WP_006477218.1"
"199","WP_006477232.1"
"200","WP_006477266.1"
"201","WP_006477283.1"
"202","WP_006477348.1"
"203","WP_006477367.1"
"204","WP_006477376.1"
"205","WP_006477467.1"
"206","WP_006477498.1"
"207","WP_006477514.1"
"208","WP_006477530.1"
"209","WP_006477567.1"
"210","WP_006477572.1"
"211","WP_006477591.1"
"212","WP_006477594.1"
"213","WP_006477596.1"
"214","WP_006477667.1"
"215","WP_006477703.1"
"216","WP_006477713.1"
"217","WP_006477716.1"
"218","WP_006477722.1"
"219","WP_006477730.1"
"220","WP_006477731.1"
"221","WP_006477735.1"
"222","WP_006477738.1"
"223","WP_006477773.1"
"224","WP_006477776.1"
"225","WP_006477786.1"
"226","WP_006477817.1"
"227","WP_006477837.1"
"228","WP_006477842.1"
"229","WP_006477863.1"
"230","WP_006477892.1"
"231","WP_006477897.1"
"232","WP_006477916.1"
"233","WP_006477934.1"
"234","WP_006477942.1"
"235","WP_006477945.1"
"236","WP_006477974.1"
"237","WP_006477992.1"
"238","WP_006478026.1"
"239","WP_006478053.1"
"240","WP_006478064.1"
"241","WP_006478072.1"
"242","WP_006478076.1"
"243","WP_006478090.1"
"244","WP_006478091.1"
"245","WP_006478092.1"
"246","WP_006478106.1"
"247","WP_006478153.1"
"248","WP_006478164.1"
"249","WP_006478174.1"
"250","WP_006478192.1"
"251","WP_006478227.1"
"252","WP_006478230.1"
"253","WP_006478246.1"
"254","WP_006478264.1"
"255","WP_006478265.1"
"256","WP_006478266.1"
"257","WP_006478272.1"
"258","WP_006478295.1"
"259","WP_006478310.1"
"260","WP_006478357.1"
"261","WP_006478362.1"
"262","WP_006478384.1"
"263","WP_006478392.1"
"264","WP_006478393.1"
"265","WP_006478404.1"
"266","WP_006478406.1"
"267","WP_006478410.1"
"268","WP_006478433.1"
"269","WP_006478441.1"
"270","WP_006478462.1"
"271","WP_006478479.1"
"272","WP_006478494.1"
"273","WP_006478511.1"
"274","WP_006478513.1"
"275","WP_006478562.1"
"276","WP_006478563.1"
"277","WP_006478574.1"
"278","WP_006478617.1"
"279","WP_006478662.1"
"280","WP_006478665.1"
"281","WP_006478674.1"
"282","WP_006478678.1"
"283","WP_006478685.1"
"284","WP_006478692.1"
"285","WP_006481510.1"
"286","WP_006481514.1"
"287","WP_006481517.1"
"288","WP_006481520.1"
"289","WP_006481521.1"
"290","WP_006481522.1"
"291","WP_006481523.1"
"292","WP_006481525.1"
"293","WP_006481526.1"
"294","WP_006481527.1"
"295","WP_006481551.1"
"296","WP_006481553.1"
"297","WP_006481556.1"
"298","WP_006481558.1"
"299","WP_006481559.1"
"300","WP_006481560.1"
"301","WP_006481561.1"
"302","WP_006481562.1"
"303","WP_006481563.1"
"304","WP_006481566.1"
"305","WP_006481567.1"
"306","WP_006481569.1"
"307","WP_006481570.1"
"308","WP_006481573.1"
"309","WP_006481594.1"
"310","WP_006481596.1"
"311","WP_006481600.1"
"312","WP_006481603.1"
"313","WP_006481604.1"
"314","WP_006481607.1"
"315","WP_006481608.1"
"316","WP_006481714.1"
"317","WP_006481724.1"
"318","WP_006481727.1"
"319","WP_006481728.1"
"320","WP_006481730.1"
"321","WP_006481731.1"
"322","WP_006481732.1"
"323","WP_006481733.1"
"324","WP_006481734.1"
"325","WP_006481735.1"
"326","WP_006481737.1"
"327","WP_006481739.1"
"328","WP_006481741.1"
"329","WP_006481742.1"
"330","WP_006481743.1"
"331","WP_006481745.1"
"332","WP_006481747.1"
"333","WP_006481748.1"
"334","WP_006481749.1"
"335","WP_006481750.1"
"336","WP_006481751.1"
"337","WP_006481752.1"
"338","WP_006481754.1"
"339","WP_006481755.1"
"340","WP_006481762.1"
"341","WP_006481763.1"
"342","WP_006481764.1"
"343","WP_006481767.1"
"344","WP_006481768.1"
"345","WP_006481769.1"
"346","WP_006481771.1"
"347","WP_006481773.1"
"348","WP_006481774.1"
"349","WP_006481775.1"
"350","WP_006481776.1"
"351","WP_006481779.1"
"352","WP_006481780.1"
"353","WP_006481782.1"
"354","WP_006481784.1"
"355","WP_006481785.1"
"356","WP_006481786.1"
"357","WP_006481789.1"
"358","WP_006481790.1"
"359","WP_006481791.1"
"360","WP_006481792.1"
"361","WP_006481793.1"
"362","WP_006481794.1"
"363","WP_006481795.1"
"364","WP_006481798.1"
"365","WP_006481799.1"
"366","WP_006481800.1"
"367","WP_006481804.1"
"368","WP_006481805.1"
"369","WP_006481806.1"
"370","WP_006481807.1"
"371","WP_006481808.1"
"372","WP_006481809.1"
"373","WP_006481811.1"
"374","WP_006481812.1"
"375","WP_006481815.1"
"376","WP_006481816.1"
"377","WP_006481817.1"
"378","WP_006481817.1"
"379","WP_006481818.1"
"380","WP_006481819.1"
"381","WP_006481821.1"
"382","WP_006481822.1"
"383","WP_006481824.1"
"384","WP_006481825.1"
"385","WP_006481825.1"
"386","WP_006481825.1"
"387","WP_006481826.1"
"388","WP_006481828.1"
"389","WP_006481829.1"
"390","WP_006481830.1"
"391","WP_006481832.1"
"392","WP_006481833.1"
"393","WP_006481834.1"
"394","WP_006481835.1"
"395","WP_006481836.1"
"396","WP_006481839.1"
"397","WP_006481840.1"
"398","WP_006481841.1"
"399","WP_006481842.1"
"400","WP_006481843.1"
"401","WP_006481845.1"
"402","WP_006481846.1"
"403","WP_006481849.1"
"404","WP_006481850.1"
"405","WP_006481851.1"
"406","WP_006481852.1"
"407","WP_006481853.1"
"408","WP_006481854.1"
"409","WP_006481856.1"
"410","WP_006481857.1"
"411","WP_006481859.1"
