"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21","WP_000007448.1"
"22","WP_000025662.1"
"23","WP_000077926.1"
"24","WP_000116677.1"
"25","WP_000116681.1"
"26","WP_000136268.1"
"27","WP_000167917.1"
"28","WP_000254136.1"
"29","WP_000255079.1"
"30","WP_000281123.1"
"31","WP_000301242.1"
"32","WP_000323025.1"
"33","WP_000341066.1"
"34","WP_000398480.1"
"35","WP_000427623.1"
"36","WP_000427623.1"
"37","WP_000429838.1"
"38","WP_000506888.1"
"39","WP_000522993.1"
"40","WP_000589001.1"
"41","WP_000654684.1"
"42","WP_000697968.1"
"43","WP_000732276.1"
"44","WP_000735441.1"
"45","WP_000797363.1"
"46","WP_000843497.1"
"47","WP_000904941.1"
"48","WP_000925242.1"
"49","WP_000993245.1"
"50","WP_001023257.1"
"51","WP_001040062.1"
"52","WP_001053338.1"
"53","WP_001054787.1"
"54","WP_001067855.1"
"55","WP_001067855.1"
"56","WP_001067858.1"
"57","WP_001087807.1"
"58","WP_001087809.1"
"59","WP_001151575.1"
"60","WP_001166628.1"
"61","WP_001176767.1"
"62","WP_001182415.1"
"63","WP_001188930.1"
"64","WP_001246153.1"
"65","WP_001277463.1"
"66","WP_001282603.1"
"67","WP_001294660.1"
"68","WP_001294667.1"
"69","WP_001378118.1"
"70","WP_001388628.1"
"71","WP_001507116.1"
"72","WP_001515348.1"
"73","WP_001572362.1"
"74","WP_001752509.1"
"75","WP_002436620.1"
"76","WP_003100847.1"
"77","WP_003100853.1"
"78","WP_003100858.1"
"79","WP_003465043.1"
"80","WP_003465059.1"
"81","WP_003465065.1"
"82","WP_003465068.1"
"83","WP_004196314.1"
"84","WP_004196315.1"
"85","WP_004196325.1"
"86","WP_004196334.1"
"87","WP_004196355.1"
"88","WP_004196359.1"
"89","WP_004196363.1"
"90","WP_004196366.1"
"91","WP_004196370.1"
"92","WP_004364961.1"
"93","WP_004574636.1"
"94","WP_004574643.1"
"95","WP_004863699.1"
"96","WP_007374408.1"
"97","WP_007374411.1"
"98","WP_007374412.1"
"99","WP_007869691.1"
"100","WP_008460272.1"
"101","WP_009651956.1"
"102","WP_012540054.1"
"103","WP_012540086.1"
"104","WP_012540111.1"
"105","WP_012540252.1"
"106","WP_013087098.1"
"107","WP_013087100.1"
"108","WP_013087101.1"
"109","WP_013087102.1"
"110","WP_013087103.1"
"111","WP_013087106.1"
"112","WP_013087107.1"
"113","WP_013087108.1"
"114","WP_013087110.1"
"115","WP_013087112.1"
"116","WP_013087115.1"
"117","WP_013087116.1"
"118","WP_013087117.1"
"119","WP_013087123.1"
"120","WP_013087126.1"
"121","WP_013087127.1"
"122","WP_013087128.1"
"123","WP_013087133.1"
"124","WP_013087134.1"
"125","WP_013087135.1"
"126","WP_013087136.1"
"127","WP_013087138.1"
"128","WP_013087139.1"
"129","WP_013087140.1"
"130","WP_013087142.1"
"131","WP_013087143.1"
"132","WP_013087144.1"
"133","WP_013087145.1"
"134","WP_013087148.1"
"135","WP_013087149.1"
"136","WP_013087154.1"
"137","WP_013087155.1"
"138","WP_013087156.1"
"139","WP_013087158.1"
"140","WP_013087159.1"
"141","WP_013087160.1"
"142","WP_013087164.1"
"143","WP_013087165.1"
"144","WP_013087166.1"
"145","WP_013087168.1"
"146","WP_013087169.1"
"147","WP_013087170.1"
"148","WP_013087171.1"
"149","WP_013087172.1"
"150","WP_013087175.1"
"151","WP_013087178.1"
"152","WP_013087181.1"
"153","WP_013087182.1"
"154","WP_013087183.1"
"155","WP_013087184.1"
"156","WP_013087186.1"
"157","WP_013087187.1"
"158","WP_013087191.1"
"159","WP_013087192.1"
"160","WP_013087194.1"
"161","WP_013087195.1"
"162","WP_013087196.1"
"163","WP_013087197.1"
"164","WP_013087198.1"
"165","WP_013087200.1"
"166","WP_013087201.1"
"167","WP_013087202.1"
"168","WP_013087204.1"
"169","WP_013087205.1"
"170","WP_013087206.1"
"171","WP_013087208.1"
"172","WP_013087209.1"
"173","WP_013087210.1"
"174","WP_013087211.1"
"175","WP_013087212.1"
"176","WP_013087213.1"
"177","WP_013087215.1"
"178","WP_013087216.1"
"179","WP_013087217.1"
"180","WP_013087218.1"
"181","WP_013087219.1"
"182","WP_013087220.1"
"183","WP_013087221.1"
"184","WP_013087222.1"
"185","WP_013087223.1"
"186","WP_013087224.1"
"187","WP_013087225.1"
"188","WP_013087227.1"
"189","WP_013087228.1"
"190","WP_013087229.1"
"191","WP_013087230.1"
"192","WP_013087234.1"
"193","WP_013087235.1"
"194","WP_013087238.1"
"195","WP_013087239.1"
"196","WP_013087240.1"
"197","WP_013087245.1"
"198","WP_013087251.1"
"199","WP_013087254.1"
"200","WP_013087265.1"
"201","WP_013087268.1"
"202","WP_013087269.1"
"203","WP_015572055.1"
"204","WP_023338064.1"
"205","WP_032072095.1"
"206","WP_032662300.1"
"207","WP_032662317.1"
"208","WP_032662327.1"
"209","WP_032662369.1"
"210","WP_032669078.1"
"211","WP_044157807.1"
"212","WP_071888820.1"
"213","WP_074422537.1"
"214","WP_077681920.1"
"215","WP_085929673.1"
"216","WP_087451024.1"
"217","WP_087654045.1"
"218","WP_087776199.1"
"219","WP_099516394.1"
"220","WP_099516394.1"
"221","WP_100135202.1"
"222","WP_129244003.1"
"223","WP_139153290.1"
"224","WP_155404428.1"
"225","WP_158009095.1"
"226","WP_162875198.1"
"227","WP_223203167.1"
"228","WP_223433957.1"
"229","WP_223526262.1"
"230","WP_224787909.1"
"231","WP_225986326.1"
"232","WP_237707075.1"
"233",NA
"234",NA
"235","WP_013087274.1"
"236","WP_013087275.1"
"237","WP_013087276.1"
"238","WP_013087279.1"
"239","WP_013087280.1"
"240","WP_013087281.1"
"241","WP_013087283.1"
"242","WP_013087284.1"
"243","WP_013087286.1"
"244","WP_013087289.1"
"245","WP_013087292.1"
"246","WP_013087294.1"
"247","WP_013087295.1"
"248","WP_013087297.1"
"249","WP_013087299.1"
"250","WP_013087300.1"
"251","WP_013087301.1"
"252","WP_013087302.1"
"253","WP_013087303.1"
"254","WP_013087307.1"
"255","WP_013087308.1"
"256","WP_013087309.1"
"257","WP_013087310.1"
"258","WP_013087311.1"
"259","WP_013087314.1"
"260","WP_013087315.1"
"261","WP_013087316.1"
"262","WP_013087318.1"
"263","WP_013087320.1"
"264","WP_013087321.1"
"265","WP_013087326.1"
"266","WP_013087327.1"
"267","WP_013087328.1"
"268","WP_013087330.1"
"269","WP_013087331.1"
"270","WP_013087332.1"
"271","WP_013087333.1"
"272","WP_013087334.1"
"273","WP_013087335.1"
"274","WP_013087336.1"
"275","WP_013087337.1"
"276","WP_013087338.1"
"277","WP_013087339.1"
"278","WP_013087341.1"
"279","WP_013087342.1"
"280","WP_013087343.1"
"281","WP_013087344.1"
"282","WP_013087345.1"
"283","WP_013087346.1"
"284","WP_013087347.1"
"285","WP_013087348.1"
"286","WP_013087349.1"
"287","WP_013087350.1"
"288","WP_013087351.1"
"289","WP_013087352.1"
"290","WP_013087353.1"
"291","WP_013087354.1"
"292","WP_013087355.1"
"293","WP_013087356.1"
"294","WP_013087357.1"
"295","WP_013087358.1"
"296","WP_013087359.1"
"297","WP_013087361.1"
"298","WP_013087362.1"
"299","WP_013087363.1"
"300","WP_013087364.1"
"301","WP_013087365.1"
"302","WP_013087366.1"
"303","WP_013087367.1"
"304","WP_013087368.1"
"305","WP_013087369.1"
"306","WP_013087372.1"
"307","WP_013087374.1"
"308","WP_013087375.1"
"309","WP_013087376.1"
"310","WP_013087378.1"
"311","WP_013087380.1"
"312","WP_013087381.1"
"313","WP_013087383.1"
"314","WP_013087384.1"
"315","WP_013087386.1"
"316","WP_013087388.1"
"317","WP_013087390.1"
"318","WP_013087391.1"
"319","WP_013087393.1"
"320","WP_044160300.1"
"321","WP_044160304.1"
"322","WP_044160311.1"
"323","WP_044160319.1"
"324","WP_044160324.1"
"325","WP_044160336.1"
"326","WP_044160339.1"
"327","WP_044160343.1"
"328","WP_044160346.1"
"329","WP_044160349.1"
"330","WP_044160353.1"
"331","WP_044160363.1"
"332","WP_052429252.1"
"333","WP_054442349.1"
"334","WP_079972020.1"
"335","WP_164928073.1"
"336","WP_223239760.1"
"337","WP_237707076.1"
"338","WP_237707077.1"
"339","WP_237707078.1"
"340",NA
"341",NA
"342",NA
"343",NA
"344",NA
"345",NA
"346",NA
"347",NA
"348",NA
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",NA
"358",NA
"359",NA
"360",NA
"361",NA
"362",NA
"363",NA
"364",NA
"365",NA
"366",NA
"367",NA
"368",NA
"369",NA
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",NA
"376",NA
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",NA
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",NA
"397",NA
"398",NA
"399",NA
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",NA
"442",NA
"443",NA
"444",NA
"445",NA
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
