"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112","WP_000014594.1"
"113","WP_000019473.1"
"114","WP_000019473.1"
"115","WP_000019473.1"
"116","WP_000079398.1"
"117","WP_000091955.1"
"118","WP_000103754.1"
"119","WP_000124850.1"
"120","WP_000135058.1"
"121","WP_000135199.1"
"122","WP_000228469.1"
"123","WP_000242758.1"
"124","WP_000290724.1"
"125","WP_000358960.1"
"126","WP_000387720.1"
"127","WP_000427619.1"
"128","WP_000429386.1"
"129","WP_000462905.1"
"130","WP_000522253.1"
"131","WP_000617546.1"
"132","WP_000729185.1"
"133","WP_000749979.1"
"134","WP_000813718.1"
"135","WP_000820818.1"
"136","WP_000829818.1"
"137","WP_000831330.1"
"138","WP_000868187.1"
"139","WP_000888203.1"
"140","WP_000896275.1"
"141","WP_000906486.1"
"142","WP_001021161.1"
"143","WP_001040187.1"
"144","WP_001062678.1"
"145","WP_001096200.1"
"146","WP_001124225.1"
"147","WP_001138115.1"
"148","WP_001140434.1"
"149","WP_001144069.1"
"150","WP_001157751.1"
"151","WP_001181005.1"
"152","WP_001207203.1"
"153","WP_001251971.1"
"154","WP_001287521.1"
"155","WP_001311244.1"
"156","WP_001386830.1"
"157","WP_001554382.1"
"158","WP_001561320.1"
"159","WP_001567368.1"
"160","WP_001567369.1"
"161","WP_001620097.1"
"162","WP_001630878.1"
"163","WP_002210513.1"
"164","WP_002210516.1"
"165","WP_002434222.1"
"166","WP_002439184.1"
"167","WP_002444653.1"
"168","WP_002882510.1"
"169","WP_002882514.1"
"170","WP_002882517.1"
"171","WP_002882520.1"
"172","WP_002882529.1"
"173","WP_002882531.1"
"174","WP_002882536.1"
"175","WP_002882539.1"
"176","WP_002882540.1"
"177","WP_002882596.1"
"178","WP_002882612.1"
"179","WP_002882734.1"
"180","WP_002882743.1"
"181","WP_002882745.1"
"182","WP_002882749.1"
"183","WP_002882753.1"
"184","WP_002882755.1"
"185","WP_002882809.1"
"186","WP_002882817.1"
"187","WP_002882818.1"
"188","WP_002882822.1"
"189","WP_002882828.1"
"190","WP_002882830.1"
"191","WP_002882856.1"
"192","WP_002882858.1"
"193","WP_002882861.1"
"194","WP_002882862.1"
"195","WP_002882863.1"
"196","WP_002882865.1"
"197","WP_002882866.1"
"198","WP_002882882.1"
"199","WP_002882888.1"
"200","WP_002882891.1"
"201","WP_002882892.1"
"202","WP_002882894.1"
"203","WP_002882898.1"
"204","WP_002882901.1"
"205","WP_002882907.1"
"206","WP_002882911.1"
"207","WP_002882913.1"
"208","WP_002882914.1"
"209","WP_002882918.1"
"210","WP_002882919.1"
"211","WP_002882921.1"
"212","WP_002882922.1"
"213","WP_002882924.1"
"214","WP_002882944.1"
"215","WP_002882947.1"
"216","WP_002882952.1"
"217","WP_002883015.1"
"218","WP_002883016.1"
"219","WP_002883021.1"
"220","WP_002883026.1"
"221","WP_002883081.1"
"222","WP_002883134.1"
"223","WP_002883142.1"
"224","WP_002883170.1"
"225","WP_002883171.1"
"226","WP_002883173.1"
"227","WP_002883174.1"
"228","WP_002883176.1"
"229","WP_002883178.1"
"230","WP_002883180.1"
"231","WP_002883181.1"
"232","WP_002883185.1"
"233","WP_002883222.1"
"234","WP_002883224.1"
"235","WP_002883293.1"
"236","WP_002883295.1"
"237","WP_002883296.1"
"238","WP_002883297.1"
"239","WP_002883307.1"
"240","WP_002883310.1"
"241","WP_002883312.1"
"242","WP_002883380.1"
"243","WP_002883381.1"
"244","WP_002883383.1"
"245","WP_002883389.1"
"246","WP_002883392.1"
"247","WP_002883395.1"
"248","WP_002883398.1"
"249","WP_002883400.1"
"250","WP_002883402.1"
"251","WP_002883404.1"
"252","WP_002883408.1"
"253","WP_002883412.1"
"254","WP_002883414.1"
"255","WP_002883415.1"
"256","WP_002883417.1"
"257","WP_002883419.1"
"258","WP_002883421.1"
"259","WP_002883422.1"
"260","WP_002883424.1"
"261","WP_002883425.1"
"262","WP_002883427.1"
"263","WP_002883430.1"
"264","WP_002883448.1"
"265","WP_002883449.1"
"266","WP_002883450.1"
"267","WP_002883453.1"
"268","WP_002883521.1"
"269","WP_002883524.1"
"270","WP_002883772.1"
"271","WP_002884034.1"
"272","WP_002884036.1"
"273","WP_002884142.1"
"274","WP_002884146.1"
"275","WP_002884148.1"
"276","WP_002884149.1"
"277","WP_002884150.1"
"278","WP_002884183.1"
"279","WP_002884324.1"
"280","WP_002884327.1"
"281","WP_002884329.1"
"282","WP_002884342.1"
"283","WP_002884344.1"
"284","WP_002884346.1"
"285","WP_002884357.1"
"286","WP_002884575.1"
"287","WP_002884578.1"
"288","WP_002884590.1"
"289","WP_002884608.1"
"290","WP_002884614.1"
"291","WP_002884616.1"
"292","WP_002884619.1"
"293","WP_002884625.1"
"294","WP_002884627.1"
"295","WP_002884631.1"
"296","WP_002884721.1"
"297","WP_002884725.1"
"298","WP_002884726.1"
"299","WP_002884740.1"
"300","WP_002884743.1"
"301","WP_002884747.1"
"302","WP_002884807.1"
"303","WP_002884808.1"
"304","WP_002884819.1"
"305","WP_002884822.1"
"306","WP_002884931.1"
"307","WP_002884935.1"
"308","WP_002884941.1"
"309","WP_002884942.1"
"310","WP_002884946.1"
"311","WP_002884951.1"
"312","WP_002884953.1"
"313","WP_002885039.1"
"314","WP_002885077.1"
"315","WP_002885078.1"
"316","WP_002885079.1"
"317","WP_002885082.1"
"318","WP_002885085.1"
"319","WP_002885086.1"
"320","WP_002885088.1"
"321","WP_002885145.1"
"322","WP_002885152.1"
"323","WP_002885156.1"
"324","WP_002885172.1"
"325","WP_002885173.1"
"326","WP_002885202.1"
"327","WP_002885207.1"
"328","WP_002885221.1"
"329","WP_002885229.1"
"330","WP_002885324.1"
"331","WP_002885391.1"
"332","WP_002885396.1"
"333","WP_002885410.1"
"334","WP_002885422.1"
"335","WP_002885423.1"
"336","WP_002885425.1"
"337","WP_002885441.1"
"338","WP_002885500.1"
"339","WP_002885506.1"
"340","WP_002885511.1"
"341","WP_002885518.1"
"342","WP_002885521.1"
"343","WP_002885523.1"
"344","WP_002885526.1"
"345","WP_002885536.1"
"346","WP_002885537.1"
"347","WP_002885589.1"
"348","WP_002885652.1"
"349","WP_002885659.1"
"350","WP_002885662.1"
"351","WP_002885663.1"
"352","WP_002885664.1"
"353","WP_002885665.1"
"354","WP_002885667.1"
"355","WP_002885669.1"
"356","WP_002885673.1"
"357","WP_002885681.1"
"358","WP_002885682.1"
"359","WP_002885683.1"
"360","WP_002885684.1"
"361","WP_002885689.1"
"362","WP_002885691.1"
"363","WP_002885722.1"
"364","WP_002886682.1"
"365","WP_002886687.1"
"366","WP_002886691.1"
"367","WP_002886699.1"
"368","WP_002886702.1"
"369","WP_002886706.1"
"370","WP_002886707.1"
"371","WP_002886718.1"
"372","WP_002886721.1"
"373","WP_002886722.1"
"374","WP_002886724.1"
"375","WP_002886769.1"
"376","WP_002886772.1"
"377","WP_002886827.1"
"378","WP_002886893.1"
"379","WP_002886894.1"
"380","WP_002886896.1"
"381","WP_002886897.1"
"382","WP_002886901.1"
"383","WP_002886905.1"
"384","WP_002886926.1"
"385","WP_002886927.1"
"386","WP_002886928.1"
"387","WP_002886930.1"
"388","WP_002886947.1"
"389","WP_002886954.1"
"390","WP_002886955.1"
"391","WP_002886956.1"
"392","WP_002886970.1"
"393","WP_002887259.1"
"394","WP_002887273.1"
"395","WP_002887280.1"
"396","WP_002887282.1"
"397","WP_002887322.1"
"398","WP_002887349.1"
"399","WP_002887352.1"
"400","WP_002887384.1"
"401","WP_002887388.1"
"402","WP_002887394.1"
"403","WP_002887411.1"
"404","WP_002887412.1"
"405","WP_002887413.1"
"406","WP_002887414.1"
"407","WP_002887416.1"
"408","WP_002887421.1"
"409","WP_002887442.1"
"410","WP_002887451.1"
"411","WP_002887454.1"
"412","WP_002887465.1"
"413","WP_002887467.1"
"414","WP_002887473.1"
"415","WP_002887487.1"
"416","WP_002887492.1"
"417","WP_002887503.1"
"418","WP_002887553.1"
"419","WP_002887560.1"
"420","WP_002887606.1"
"421","WP_002887607.1"
"422","WP_002887624.1"
"423","WP_002887631.1"
"424","WP_002887643.1"
"425","WP_002887647.1"
"426","WP_002887650.1"
"427","WP_002887652.1"
"428","WP_002887654.1"
"429","WP_002887711.1"
"430","WP_002887716.1"
"431","WP_002887784.1"
"432","WP_002887787.1"
"433","WP_002887789.1"
"434","WP_002887791.1"
"435","WP_002887794.1"
"436","WP_002887800.1"
"437","WP_002887802.1"
"438","WP_002887805.1"
