From,To
A4D9R7,afm:AFUA_1G00100
A4D9R4,afm:AFUA_1G01175
A4D9R5,afm:AFUA_1G01180
A4D9R6,afm:AFUA_1G01265
A4D9R8,afm:AFUA_1G02255
A4D9R9,afm:AFUA_1G02260
A4D9S0,afm:AFUA_1G02980
A4D9S1,afm:AFUA_1G02985
A4D9S2,afm:AFUA_1G03035
A4D9S3,afm:AFUA_1G03040
A4D9S4,afm:AFUA_1G03352
A4D9S5,afm:AFUA_1G03992
A4D9S6,afm:AFUA_1G04040
A4D9S7,afm:AFUA_1G04062
A4D9S8,afm:AFUA_1G04455
A4D9S9,afm:AFUA_1G04490
A4D9T0,afm:AFUA_1G05590
A4D9T1,afm:AFUA_1G05595
A4D9T2,afm:AFUA_1G05650
A4D9T3,afm:AFUA_1G05655
A4D9T4,afm:AFUA_1G06071
A4D9T5,afm:AFUA_1G06080
A4D9T6,afm:AFUA_1G06762
A4D9T7,afm:AFUA_1G07550
A4D9T8,afm:AFUA_1G07555
A4D9T9,afm:AFUA_1G07625
A4D9K1,afm:AFUA_1G08795
A4D9J9,afm:AFUA_1G09754
A4D9K0,afm:AFUA_1G09757
A4D9J7,afm:AFUA_1G10012
A4D9J8,afm:AFUA_1G10355
A4D9J5,afm:AFUA_1G10525
A4D9J6,afm:AFUA_1G10645
A4D9J4,afm:AFUA_1G10650
A4D9J3,afm:AFUA_1G11715
A4D9J2,afm:AFUA_1G11720
A4D9K2,afm:AFUA_1G12332
A4D9K3,afm:AFUA_1G12875
A4D9K4,afm:AFUA_1G13195
A4D9K5,afm:AFUA_1G14690
A4D9K6,afm:AFUA_1G14695
A4D9K7,afm:AFUA_1G14945
A4D9K8,afm:AFUA_1G14950
A4D9K9,afm:AFUA_1G16564
A4D9L0,afm:AFUA_1G16635
A4D9L1,afm:AFUA_1G16640
A4D9L2,afm:AFUA_1G17723
Q4WL57,afm:AFUA_1G00110
Q4WL56,afm:AFUA_1G00120
Q4WL55,afm:AFUA_1G00130
Q4WL53,afm:AFUA_1G00150
Q4WL52,afm:AFUA_1G00160
Q4WL51,afm:AFUA_1G00170
Q4WL50,afm:AFUA_1G00180
Q4WL48,afm:AFUA_1G00200
Q4WL47,afm:AFUA_1G00210
Q4WL46,afm:AFUA_1G00220
Q4WL45,afm:AFUA_1G00230
Q4WL43,afm:AFUA_1G00250
Q4WL41,afm:AFUA_1G00270
Q4WL40,afm:AFUA_1G00280
Q4WL37,afm:AFUA_1G00310
Q4WL36,afm:AFUA_1G00320
Q4WL35,afm:AFUA_1G00330
Q4WL34,afm:AFUA_1G00340
Q4WL33,afm:AFUA_1G00350
Q4WL28,afm:AFUA_1G00400
Q4WL26,afm:AFUA_1G00420
Q4WL24,afm:AFUA_1G00440
Q4WL23,afm:AFUA_1G00450
Q4WL21,afm:AFUA_1G00470
Q4WL20,afm:AFUA_1G00480
Q4WL19,afm:AFUA_1G00490
Q4WL18,afm:AFUA_1G00500
Q4WL17,afm:AFUA_1G00510
Q4WL16,afm:AFUA_1G00520
Q4WL15,afm:AFUA_1G00530
Q4WL13,afm:AFUA_1G00550
Q4WL12,afm:AFUA_1G00560
Q4WL10,afm:AFUA_1G00580
Q4WL07,afm:AFUA_1G00610
Q4WL05,afm:AFUA_1G00630
Q4WL04,afm:AFUA_1G00640
Q4WL03,afm:AFUA_1G00650
Q4WL02,afm:AFUA_1G00660
Q4WL01,afm:AFUA_1G00670
Q4WKZ9,afm:AFUA_1G00690
Q4WKZ8,afm:AFUA_1G00700
Q4WKZ7,afm:AFUA_1G00710
Q4WKZ6,afm:AFUA_1G00720
Q4WKZ5,afm:AFUA_1G00730
Q4WKZ4,afm:AFUA_1G00740
Q4WKZ3,afm:AFUA_1G00750
Q4WKZ2,afm:AFUA_1G00760
Q4WKZ1,afm:AFUA_1G00770
Q4WKZ0,afm:AFUA_1G00780
Q4WKY9,afm:AFUA_1G00790
Q4WKY8,afm:AFUA_1G00800
Q4WKY7,afm:AFUA_1G00810
Q4WKY6,afm:AFUA_1G00820
Q4WKY5,afm:AFUA_1G00830
Q4WKY4,afm:AFUA_1G00840
Q4WKY3,afm:AFUA_1G00850
Q4WKY1,afm:AFUA_1G00890
Q4WKX9,afm:AFUA_1G00910
Q4WKX8,afm:AFUA_1G00920
Q4WKX7,afm:AFUA_1G00930
Q4WKX5,afm:AFUA_1G00950
Q4WKX3,afm:AFUA_1G00970
Q4WKX2,afm:AFUA_1G00980
Q4WKX1,afm:AFUA_1G00990
Q4WKX0,afm:AFUA_1G01000
Q4WKW9,afm:AFUA_1G01010
Q4WKW8,afm:AFUA_1G01020
Q4WKW6,afm:AFUA_1G01040
Q4WKW5,afm:AFUA_1G01050
Q4WKW3,afm:AFUA_1G01070
Q4WKW2,afm:AFUA_1G01080
Q4WKW1,afm:AFUA_1G01090
Q4WKW0,afm:AFUA_1G01100
Q4WKV9,afm:AFUA_1G01110
Q4WKV8,afm:AFUA_1G01120
Q4WKV7,afm:AFUA_1G01130
Q4WKV6,afm:AFUA_1G01140
Q4WKV5,afm:AFUA_1G01160
Q4WKV1,afm:AFUA_1G01190
Q4WKV0,afm:AFUA_1G01200
Q4WKU9,afm:AFUA_1G01210
