From,To
A0A0D0IH13,hic:NTHIC486_00199
A0A0D0IH13,hih:NF38_01065
A0A0D0IH13,hiw:NTHI477_00930
A0A0D0IH13,hix:NTHI723_00834
A0A0D0IH08,hic:NTHIC486_00194
A0A0D0IH08,hih:NF38_01040
A0A0D0IH08,hiw:NTHI477_00925
A0A0D0IH08,hix:NTHI723_00829
A0A0D0ILR3,hic:NTHIC486_01770
A0A0D0ILR3,hih:NF38_08990
A0A0D0ILR3,hiw:NTHI477_00712
A0A0D0ILR3,hix:NTHI723_00617
A0A0D0ILC9,hic:NTHIC486_00103
A0A0D0ILC9,hih:NF38_00580
A0A0D0ILC9,hiw:NTHI477_00832
A0A0D0ILC9,hix:NTHI723_00737
A0A0D0H0F5,hic:NTHIC486_00022
A0A0D0H0F5,hih:NF38_00205
A0A0D0H0F5,hiw:NTHI477_00756
A0A0D0H0F5,hix:NTHI723_00661
A0A0D0IFJ6,hic:NTHIC486_00408
A0A0D0IFJ6,hih:NF38_02170
A0A0D0IFJ6,hiw:NTHI477_01692
A0A0D0IFJ6,hix:NTHI723_01077
A0A0D0IGY0,hic:NTHIC486_00174
A0A0D0IGY0,hih:NF38_00940
A0A0D0IGY0,hiw:NTHI477_00905
A0A0D0IGY0,hix:NTHI723_00809
A0A0D0IGY7,hic:NTHIC486_00179
A0A0D0IGY7,hih:NF38_00965
A0A0D0IGY7,hiw:NTHI477_00910
A0A0D0IEZ1,hic:NTHIC486_00661
A0A0D0IEZ1,hih:NF38_03740
A0A0D0IEZ1,hiw:NTHI477_01372
A0A0D0IEZ1,hix:NTHI723_01358
A0A0D0GZJ7,hic:NTHIC486_00877
A0A0D0GZJ7,hih:NF38_04650
A0A0D0GZJ7,hiw:NTHI477_01187
A0A0D0GZJ7,hix:NTHI723_01549
A0A0D0HR17,hic:NTHIC486_00873
A0A0D0HR17,hih:NF38_04630
A0A0D0HR17,hiw:NTHI477_01191
A0A0D0HR17,hix:NTHI723_01545
A0A0K9L0J2,hih:NF38_00135
A0A0K9L0J2,hiw:NTHI477_00742
A0A0D0IIR1,hic:NTHIC486_00187
A0A0D0IIR1,hih:NF38_01005
A0A0D0IIR1,hiw:NTHI477_00918
A0A0D0IIR1,hix:NTHI723_00822
A0A0D0II94,hih:NF38_07290
A0A0D0HSL5,hic:NTHIC486_01232
A0A0D0HSL5,hih:NF38_07285
A0A0D0HSL5,hiw:NTHI477_00160
A0A0D0HSL5,hix:NTHI723_00079
A0A0D0IJW4,hic:NTHIC486_00447
A0A0D0IJW4,hih:NF38_02350
A0A0D0IJW4,hiw:NTHI477_01654
A0A0D0IJW4,hix:NTHI723_01149
A0A0D0IFL9,hic:NTHIC486_00023
A0A0D0IFL9,hih:NF38_00210
A0A0D0IFL9,hiw:NTHI477_00757
A0A0D0IFL9,hix:NTHI723_00662
A0A112VGB8,hic:NTHIC486_01474
A0A112VGB8,hih:NF38_07800
A0A112VGB8,hiw:NTHI477_00469
A0A112VGB8,hix:NTHI723_00379
A0A0D0IH32,hic:NTHIC486_00223
A0A0D0IH32,hih:NF38_01165
A0A0D0IH32,hiw:NTHI477_00950
A0A0D0IH32,hix:NTHI723_00854
A0A0D0HTA3,hic:NTHIC486_00176
A0A0D0HTA3,hih:NF38_00950
A0A0D0HTA3,hiw:NTHI477_00907
A0A0D0HTA3,hix:NTHI723_00811
A0A0D0H1G7,hic:NTHIC486_00180
A0A0D0H1G7,hih:NF38_00970
A0A0D0H1G7,hiw:NTHI477_00911
A0A0D0H1G7,hix:NTHI723_00815
A0A0D0HTB2,hic:NTHIC486_00181
A0A0D0HTB2,hih:NF38_00975
A0A0D0HTB2,hiw:NTHI477_00912
A0A0D0HTB2,hix:NTHI723_00816
A0A0D0IMW3,hic:NTHIC486_00183
A0A0D0IMW3,hih:NF38_00985
A0A0D0IMW3,hiw:NTHI477_00914
A0A0D0IMW3,hix:NTHI723_00818
A0A0D0IGZ5,hic:NTHIC486_00184
A0A0D0IGZ5,hih:NF38_00990
A0A0D0IGZ5,hiw:NTHI477_00915
A0A0D0IGZ5,hix:NTHI723_00819
A0A0D0H1H2,hic:NTHIC486_00185
A0A0D0H1H2,hih:NF38_00995
A0A0D0H1H2,hiw:NTHI477_00916
A0A0D0H1H2,hix:NTHI723_00820
A0A0D0IH01,hic:NTHIC486_00189
A0A0D0IH01,hih:NF38_01015
A0A0D0IH01,hiw:NTHI477_00920
A0A0D0IH01,hix:NTHI723_00824
A0A0D0H1H7,hic:NTHIC486_00190
A0A0D0H1H7,hih:NF38_01020
A0A0D0H1H7,hiw:NTHI477_00921
A0A0D0H1H7,hix:NTHI723_00825
A0A0D0IIR5,hic:NTHIC486_00192
A0A0D0IIR5,hih:NF38_01030
A0A0D0IIR5,hiw:NTHI477_00923
A0A0D0IIR5,hix:NTHI723_00827
A0A0D0IMX2,hic:NTHIC486_00193
A0A0D0IMX2,hih:NF38_01035
A0A0D0IMX2,hiw:NTHI477_00924
A0A0D0IMX2,hix:NTHI723_00828
A0A0D0IGS1,hih:NF38_00740
A0A0D0IGS1,hiw:NTHI477_00864
A0A0D0IGS1,hix:NTHI723_00768
A0A0D0IEM7,hic:NTHIC486_00528
A0A0D0IEM7,hih:NF38_02765
A0A0D0IEM7,hiw:NTHI477_01574
A0A0D0IEM7,hix:NTHI723_01229
A0A0D0IF81,hic:NTHIC486_00102
A0A0D0IF81,hih:NF38_00575
A0A0D0IF81,hiw:NTHI477_00831
A0A0D0IF81,hix:NTHI723_00736
A0A0D0GY19,hic:NTHIC486_00545
A0A0D0GY19,hih:NF38_02855
A0A0D0GY19,hiw:NTHI477_01556
A0A0D0GY19,hix:NTHI723_01246
A0A0D0HQ19,hic:NTHIC486_00409
A0A0D0HQ19,hiw:NTHI477_01691
A0A0D0IFC1,hic:NTHIC486_00361
A0A0D0IFC1,hiw:NTHI477_01736
A0A0D0IFC1,hix:NTHI723_01066
A0A0K9L7T6,hiw:NTHI477_00765
A0A0D0H0F9,hih:NF38_00155
A0A0D0H0F9,hiw:NTHI477_00746
A0A0D0H0F9,hix:NTHI723_00651
A0A0D0HQ92,hic:NTHIC486_00444
A0A0D0HQ92,hih:NF38_02335
A0A0D0HQ92,hiw:NTHI477_01657
A0A0D0HQ92,hix:NTHI723_01146
A0A0D0GYU5,hic:NTHIC486_00445
A0A0D0GYU5,hih:NF38_02340
A0A0D0GYU5,hiw:NTHI477_01656
A0A0D0GYU5,hix:NTHI723_01147
A0A0D0IDE3,hic:NTHIC486_00461
A0A0D0IDE3,hih:NF38_02420
A0A0D0IDE3,hiw:NTHI477_01640
A0A0D0IDE3,hix:NTHI723_01163
A0A2R3FVP7,hih:NF38_02495
A0A2R3FVP7,hiw:NTHI477_01625
A0A1Q5Y485,hiw:NTHI477_01075
A0A0K9L6Z9,hiw:NTHI477_00647
A0A0D0HPK4,hiw:NTHI477_01367
A0A0D0IGH8,hic:NTHIC486_01376
A0A0D0IGH8,hih:NF38_06465
A0A0D0IGH8,hiw:NTHI477_00331
A0A0D0IGH8,hix:NTHI723_00248
A0A0D0GZ39,hih:NF38_05400
A0A0D0GZ39,hiw:NTHI477_01045
A0A0D0GZ39,hix:NTHI723_01700
A0A0Y7LEX5,hiw:NTHI477_00206
A0A0C5EZI0,hic:NTHIC486_01265
A0A0C5EZI0,hih:NF38_07105
A0A0C5EZI0,hiw:NTHI477_00196
A0A0C5EZI0,hix:NTHI723_00113
A0A0D0IIY4,hih:NF38_07475
A0A0D0IIY4,hiw:NTHI477_00122
A0A0D0IIY4,hix:NTHI723_00041
A0A0C5FB27,hih:NF38_04370
A0A0C5FB27,hiw:NTHI477_01243
A0A0C5FB27,hix:NTHI723_01493
A0A2S9S1L6,hih:NF38_02645
A0A2S9S1L6,hiw:NTHI477_01597
A0A2S9S1L6,hix:NTHI723_01206
A0A0D0IEK9,hih:NF38_02635
A0A0D0IEK9,hiw:NTHI477_01599
A0A0D0IEK9,hix:NTHI723_01204
A0A0D0HPA0,hic:NTHIC486_00546
A0A0D0HPA0,hih:NF38_02860
A0A0D0HPA0,hiw:NTHI477_01555
A0A0D0HPA0,hix:NTHI723_01247
A0A0Y7IJI2,hiw:NTHI477_01651
A0A0D0GYL8,hic:NTHIC486_00420
A0A0D0GYL8,hih:NF38_02230
A0A0D0GYL8,hiw:NTHI477_01680
A0A0D0GYL8,hix:NTHI723_01124
A0A0Y7J523,hic:NTHIC486_00144
A0A0Y7J523,hih:NF38_00790
A0A0Y7J523,hiw:NTHI477_00874
A0A0Y7J523,hix:NTHI723_00778
A0A0Y7L0L1,hiw:NTHI477_01519
A0A2S9S5W8,hic:NTHIC486_00626
A0A2S9S5W8,hih:NF38_03585
A0A2S9S5W8,hiw:NTHI477_01403
A0A2S9S5W8,hix:NTHI723_01327
A0A0C5EYF0,hic:NTHIC486_00903
A0A0C5EYF0,hih:NF38_04780
A0A0C5EYF0,hiw:NTHI477_01161
A0A0C5EYF0,hix:NTHI723_01575
A0A2S9S5U7,hih:NF38_01230
A0A2S9S5U7,hiw:NTHI477_00964
A0A2S9S5U7,hix:NTHI723_00920
A0A0Y7JS41,hic:NTHIC486_00270
A0A0Y7JS41,hih:NF38_01535
A0A0Y7JS41,hiw:NTHI477_01817
A0A0Y7JS41,hix:NTHI723_00982
A0A0C5F0S1,hic:NTHIC486_00475
A0A0C5F0S1,hih:NF38_02490
A0A0C5F0S1,hiw:NTHI477_01626
A0A0C5F0S1,hix:NTHI723_01177
A0A0C5F371,hic:NTHIC486_00383
A0A0C5F371,hih:NF38_02060
A0A0C5F371,hiw:NTHI477_01714
A0A0C5F371,hix:NTHI723_01101
A0A0D0IIU4,hih:NF38_02920
A0A0D0IIU4,hiw:NTHI477_01542
A0A0D0IIU4,hix:NTHI723_01259
A0A0K9KRS9,hih:NF38_00120
A0A0K9KRS9,hiw:NTHI477_00740
A0A0C5FMM2,hic:NTHIC486_00693
A0A0C5FMM2,hiw:NTHI477_01340
A0A0C5FMM2,hix:NTHI723_01398
A0A0K9L163,hic:NTHIC486_00132
A0A0K9L163,hiw:NTHI477_00862
A0A0C5EXZ7,hic:NTHIC486_00854
A0A0C5EXZ7,hih:NF38_04580
A0A0C5EXZ7,hiw:NTHI477_01201
A0A0C5EXZ7,hix:NTHI723_01535
A0A0Y7J961,hic:NTHIC486_00037
A0A0Y7J961,hiw:NTHI477_00771
A0A0D0IG64,hic:NTHIC486_01266
A0A0D0IG64,hih:NF38_07100
A0A0D0IG64,hiw:NTHI477_00197
A0A0D0IG64,hix:NTHI723_00114
A0A0D0IHB6,hic:NTHIC486_01337
A0A0D0IHB6,hiw:NTHI477_00292
A0A0D0H0W6,hic:NTHIC486_01277
A0A0D0H0W6,hih:NF38_07045
A0A0D0H0W6,hiw:NTHI477_00208
A0A0D0H0R1,hih:NF38_07420
A0A0D0H0R1,hiw:NTHI477_00131
A0A0D0H0R1,hix:NTHI723_00052
A0A2R3GEJ5,hih:NF38_06490
A0A2R3GEJ5,hiw:NTHI477_00326
A0A112W4N2,hiw:NTHI477_00055
A0A0C5EV02,hic:NTHIC486_01100
A0A0C5EV02,hiw:NTHI477_00050
A0A0C5EV02,hix:NTHI723_01777
A0A0C5EUY0,hic:NTHIC486_00650
A0A0C5EUY0,hih:NF38_03705
A0A0C5EUY0,hiw:NTHI477_01379
A0A0C5ERG6,hic:NTHIC486_00321
A0A0C5ERG6,hih:NF38_01680
A0A0C5ERG6,hiw:NTHI477_01772
A0A0C5ERG6,hiw:NTHI477_01789
A0A0C5ERG6,hix:NTHI723_01012
A0A0D0IJE0,hih:NF38_07990
A0A0D0IJE0,hiw:NTHI477_00507
