From,To
A0A0H2ZWX9,mav:MAV_4650
A0QL02,mav:MAV_4455
A0QKV0,mav:MAV_4403
A0A0H2ZUQ0,mav:MAV_0570
A0A0H2ZYB6,mav:MAV_0516
A0Q8S8,mav:MAV_0015
A0A0H3A3I3,mav:MAV_0017
A0A0H2ZYC3,mav:MAV_0167
A0QFE1,mav:MAV_2434
A0A0H2ZV10,mav:MAV_2422
A0QFB4,mav:MAV_2403
A0QFB2,mav:MAV_2400
A0A0H2ZTJ1,mav:MAV_2398
A0QFA5,mav:MAV_2393
A0QFA4,mav:MAV_2392
A0A0H2ZWJ9,mav:MAV_2366
A0A0H2ZWR6,mav:MAV_2358
A0A0H3A133,mav:MAV_2356
A0A0H2ZY66,mav:MAV_2354
A0A0H2ZX70,mav:MAV_2351
A0QF59,mav:MAV_2343
A0A0H2ZYL8,mav:MAV_2340
A0QF43,mav:MAV_2327
A0A0H2ZUH6,mav:MAV_2323
A0A0H2ZWW6,mav:MAV_2322
A0A0H2ZYT1,mav:MAV_2321
A0A0H2ZW11,mav:MAV_2317
A0A0H3A2N4,mav:MAV_2292
A0A0H3A393,mav:MAV_2288
A0A0H2ZYA7,mav:MAV_2287
A0A0H3A149,mav:MAV_0176
A0A0H2ZVB0,mav:MAV_0180
A0A0H2ZVN7,mav:MAV_0182
A0Q994,mav:MAV_0188
A0A0H2ZW68,mav:MAV_0189
A0A0H2ZSD5,mav:MAV_0195
A0A0H2ZU99,mav:MAV_0197
A0A0H2ZSV9,mav:MAV_0199
A0A0H2ZZB7,mav:MAV_0202
A0A0H2ZZ65,mav:MAV_2272
A0A0H2ZVV6,mav:MAV_2267
A0A0H2ZVQ9,mav:MAV_2244
A0A0H3A2W6,mav:MAV_2236
A0A0H2ZYL7,mav:MAV_2198
A0A0H2ZS23,mav:MAV_2193
A0A0H2ZVB6,mav:MAV_2178
A0A0H2ZSS2,mav:MAV_2169
A0A0H2ZZA9,mav:MAV_2147
A0A0H2ZW24,mav:MAV_2133
A0A0H2ZRV4,mav:MAV_2131
A0A0H2ZYU0,mav:MAV_2060
A0A0H2ZZY4,mav:MAV_2054
A0A0H2ZYK8,mav:MAV_2052
A0QEC2,mav:MAV_2042
A0A0H2ZXT9,mav:MAV_2028
A0QI01,mav:MAV_3357
A0A0H3A3Z8,mav:MAV_3362
A0A0H2ZQU1,mav:MAV_3366
A0A0H2ZV45,mav:MAV_3369
A0A0H2ZXU4,mav:MAV_3374
A0A0H2ZRI5,mav:MAV_3386
A0A0H2ZTH9,mav:MAV_3387
A0QI37,mav:MAV_3393
A0A0H2ZVA4,mav:MAV_0216
A0A0H2ZUL1,mav:MAV_0227
A0A0H2ZR56,mav:MAV_0228
A0A0H3A3C3,mav:MAV_0236
A0A0H3A293,mav:MAV_0241
A0A0H2ZZM7,mav:MAV_0245
