"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27","WP_003050133.1"
"28","WP_003050225.1"
"29","WP_003050375.1"
"30","WP_003090124.1"
"31","WP_003090173.1"
"32","WP_003090336.1"
"33","WP_003097513.1"
"34","WP_003098932.1"
"35","WP_003098939.1"
"36","WP_003098941.1"
"37","WP_003116802.1"
"38","WP_003116803.1"
"39","WP_003116804.1"
"40","WP_003116805.1"
"41","WP_003116807.1"
"42","WP_003116808.1"
"43","WP_003116809.1"
"44","WP_003116810.1"
"45","WP_003116817.1"
"46","WP_003116818.1"
"47","WP_003116819.1"
"48","WP_003116820.1"
"49","WP_003116821.1"
"50","WP_003116822.1"
"51","WP_003116823.1"
"52","WP_003116825.1"
"53","WP_003116826.1"
"54","WP_003116827.1"
"55","WP_003116828.1"
"56","WP_003116829.1"
"57","WP_003116830.1"
"58","WP_003120032.1"
"59","WP_003806903.1"
"60","WP_003806912.1"
"61","WP_003806927.1"
"62","WP_003806928.1"
"63","WP_003810296.1"
"64","WP_003812968.1"
"65","WP_003813816.1"
"66","WP_003814980.1"
"67","WP_003815363.1"
"68","WP_003816025.1"
"69","WP_005017264.1"
"70","WP_006216228.1"
"71","WP_006216229.1"
"72","WP_006216320.1"
"73","WP_006216514.1"
"74","WP_006216516.1"
"75","WP_006216517.1"
"76","WP_006216520.1"
"77","WP_006216527.1"
"78","WP_006216531.1"
"79","WP_006216549.1"
"80","WP_006216553.1"
"81","WP_006216555.1"
"82","WP_006216557.1"
"83","WP_006216561.1"
"84","WP_006216596.1"
"85","WP_006217310.1"
"86","WP_006217453.1"
"87","WP_006217473.1"
"88","WP_006217654.1"
"89","WP_006217670.1"
"90","WP_006217928.1"
"91","WP_006217960.1"
"92","WP_006217969.1"
"93","WP_006218237.1"
"94","WP_006218255.1"
"95","WP_006218308.1"
"96","WP_006218435.1"
"97","WP_006218533.1"
"98","WP_006218534.1"
"99","WP_006218585.1"
"100","WP_006218592.1"
"101","WP_006218735.1"
"102","WP_006218740.1"
"103","WP_006218741.1"
"104","WP_006219679.1"
"105","WP_006220190.1"
"106","WP_006220277.1"
"107","WP_006221616.1"
"108","WP_006223413.1"
"109","WP_006223608.1"
"110","WP_006223612.1"
"111","WP_006224535.1"
"112","WP_006224570.1"
"113","WP_006225311.1"
"114","WP_006226181.1"
"115","WP_006226245.1"
"116","WP_006226256.1"
"117","WP_006226661.1"
"118","WP_006226939.1"
"119","WP_006227196.1"
"120","WP_006227327.1"
"121","WP_006227587.1"
"122","WP_006383989.1"
"123","WP_006385706.1"
"124","WP_006385941.1"
"125","WP_006386176.1"
"126","WP_006388039.1"
"127","WP_006388333.1"
"128","WP_006388757.1"
"129","WP_006389231.1"
"130","WP_006389355.1"
"131","WP_006389411.1"
"132","WP_006389586.1"
"133","WP_006389587.1"
"134","WP_006389623.1"
"135","WP_006389635.1"
"136","WP_006389752.1"
"137","WP_006389784.1"
"138","WP_006389881.1"
"139","WP_006391339.1"
"140","WP_006392029.1"
"141","WP_006392071.1"
"142","WP_006393972.1"
"143","WP_006395404.1"
"144","WP_006396042.1"
"145","WP_008063308.1"
"146","WP_008159001.1"
"147","WP_008159938.1"
"148","WP_008161196.1"
"149","WP_008163193.1"
"150","WP_008164319.1"
"151","WP_008167730.1"
"152","WP_013390765.1"
"153","WP_013390766.1"
"154","WP_013390767.1"
"155","WP_013390768.1"
"156","WP_013390769.1"
"157","WP_013390770.1"
"158","WP_013390772.1"
"159","WP_013390775.1"
"160","WP_013390777.1"
"161","WP_013390778.1"
"162","WP_013390779.1"
"163","WP_013390780.1"
"164","WP_013390781.1"
"165","WP_013390783.1"
"166","WP_013390787.1"
"167","WP_013390788.1"
"168","WP_013390789.1"
"169","WP_013390790.1"
"170","WP_013390791.1"
"171","WP_013390792.1"
"172","WP_013390793.1"
"173","WP_013390794.1"
"174","WP_013390795.1"
"175","WP_013390797.1"
"176","WP_013390799.1"
"177","WP_013390800.1"
"178","WP_013390801.1"
"179","WP_013390802.1"
"180","WP_013390803.1"
"181","WP_013390804.1"
"182","WP_013390805.1"
"183","WP_013390806.1"
"184","WP_013390807.1"
"185","WP_013390808.1"
"186","WP_013390809.1"
"187","WP_013390810.1"
"188","WP_013390811.1"
"189","WP_013390812.1"
"190","WP_013390813.1"
"191","WP_013390814.1"
"192","WP_013390815.1"
"193","WP_013390816.1"
"194","WP_013390817.1"
"195","WP_013390818.1"
"196","WP_013390819.1"
"197","WP_013390820.1"
"198","WP_013390821.1"
"199","WP_013390822.1"
"200","WP_013390823.1"
"201","WP_013390825.1"
"202","WP_013390826.1"
"203","WP_013390827.1"
"204","WP_013390828.1"
"205","WP_013390829.1"
"206","WP_013390830.1"
"207","WP_013390831.1"
"208","WP_013390832.1"
"209","WP_013390833.1"
"210","WP_013390834.1"
"211","WP_013390835.1"
"212","WP_013390836.1"
"213","WP_013390837.1"
"214","WP_013390838.1"
"215","WP_013390839.1"
"216","WP_013390840.1"
"217","WP_013390841.1"
"218","WP_013390842.1"
"219","WP_013390846.1"
"220","WP_013390847.1"
"221","WP_013390849.1"
"222","WP_013390850.1"
"223","WP_013390851.1"
"224","WP_013390852.1"
"225","WP_013390853.1"
"226","WP_013390854.1"
"227","WP_013390855.1"
"228","WP_013390856.1"
"229","WP_013390857.1"
"230","WP_013390859.1"
"231","WP_013390860.1"
"232","WP_013390861.1"
"233","WP_013390862.1"
"234","WP_013390863.1"
"235","WP_013390864.1"
"236","WP_013390865.1"
"237","WP_013390866.1"
"238","WP_013390867.1"
"239","WP_013390868.1"
"240","WP_013390869.1"
"241","WP_013390870.1"
"242","WP_013390871.1"
"243","WP_013390872.1"
"244","WP_013390873.1"
"245","WP_013390874.1"
"246","WP_013390875.1"
"247","WP_013390876.1"
"248","WP_013390877.1"
"249","WP_013390878.1"
"250","WP_013390879.1"
"251","WP_013390881.1"
"252","WP_013390882.1"
"253","WP_013390883.1"
"254","WP_013390884.1"
"255","WP_013390885.1"
"256","WP_013390886.1"
"257","WP_013390889.1"
"258","WP_013390890.1"
"259","WP_013390891.1"
"260","WP_013390892.1"
"261","WP_013390893.1"
"262","WP_013390894.1"
"263","WP_013390895.1"
"264","WP_013390896.1"
"265","WP_013390897.1"
"266","WP_013390898.1"
"267","WP_013390899.1"
"268","WP_013390900.1"
"269","WP_013390901.1"
"270","WP_013390902.1"
"271","WP_013390903.1"
"272","WP_013390904.1"
"273","WP_013390905.1"
"274","WP_013390906.1"
"275","WP_013390907.1"
"276","WP_013390908.1"
"277","WP_013390910.1"
"278","WP_013390911.1"
"279","WP_013390912.1"
"280","WP_013390913.1"
"281","WP_013390914.1"
"282","WP_013390915.1"
"283","WP_013390916.1"
"284","WP_013390917.1"
"285","WP_013390918.1"
"286","WP_013390919.1"
"287","WP_013390921.1"
"288","WP_013390922.1"
"289","WP_013390923.1"
"290","WP_013390924.1"
"291","WP_013390925.1"
"292","WP_013390926.1"
"293","WP_013390927.1"
"294","WP_013390928.1"
"295","WP_013390929.1"
"296","WP_013390930.1"
"297","WP_013390931.1"
"298","WP_013390932.1"
"299","WP_013390933.1"
"300","WP_013390934.1"
"301","WP_013390935.1"
"302","WP_013390936.1"
"303","WP_013390937.1"
"304","WP_013390938.1"
"305","WP_013390940.1"
"306","WP_013390941.1"
"307","WP_013390942.1"
"308","WP_013390943.1"
"309","WP_013390944.1"
"310","WP_013390946.1"
"311","WP_013390947.1"
"312","WP_013390948.1"
"313","WP_013390949.1"
"314","WP_013390950.1"
"315","WP_013390951.1"
"316","WP_013390952.1"
"317","WP_013390953.1"
"318","WP_013390954.1"
"319","WP_013390955.1"
"320","WP_013390956.1"
"321","WP_013390957.1"
"322","WP_013390958.1"
"323","WP_013390959.1"
"324","WP_013390960.1"
"325","WP_013390961.1"
"326","WP_013390962.1"
"327","WP_013390963.1"
"328","WP_013390964.1"
"329","WP_013390965.1"
"330","WP_013390966.1"
"331","WP_013390967.1"
"332","WP_013390968.1"
"333","WP_013390969.1"
"334","WP_013390970.1"
"335","WP_013390971.1"
"336","WP_013390972.1"
"337","WP_013390973.1"
"338","WP_013390974.1"
"339","WP_013390976.1"
"340","WP_013390977.1"
"341","WP_013390978.1"
"342","WP_013390979.1"
"343","WP_013390980.1"
"344","WP_013390981.1"
"345","WP_013390983.1"
"346","WP_013390984.1"
"347","WP_013390985.1"
"348","WP_013390986.1"
"349","WP_013390987.1"
"350","WP_013390988.1"
"351","WP_013390990.1"
"352","WP_013390991.1"
"353","WP_013390992.1"
"354","WP_013390993.1"
"355","WP_013390995.1"
"356","WP_013390996.1"
"357","WP_013390997.1"
"358","WP_013390999.1"
"359","WP_013391001.1"
"360","WP_013391002.1"
"361","WP_013391003.1"
"362","WP_013391004.1"
"363","WP_013391006.1"
"364","WP_013391008.1"
"365","WP_013391009.1"
"366","WP_013391010.1"
"367","WP_013391011.1"
"368","WP_013391013.1"
"369","WP_013391014.1"
"370","WP_013391015.1"
"371","WP_013391016.1"
"372","WP_013391017.1"
"373","WP_013391018.1"
"374","WP_013391019.1"
"375","WP_013391020.1"
"376","WP_013391021.1"
"377","WP_013391022.1"
"378","WP_013391023.1"
"379","WP_013391024.1"
"380","WP_013391025.1"
"381","WP_013391026.1"
"382","WP_013391027.1"
"383","WP_013391028.1"
"384","WP_013391029.1"
"385","WP_013391031.1"
"386","WP_013391032.1"
"387","WP_013391033.1"
"388","WP_013391035.1"
"389","WP_013391036.1"
"390","WP_013391037.1"
"391","WP_013391038.1"
"392","WP_013391039.1"
