"","x"
"1","WP_011572943.1"
"2","WP_011572944.1"
"3","WP_011572945.1"
"4","WP_011572947.1"
"5","WP_011572948.1"
"6","WP_011572949.1"
"7","WP_011572950.1"
"8","WP_011572951.1"
"9","WP_032509615.1"
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68","WP_000466908.1"
"69","WP_000863833.1"
"70","WP_001009056.1"
"71","WP_001809736.1"
"72","WP_002285815.1"
"73","WP_002317729.1"
"74","WP_002319681.1"
"75","WP_002324544.1"
"76","WP_002324545.1"
"77","WP_002324547.1"
"78","WP_002324548.1"
"79","WP_002324550.1"
"80","WP_002324553.1"
"81","WP_002324554.1"
"82","WP_002324555.1"
"83","WP_002324557.1"
"84","WP_002324558.1"
"85","WP_002324559.1"
"86","WP_002334012.1"
"87","WP_002334978.1"
"88","WP_002335621.1"
"89","WP_002509257.1"
"90","WP_002570387.1"
"91","WP_002578441.1"
"92","WP_002610290.1"
"93","WP_002610321.1"
"94","WP_002610323.1"
"95","WP_003042651.1"
"96","WP_003061815.1"
"97","WP_003063668.1"
"98","WP_003416006.1"
"99","WP_003416009.1"
"100","WP_003416012.1"
"101","WP_003416098.1"
"102","WP_003416101.1"
"103","WP_003416105.1"
"104","WP_003416112.1"
"105","WP_003416152.1"
"106","WP_003416156.1"
"107","WP_003416162.1"
"108","WP_003416163.1"
"109","WP_003416187.1"
"110","WP_003416240.1"
"111","WP_003416253.1"
"112","WP_003416261.1"
"113","WP_003416297.1"
"114","WP_003416314.1"
"115","WP_003416411.1"
"116","WP_003416416.1"
"117","WP_003416419.1"
"118","WP_003416451.1"
"119","WP_003416512.1"
"120","WP_003416526.1"
"121","WP_003416528.1"
"122","WP_003416556.1"
"123","WP_003416574.1"
"124","WP_003416618.1"
"125","WP_003416641.1"
"126","WP_003416645.1"
"127","WP_003416649.1"
"128","WP_003416656.1"
"129","WP_003416661.1"
"130","WP_003416663.1"
"131","WP_003416703.1"
"132","WP_003416728.1"
"133","WP_003416732.1"
"134","WP_003416734.1"
"135","WP_003416836.1"
"136","WP_003416869.1"
"137","WP_003416870.1"
"138","WP_003416871.1"
"139","WP_003416903.1"
"140","WP_003416935.1"
"141","WP_003416938.1"
"142","WP_003416946.1"
"143","WP_003416961.1"
"144","WP_003416968.1"
"145","WP_003416990.1"
"146","WP_003417040.1"
"147","WP_003417090.1"
"148","WP_003417102.1"
"149","WP_003417105.1"
"150","WP_003417110.1"
"151","WP_003417144.1"
"152","WP_003417194.1"
