"","x"
"1",NA
"2",NA
"3","WP_012296228.1"
"4","WP_012296229.1"
"5","WP_012296230.1"
"6","WP_012296232.1"
"7","WP_012296233.1"
"8","WP_012296234.1"
"9","WP_012296236.1"
"10","WP_012296237.1"
"11","WP_012296238.1"
"12","WP_012296239.1"
"13","WP_012296240.1"
"14","WP_012296241.1"
"15","WP_012296242.1"
"16","WP_012296243.1"
"17","WP_012296244.1"
"18","WP_012296245.1"
"19","WP_012296247.1"
"20","WP_012296248.1"
"21","WP_012296249.1"
"22","WP_012390404.1"
"23","WP_012390405.1"
"24","WP_012390408.1"
"25","WP_012390409.1"
"26","WP_012390410.1"
"27","WP_012390411.1"
"28","WP_036405108.1"
"29","WP_130983727.1"
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58","WP_003402602.1"
"59","WP_003418601.1"
"60","WP_003883485.1"
"61","WP_003886927.1"
"62","WP_003929602.1"
"63","WP_005055400.1"
"64","WP_005055422.1"
"65","WP_005055457.1"
"66","WP_005055561.1"
"67","WP_005055588.1"
"68","WP_005055596.1"
"69","WP_005055603.1"
"70","WP_005055607.1"
"71","WP_005055627.1"
"72","WP_005055632.1"
"73","WP_005055645.1"
"74","WP_005055646.1"
"75","WP_005055647.1"
"76","WP_005055650.1"
"77","WP_005055656.1"
"78","WP_005055665.1"
"79","WP_005055673.1"
"80","WP_005055680.1"
"81","WP_005055682.1"
"82","WP_005055683.1"
"83","WP_005055692.1"
"84","WP_005055710.1"
"85","WP_005055712.1"
"86","WP_005055717.1"
"87","WP_005055719.1"
"88","WP_005055720.1"
"89","WP_005055739.1"
"90","WP_005055741.1"
"91","WP_005055954.1"
"92","WP_005055956.1"
"93","WP_005055961.1"
"94","WP_005055988.1"
"95","WP_005055990.1"
"96","WP_005055995.1"
"97","WP_005055998.1"
"98","WP_005056000.1"
"99","WP_005056042.1"
"100","WP_005056056.1"
"101","WP_005056069.1"
"102","WP_005056085.1"
"103","WP_005056107.1"
"104","WP_005056110.1"
"105","WP_005056119.1"
"106","WP_005056123.1"
"107","WP_005056127.1"
"108","WP_005056128.1"
"109","WP_005056134.1"
"110","WP_005056137.1"
"111","WP_005056145.1"
"112","WP_005056191.1"
"113","WP_005056202.1"
"114","WP_005056204.1"
"115","WP_005056214.1"
"116","WP_005056265.1"
"117","WP_005056340.1"
"118","WP_005056341.1"
"119","WP_005056342.1"
"120","WP_005056343.1"
"121","WP_005056347.1"
"122","WP_005056357.1"
"123","WP_005056360.1"
"124","WP_005056363.1"
"125","WP_005056376.1"
"126","WP_005056399.1"
"127","WP_005056417.1"
"128","WP_005056447.1"
"129","WP_005056454.1"
"130","WP_005056458.1"
"131","WP_005056461.1"
"132","WP_005056472.1"
"133","WP_005056477.1"
"134","WP_005056481.1"
"135","WP_005056510.1"
"136","WP_005056568.1"
"137","WP_005056573.1"
"138","WP_005056581.1"
"139","WP_005056583.1"
"140","WP_005056596.1"
"141","WP_005056600.1"
"142","WP_005056603.1"
"143","WP_005056643.1"
"144","WP_005056666.1"
"145","WP_005056670.1"
"146","WP_005056675.1"
"147","WP_005056694.1"
"148","WP_005056709.1"
"149","WP_005056723.1"
"150","WP_005056727.1"
"151","WP_005056735.1"
"152","WP_005056737.1"
"153","WP_005056756.1"
"154","WP_005056788.1"
"155","WP_005056808.1"
"156","WP_005056841.1"
"157","WP_005056872.1"
"158","WP_005056874.1"
"159","WP_005056875.1"
"160","WP_005056876.1"
"161","WP_005056877.1"
"162","WP_005056879.1"
"163","WP_005056889.1"
"164","WP_005056890.1"
"165","WP_005056899.1"
"166","WP_005056901.1"
"167","WP_005056904.1"
"168","WP_005056906.1"
"169","WP_005056910.1"
"170","WP_005056911.1"
"171","WP_005056912.1"
"172","WP_005056915.1"
"173","WP_005056930.1"
"174","WP_005056942.1"
"175","WP_005056943.1"
"176","WP_005056944.1"
"177","WP_005056955.1"
"178","WP_005056967.1"
"179","WP_005056977.1"
"180","WP_005056983.1"
"181","WP_005056986.1"
"182","WP_005056989.1"
"183","WP_005056990.1"
"184","WP_005056992.1"
"185","WP_005057001.1"
"186","WP_005057003.1"
"187","WP_005057025.1"
"188","WP_005057029.1"
"189","WP_005057042.1"
"190","WP_005057066.1"
"191","WP_005057073.1"
"192","WP_005057086.1"
"193","WP_005057100.1"
"194","WP_005057105.1"
"195","WP_005057107.1"
"196","WP_005057109.1"
"197","WP_005057117.1"
"198","WP_005057119.1"
"199","WP_005057128.1"
"200","WP_005057131.1"
"201","WP_005057138.1"
"202","WP_005057139.1"
"203","WP_005057143.1"
"204","WP_005057162.1"
"205","WP_005057166.1"
"206","WP_005057168.1"
"207","WP_005057169.1"
"208","WP_005057171.1"
"209","WP_005057178.1"
"210","WP_005057199.1"
"211","WP_005057202.1"
"212","WP_005057210.1"
"213","WP_005057213.1"
"214","WP_005057215.1"
"215","WP_005057234.1"
"216","WP_005057245.1"
"217","WP_005057247.1"
"218","WP_005057265.1"
"219","WP_005057268.1"
"220","WP_005057294.1"
"221","WP_005057378.1"
"222","WP_005057383.1"
"223","WP_005057387.1"
"224","WP_005057392.1"
"225","WP_005057393.1"
"226","WP_005057529.1"
"227","WP_005057532.1"
"228","WP_005057545.1"
"229","WP_005057549.1"
"230","WP_005057551.1"
"231","WP_005057571.1"
"232","WP_005057610.1"
"233","WP_005057615.1"
"234","WP_005057628.1"
"235","WP_005057639.1"
"236","WP_005057656.1"
"237","WP_005057676.1"
"238","WP_005057687.1"
"239","WP_005057695.1"
"240","WP_005057696.1"
"241","WP_005057714.1"
"242","WP_005057721.1"
"243","WP_005057738.1"
"244","WP_005057745.1"
"245","WP_005057751.1"
"246","WP_005057753.1"
"247","WP_005057756.1"
"248","WP_005057786.1"
"249","WP_005057788.1"
"250","WP_005057792.1"
"251","WP_005057795.1"
"252","WP_005057808.1"
"253","WP_005057833.1"
"254","WP_005057836.1"
"255","WP_005057839.1"
"256","WP_005057847.1"
"257","WP_005057848.1"
"258","WP_005057849.1"
"259","WP_005057859.1"
"260","WP_005057860.1"
"261","WP_005057861.1"
"262","WP_005057865.1"
"263","WP_005057867.1"
"264","WP_005057888.1"
"265","WP_005057895.1"
"266","WP_005057907.1"
"267","WP_005057908.1"
"268","WP_005057924.1"
"269","WP_005057935.1"
"270","WP_005057938.1"
"271","WP_005057955.1"
"272","WP_005057960.1"
"273","WP_005057979.1"
"274","WP_005057988.1"
"275","WP_005058085.1"
"276","WP_005058086.1"
"277","WP_005058165.1"
"278","WP_005058245.1"
"279","WP_005058264.1"
"280","WP_005058333.1"
"281","WP_005058373.1"
"282","WP_005058377.1"
"283","WP_005058449.1"
"284","WP_005058500.1"
"285","WP_005058519.1"
"286","WP_005058539.1"
"287","WP_005058541.1"
"288","WP_005058543.1"
"289","WP_005058551.1"
"290","WP_005058565.1"
"291","WP_005058569.1"
"292","WP_005058575.1"
"293","WP_005058615.1"
"294","WP_005058622.1"
"295","WP_005058640.1"
"296","WP_005058643.1"
"297","WP_005058646.1"
"298","WP_005058664.1"
"299","WP_005058672.1"
"300","WP_005058688.1"
"301","WP_005058700.1"
"302","WP_005058702.1"
"303","WP_005058706.1"
"304","WP_005058758.1"
"305","WP_005058882.1"
"306","WP_005058926.1"
"307","WP_005059133.1"
"308","WP_005059141.1"
"309","WP_005059168.1"
"310","WP_005059170.1"
"311","WP_005059284.1"
"312","WP_005059289.1"
"313","WP_005059290.1"
"314","WP_005059312.1"
"315","WP_005059315.1"
"316","WP_005059316.1"
"317","WP_005059325.1"
"318","WP_005059330.1"
"319","WP_005059332.1"
"320","WP_005059370.1"
"321","WP_005059390.1"
"322","WP_005059441.1"
"323","WP_005059466.1"
"324","WP_005059489.1"
"325","WP_005059492.1"
"326","WP_005059496.1"
"327","WP_005059509.1"
"328","WP_005059522.1"
"329","WP_005059527.1"
"330","WP_005059593.1"
"331","WP_005059648.1"
"332","WP_005059650.1"
"333","WP_005059662.1"
"334","WP_005059671.1"
"335","WP_005059676.1"
"336","WP_005059698.1"
"337","WP_005059710.1"
"338","WP_005059723.1"
"339","WP_005059758.1"
"340","WP_005059796.1"
"341","WP_005059821.1"
"342","WP_005059822.1"
"343","WP_005059825.1"
"344","WP_005059832.1"
"345","WP_005059839.1"
"346","WP_005059842.1"
"347","WP_005059844.1"
"348","WP_005059850.1"
"349","WP_005059861.1"
"350","WP_005059866.1"
"351","WP_005059905.1"
"352","WP_005059906.1"
"353","WP_005059911.1"
"354","WP_005059917.1"
"355","WP_005059918.1"
"356","WP_005059970.1"
"357","WP_005059974.1"
"358","WP_005059996.1"
"359","WP_005060011.1"
"360","WP_005060018.1"
"361","WP_005060060.1"
"362","WP_005060104.1"
"363","WP_005060114.1"
"364","WP_005060116.1"
"365","WP_005060120.1"
"366","WP_005060147.1"
"367","WP_005060151.1"
"368","WP_005060155.1"
"369","WP_005060178.1"
"370","WP_005060195.1"
"371","WP_005060204.1"
"372","WP_005060209.1"
"373","WP_005060213.1"
"374","WP_005060218.1"
"375","WP_005060223.1"
"376","WP_005060261.1"
"377","WP_005060265.1"
"378","WP_005060281.1"
"379","WP_005060315.1"
"380","WP_005060324.1"
"381","WP_005060335.1"
"382","WP_005060339.1"
"383","WP_005060346.1"
"384","WP_005060350.1"
"385","WP_005060357.1"
"386","WP_005060366.1"
"387","WP_005060387.1"
"388","WP_005060395.1"
"389","WP_005060419.1"
"390","WP_005060436.1"
"391","WP_005060503.1"
"392","WP_005060517.1"
"393","WP_005060537.1"
"394","WP_005060587.1"
"395","WP_005060589.1"
