"","x"
"1","23676935"
"2","31781103"
"3","31781104"
"4","31781105"
"5","23676871"
"6","23676847"
"7","44958923"
"8","23676881"
"9","23676886"
"10","23676888"
"11","44958945"
"12","23676895"
"13","31781116"
"14","23676910"
"15","9496378"
"16","23676920"
"17","23676928"
"18","23676929"
"19","9496737"
"20","9496357"
"21","9495909"
"22","9495960"
"23","9497129"
"24","9497047"
"25","9496245"
"26","9496786"
"27","9496015"
"28","9496585"
"29","9496259"
"30","9496136"
"31","9496545"
"32","9496356"
"33","9496810"
"34","9496632"
"35","9495899"
"36","9496052"
"37","9496681"
"38","23676950"
"39","9496394"
"40","9496648"
"41","9495996"
"42","9496115"
"43","9495918"
"44","9496731"
"45","9496072"
"46","9496367"
"47","9496644"
"48","9496877"
"49","9497087"
"50","9496940"
"51","9496037"
"52","9496576"
"53","9496227"
"54","9496598"
"55","9496534"
"56","9496162"
"57","9495818"
"58","9497109"
"59","9495993"
"60","9496798"
"61","9496897"
"62","9496279"
"63","9495997"
"64","9496270"
"65","9496866"
"66","9495848"
"67","9496085"
"68","9497027"
"69","9495871"
"70","9496208"
"71","9496195"
"72","9497133"
"73","23676905"
"74","9495994"
"75","9495817"
"76","44958948"
"77","9496019"
"78","9497023"
"79","9496411"
"80","9496164"
"81","9496013"
"82","9497044"
"83","9495841"
"84","9497173"
"85","9496606"
"86","9496223"
"87","9497172"
"88","9496549"
"89","9495990"
"90","9496793"
"91","9496234"
"92","9496416"
"93","9496997"
"94","9497026"
"95","9495951"
"96","9496754"
"97","9495968"
"98","9496628"
"99","9496241"
"100","9496676"
"101","9496182"
"102","9496377"
"103","9497098"
"104","9497037"
"105","9497028"
"106","9496899"
"107","9496140"
"108","9495822"
"109","9496672"
"110","9495902"
"111","9496536"
"112","9496991"
"113","9496203"
"114","23676897"
"115","9496690"
"116","9496151"
"117","9496400"
"118","9496891"
"119","9495995"
"120","9496799"
"121","9496114"
"122","9495931"
"123","9497000"
"124","9496602"
"125","9497132"
"126","9497145"
"127","9496284"
"128","9496482"
"129","9496790"
"130","9496800"
"131","9495910"
"132","9495922"
"133","9496213"
"134","9495819"
"135","9496674"
"136","9496653"
"137","9496058"
"138","9496745"
"139","9496608"
"140","9496324"
"141","9496685"
"142","9496657"
"143","9496458"
"144","9495835"
"145","9496296"
"146","9496497"
"147","9496651"
"148","9496044"
"149","9496317"
"150","9496785"
"151","9496659"
"152","9495793"
"153","9496849"
"154","9496669"
"155","9496728"
"156","9496039"
"157","9496521"
"158","9496558"
"159","9496880"
"160","9496088"
"161","9496684"
