"","x"
"1","16830698"
"2","16830699"
"3","16830700"
"4","16830701"
"5","16830702"
"6","16830703"
"7","16830704"
"8","16830705"
"9","3919798"
"10","3919799"
"11","3919176"
"12","3919177"
"13","3919178"
"14","3919179"
"15","3919180"
"16","3919181"
"17","3919182"
"18","3919183"
"19","3919184"
"20","3919185"
"21","3919186"
"22","3919187"
"23","3919188"
"24","3919189"
"25","3919190"
"26","3919191"
"27","3919192"
"28","3919193"
"29","3919194"
"30","3919195"
"31","3919293"
"32","3919294"
"33","3919295"
"34","3919296"
"35","3919297"
"36","3919298"
"37","3919299"
"38","3919300"
"39","3919301"
"40","3919302"
"41","3919303"
"42","3919304"
"43","3919305"
"44","3919306"
"45","3919307"
"46","3919308"
"47","3919309"
"48","3919310"
"49","3919311"
"50","3919077"
"51","3919078"
"52","3919079"
"53","3919080"
"54","3919081"
"55","3919082"
"56","3919083"
"57","3919084"
"58","3919085"
"59","3919086"
"60","3919087"
"61","3919088"
"62","3919089"
"63","3919090"
"64","3919091"
"65","3919092"
"66","3919093"
"67","3919094"
"68","3919095"
"69","3919096"
"70","3919448"
"71","3919449"
"72","3919450"
"73","3919451"
"74","3919452"
"75","3919453"
"76","3919454"
"77","3919455"
"78","3919456"
"79","3919457"
"80","3919458"
"81","3919459"
"82","3919460"
"83","3919461"
"84","3919462"
"85","3919463"
"86","3919464"
"87","3919465"
"88","3919466"
"89","3919800"
"90","3919801"
"91","3919802"
"92","3919803"
"93","3919804"
"94","3919805"
"95","3919806"
"96","3919807"
"97","3919808"
"98","3919809"
"99","3919810"
"100","3919811"
"101","3919812"
"102","3919813"
"103","3919814"
"104","3919815"
"105","3919816"
"106","3919817"
"107","3919818"
"108","3919820"
"109","3919822"
"110","3919823"
"111","3919824"
"112","3919825"
"113","3919826"
"114","3919827"
"115","3919828"
"116","3919829"
"117","3919830"
"118","3919831"
"119","3919832"
"120","3919833"
"121","3919834"
"122","3919835"
"123","3919836"
"124","3919837"
"125","3919838"
"126","3919839"
"127","3919840"
"128","3919841"
"129","3919842"
"130","3919843"
"131","3919844"
"132","3919845"
"133","3919846"
"134","3919847"
"135","3919848"
"136","3919849"
"137","3919850"
"138","3919851"
"139","3919852"
"140","3919853"
"141","3919854"
"142","3919855"
"143","3919856"
"144","3919857"
"145","3919858"
"146","3919859"
"147","3919860"
"148","3919861"
"149","3919862"
"150","3919863"
"151","3919864"
"152","3919865"
"153","3919866"
"154","3919867"
"155","3919868"
"156",NA
"157","3919870"
"158","3919871"
"159","3919872"
"160","3919873"
"161","3919874"
"162","3919875"
"163","3919876"
"164","3919877"
"165","3919486"
"166","3919487"
"167","3919488"
"168","3919489"
"169","3919490"
"170","3919491"
"171","3919492"
"172","3919493"
"173","3919494"
"174","3919495"
"175","3919496"
"176","3919497"
"177","3919498"
"178","3919499"
"179","3919500"
"180","3919501"
"181","3919502"
"182","3919504"
"183","3919505"
"184","3920348"
"185","3920349"
"186","3920351"
"187","3920352"
"188","3920353"
"189","3920354"
"190","3920355"
"191","3920356"
"192","3920357"
"193","3920358"
"194","3920359"
"195","3920360"
"196","3920361"
"197","3920362"
"198","3920363"
"199","3920364"
"200","3920365"
"201","3920366"
"202","3920289"
"203","3920290"
"204","3920291"
"205","3920292"
"206","3920293"
"207","3920294"
"208","3920295"
"209","3920296"
"210","3920297"
"211","3920298"
"212","3920299"
"213","3920300"
"214","3920301"
"215","3920302"
"216","3920303"
"217","3920304"
"218","3920305"
"219","3920306"
"220","3920307"
"221","3920308"
"222","3919254"
"223","3919255"
"224","3919256"
"225","3919257"
"226","3919258"
"227","3919259"
"228","3919260"
"229","3919261"
"230","3919262"
"231","3919263"
"232","3919264"
"233","3919266"
"234","3919267"
"235","3919268"
"236","3919269"
"237","3919270"
"238","3919271"
"239","3919272"
"240","3919196"
"241","3919197"
"242","3919198"
"243","3919199"
"244","3919200"
"245","3919201"
"246","3919202"
"247","3919203"
"248","3919204"
"249","3919205"
"250","3919206"
"251","3919207"
"252","3919208"
"253","3919209"
"254","3919210"
"255","3919211"
"256","3919212"
"257","3919213"
"258","3919214"
"259","3919215"
"260","3918960"
"261","3918961"
"262","3918962"
"263","3918963"
"264","3918964"
"265","3918965"
"266","3918966"
"267","3918967"
"268","3918968"
"269","3918969"
"270","3918970"
"271","3918971"
"272","3918972"
"273","3918973"
"274","3918974"
"275","3918975"
"276","3918976"
"277","3918977"
"278","3918978"
"279","3919525"
"280","3919526"
"281","3919527"
"282","3919528"
"283","3919529"
"284","3919530"
"285","3919531"
"286","3919532"
"287","3919533"
"288","3919534"
"289","3919535"
"290","3919536"
"291","3919537"
"292","3919538"
"293","3919539"
"294","3919540"
"295","3919541"
"296","3919542"
"297","3919543"
"298","3919544"
"299","3919584"
"300","3919585"
"301","3919586"
"302","3919587"
"303","3919588"
"304","3919589"
"305","3919590"
"306","3919591"
"307","3919592"
"308","3919593"
"309","3919594"
"310","3919595"
"311","3919596"
"312","3919597"
"313","3919598"
"314","3919599"
"315","3919600"
"316","3919601"
"317","3919602"
"318","3921812"
"319","3921813"
"320","3921814"
"321","3921815"
"322","3921816"
"323","3921817"
"324","3921818"
"325","3921819"
"326","3921820"
"327","3921821"
"328","3921822"
"329","3921823"
"330","3921824"
"331","3921825"
"332","3921826"
"333","3921827"
"334","3921828"
"335","3921829"
"336","3921830"
"337","3921831"
"338","3921677"
"339","3919779"
"340","3919780"
"341","3919781"
"342","3919782"
"343","3919783"
"344","3919784"
"345","3919785"
"346","3919786"
"347","3919787"
"348","3919788"
"349","3919789"
"350","3919790"
"351","3919791"
"352","3919792"
"353","3919793"
"354","3919794"
"355","3919795"
"356","3919796"
"357","3919797"
"358","3919118"
"359","3919119"
"360","3919120"
"361","3919121"
"362","3919122"
"363","3919123"
"364","3919124"
"365","3919125"
"366","3919126"
"367","3919127"
"368","3919128"
"369","3919129"
"370","3919130"
"371","3919131"
"372","3919132"
"373","3919133"
"374","3919134"
"375","3919135"
"376","3919136"
"377","3920561"
"378","3920562"
"379","3920563"
"380","3920564"
"381","3920565"
"382","3920566"
"383","3920567"
"384","3920568"
"385","3920569"
"386","3920570"
"387","3920571"
"388","3920572"
"389","3920573"
"390","3920574"
"391","3920575"
"392","3920576"
"393","3920577"
"394","3920578"
"395","3920579"
"396","3919097"
"397","3919098"
"398","3919099"
"399","3919100"
"400","3919101"
"401","3919102"
"402","3919103"
"403","3919104"
"404","3919105"
"405","3919106"
"406","3919107"
"407","3919108"
"408","3919109"
"409","3919110"
"410","3919111"
"411","3919112"
"412","3919113"
"413","3919114"
"414","3919115"
"415","3919116"
"416","3920309"
"417","3920310"
"418","3920311"
"419","3920312"
"420","3920314"
"421","3920315"
"422","3920316"
"423","3920317"
"424","3920318"
"425","3920319"
"426","3920321"
"427","3920322"
"428","3920323"
"429","3920324"
"430","3920325"
"431","3920326"
"432","3920327"
"433","3920328"
"434","3920329"
"435","3920330"
"436","3920331"
"437","3920332"
"438","3920333"
"439","3920334"
"440","3920335"
"441","3920336"
"442","3920337"
"443","3920338"
"444","3920339"
"445","3920340"
"446","3920341"
"447","3920342"
"448","3920343"
"449","3920344"
"450","3920345"
"451","3920346"
"452","3920347"
"453","3920406"
"454","3920407"
"455","3920408"
"456","3920409"
"457","3920410"
"458","3920411"
"459","3920412"
"460","3920413"
"461","3920414"
"462","3920415"
"463","3920416"
"464","3920417"
"465","3920419"
"466","3920420"
"467","3920421"
"468","3920422"
"469","3920423"
"470","3920424"
"471","3920367"
"472","3920368"
"473","3920369"
"474","3920370"
"475","3920371"
"476","3920372"
"477","3920373"
"478","3920374"
"479","3920375"
"480","3920376"
"481","3920377"
"482","3920378"
"483","3920379"
"484","3920380"
"485","3920381"
"486","3920382"
"487","3920383"
"488","3920384"
"489","3920385"
"490","3920386"
"491","3920814"
"492","3920815"
"493","3920816"
"494","3920817"
"495","3920818"
"496","3920819"
"497","3920820"
"498","3920821"
"499","3920822"
"500","3920823"
"501","3921679"
"502","3920824"
"503","3920825"
"504","3920826"
"505","3920827"
"506","3920828"
"507","3920829"
"508","3920830"
"509","3920831"
"510","3920832"
"511","3920599"
"512","3920600"
"513","3920601"
"514","3920602"
"515","3920603"
"516","3920604"
"517","3920605"
"518","3920606"
"519","3920607"
"520","3920608"
"521","3920609"
"522","3920610"
"523","3920611"
"524","3920612"
"525","3920613"
"526","3920614"
"527","3920615"
"528","3920616"
"529","3920617"
"530","3920618"
"531","3920503"
"532","3920504"
"533","3920505"
"534","3920506"
"535","3920507"
"536","3920508"
"537","3920509"
"538","3920510"
"539","3920511"
"540","3920512"
"541","3920513"
"542","3920514"
"543","3920515"
"544","3920518"
"545","3920519"
"546","3920520"
"547","3920521"
"548","3918921"
"549","3918922"
"550","3918923"
"551","3918924"
"552","3918925"
"553","3918926"
"554","3918927"
"555","3918928"
"556","3918929"
"557","3918930"
"558","3918931"
"559","3918932"
"560","3918933"
"561","3918934"
"562","3918935"
"563","3918936"
"564","3918937"
"565","3918938"
"566","3918939"
"567","3918940"
