"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39","WP_002804494.1"
"40","WP_002808376.1"
"41","WP_002811889.1"
"42","WP_004134334.1"
"43","WP_004135358.1"
"44","WP_004136763.1"
"45","WP_004141526.1"
"46","WP_004143350.1"
"47","WP_004145248.1"
"48","WP_004145320.1"
"49","WP_004145321.1"
"50","WP_004145336.1"
"51","WP_004145337.1"
"52","WP_004145338.1"
"53","WP_004145339.1"
"54","WP_004145348.1"
"55","WP_004145350.1"
"56","WP_004145357.1"
"57","WP_004145443.1"
"58","WP_004145446.1"
"59","WP_004146318.1"
"60","WP_004147099.1"
"61","WP_004147311.1"
"62","WP_004147861.1"
"63","WP_004150340.1"
"64","WP_004150412.1"
"65","WP_004150462.1"
"66","WP_004151683.1"
"67","WP_004151998.1"
"68","WP_004152323.1"
"69","WP_004152833.1"
"70","WP_004152891.1"
"71","WP_004152909.1"
"72","WP_004153175.1"
"73","WP_004153307.1"
"74","WP_004153552.1"
"75","WP_004153634.1"
"76","WP_004153735.1"
"77","WP_004153772.1"
"78","WP_004153835.1"
"79","WP_004153894.1"
"80","WP_004154241.1"
"81","WP_004154307.1"
"82","WP_004154350.1"
"83","WP_004154360.1"
"84","WP_004154360.1"
"85","WP_004154362.1"
"86","WP_004154430.1"
"87","WP_004154485.1"
"88","WP_004154486.1"
"89","WP_004154487.1"
"90","WP_004154489.1"
"91","WP_004154490.1"
"92","WP_004154491.1"
"93","WP_004154498.1"
"94","WP_004154500.1"
"95","WP_004154513.1"
"96","WP_004154541.1"
"97","WP_004154600.1"
"98","WP_005407480.1"
"99","WP_005407483.1"
"100","WP_005407487.1"
"101","WP_005407488.1"
"102","WP_005407490.1"
"103","WP_005407501.1"
"104","WP_005407504.1"
"105","WP_005407510.1"
"106","WP_005407511.1"
"107","WP_005407516.1"
"108","WP_005407529.1"
"109","WP_005407530.1"
"110","WP_005407534.1"
"111","WP_005407536.1"
"112","WP_005407538.1"
"113","WP_005407539.1"
"114","WP_005407540.1"
"115","WP_005407542.1"
"116","WP_005407550.1"
"117","WP_005407593.1"
"118","WP_005407594.1"
"119","WP_005407596.1"
"120","WP_005407606.1"
"121","WP_005407612.1"
"122","WP_005407612.1"
"123","WP_005407612.1"
"124","WP_005407619.1"
"125","WP_005407620.1"
"126","WP_005407625.1"
"127","WP_005407628.1"
"128","WP_005407630.1"
"129","WP_005407633.1"
"130","WP_005407643.1"
"131","WP_005407644.1"
"132","WP_005407653.1"
"133","WP_005407654.1"
"134","WP_005407656.1"
"135","WP_005407659.1"
"136","WP_005407661.1"
"137","WP_005407662.1"
"138","WP_005407669.1"
"139","WP_005407672.1"
"140","WP_005407681.1"
"141","WP_005407684.1"
"142","WP_005407687.1"
"143","WP_005407688.1"
"144","WP_005407689.1"
"145","WP_005407691.1"
"146","WP_005407693.1"
"147","WP_005407698.1"
"148","WP_005407709.1"
"149","WP_005407710.1"
"150","WP_005407723.1"
"151","WP_005407726.1"
"152","WP_005407727.1"
"153","WP_005407729.1"
"154","WP_005407741.1"
"155","WP_005407747.1"
"156","WP_005407750.1"
"157","WP_005407753.1"
"158","WP_005407755.1"
"159","WP_005407759.1"
"160","WP_005407763.1"
"161","WP_005407764.1"
"162","WP_005407770.1"
"163","WP_005407772.1"
"164","WP_005407773.1"
"165","WP_005407775.1"
"166","WP_005407777.1"
"167","WP_005407778.1"
"168","WP_005407780.1"
"169","WP_005407784.1"
"170","WP_005407790.1"
"171","WP_005407792.1"
"172","WP_005407797.1"
"173","WP_005407798.1"
"174","WP_005407800.1"
"175","WP_005407807.1"
"176","WP_005407808.1"
"177","WP_005407810.1"
"178","WP_005407814.1"
"179","WP_005407824.1"
"180","WP_005407828.1"
"181","WP_005407834.1"
"182","WP_005407836.1"
"183","WP_005407837.1"
"184","WP_005407886.1"
"185","WP_005407887.1"
"186","WP_005407889.1"
"187","WP_005407891.1"
"188","WP_005407892.1"
"189","WP_005407896.1"
"190","WP_005407897.1"
"191","WP_005407901.1"
"192","WP_005407907.1"
"193","WP_005407908.1"
"194","WP_005407909.1"
"195","WP_005407915.1"
"196","WP_005407916.1"
"197","WP_005407919.1"
"198","WP_005407924.1"
"199","WP_005407925.1"
"200","WP_005407927.1"
"201","WP_005407930.1"
"202","WP_005407938.1"
"203","WP_005407940.1"
"204","WP_005407946.1"
"205","WP_005407947.1"
"206","WP_005407948.1"
"207","WP_005407950.1"
"208","WP_005407952.1"
"209","WP_005407953.1"
"210","WP_005407957.1"
"211","WP_005407958.1"
"212","WP_005407961.1"
"213","WP_005407964.1"
"214","WP_005407965.1"
"215","WP_005407999.1"
"216","WP_005408000.1"
"217","WP_005408001.1"
"218","WP_005408002.1"
"219","WP_005408003.1"
"220","WP_005408004.1"
"221","WP_005408012.1"
"222","WP_005408015.1"
"223","WP_005408019.1"
"224","WP_005408024.1"
"225","WP_005408025.1"
"226","WP_005408029.1"
"227","WP_005408032.1"
"228","WP_005408033.1"
"229","WP_005408036.1"
"230","WP_005408038.1"
"231","WP_005408039.1"
"232","WP_005408041.1"
"233","WP_005408042.1"
"234","WP_005408051.1"
"235","WP_005408070.1"
"236","WP_005408078.1"
"237","WP_005408080.1"
"238","WP_005408082.1"
"239","WP_005408083.1"
"240","WP_005408084.1"
"241","WP_005408085.1"
"242","WP_005408086.1"
"243","WP_005408087.1"
"244","WP_005408094.1"
"245","WP_005408103.1"
"246","WP_005408109.1"
"247","WP_005408112.1"
"248","WP_005408114.1"
"249","WP_005408115.1"
"250","WP_005408118.1"
"251","WP_005408121.1"
"252","WP_005408126.1"
"253","WP_005408127.1"
"254","WP_005408140.1"
"255","WP_005408141.1"
"256","WP_005408144.1"
"257","WP_005408145.1"
"258","WP_005408147.1"
"259","WP_005408148.1"
"260","WP_005408153.1"
"261","WP_005408156.1"
"262","WP_005408159.1"
"263","WP_005408161.1"
"264","WP_005408163.1"
"265","WP_005408165.1"
"266","WP_005408173.1"
"267","WP_005408178.1"
"268","WP_005408180.1"
"269","WP_005408181.1"
"270","WP_005408182.1"
"271","WP_005408183.1"
"272","WP_005408184.1"
"273","WP_005408191.1"
"274","WP_005408192.1"
"275","WP_005408193.1"
"276","WP_005408195.1"
"277","WP_005408196.1"
"278","WP_005408197.1"
"279","WP_005408202.1"
"280","WP_005408203.1"
"281","WP_005408204.1"
"282","WP_005408205.1"
"283","WP_005408208.1"
"284","WP_005408209.1"
"285","WP_005408210.1"
"286","WP_005408211.1"
"287","WP_005408213.1"
"288","WP_005408214.1"
"289","WP_005408215.1"
"290","WP_005408216.1"
"291","WP_005408217.1"
"292","WP_005408223.1"
"293","WP_005408225.1"
"294","WP_005408228.1"
"295","WP_005408229.1"
"296","WP_005408230.1"
"297","WP_005408232.1"
"298","WP_005408234.1"
"299","WP_005408235.1"
"300","WP_005408241.1"
"301","WP_005408244.1"
"302","WP_005408246.1"
"303","WP_005408251.1"
"304","WP_005408253.1"
"305","WP_005408255.1"
"306","WP_005408256.1"
"307","WP_005408257.1"
"308","WP_005408258.1"
"309","WP_005408270.1"
"310","WP_005408271.1"
"311","WP_005408275.1"
"312","WP_005408277.1"
"313","WP_005408281.1"
"314","WP_005408284.1"
"315","WP_005408286.1"
"316","WP_005408298.1"
"317","WP_005408299.1"
"318","WP_005408300.1"
"319","WP_005408301.1"
"320","WP_005408304.1"
"321","WP_005408308.1"
"322","WP_005408309.1"
"323","WP_005408310.1"
"324","WP_005408313.1"
"325","WP_005408320.1"
"326","WP_005408322.1"
"327","WP_005408323.1"
"328","WP_005408332.1"
"329","WP_005408339.1"
"330","WP_005408344.1"
"331","WP_005408377.1"
"332","WP_005408378.1"
"333","WP_005408380.1"
"334","WP_005408383.1"
"335","WP_005408385.1"
"336","WP_005408386.1"
"337","WP_005408388.1"
"338","WP_005408391.1"
"339","WP_005408392.1"
"340","WP_005408396.1"
"341","WP_005408397.1"
"342","WP_005408398.1"
"343","WP_005408399.1"
"344","WP_005408402.1"
"345","WP_005408408.1"
"346","WP_005408411.1"
"347","WP_005408415.1"
"348","WP_005408419.1"
"349","WP_005408420.1"
"350","WP_005408421.1"
"351","WP_005408427.1"
"352","WP_005408429.1"
"353","WP_005408434.1"
"354","WP_005408435.1"
"355","WP_005408436.1"
"356","WP_005408439.1"
"357","WP_005408441.1"
"358","WP_005408442.1"
"359","WP_005408443.1"
"360","WP_005408444.1"
"361","WP_005408485.1"
"362","WP_005408504.1"
"363","WP_005408509.1"
"364","WP_005408516.1"
"365","WP_005408523.1"
"366","WP_005408528.1"
"367","WP_005408532.1"
"368","WP_005408533.1"
"369","WP_005408535.1"
"370","WP_005408536.1"
"371","WP_005408537.1"
"372","WP_005408538.1"
"373","WP_005408539.1"
"374","WP_005408542.1"
"375","WP_005408543.1"
"376","WP_005408547.1"
"377","WP_005408557.1"
"378","WP_005408558.1"
"379","WP_005408560.1"
"380","WP_005408564.1"
"381","WP_005408565.1"
"382","WP_005408571.1"
"383","WP_005408582.1"
"384","WP_005408583.1"
"385","WP_005408584.1"
"386","WP_005408586.1"
"387","WP_005408591.1"
"388","WP_005408594.1"
"389","WP_005408595.1"
"390","WP_005408597.1"
"391","WP_005408604.1"
"392","WP_005408651.1"
"393","WP_005408663.1"
"394","WP_005408664.1"
"395","WP_005408666.1"
"396","WP_005408670.1"
"397","WP_005408692.1"
"398","WP_005408699.1"
"399","WP_005408701.1"
