"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146","WP_000002019.1"
"147","WP_000002997.1"
"148","WP_000003935.1"
"149","WP_000004139.1"
"150","WP_000005008.1"
"151","WP_000006154.1"
"152","WP_000006706.1"
"153","WP_000008798.1"
"154","WP_000009141.1"
"155","WP_000010163.1"
"156","WP_000011015.1"
"157","WP_000011306.1"
"158","WP_000011699.1"
"159","WP_000011789.1"
"160","WP_000013420.1"
"161","WP_000013542.1"
"162","WP_000017620.1"
"163","WP_000017793.1"
"164","WP_000018169.1"
"165","WP_000018262.1"
"166","WP_000020988.1"
"167","WP_000021242.1"
"168","WP_000021975.1"
"169","WP_000022100.1"
"170","WP_000022268.1"
"171","WP_000022608.1"
"172","WP_000022715.1"
"173","WP_000022750.1"
"174","WP_000022815.1"
"175","WP_000022879.1"
"176","WP_000023518.1"
"177","WP_000024408.1"
"178","WP_000024543.1"
"179","WP_000025401.1"
"180","WP_000026610.1"
"181","WP_000026641.1"
"182","WP_000027902.1"
"183","WP_000028164.1"
"184","WP_000029046.1"
"185","WP_000029272.1"
"186","WP_000029860.1"
"187","WP_000030209.1"
"188","WP_000030431.1"
"189","WP_000031084.1"
"190","WP_000031166.1"
"191","WP_000031573.1"
"192","WP_000031832.1"
"193","WP_000031966.1"
"194","WP_000032218.1"
"195","WP_000032293.1"
"196","WP_000032347.1"
"197","WP_000032453.1"
"198","WP_000032532.1"
"199","WP_000032550.1"
"200","WP_000033108.1"
"201","WP_000033364.1"
"202","WP_000033780.1"
"203","WP_000033830.1"
"204","WP_000033951.1"
"205","WP_000034662.1"
"206","WP_000036043.1"
"207","WP_000036666.1"
"208","WP_000036771.1"
"209","WP_000037113.1"
"210","WP_000037270.1"
"211","WP_000038629.1"
"212","WP_000038653.1"
"213","WP_000038729.1"
"214","WP_000039219.1"
"215","WP_000039255.1"
"216","WP_000039621.1"
"217","WP_000040904.1"
"218","WP_000041497.1"
"219","WP_000041909.1"
"220","WP_000043230.1"
"221","WP_000043299.1"
"222","WP_000046028.1"
"223","WP_000048055.1"
"224","WP_000048090.1"
"225","WP_000049767.1"
"226","WP_000050748.1"
"227","WP_000051195.1"
"228","WP_000051787.1"
"229","WP_000053385.1"
"230","WP_000054201.1"
"231","WP_000057241.1"
"232","WP_000058033.1"
"233","WP_000058147.1"
"234","WP_000060169.1"
"235","WP_000061648.1"
"236","WP_000064115.1"
"237","WP_000064394.1"
"238","WP_000064821.1"
"239","WP_000065637.1"
"240","WP_000065723.1"
"241","WP_000065990.1"
"242","WP_000067852.1"
"243","WP_000068050.1"
"244","WP_000068144.1"
"245","WP_000068664.1"
"246","WP_000071396.1"
"247","WP_000071459.1"
"248","WP_000071672.1"
"249","WP_000072891.1"
"250","WP_000073428.1"
"251","WP_000073937.1"
"252","WP_000075798.1"
"253","WP_000075973.1"
"254","WP_000076161.1"
"255","WP_000076479.1"
"256","WP_000076536.1"
"257","WP_000076776.1"
"258","WP_000078023.1"
"259","WP_000078140.1"
"260","WP_000078389.1"
"261","WP_000078572.1"
"262","WP_000078805.1"
"263","WP_000078846.1"
"264","WP_000079154.1"
"265","WP_000079358.1"
"266","WP_000080996.1"
"267","WP_000082887.1"
"268","WP_000083614.1"
"269","WP_000083698.1"
"270","WP_000085022.1"
"271","WP_000085677.1"
"272","WP_000086633.1"
"273","WP_000087873.1"
"274","WP_000087897.1"
"275","WP_000088780.1"
"276","WP_000089991.1"
"277","WP_000090344.1"
"278","WP_000090397.1"
"279","WP_000090781.1"
"280","WP_000091276.1"
"281","WP_000091534.1"
"282","WP_000092756.1"
"283","WP_000094354.1"
"284","WP_000095484.1"
"285","WP_000096129.1"
"286","WP_000096185.1"
"287","WP_000099031.1"
"288","WP_000102460.1"
"289","WP_000103700.1"
"290","WP_000105242.1"
"291","WP_000105270.1"
"292","WP_000105310.1"
"293","WP_000105362.1"
"294","WP_000106346.1"
"295","WP_000108190.1"
"296","WP_000109141.1"
"297","WP_000109215.1"
"298","WP_000109957.1"
"299","WP_000114427.1"
"300","WP_000114489.1"
"301","WP_000114808.1"
"302","WP_000115140.1"
"303","WP_000116181.1"
"304","WP_000116477.1"
"305","WP_000118087.1"
"306","WP_000119153.1"
"307","WP_000119707.1"
"308","WP_000119900.1"
"309","WP_000120562.1"
"310","WP_000120709.1"
"311","WP_000120724.1"
"312","WP_000120830.1"
"313","WP_000121636.1"
"314","WP_000121655.1"
"315","WP_000121704.1"
"316","WP_000122904.1"
"317","WP_000123614.1"
"318","WP_000123638.1"
"319","WP_000124550.1"
"320","WP_000124748.1"
"321","WP_000124836.1"
"322","WP_000125400.1"
"323","WP_000127261.1"
"324","WP_000127466.1"
"325","WP_000127552.1"
"326","WP_000128639.1"
"327","WP_000129082.1"
"328","WP_000129689.1"
"329","WP_000131076.1"
"330","WP_000131158.1"
"331","WP_000131446.1"
"332","WP_000132569.1"
"333","WP_000133339.1"
"334","WP_000134039.1"
"335","WP_000134124.1"
"336","WP_000136147.1"
"337","WP_000136224.1"
"338","WP_000136284.1"
"339","WP_000136447.1"
"340","WP_000136824.1"
"341","WP_000136861.1"
"342","WP_000136976.1"
"343","WP_000137265.1"
"344","WP_000137358.1"
"345","WP_000138135.1"
"346","WP_000138517.1"
"347","WP_000140846.1"
"348","WP_000140959.1"
"349","WP_000141499.1"
"350","WP_000141910.1"
"351","WP_000143265.1"
"352","WP_000143443.1"
"353","WP_000143735.1"
"354","WP_000144280.1"
"355","WP_000146522.1"
"356","WP_000146861.1"
"357","WP_000146947.1"
"358","WP_000148019.1"
"359","WP_000148137.1"
"360","WP_000148260.1"
"361","WP_000150708.1"
"362","WP_000150986.1"
"363","WP_000151313.1"
"364","WP_000151333.1"
"365","WP_000151458.1"
"366","WP_000151829.1"
"367","WP_000151964.1"
"368","WP_000152216.1"
"369","WP_000152348.1"
"370","WP_000152673.1"
"371","WP_000153023.1"
"372","WP_000155429.1"
"373","WP_000156355.1"
"374","WP_000156967.1"
"375","WP_000157154.1"
"376","WP_000158639.1"
"377","WP_000158722.1"
"378","WP_000158781.1"
"379","WP_000159176.1"
"380","WP_000159434.1"
"381","WP_000159554.1"
"382","WP_000160197.1"
"383","WP_000160958.1"
"384","WP_000161389.1"
"385","WP_000161491.1"
"386","WP_000162354.1"
"387","WP_000162439.1"
"388","WP_000163025.1"
"389","WP_000163109.1"
"390","WP_000163321.1"
"391","WP_000163696.1"
"392","WP_000163929.1"
"393","WP_000164111.1"
"394","WP_000164299.1"
"395","WP_000164753.1"
"396","WP_000165444.1"
"397","WP_000166031.1"
"398","WP_000166475.1"
"399","WP_000166586.1"
"400","WP_000166701.1"
"401","WP_000166727.1"
"402","WP_000167096.1"
"403","WP_000167117.1"
"404","WP_000167287.1"
"405","WP_000167408.1"
"406","WP_000167454.1"
"407","WP_000167624.1"
"408","WP_000167757.1"
"409","WP_000167846.1"
"410","WP_000169077.1"
"411","WP_000169251.1"
"412","WP_000169895.1"
"413","WP_000170194.1"
"414","WP_000170913.1"
"415","WP_000171205.1"
"416","WP_000171676.1"
"417","WP_000173358.1"
"418","WP_000173746.1"
"419","WP_000174757.1"
"420","WP_000175407.1"
"421","WP_000176378.1"
"422","WP_000177009.1"
"423","WP_000177175.1"
"424","WP_000178620.1"
"425","WP_000179549.1"
"426","WP_000179646.1"
"427","WP_000179772.1"
"428","WP_000180485.1"
"429","WP_000180803.1"
"430","WP_000181087.1"
"431","WP_000181383.1"
"432","WP_000181689.1"
"433","WP_000182438.1"
"434","WP_000182582.1"
"435","WP_000182935.1"
"436","WP_000183295.1"
"437","WP_000185155.1"
"438","WP_000185277.1"
"439","WP_000185363.1"
"440","WP_000185835.1"
"441","WP_000185874.1"
"442","WP_000187233.1"
"443","WP_000188498.1"
"444","WP_000189477.1"
"445","WP_000189869.1"
"446","WP_000190397.1"
"447","WP_000191790.1"
"448","WP_000191983.1"
"449","WP_000192079.1"
"450","WP_000193624.1"
"451","WP_000196409.1"
"452","WP_000196552.1"
"453","WP_000198679.1"
"454","WP_000199207.1"
"455","WP_000199272.1"
"456","WP_000199377.1"
"457","WP_000199534.1"
