"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56","WP_000068665.1"
"57","WP_000369785.1"
"58","WP_000533765.1"
"59","WP_000868345.1"
"60","WP_000960950.1"
"61","WP_001040189.1"
"62","WP_001085699.1"
"63","WP_002262412.1"
"64","WP_002883489.1"
"65","WP_002883493.1"
"66","WP_002883500.1"
"67","WP_002883527.1"
"68","WP_002883563.1"
"69","WP_002883592.1"
"70","WP_002883600.1"
"71","WP_002883616.1"
"72","WP_002883618.1"
"73","WP_002883621.1"
"74","WP_002883622.1"
"75","WP_002883638.1"
"76","WP_002883644.1"
"77","WP_002883649.1"
"78","WP_002883656.1"
"79","WP_002883658.1"
"80","WP_002883663.1"
"81","WP_002883664.1"
"82","WP_002883666.1"
"83","WP_002883680.1"
"84","WP_002883682.1"
"85","WP_002883686.1"
"86","WP_002883695.1"
"87","WP_002883697.1"
"88","WP_002883720.1"
"89","WP_002883742.1"
"90","WP_002883743.1"
"91","WP_002883745.1"
"92","WP_002883765.1"
"93","WP_002883770.1"
"94","WP_002883776.1"
"95","WP_002883779.1"
"96","WP_002883780.1"
"97","WP_002883780.1"
"98","WP_002883780.1"
"99","WP_002883780.1"
"100","WP_002883780.1"
"101","WP_002883780.1"
"102","WP_002883780.1"
"103","WP_002883780.1"
"104","WP_002883780.1"
"105","WP_002883780.1"
"106","WP_002883780.1"
"107","WP_002883780.1"
"108","WP_002883780.1"
"109","WP_002883780.1"
"110","WP_002883786.1"
"111","WP_002883789.1"
"112","WP_002883798.1"
"113","WP_002883818.1"
"114","WP_002883819.1"
"115","WP_002883853.1"
"116","WP_002883896.1"
"117","WP_002883899.1"
"118","WP_002883901.1"
"119","WP_002883912.1"
"120","WP_002883924.1"
"121","WP_002883955.1"
"122","WP_002883962.1"
"123","WP_002883967.1"
"124","WP_002883969.1"
"125","WP_002883975.1"
"126","WP_002883990.1"
"127","WP_002883992.1"
"128","WP_002883994.1"
"129","WP_002883998.1"
"130","WP_002884014.1"
"131","WP_002884015.1"
"132","WP_002884025.1"
"133","WP_002884029.1"
"134","WP_002884044.1"
"135","WP_002884048.1"
"136","WP_002884100.1"
"137","WP_002884105.1"
"138","WP_002884119.1"
"139","WP_002884130.1"
"140","WP_002884134.1"
"141","WP_002884188.1"
"142","WP_002884193.1"
"143","WP_002884206.1"
"144","WP_002884210.1"
"145","WP_002884247.1"
"146","WP_002884251.1"
"147","WP_002884252.1"
"148","WP_002884253.1"
"149","WP_002884259.1"
"150","WP_002884262.1"
"151","WP_002884266.1"
"152","WP_002884270.1"
"153","WP_002884294.1"
"154","WP_002884313.1"
"155","WP_002884314.1"
"156","WP_002884315.1"
"157","WP_002884322.1"
"158","WP_002884332.1"
"159","WP_002884336.1"
"160","WP_002884345.1"
"161","WP_002884372.1"
"162","WP_002884393.1"
"163","WP_002884415.1"
"164","WP_002884421.1"
"165","WP_002884454.1"
"166","WP_002884466.1"
"167","WP_002884479.1"
"168","WP_002884484.1"
"169","WP_002884506.1"
"170","WP_002884517.1"
"171","WP_002884537.1"
"172","WP_002884540.1"
"173","WP_002884568.1"
"174","WP_002884573.1"
"175","WP_002884601.1"
"176","WP_002884629.1"
"177","WP_002884661.1"
"178","WP_002884675.1"
"179","WP_002884676.1"
"180","WP_002884680.1"
"181","WP_002884704.1"
"182","WP_002884706.1"
"183","WP_002884733.1"
"184","WP_002884736.1"
"185","WP_002884739.1"
"186","WP_002884746.1"
"187","WP_002884752.1"
"188","WP_002884769.1"
"189","WP_002884772.1"
"190","WP_002884784.1"
"191","WP_002884791.1"
"192","WP_002884809.1"
"193","WP_002884817.1"
"194","WP_002884818.1"
"195","WP_002884904.1"
"196","WP_002884910.1"
"197","WP_002884918.1"
"198","WP_002884978.1"
"199","WP_002884979.1"
"200","WP_002885026.1"
"201","WP_002885036.1"
"202","WP_002885057.1"
"203","WP_002885090.1"
"204","WP_002885093.1"
"205","WP_002885108.1"
"206","WP_002885119.1"
"207","WP_002885174.1"
"208","WP_002885228.1"
"209","WP_002885232.1"
"210","WP_002885271.1"
"211","WP_002885306.1"
"212","WP_002885310.1"
"213","WP_002885314.1"
"214","WP_002885327.1"
"215","WP_002885331.1"
"216","WP_002885361.1"
"217","WP_002885470.1"
"218","WP_002885478.1"
"219","WP_002885483.1"
"220","WP_002885495.1"
"221","WP_002885507.1"
"222","WP_002885547.1"
"223","WP_002885548.1"
"224","WP_002885550.1"
"225","WP_002885551.1"
"226","WP_002885562.1"
"227","WP_002885564.1"
"228","WP_002885567.1"
"229","WP_002885568.1"
"230","WP_002885572.1"
"231","WP_002885574.1"
"232","WP_002885581.1"
"233","WP_002885585.1"
"234","WP_002885591.1"
"235","WP_002885597.1"
"236","WP_002885605.1"
"237","WP_002885621.1"
"238","WP_002885626.1"
"239","WP_002885630.1"
"240","WP_002885632.1"
"241","WP_002885640.1"
"242","WP_002885642.1"
"243","WP_002885644.1"
"244","WP_002885648.1"
"245","WP_002885653.1"
"246","WP_002885694.1"
"247","WP_002885697.1"
"248","WP_002885699.1"
"249","WP_002885702.1"
"250","WP_002885709.1"
"251","WP_002885711.1"
"252","WP_002885718.1"
"253","WP_002885724.1"
"254","WP_002885727.1"
"255","WP_002885729.1"
"256","WP_002885737.1"
"257","WP_002885744.1"
"258","WP_002885750.1"
"259","WP_002885754.1"
"260","WP_002885755.1"
"261","WP_002885773.1"
"262","WP_002885786.1"
"263","WP_002885795.1"
"264","WP_002885800.1"
"265","WP_002885809.1"
"266","WP_002885810.1"
"267","WP_002885815.1"
"268","WP_002885818.1"
"269","WP_002885820.1"
"270","WP_002885833.1"
"271","WP_002885836.1"
"272","WP_002885866.1"
"273","WP_002885872.1"
"274","WP_002885874.1"
"275","WP_002885890.1"
"276","WP_002885892.1"
"277","WP_002885895.1"
"278","WP_002885900.1"
"279","WP_002885901.1"
"280","WP_002885905.1"
"281","WP_002885920.1"
"282","WP_002885939.1"
"283","WP_002885943.1"
"284","WP_002885965.1"
"285","WP_002885967.1"
"286","WP_002885970.1"
"287","WP_002885986.1"
"288","WP_002885994.1"
"289","WP_002885996.1"
"290","WP_002886021.1"
"291","WP_002886026.1"
"292","WP_002886027.1"
"293","WP_002886038.1"
"294","WP_002886048.1"
"295","WP_002886057.1"
"296","WP_002886071.1"
"297","WP_002886077.1"
"298","WP_002886081.1"
"299","WP_002886082.1"
"300","WP_002886106.1"
"301","WP_002886108.1"
"302","WP_002886135.1"
"303","WP_002886140.1"
"304","WP_002886147.1"
"305","WP_002886161.1"
"306","WP_002886165.1"
"307","WP_002886174.1"
"308","WP_002886175.1"
"309","WP_002886199.1"
"310","WP_002886219.1"
"311","WP_002886236.1"
"312","WP_002886251.1"
"313","WP_002886253.1"
"314","WP_002886272.1"
"315","WP_002886276.1"
"316","WP_002886286.1"
"317","WP_002886306.1"
"318","WP_002886328.1"
"319","WP_002886331.1"
"320","WP_002886332.1"
"321","WP_002886340.1"
"322","WP_002886343.1"
"323","WP_002886344.1"
"324","WP_002886347.1"
"325","WP_002886354.1"
"326","WP_002886359.1"
"327","WP_002886369.1"
"328","WP_002886370.1"
"329","WP_002886373.1"
"330","WP_002886374.1"
"331","WP_002886375.1"
"332","WP_002886378.1"
"333","WP_002886383.1"
"334","WP_002886384.1"
"335","WP_002886387.1"
"336","WP_002886388.1"
"337","WP_002886391.1"
"338","WP_002886392.1"
"339","WP_002886397.1"
"340","WP_002886406.1"
"341","WP_002886406.1"
"342","WP_002886406.1"
"343","WP_002886406.1"
"344","WP_002886406.1"
"345","WP_002886406.1"
"346","WP_002886406.1"
"347","WP_002886406.1"
"348","WP_002886438.1"
"349","WP_002886457.1"
"350","WP_002886472.1"
"351","WP_002886494.1"
"352","WP_002886496.1"
"353","WP_002886497.1"
"354","WP_002886506.1"
"355","WP_002886507.1"
"356","WP_002886509.1"
"357","WP_002886525.1"
"358","WP_002886528.1"
"359","WP_002886548.1"
"360","WP_002886558.1"
"361","WP_002886559.1"
"362","WP_002886560.1"
"363","WP_002886561.1"
"364","WP_002886562.1"
"365","WP_002886589.1"
"366","WP_002886592.1"
"367","WP_002886596.1"
"368","WP_002886606.1"
"369","WP_002886615.1"
"370","WP_002886619.1"
"371","WP_002886634.1"
"372","WP_002886644.1"
"373","WP_002886654.1"
"374","WP_002886710.1"
"375","WP_002886720.1"
"376","WP_002886723.1"
"377","WP_002886735.1"
"378","WP_002886749.1"
"379","WP_002886759.1"
"380","WP_002886760.1"
"381","WP_002886775.1"
"382","WP_002886783.1"
"383","WP_002886789.1"
"384","WP_002886792.1"
"385","WP_002886793.1"
"386","WP_002886794.1"
"387","WP_002886795.1"
"388","WP_002886797.1"
"389","WP_002886798.1"
"390","WP_002886799.1"
"391","WP_002886800.1"
"392","WP_002886804.1"
"393","WP_002886809.1"
"394","WP_002886816.1"
"395","WP_002886817.1"
"396","WP_002886818.1"
"397","WP_002886828.1"
"398","WP_002886846.1"
"399","WP_002886847.1"
"400","WP_002886859.1"
"401","WP_002886864.1"
"402","WP_002886869.1"
"403","WP_002886937.1"
"404","WP_002886968.1"
"405","WP_002886986.1"
"406","WP_002886991.1"
"407","WP_002886993.1"
"408","WP_002887019.1"
