From	To
Q8DQH0	spr:spr0671
Q8DQI5	spr:spr0653
Q8DQL1	spr:spr0622
Q8DRN6	spr:spr0034
P65240	spr:spr0028
Q8DQH1	spr:spr0670
Q8DP12	spr:spr1422
Q8CYZ5	spr:spr0680
Q8DRB6	spr:spr0235
Q8DN28	spr:spr1958
Q8CWV4	spr:spr0201
Q8DRE1	spr:spr0177
Q8DP32	spr:spr1383
P0A3R2	spr:spr0160
Q8DN74	spr:spr1882
Q8DN20	spr:spr1969
Q8CWS1	spr:spr0738
Q8DQH4	spr:spr0666
Q8DR98	spr:spr0260
Q8DPS0	spr:spr1036
Q8DQB9	spr:spr0750
Q8CWV7	spr:spr0189
Q8DQG6	spr:spr0678
Q8DR75	spr:spr0294
Q8DQX9	spr:spr0439
P63896	spr:spr1414
Q8DNQ1	spr:spr1599
Q8DQX1	spr:spr0449
Q8DMY8	spr:spr2015
Q8CWN5	spr:spr1881
Q8DQM0	spr:spr0605
P0A336	spr:spr1722
Q8DP37	spr:spr1377
Q8DQU7	spr:spr0492
Q8DQV5	spr:spr0478
Q8DP20	spr:spr1410
P65335	spr:spr0308
Q8DQD0	spr:spr0732
Q8CYI1	spr:spr1454
Q8CWT3	spr:spr0455
P65756	spr:spr1389
Q8DR06	spr:spr0400
Q8DP70	spr:spr1323
Q8CYY0	spr:spr0763
Q8DQB5	spr:spr0756
Q8CZ40	spr:spr0488
Q8DP65	spr:spr1329
Q8DQV2	spr:spr0481
Q8DR55	spr:spr0334
Q8DNZ7	spr:spr1445
Q8CZ81	spr:spr0252
Q8CZD2	spr:spr0008
Q8DRM7	spr:spr0045
Q8CWT4	spr:spr0454
Q8DP40	spr:spr1373
Q8DN62	spr:spr1897
Q8CZ76	spr:spr0283
Q8CYJ5	spr:spr1385
Q8DQM8	spr:spr0594
Q8DNW1	spr:spr1508
Q8DNQ6	spr:spr1593
Q8DNN3	spr:spr1625
Q8DQE5	spr:spr0716
Q8DQR3	spr:spr0538
P64298	spr:spr1300
Q8DNA2	spr:spr1841
P63668	spr:spr1359
P66473	spr:spr1394
Q8DRA5	spr:spr0251
Q8DN11	spr:spr1983
Q8DMX2	spr:spr2033
Q8DRF3	spr:spr0157
Q8CWU4	spr:spr0272
Q8CYE9	spr:spr1564
Q8DRN7	spr:spr0033
Q8DNM6	spr:spr1634
P63743	spr:spr1991
Q8DQQ5	spr:spr0548
Q8CYB6	spr:spr1733
Q8DR21	spr:spr0373
Q8DP13	spr:spr1421
Q8CYC5	spr:spr1679
Q8CYB4	spr:spr1741
Q8DND5	spr:spr1797
Q8DRF9	spr:spr0149
Q8CWV3	spr:spr0204
Q8CWU6	spr:spr0249
P66943	spr:spr1432
Q8DQT1	spr:spr0515
P64023	spr:spr0250
Q8DNV8	spr:spr1511
P66393	spr:spr0213
Q8CWT9	spr:spr0317
P66566	spr:spr0078
Q8DP44	spr:spr1360
P59214	spr:spr1918
Q8DRJ3	spr:spr0091
Q8CWS5	spr:spr0626
P0A4N0	spr:spr1705
Q8DQY0	spr:spr0438
Q8DNB0	spr:spr1832
Q8DNI9	spr:spr1690
Q8DPQ7	spr:spr1051
P63792	spr:spr1427
Q8DQT2	spr:spr0514
Q8CYD7	spr:spr1626
Q8DQH7	spr:spr0663
Q8DR29	spr:spr0362
Q8DNT4	spr:spr1558
Q8CZ41	spr:spr0487
Q8CZ51	spr:spr0442
Q8DQU0	spr:spr0505
Q8DQK7	spr:spr0627
Q8DNQ7	spr:spr1591
Q8DP52	spr:spr1351
Q8CYM0	spr:spr1288
Q8DQU8	spr:spr0490
Q8DN54	spr:spr1907
Q8DNM3	spr:spr1641
Q8DQU9	spr:spr0486
Q8CZ13	spr:spr0590
Q8CYR5	spr:spr1035
Q8DQR7	spr:spr0533
Q8CWT5	spr:spr0321
Q8CZ47	spr:spr0461
P0A4M0	spr:spr0715
Q8DMZ8	spr:spr2002
Q8DRN2	spr:spr0038
Q8CY68	spr:spr1941
Q8DR99	spr:spr0259
Q8DQI4	spr:spr0654
Q8DQB0	spr:spr0761
P65160	spr:spr1935
Q8DPQ1	spr:spr1062
Q8DP71	spr:spr1322
Q8DNT5	spr:spr1554
Q8DQD4	spr:spr0728
