From,To
P68805,sao:SAOUHSC_1342a
Q2G2H5,sao:SAOUHSC_00001
Q2G2H4,sao:SAOUHSC_00002
Q2G276,sao:SAOUHSC_00003
Q2G275,sao:SAOUHSC_00004
Q2G274,sao:SAOUHSC_00005
Q2G2Q0,sao:SAOUHSC_00006
Q2G2P8,sao:SAOUHSC_00007
Q2G2P7,sao:SAOUHSC_00008
P95689,sao:SAOUHSC_00009
Q2G2P6,sao:SAOUHSC_00010
Q2G2T5,sao:SAOUHSC_00012
Q2G2T4,sao:SAOUHSC_00013
Q2G2T2,sao:SAOUHSC_00014
Q2G2T6,sao:SAOUHSC_00015
Q2G2T3,sao:SAOUHSC_00017
Q2G1S4,sao:SAOUHSC_00018
Q2G1S3,sao:SAOUHSC_00019
Q2G2U6,sao:SAOUHSC_00020
Q2G2U4,sao:SAOUHSC_00021
Q2G2U3,sao:SAOUHSC_00022
Q2G2U2,sao:SAOUHSC_00023
Q2G2U5,sao:SAOUHSC_00024
Q2G253,sao:SAOUHSC_00025
Q2G249,sao:SAOUHSC_00026
Q2G252,sao:SAOUHSC_00027
Q2G251,sao:SAOUHSC_00028
Q2G250,sao:SAOUHSC_00029
Q2G2E9,sao:SAOUHSC_00030
Q2G2E8,sao:SAOUHSC_00031
Q2G2E6,sao:SAOUHSC_00032
Q2G2E7,sao:SAOUHSC_00033
Q2G1R8,sao:SAOUHSC_00034
Q2G1R7,sao:SAOUHSC_00035
Q2G1R6,sao:SAOUHSC_00036
Q2G1R5,sao:SAOUHSC_00037
Q2G1R4,sao:SAOUHSC_00038
Q2G1R3,sao:SAOUHSC_00039
Q2G1R2,sao:SAOUHSC_00040
Q2G1R1,sao:SAOUHSC_00041
Q2G1R0,sao:SAOUHSC_00042
Q2G1Q9,sao:SAOUHSC_00043
Q2G1Q8,sao:SAOUHSC_00044
Q2G1Q7,sao:SAOUHSC_00045
Q2G1Q6,sao:SAOUHSC_00046
Q2G1Q5,sao:SAOUHSC_00047
Q2G1Q4,sao:SAOUHSC_00049
Q2G1Q3,sao:SAOUHSC_00050
Q2G1Q2,sao:SAOUHSC_00051
Q2G1Q1,sao:SAOUHSC_00052
Q2G1Q0,sao:SAOUHSC_00053
Q2G1P9,sao:SAOUHSC_00054
Q2G1P8,sao:SAOUHSC_00055
Q2G1P7,sao:SAOUHSC_00056
Q2G1P6,sao:SAOUHSC_00057
Q2G1P5,sao:SAOUHSC_00058
Q2G1P4,sao:SAOUHSC_00060
Q2G1P3,sao:SAOUHSC_00061
Q2G1P2,sao:SAOUHSC_00062
Q2G1P1,sao:SAOUHSC_00064
Q2G1P0,sao:SAOUHSC_00065
Q2G1N9,sao:SAOUHSC_00067
P02976,sao:SAOUHSC_00069
Q2G1N7,sao:SAOUHSC_00070
Q2G1N6,sao:SAOUHSC_00071
Q2G1N5,sao:SAOUHSC_00072
Q2G1N4,sao:SAOUHSC_00074
Q2G1N3,sao:SAOUHSC_00075
Q2G1N2,sao:SAOUHSC_00076
Q2G1N1,sao:SAOUHSC_00077
Q2G1N0,sao:SAOUHSC_00078
Q2G1M9,sao:SAOUHSC_00079
Q2G1M8,sao:SAOUHSC_00080
Q2G1M7,sao:SAOUHSC_00081
Q2G1M6,sao:SAOUHSC_00082
Q2G1M5,sao:SAOUHSC_00083
Q2G1M3,sao:SAOUHSC_00084
Q2G1M2,sao:SAOUHSC_00085
Q2G1M1,sao:SAOUHSC_00086
Q2G1M0,sao:SAOUHSC_00087
Q2G289,sao:SAOUHSC_00088
Q2G287,sao:SAOUHSC_00089
Q2G290,sao:SAOUHSC_00090
Q2G288,sao:SAOUHSC_00091
Q2G262,sao:SAOUHSC_00092
Q2G261,sao:SAOUHSC_00093
Q2G260,sao:SAOUHSC_00094
Q2G263,sao:SAOUHSC_00096
Q2G228,sao:SAOUHSC_00097
Q2G226,sao:SAOUHSC_00099
Q2G224,sao:SAOUHSC_00100
Q2G227,sao:SAOUHSC_00101
Q2G225,sao:SAOUHSC_00102
Q2G1L9,sao:SAOUHSC_00103
Q2G1L8,sao:SAOUHSC_00104
Q2G1L7,sao:SAOUHSC_00105
Q2G1L6,sao:SAOUHSC_00106
Q2G1L5,sao:SAOUHSC_00107
Q2G1L4,sao:SAOUHSC_00108
Q2G1L3,sao:SAOUHSC_00109
Q2G1L1,sao:SAOUHSC_00111
Q2G1K9,sao:SAOUHSC_00113
Q2G1K8,sao:SAOUHSC_00114
Q2G1K7,sao:SAOUHSC_00115
Q2G1K6,sao:SAOUHSC_00116
Q2G1K5,sao:SAOUHSC_00117
Q2G1K4,sao:SAOUHSC_00118
Q2G1K3,sao:SAOUHSC_00119
Q2G1K2,sao:SAOUHSC_00120
Q2G1K1,sao:SAOUHSC_00121
Q2G1K0,sao:SAOUHSC_00122
Q2G1J9,sao:SAOUHSC_00123
Q2G1J8,sao:SAOUHSC_00124
Q2G1J7,sao:SAOUHSC_00125
Q2G1J6,sao:SAOUHSC_00126
Q2G1J5,sao:SAOUHSC_00127
Q2G1J4,sao:SAOUHSC_00128
Q2G1J3,sao:SAOUHSC_00129
Q2G1J2,sao:SAOUHSC_00130
Q2G1J1,sao:SAOUHSC_00131
Q2G1J0,sao:SAOUHSC_00132
Q2G1I9,sao:SAOUHSC_00133
Q2G1I8,sao:SAOUHSC_00134
Q2G1I7,sao:SAOUHSC_00135
Q2G1I6,sao:SAOUHSC_00136
Q2G1I5,sao:SAOUHSC_00137
Q2G1I4,sao:SAOUHSC_00138
Q2G1I3,sao:SAOUHSC_00139
Q2G1I2,sao:SAOUHSC_00141
Q2G1I1,sao:SAOUHSC_00142
Q2G1I0,sao:SAOUHSC_00143
Q2G1H9,sao:SAOUHSC_00144
Q2G1H8,sao:SAOUHSC_00145
Q2G1H7,sao:SAOUHSC_00146
Q2G1H6,sao:SAOUHSC_00147
Q2G1H5,sao:SAOUHSC_00148
Q2G1H4,sao:SAOUHSC_00149
Q2G1H3,sao:SAOUHSC_00150
Q2G1H2,sao:SAOUHSC_00151
Q2G1H1,sao:SAOUHSC_00152
Q2G1H0,sao:SAOUHSC_00153
Q2G1G9,sao:SAOUHSC_00154
Q2G1G8,sao:SAOUHSC_00155
Q2G1G7,sao:SAOUHSC_00156
Q2G1G6,sao:SAOUHSC_00157
Q2G1G5,sao:SAOUHSC_00158
Q2G1G4,sao:SAOUHSC_00160
Q2G1G3,sao:SAOUHSC_00161
Q2G1G1,sao:SAOUHSC_00163
Q2G1G0,sao:SAOUHSC_00164
Q2G1F9,sao:SAOUHSC_00166
Q2G1F8,sao:SAOUHSC_00167
Q2G1F7,sao:SAOUHSC_00168
Q2G1F6,sao:SAOUHSC_00169
Q2G1F5,sao:SAOUHSC_00170
Q2G1F4,sao:SAOUHSC_00171
Q2G1F3,sao:SAOUHSC_00172
Q2G1F2,sao:SAOUHSC_00173
Q2G1F1,sao:SAOUHSC_00174
Q2G1F0,sao:SAOUHSC_00175
Q2G1E9,sao:SAOUHSC_00176
Q2G1E8,sao:SAOUHSC_00177
Q2G1E7,sao:SAOUHSC_00178
Q2G1E6,sao:SAOUHSC_00179
Q2G1E5,sao:SAOUHSC_00180
Q2G1E4,sao:SAOUHSC_00181
Q2G1E3,sao:SAOUHSC_00182
Q2G1E2,sao:SAOUHSC_00183
Q2G1E1,sao:SAOUHSC_00184
Q2G1E0,sao:SAOUHSC_00185
Q2G1D9,sao:SAOUHSC_00186
Q2G1D8,sao:SAOUHSC_00187
Q2G1D7,sao:SAOUHSC_00188
Q2G1D5,sao:SAOUHSC_00190
Q2G1D4,sao:SAOUHSC_00191
Q2G1D3,sao:SAOUHSC_00192
Q2G1D2,sao:SAOUHSC_00193
Q2G1D0,sao:SAOUHSC_00195
Q2G1C9,sao:SAOUHSC_00196
Q2G1C8,sao:SAOUHSC_00197
Q2G1C7,sao:SAOUHSC_00198
Q2G1C6,sao:SAOUHSC_00199
Q2G1C5,sao:SAOUHSC_00200
Q2G2P5,sao:SAOUHSC_00201
Q2G2P4,sao:SAOUHSC_00202
Q2G2P3,sao:SAOUHSC_00203
Q2G2P2,sao:SAOUHSC_00204
Q2G2P1,sao:SAOUHSC_00205
Q2G218,sao:SAOUHSC_00206
Q2G216,sao:SAOUHSC_00208
Q2G219,sao:SAOUHSC_00209
Q2G217,sao:SAOUHSC_00211
Q2G215,sao:SAOUHSC_00212
Q2G2B8,sao:SAOUHSC_00213
Q2G2B7,sao:SAOUHSC_00214
Q2G2B6,sao:SAOUHSC_00215
Q2G2C8,sao:SAOUHSC_00216
Q2G2C7,sao:SAOUHSC_00217
Q2G2C6,sao:SAOUHSC_00218
Q2G2C5,sao:SAOUHSC_00219
Q2G2C4,sao:SAOUHSC_00220
Q2G1C4,sao:SAOUHSC_00221
Q2G1C2,sao:SAOUHSC_00222
Q2G1C1,sao:SAOUHSC_00223
Q2G1C0,sao:SAOUHSC_00225
Q2G1B9,sao:SAOUHSC_00226
Q2G1B8,sao:SAOUHSC_00227
Q2G1B7,sao:SAOUHSC_00228
P72360,sao:SAOUHSC_00229
Q53705,sao:SAOUHSC_00230
P60611,sao:SAOUHSC_00231
P72358,sao:SAOUHSC_00232
P60643,sao:SAOUHSC_00233
Q2G1B1,sao:SAOUHSC_00234
Q2G1B0,sao:SAOUHSC_00235
Q2G1A9,sao:SAOUHSC_00236
Q2G1A8,sao:SAOUHSC_00237
Q2G1A7,sao:SAOUHSC_00238
Q2G1A6,sao:SAOUHSC_00239
Q2G1A5,sao:SAOUHSC_00240
Q2G1A4,sao:SAOUHSC_00241
Q2G1A3,sao:SAOUHSC_00242
Q2G1A2,sao:SAOUHSC_00243
Q2G1A1,sao:SAOUHSC_00244
Q2G199,sao:SAOUHSC_00246
Q2G198,sao:SAOUHSC_00247
O33599,sao:SAOUHSC_00248
Q2G196,sao:SAOUHSC_00249
Q2G195,sao:SAOUHSC_00250
Q2G194,sao:SAOUHSC_00251
Q2G193,sao:SAOUHSC_00253
Q2G192,sao:SAOUHSC_00254
Q2G191,sao:SAOUHSC_00255
Q2G190,sao:SAOUHSC_00256
Q2G189,sao:SAOUHSC_00257
Q2G188,sao:SAOUHSC_00258
Q2G187,sao:SAOUHSC_00259
Q2G186,sao:SAOUHSC_00260
Q2G185,sao:SAOUHSC_00261
Q2G184,sao:SAOUHSC_00262
Q2G183,sao:SAOUHSC_00264
Q2G182,sao:SAOUHSC_00265
Q2G181,sao:SAOUHSC_00266
Q2G180,sao:SAOUHSC_00267
Q2G179,sao:SAOUHSC_00268
Q2G178,sao:SAOUHSC_00269
Q2G177,sao:SAOUHSC_00270
Q2G176,sao:SAOUHSC_00271
Q2G175,sao:SAOUHSC_00272
Q2G2Q9,sao:SAOUHSC_00274
Q2G2Q8,sao:SAOUHSC_00275
Q2G2Q7,sao:SAOUHSC_00276
Q2G2Q6,sao:SAOUHSC_00277
Q2G2Q5,sao:SAOUHSC_00278
Q2G174,sao:SAOUHSC_00279
Q2G173,sao:SAOUHSC_00280
Q2G172,sao:SAOUHSC_00281
Q2G171,sao:SAOUHSC_00282
Q2G170,sao:SAOUHSC_00284
Q2G168,sao:SAOUHSC_00285
Q2G167,sao:SAOUHSC_00287
Q2G166,sao:SAOUHSC_00289
Q2G165,sao:SAOUHSC_00290
Q2G164,sao:SAOUHSC_00291
Q2G163,sao:SAOUHSC_00292
Q2G162,sao:SAOUHSC_00293
Q2G161,sao:SAOUHSC_00294
Q2G160,sao:SAOUHSC_00295
Q2G159,sao:SAOUHSC_00296
Q2G158,sao:SAOUHSC_00297
Q2G157,sao:SAOUHSC_00298
Q2G156,sao:SAOUHSC_00299
Q2G155,sao:SAOUHSC_00300
Q2G154,sao:SAOUHSC_00301
Q2G153,sao:SAOUHSC_00302
Q2G152,sao:SAOUHSC_00303
Q2G151,sao:SAOUHSC_00304
Q2G150,sao:SAOUHSC_00305
Q2G149,sao:SAOUHSC_00306
Q2G148,sao:SAOUHSC_00307
Q2G147,sao:SAOUHSC_00308
Q2G146,sao:SAOUHSC_00309
Q2G145,sao:SAOUHSC_00310
Q2G144,sao:SAOUHSC_00311
Q2G143,sao:SAOUHSC_00312
Q2G142,sao:SAOUHSC_00313
Q2G141,sao:SAOUHSC_00314
Q2G140,sao:SAOUHSC_00315
Q2G139,sao:SAOUHSC_00316
Q2G138,sao:SAOUHSC_00317
Q2G137,sao:SAOUHSC_00318
Q2G136,sao:SAOUHSC_00319
Q2G135,sao:SAOUHSC_00320
Q2G134,sao:SAOUHSC_00322
Q2G133,sao:SAOUHSC_00323
Q2G132,sao:SAOUHSC_00324
Q2G131,sao:SAOUHSC_00325
Q2G130,sao:SAOUHSC_00326
Q2G129,sao:SAOUHSC_00327
Q2G128,sao:SAOUHSC_00328
Q2G127,sao:SAOUHSC_00329
Q2G126,sao:SAOUHSC_00330
Q2G1V7,sao:SAOUHSC_00331
Q2G1V5,sao:SAOUHSC_00332
Q2G1V4,sao:SAOUHSC_00333
Q2G1V6,sao:SAOUHSC_00334
Q2G1V3,sao:SAOUHSC_00335
Q2G124,sao:SAOUHSC_00336
Q2G123,sao:SAOUHSC_00337
Q2G122,sao:SAOUHSC_00338
Q2G121,sao:SAOUHSC_00339
Q2G120,sao:SAOUHSC_00340
Q2G119,sao:SAOUHSC_00341
Q2G118,sao:SAOUHSC_00342
Q2G117,sao:SAOUHSC_00344
Q2G116,sao:SAOUHSC_00345
Q2G115,sao:SAOUHSC_00346
Q2G114,sao:SAOUHSC_00347
Q2G113,sao:SAOUHSC_00348
Q2G112,sao:SAOUHSC_00349
Q2G111,sao:SAOUHSC_00350
Q2G110,sao:SAOUHSC_00351
Q2G109,sao:SAOUHSC_00352
Q2G108,sao:SAOUHSC_00353
Q2G107,sao:SAOUHSC_00354
Q2G106,sao:SAOUHSC_00355
Q2G105,sao:SAOUHSC_00356
Q2G104,sao:SAOUHSC_00357
Q2G103,sao:SAOUHSC_00358
Q2G102,sao:SAOUHSC_A00354
Q2G101,sao:SAOUHSC_00359
Q2G100,sao:SAOUHSC_00360
Q2G0Z9,sao:SAOUHSC_00362
Q2G0Z8,sao:SAOUHSC_00363
O05204,sao:SAOUHSC_00364
P0A0B7,sao:SAOUHSC_00365
Q2G0Z5,sao:SAOUHSC_00366
Q2G0Z4,sao:SAOUHSC_00367
Q2G0Z3,sao:SAOUHSC_00368
Q2G0Z2,sao:SAOUHSC_00369
Q2G0Z1,sao:SAOUHSC_00370
Q2G0Z0,sao:SAOUHSC_00371
Q2G0Y9,sao:SAOUHSC_00372
Q2G0Y8,sao:SAOUHSC_00373
Q2G0Y7,sao:SAOUHSC_00374
Q2G0Y6,sao:SAOUHSC_00375
Q2G0Y5,sao:SAOUHSC_00376
Q2G0Y4,sao:SAOUHSC_00377
Q2G0Y3,sao:SAOUHSC_00378
Q2G0Y1,sao:SAOUHSC_00381
Q2G0Y0,sao:SAOUHSC_00382
Q2G0X9,sao:SAOUHSC_00383
Q2G0X8,sao:SAOUHSC_00384
Q2G0X7,sao:SAOUHSC_00386
Q2G1S9,sao:SAOUHSC_00387
Q2G1S8,sao:SAOUHSC_00389
Q2G1S6,sao:SAOUHSC_00390
Q2G1S5,sao:SAOUHSC_00391
Q9RN32,sao:SAOUHSC_00392
Q2G2Y0,sao:SAOUHSC_00392
Q2G2X9,sao:SAOUHSC_00393
Q2G2X8,sao:SAOUHSC_00394
Q2G2X7,sao:SAOUHSC_00395
Q2G2Y1,sao:SAOUHSC_00396
Q2G0X6,sao:SAOUHSC_00397
Q2G0X5,sao:SAOUHSC_00398
Q2G0X4,sao:SAOUHSC_00399
Q2G0X3,sao:SAOUHSC_00400
Q2G0X2,sao:SAOUHSC_00401
Q2G0X1,sao:SAOUHSC_00402
Q2G0X0,sao:SAOUHSC_00404
Q2G0W9,sao:SAOUHSC_00405
Q2G0W8,sao:SAOUHSC_00406
Q2G0W7,sao:SAOUHSC_00407
Q2G0W6,sao:SAOUHSC_00408
Q2G0W5,sao:SAOUHSC_00409
Q2G0W4,sao:SAOUHSC_00410
Q2G0W3,sao:SAOUHSC_00411
Q2G0W2,sao:SAOUHSC_00412
Q2G0W1,sao:SAOUHSC_00413
Q2G0W0,sao:SAOUHSC_00414
Q2G0V9,sao:SAOUHSC_00415
Q2G0V8,sao:SAOUHSC_00416
Q2G0V7,sao:SAOUHSC_00417
Q2G0V6,sao:SAOUHSC_00418
Q2G0V5,sao:SAOUHSC_00420
Q2G0V4,sao:SAOUHSC_00421
Q2G0V3,sao:SAOUHSC_00422
Q2G0V2,sao:SAOUHSC_00423
Q2G0V1,sao:SAOUHSC_00424
Q2G0V0,sao:SAOUHSC_00426
Q2G0U9,sao:SAOUHSC_00427
Q2G0U8,sao:SAOUHSC_00428
Q2G0U7,sao:SAOUHSC_00429
Q2G0U6,sao:SAOUHSC_00430
Q2G0U5,sao:SAOUHSC_00431
Q2G0U4,sao:SAOUHSC_00433
Q2G0U3,sao:SAOUHSC_00434
Q2G0U2,sao:SAOUHSC_00435
Q2G0U1,sao:SAOUHSC_00436
Q2G0U0,sao:SAOUHSC_00437
Q2G0T9,sao:SAOUHSC_00438
Q2G0T8,sao:SAOUHSC_00439
Q2G0T7,sao:SAOUHSC_00440
Q2G0T6,sao:SAOUHSC_00441
Q2G0T5,sao:SAOUHSC_00442
Q2G0T4,sao:SAOUHSC_00444
Q2G0T3,sao:SAOUHSC_00445
Q2G0T2,sao:SAOUHSC_00446
Q2G232,sao:SAOUHSC_00450
Q2G230,sao:SAOUHSC_00451
Q2G229,sao:SAOUHSC_00452
Q2G2X1,sao:SAOUHSC_00454
Q2G2W9,sao:SAOUHSC_00455
Q2G2W8,sao:SAOUHSC_00456
Q2G2X0,sao:SAOUHSC_00457
Q2G2W7,sao:SAOUHSC_00458
Q2G1S1,sao:SAOUHSC_00459
Q2G1R9,sao:SAOUHSC_00461
Q2G1S2,sao:SAOUHSC_00462
Q2G0T1,sao:SAOUHSC_00463
Q2G0T0,sao:SAOUHSC_00464
Q2G0S9,sao:SAOUHSC_00465
Q2G0S8,sao:SAOUHSC_00466
Q2G0S7,sao:SAOUHSC_00467
Q2G0S6,sao:SAOUHSC_00468
Q2G0S5,sao:SAOUHSC_00469
Q2G0S4,sao:SAOUHSC_00470
Q2G0S3,sao:SAOUHSC_00471
Q2G0S2,sao:SAOUHSC_00472
Q2G0S1,sao:SAOUHSC_00473
Q2G0S0,sao:SAOUHSC_00474
Q2G0R9,sao:SAOUHSC_00475
Q2G0R8,sao:SAOUHSC_00477
Q2G0R7,sao:SAOUHSC_00479
Q2G0R6,sao:SAOUHSC_00480
Q2G0R5,sao:SAOUHSC_00481
Q2G0R4,sao:SAOUHSC_00482
Q2G0R3,sao:SAOUHSC_00483
Q2G0R2,sao:SAOUHSC_00484
Q2G0R1,sao:SAOUHSC_00485
Q2G0R0,sao:SAOUHSC_00486
Q2G0Q9,sao:SAOUHSC_00487
Q2G0Q8,sao:SAOUHSC_00488
Q2G0Q7,sao:SAOUHSC_00489
Q2G0Q6,sao:SAOUHSC_00490
Q2G0Q5,sao:SAOUHSC_00491
Q2G0Q4,sao:SAOUHSC_00492
Q2G0Q3,sao:SAOUHSC_00493
Q2G0Q2,sao:SAOUHSC_00497
Q2G0Q1,sao:SAOUHSC_00499
Q2G0Q0,sao:SAOUHSC_00500
