"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53","WP_002558050.1"
"54","WP_002558051.1"
"55","WP_002558052.1"
"56","WP_002558131.1"
"57","WP_002560155.1"
"58","WP_002562387.1"
"59","WP_002562412.1"
"60","WP_002562679.1"
"61","WP_004291236.1"
"62","WP_004292199.1"
"63","WP_004295473.1"
"64","WP_004296327.1"
"65","WP_004296332.1"
"66","WP_004296340.1"
"67","WP_004308130.1"
"68","WP_004326117.1"
"69","WP_004326125.1"
"70","WP_004326128.1"
"71","WP_004326133.1"
"72","WP_004326134.1"
"73","WP_004326135.1"
"74","WP_004326137.1"
"75","WP_004326138.1"
"76","WP_004327323.1"
"77","WP_004327325.1"
"78","WP_004327328.1"
"79","WP_004327329.1"
"80","WP_004327330.1"
"81","WP_004327332.1"
"82","WP_004327334.1"
"83","WP_004327336.1"
"84","WP_004327347.1"
"85","WP_004327348.1"
"86","WP_004327349.1"
"87","WP_004327350.1"
"88","WP_004327352.1"
"89","WP_004327353.1"
"90","WP_004327354.1"
"91","WP_004327357.1"
"92","WP_004327358.1"
"93","WP_004327362.1"
"94","WP_004327363.1"
"95","WP_004327367.1"
"96","WP_004327368.1"
"97","WP_004327369.1"
"98","WP_005675419.1"
"99","WP_005681356.1"
"100","WP_005775374.1"
"101","WP_005775379.1"
"102","WP_005775476.1"
"103","WP_005775503.1"
"104","WP_005775579.1"
"105","WP_005775585.1"
"106","WP_005775689.1"
"107","WP_005775707.1"
"108","WP_005775719.1"
"109","WP_005775732.1"
"110","WP_005775748.1"
"111","WP_005775782.1"
"112","WP_005775925.1"
"113","WP_005775969.1"
"114","WP_005776115.1"
"115","WP_005776335.1"
"116","WP_005776370.1"
"117","WP_005776430.1"
"118","WP_005776432.1"
"119","WP_005776445.1"
"120","WP_005776455.1"
"121","WP_005776619.1"
"122","WP_005776885.1"
"123","WP_005777530.1"
"124","WP_005777620.1"
"125","WP_005777701.1"
"126","WP_005777736.1"
"127","WP_005777810.1"
"128","WP_005777897.1"
"129","WP_005777960.1"
"130","WP_005778177.1"
"131","WP_005778198.1"
"132","WP_005778250.1"
"133","WP_005778408.1"
"134","WP_005778456.1"
"135","WP_005778522.1"
"136","WP_005778830.1"
"137","WP_005778918.1"
"138","WP_005779023.1"
"139","WP_005779329.1"
"140","WP_005779510.1"
"141","WP_005779516.1"
"142","WP_005779558.1"
"143","WP_005779696.1"
"144","WP_005779716.1"
"145","WP_005779718.1"
"146","WP_005779749.1"
"147","WP_005779810.1"
"148","WP_005780311.1"
"149","WP_005780358.1"
"150","WP_005780363.1"
"151","WP_005780364.1"
"152","WP_005780414.1"
"153","WP_005780691.1"
"154","WP_005780694.1"
"155","WP_005780701.1"
"156","WP_005780999.1"
"157","WP_005781085.1"
"158","WP_005781259.1"
"159","WP_005781396.1"
"160","WP_005781453.1"
"161","WP_005781763.1"
"162","WP_005781772.1"
"163","WP_005782103.1"
"164","WP_005782152.1"
"165","WP_005782154.1"
"166","WP_005782155.1"
"167","WP_005782157.1"
"168","WP_005782159.1"
"169","WP_005782161.1"
"170","WP_005782165.1"
"171","WP_005782187.1"
"172","WP_005782189.1"
"173","WP_005782191.1"
"174","WP_005782197.1"
"175","WP_005782201.1"
"176","WP_005782204.1"
"177","WP_005782213.1"
"178","WP_005782223.1"
"179","WP_005782229.1"
"180","WP_005782289.1"
"181","WP_005782293.1"
"182","WP_005782306.1"
"183","WP_005782402.1"
"184","WP_005782434.1"
"185","WP_005782445.1"
"186","WP_005782541.1"
"187","WP_005782842.1"
"188","WP_005782865.1"
"189","WP_005783445.1"
"190","WP_005783452.1"
"191","WP_005783471.1"
"192","WP_005783472.1"
"193","WP_005783474.1"
"194","WP_005783477.1"
"195","WP_005783481.1"
"196","WP_005783483.1"
"197","WP_005783488.1"
"198","WP_005783490.1"
"199","WP_005783491.1"
"200","WP_005783493.1"
"201","WP_005783505.1"
"202","WP_005783508.1"
"203","WP_005783513.1"
"204","WP_005783517.1"
"205","WP_005783520.1"
"206","WP_005783522.1"
"207","WP_005783524.1"
"208","WP_005783529.1"
"209","WP_005783534.1"
"210","WP_005783535.1"
"211","WP_005783541.1"
"212","WP_005783545.1"
"213","WP_005783550.1"
"214","WP_005783566.1"
"215","WP_005783570.1"
"216","WP_005783575.1"
"217","WP_005783583.1"
"218","WP_005783584.1"
"219","WP_005783586.1"
"220","WP_005783606.1"
"221","WP_005783635.1"
"222","WP_005783637.1"
"223","WP_005783641.1"
"224","WP_005783643.1"
"225","WP_005783649.1"
"226","WP_005783651.1"
"227","WP_005783653.1"
"228","WP_005783664.1"
"229","WP_005783668.1"
"230","WP_005783683.1"
"231","WP_005783689.1"
"232","WP_005783692.1"
"233","WP_005783699.1"
"234","WP_005783700.1"
"235","WP_005783702.1"
"236","WP_005783706.1"
"237","WP_005783712.1"
"238","WP_005783715.1"
"239","WP_005783716.1"
"240","WP_005783718.1"
"241","WP_005783728.1"
"242","WP_005783731.1"
"243","WP_005783735.1"
"244","WP_005783741.1"
"245","WP_005783744.1"
"246","WP_005783746.1"
"247","WP_005783748.1"
"248","WP_005783757.1"
"249","WP_005783762.1"
"250","WP_005783767.1"
"251","WP_005783769.1"
"252","WP_005783777.1"
"253","WP_005783781.1"
"254","WP_005783784.1"
"255","WP_005783787.1"
"256","WP_005783789.1"
"257","WP_005783792.1"
"258","WP_005783796.1"
"259","WP_005783823.1"
"260","WP_005783825.1"
"261","WP_005783829.1"
"262","WP_005783832.1"
"263","WP_005783836.1"
"264","WP_005783840.1"
"265","WP_005783848.1"
"266","WP_005783855.1"
"267","WP_005783859.1"
"268","WP_005783862.1"
"269","WP_005783866.1"
"270","WP_005783873.1"
"271","WP_005783875.1"
"272","WP_005783878.1"
"273","WP_005783884.1"
"274","WP_005783888.1"
"275","WP_005783889.1"
"276","WP_005783893.1"
"277","WP_005783894.1"
"278","WP_005783896.1"
"279","WP_005783903.1"
"280","WP_005783908.1"
"281","WP_005783918.1"
"282","WP_005783919.1"
"283","WP_005783920.1"
"284","WP_005783922.1"
"285","WP_005783924.1"
"286","WP_005783928.1"
"287","WP_005783932.1"
"288","WP_005783970.1"
"289","WP_005783972.1"
"290","WP_005783983.1"
"291","WP_005783987.1"
"292","WP_005783989.1"
"293","WP_005783992.1"
"294","WP_005783995.1"
"295","WP_005783997.1"
"296","WP_005783999.1"
"297","WP_005784002.1"
"298","WP_005784003.1"
"299","WP_005784014.1"
"300","WP_005784022.1"
"301","WP_005784025.1"
"302","WP_005784028.1"
"303","WP_005784031.1"
"304","WP_005784036.1"
"305","WP_005784040.1"
"306","WP_005784046.1"
"307","WP_005784059.1"
"308","WP_005784087.1"
"309","WP_005784099.1"
"310","WP_005784111.1"
"311","WP_005784128.1"
"312","WP_005784138.1"
"313","WP_005784141.1"
"314","WP_005784143.1"
"315","WP_005784174.1"
"316","WP_005784184.1"
"317","WP_005784195.1"
"318","WP_005784197.1"
"319","WP_005784201.1"
"320","WP_005784203.1"
"321","WP_005784222.1"
"322","WP_005784228.1"
"323","WP_005784232.1"
"324","WP_005784237.1"
"325","WP_005784243.1"
"326","WP_005784255.1"
"327","WP_005784262.1"
"328","WP_005784263.1"
"329","WP_005784276.1"
"330","WP_005784278.1"
"331","WP_005784309.1"
"332","WP_005784312.1"
"333","WP_005784314.1"
"334","WP_005784319.1"
"335","WP_005784326.1"
"336","WP_005784330.1"
"337","WP_005784332.1"
"338","WP_005784336.1"
"339","WP_005784338.1"
"340","WP_005784340.1"
"341","WP_005784346.1"
"342","WP_005784354.1"
"343","WP_005784355.1"
"344","WP_005784361.1"
"345","WP_005784365.1"
"346","WP_005784368.1"
"347","WP_005784372.1"
"348","WP_005784379.1"
"349","WP_005784381.1"
"350","WP_005784389.1"
"351","WP_005784390.1"
"352","WP_005784392.1"
"353","WP_005784397.1"
"354","WP_005784400.1"
"355","WP_005784402.1"
"356","WP_005784407.1"
"357","WP_005784436.1"
"358","WP_005784442.1"
"359","WP_005784445.1"
"360","WP_005784451.1"
"361","WP_005784454.1"
"362","WP_005784466.1"
"363","WP_005784467.1"
"364","WP_005784469.1"
"365","WP_005784472.1"
"366","WP_005784476.1"
"367","WP_005784480.1"
"368","WP_005784488.1"
"369","WP_005784495.1"
"370","WP_005784497.1"
"371","WP_005784499.1"
"372","WP_005784504.1"
"373","WP_005784512.1"
"374","WP_005784513.1"
"375","WP_005784515.1"
"376","WP_005784522.1"
"377","WP_005784524.1"
"378","WP_005784529.1"
"379","WP_005784534.1"
"380","WP_005784536.1"
"381","WP_005784538.1"
"382","WP_005784547.1"
"383","WP_005784549.1"
"384","WP_005784555.1"
"385","WP_005784603.1"
"386","WP_005784605.1"
"387","WP_005784665.1"
"388","WP_005784666.1"
"389","WP_005784668.1"
"390","WP_005784670.1"
"391","WP_005784676.1"
"392","WP_005784686.1"
"393","WP_005784705.1"
"394","WP_005784707.1"
"395","WP_005784712.1"
"396","WP_005784714.1"
"397","WP_005784723.1"
"398","WP_005784725.1"
"399","WP_005784729.1"
"400","WP_005784731.1"
"401","WP_005784733.1"
"402","WP_005784735.1"
"403","WP_005784737.1"
"404","WP_005784739.1"
"405","WP_005784741.1"
"406","WP_005784743.1"
