"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18","NP_414542.1"
"19","NP_414543.1"
"20","NP_414544.1"
"21","NP_414545.1"
"22","NP_414546.1"
"23","NP_414547.1"
"24","NP_414548.1"
"25","NP_414549.1"
"26","NP_414550.1"
"27","NP_414551.1"
"28","NP_414552.1"
"29","NP_414554.1"
"30","NP_414555.1"
"31","NP_414556.1"
"32","NP_414557.1"
"33","NP_414559.1"
"34","NP_414560.1"
"35","NP_414561.1"
"36","NP_414562.1"
"37","NP_414563.1"
"38","NP_414564.1"
"39","NP_414565.1"
"40","NP_414566.1"
"41","NP_414567.1"
"42","NP_414568.1"
"43","NP_414569.1"
"44","NP_414570.1"
"45","NP_414571.1"
"46","NP_414572.1"
"47","NP_414573.1"
"48","NP_414574.1"
"49","NP_414576.4"
"50","NP_414577.2"
"51","NP_414578.2"
"52","NP_414579.4"
"53","NP_414580.1"
"54","NP_414581.1"
"55","NP_414582.1"
"56","NP_414583.2"
"57","NP_414584.1"
"58","NP_414585.1"
"59","NP_414586.1"
"60","NP_414587.1"
"61","NP_414588.1"
"62","NP_414589.1"
"63","NP_414590.1"
"64","NP_414591.1"
"65","NP_414592.1"
"66","NP_414593.1"
"67","NP_414594.1"
"68","NP_414595.1"
"69","NP_414596.1"
"70","NP_414597.1"
"71","NP_414600.1"
"72","NP_414601.1"
"73","NP_414602.1"
"74","NP_414603.1"
"75","NP_414604.1"
"76","NP_414605.1"
"77","NP_414606.1"
"78","NP_414607.1"
"79","NP_414608.1"
"80","NP_414609.1"
"81","NP_414610.1"
"82","NP_414611.1"
"83","NP_414613.1"
"84","NP_414614.1"
"85","NP_414615.4"
"86","NP_414616.1"
"87","NP_414617.1"
"88","NP_414618.4"
"89","NP_414620.1"
"90","NP_414622.1"
"91","NP_414623.1"
"92","NP_414624.1"
"93","NP_414625.1"
"94","NP_414626.1"
"95","NP_414627.1"
"96","NP_414628.1"
"97","NP_414629.1"
"98","NP_414630.1"
"99","NP_414631.1"
"100","NP_414632.1"
"101","NP_414633.1"
"102","NP_414634.1"
"103","NP_414635.1"
"104","NP_414636.1"
"105","NP_414637.1"
"106","NP_414638.1"
"107","NP_414639.2"
"108","NP_414640.1"
"109","NP_414641.1"
"110","NP_414643.1"
"111","NP_414644.1"
"112","NP_414645.1"
"113","NP_414646.1"
"114","NP_414648.1"
"115","NP_414649.1"
"116","NP_414650.1"
"117","NP_414651.1"
"118","NP_414652.1"
"119","NP_414653.1"
"120","NP_414654.1"
"121","NP_414655.1"
"122","NP_414656.1"
"123","NP_414657.1"
"124","NP_414658.1"
"125","NP_414659.1"
"126","NP_414660.1"
"127","NP_414661.2"
"128","NP_414662.1"
"129","NP_414663.1"
"130","NP_414664.4"
"131","NP_414665.1"
"132","NP_414666.1"
"133","NP_414667.4"
"134","NP_414668.1"
"135","NP_414669.1"
"136","NP_414670.1"
"137","NP_414671.1"
"138","NP_414672.1"
"139","NP_414673.1"
"140","NP_414674.1"
"141","NP_414675.1"
"142","NP_414676.1"
"143","NP_414677.1"
"144","NP_414678.1"
"145","NP_414679.1"
"146","NP_414680.4"
"147","NP_414681.1"
"148","NP_414682.1"
"149","NP_414683.1"
"150","NP_414684.1"
"151","NP_414685.4"
"152","NP_414686.3"
"153","NP_414687.1"
"154","NP_414688.1"
"155","NP_414689.4"
"156","NP_414690.4"
"157","NP_414691.1"
"158","NP_414692.1"
"159","NP_414693.1"
"160","NP_414694.1"
"161","NP_414695.1"
"162","NP_414696.1"
"163","NP_414697.1"
"164","NP_414698.1"
"165","NP_414699.1"
"166","NP_414700.1"
"167","NP_414701.1"
"168","NP_414702.1"
"169","NP_414703.1"
"170","NP_414704.4"
"171","NP_414705.1"
"172","NP_414706.2"
"173","NP_414708.1"
"174","NP_414709.1"
"175","NP_414710.1"
"176","NP_414711.1"
"177","NP_414712.1"
"178","NP_414713.1"
"179","NP_414714.1"
"180","NP_414715.1"
"181","NP_414716.1"
"182","NP_414717.2"
"183","NP_414718.1"
"184","NP_414719.1"
"185","NP_414720.1"
"186","NP_414721.1"
"187","NP_414722.1"
"188","NP_414723.1"
"189","NP_414724.1"
"190","NP_414725.1"
"191","NP_414726.1"
"192","NP_414727.1"
"193","NP_414728.1"
"194","NP_414729.4"
"195","NP_414730.1"
"196","NP_414731.2"
"197","NP_414732.1"
"198","NP_414733.1"
"199","NP_414734.1"
"200","NP_414735.4"
"201","NP_414736.1"
"202","NP_414737.1"
"203","NP_414738.1"
"204","NP_414739.1"
"205","NP_414740.1"
"206","NP_414741.1"
"207","NP_414742.1"
"208","NP_414743.1"
"209","NP_414744.1"
"210","NP_414745.1"
"211","NP_414746.1"
"212","NP_414747.1"
"213","NP_414748.1"
"214","NP_414749.2"
"215","NP_414750.1"
"216","NP_414751.1"
"217","NP_414752.1"
"218","NP_414754.1"
"219","NP_414755.1"
"220","NP_414756.2"
"221","NP_414757.1"
"222","NP_414758.1"
"223","NP_414759.1"
"224","NP_414760.1"
"225","NP_414761.1"
"226","NP_414762.1"
"227","NP_414763.1"
"228","NP_414766.1"
"229","NP_414767.1"
"230","NP_414768.1"
"231","NP_414769.1"
"232","NP_414772.1"
"233","NP_414773.1"
"234","NP_414774.1"
"235","NP_414776.1"
"236","NP_414777.1"
"237","NP_414778.1"
"238","NP_414779.1"
"239","NP_414780.1"
"240","NP_414781.1"
"241","NP_414782.1"
"242","NP_414783.1"
"243","NP_414784.1"
"244","NP_414785.4"
"245","NP_414786.4"
"246","NP_414787.4"
"247","NP_414788.1"
"248","NP_414790.1"
"249","NP_414793.2"
"250","NP_414794.4"
"251","NP_414795.1"
"252","NP_414796.2"
"253","NP_414798.1"
"254","NP_414799.1"
"255","NP_414801.1"
"256","NP_414802.2"
"257","NP_414803.1"
"258","NP_414804.1"
"259","NP_414805.1"
"260","NP_414806.1"
"261","NP_414807.1"
"262","NP_414808.1"
"263","NP_414809.1"
"264","NP_414811.1"
"265","NP_414812.1"
"266","NP_414813.1"
"267","NP_414814.1"
"268","NP_414815.1"
"269","NP_414817.1"
"270","NP_414818.1"
"271","NP_414819.1"
"272","NP_414820.1"
"273","NP_414821.1"
"274","NP_414822.1"
"275","NP_414823.2"
"276","NP_414824.1"
"277","NP_414825.1"
"278","NP_414826.1"
"279","NP_414827.1"
"280","NP_414828.1"
"281","NP_414829.1"
"282","NP_414830.1"
"283","NP_414832.2"
"284","NP_414833.1"
"285","NP_414835.2"
"286","NP_414837.2"
"287","NP_414838.2"
"288","NP_414839.1"
"289","NP_414840.1"
"290","NP_414841.1"
"291","NP_414842.4"
"292","NP_414844.1"
"293","NP_414845.1"
"294","NP_414846.1"
"295","NP_414847.3"
"296","NP_414848.1"
"297","NP_414849.1"
"298","NP_414850.1"
"299","NP_414851.1"
"300","NP_414852.1"
"301","NP_414853.1"
"302","NP_414854.1"
"303","NP_414855.1"
"304","NP_414857.1"
"305","NP_414858.1"
"306","NP_414859.1"
"307","NP_414860.1"
"308","NP_414861.2"
"309","NP_414862.1"
"310","NP_414863.1"
"311","NP_414864.1"
"312","NP_414865.1"
"313","NP_414867.1"
"314","NP_414868.1"
"315","NP_414869.1"
"316","NP_414870.1"
"317","NP_414871.1"
"318","NP_414872.3"
"319","NP_414873.1"
"320","NP_414874.1"
"321","NP_414875.1"
"322","NP_414876.1"
"323","NP_414877.1"
"324","NP_414878.1"
"325","NP_414879.3"
"326","NP_414880.2"
"327","NP_414881.1"
"328","NP_414882.1"
"329","NP_414883.5"
"330","NP_414884.2"
"331","NP_414885.1"
"332","NP_414886.1"
"333","NP_414887.2"
"334","NP_414888.4"
"335","NP_414889.1"
"336","NP_414890.1"
"337","NP_414891.4"
"338","NP_414892.1"
"339","NP_414894.2"
"340","NP_414895.1"
"341","NP_414897.1"
"342","NP_414898.4"
"343","NP_414899.2"
"344","NP_414900.1"
"345","NP_414901.1"
"346","NP_414902.1"
"347","NP_414903.4"
"348","NP_414906.1"
"349","NP_414907.2"
"350","NP_414909.2"
"351","NP_414910.1"
"352","NP_414911.1"
"353","NP_414912.1"
"354","NP_414913.1"
"355","NP_414914.2"
"356","NP_414915.1"
"357","NP_414916.1"
"358","NP_414917.2"
"359","NP_414918.4"
"360","NP_414919.1"
"361","NP_414920.1"
"362","NP_414921.2"
"363","NP_414922.1"
"364","NP_414923.1"
"365","NP_414924.1"
"366","NP_414925.1"
"367","NP_414927.1"
"368","NP_414928.2"
"369","NP_414930.3"
"370","NP_414931.1"
"371","NP_414932.1"
"372","NP_414933.1"
"373","NP_414934.1"
"374","NP_414935.1"
"375","NP_414936.1"
"376","NP_414937.2"
"377","NP_414938.1"
"378","NP_414939.1"
"379","NP_414940.1"
"380","NP_414941.1"
"381","NP_414942.1"
"382","NP_414943.1"
"383","NP_414944.1"
"384","NP_414945.1"
"385","NP_414946.4"
"386","NP_414947.1"
"387","NP_414948.1"
"388","NP_414949.1"
"389","NP_414950.1"
"390","NP_414951.1"
"391","NP_414952.1"
"392","NP_414953.2"
"393","NP_414954.1"
"394","NP_414955.1"
"395","NP_414956.1"
"396","NP_414957.1"
"397","NP_414958.4"
"398","NP_414959.1"
"399","NP_414960.2"
"400","NP_414961.4"
"401","NP_414962.1"
"402","NP_414963.1"
"403","NP_414964.1"
"404","NP_414965.1"
"405","NP_414966.1"
"406","NP_414967.1"
"407","NP_414968.4"
"408","NP_414969.4"
"409","NP_414970.1"
"410","NP_414971.1"
"411","NP_414972.1"
"412","NP_414973.1"
"413","NP_414974.1"
"414","NP_414975.1"
"415","NP_414976.1"
"416","NP_414977.1"
"417","NP_414978.1"
"418","NP_414979.1"
"419","NP_414980.2"
