From,To
A6TFH1,kpn:KPN_03919
A6T555,kpn:KPN_00273
A6T555,kpn:KPN_01779
A6T555,kpn:KPN_02068
A6T555,kpn:KPN_pKPN3p05895
A6T5L0,kpn:KPN_00429
A6TFM8,kpn:KPN_03977
A6T7F4,kpn:KPN_01092
A6TAI4,kpn:KPN_02177
A6TFP8,kpn:KPN_03997
A6THB3,kpn:KPN_04596
A6T6Y6,kpn:KPN_00921
A6TEZ6,kpn:KPN_03743
A6T7E9,kpn:KPN_01087
A6TEV6,kpn:KPN_03703
A6TC80,kpn:KPN_02791
A6TF77,kpn:KPN_03824
A6TF77,kpn:KPN_pKPN3p05874
A6TF77,kpn:KPN_pKPN3p05884
A6TF77,kpn:KPN_pKPN5p08182
A6TG41,kpn:KPN_04142
A6TES8,kpn:KPN_03670
A6TC53,kpn:KPN_02764
A6TEX0,kpn:KPN_03717
A6TEW1,kpn:KPN_03708
A6TCN5,kpn:KPN_02950
A6TDK4,kpn:KPN_03277
A6TDK5,kpn:KPN_03278
A6TEN8,kpn:KPN_03629
A6TG05,kpn:KPN_04106
A6TCQ6,kpn:KPN_02971
A6TCV8,kpn:KPN_03028
A6T5E8,kpn:KPN_00367
A6T6Y1,kpn:KPN_00916
A6TAZ5,kpn:KPN_02340
A6TEW0,kpn:KPN_03707
A6TEW8,kpn:KPN_03715
A6TEV4,kpn:KPN_03701
A6TE47,kpn:KPN_03472
A6TF28,kpn:KPN_03775
A6TEX3,kpn:KPN_03720
A6TGN8,kpn:KPN_04363
A6TG35,kpn:KPN_04136
A6TGN4,kpn:KPN_04359
A6TI66,kpn:KPN_pKPN3p05908
A6TE85,kpn:KPN_04892
A6TIK8,kpn:KPN_pKPN4p07051
A6T8W3,kpn:KPN_01603
A6TEK4,kpn:KPN_03595
A6T685,kpn:KPN_00656
A6T5I3,kpn:KPN_00402
A6TG47,kpn:KPN_04148
A6TG48,kpn:KPN_04149
A6TG49,kpn:KPN_04150
A6TG51,kpn:KPN_04152
A6TG53,kpn:KPN_04154
A6TG54,kpn:KPN_04155
A6TG55,kpn:KPN_04156
A6TG58,kpn:KPN_04159
A6TG59,kpn:KPN_04160
A6TG68,kpn:KPN_04173
A6TG69,kpn:KPN_04174
A6TG70,kpn:KPN_04175
A6TG71,kpn:KPN_04176
A6TG74,kpn:KPN_04179
A6TG77,kpn:KPN_04182
A6TG81,kpn:KPN_04186
A6TG83,kpn:KPN_04188
A6TG84,kpn:KPN_04189
A6TG86,kpn:KPN_04191
A6TG87,kpn:KPN_04192
A6TG91,kpn:KPN_04196
A6TG92,kpn:KPN_04197
A6TG93,kpn:KPN_04198
A6TG94,kpn:KPN_04199
A6TG97,kpn:KPN_04202
A6TGA6,kpn:KPN_04211
A6TGA9,kpn:KPN_04214
A6TGB0,kpn:KPN_04215
A6TGB1,kpn:KPN_04216
A6TGB4,kpn:KPN_04219
A6TGB5,kpn:KPN_04220
A6TGB7,kpn:KPN_04222
A6TGB8,kpn:KPN_04223
A6TGB9,kpn:KPN_04224
A6TGC0,kpn:KPN_04225
A6TGC2,kpn:KPN_04227
A6TGC6,kpn:KPN_04231
A6TGC7,kpn:KPN_04232
A6TGC9,kpn:KPN_04234
A6TGD2,kpn:KPN_04237
A6TGD4,kpn:KPN_04239
A6TGE5,kpn:KPN_04250
A6TGE6,kpn:KPN_04251
A6TGE8,kpn:KPN_04253
A6TGF4,kpn:KPN_04266
A6TGF5,kpn:KPN_04267
A6TGF6,kpn:KPN_04268
A6TGF7,kpn:KPN_04269
A6TGF8,kpn:KPN_04270
A6TGF9,kpn:KPN_04271
A6TGG0,kpn:KPN_04272
A6TGG1,kpn:KPN_04273
A6TGG2,kpn:KPN_04274
A6TGG3,kpn:KPN_04275
A6TGG5,kpn:KPN_04277
A6TGG9,kpn:KPN_04281
A6TGH0,kpn:KPN_04282
A6TGH1,kpn:KPN_04283
A6TGH3,kpn:KPN_04285
A6TGH9,kpn:KPN_04291
A6TGI0,kpn:KPN_04292
A6TGI7,kpn:KPN_04303
A6TGI8,kpn:KPN_04304
A6TGI9,kpn:KPN_04305
A6TGJ0,kpn:KPN_04306
A6TGJ1,kpn:KPN_04307
A6TGJ3,kpn:KPN_04309
A6TGJ6,kpn:KPN_04312
A6TGJ8,kpn:KPN_04314
A6TGJ9,kpn:KPN_04315
A6TGK0,kpn:KPN_04316
A6TGK5,kpn:KPN_04321
A6TGK7,kpn:KPN_04323
A6TGK8,kpn:KPN_04324
A6TGL0,kpn:KPN_04326
A6TGL1,kpn:KPN_04327
A6TGL3,kpn:KPN_04329
A6TGL4,kpn:KPN_04330
A6TGL5,kpn:KPN_04331
A6TGL6,kpn:KPN_04332
A6TGL8,kpn:KPN_04334
A6TGM0,kpn:KPN_04336
A6TGM2,kpn:KPN_04338
A6TGM6,kpn:KPN_04342
A6TGN0,kpn:KPN_04351
A6TGN1,kpn:KPN_04352
A6TGN3,kpn:KPN_04358
A6TGN5,kpn:KPN_04360
A6TGN6,kpn:KPN_04361
A6TGN9,kpn:KPN_04364
A6TGP1,kpn:KPN_04366
A6TGP2,kpn:KPN_04367
A6TGP3,kpn:KPN_04368
A6TGP8,kpn:KPN_04373
A6TGQ2,kpn:KPN_04377
A6TGQ3,kpn:KPN_04378
A6TGQ4,kpn:KPN_04379
A6TGQ7,kpn:KPN_04382
A6TGQ9,kpn:KPN_04384
A6TGR2,kpn:KPN_04387
A6TGR8,kpn:KPN_04397
A6TGS8,kpn:KPN_04407
A6TGT0,kpn:KPN_04409
A6TGT1,kpn:KPN_04410
A6TGT2,kpn:KPN_04411
A6TGT4,kpn:KPN_04413
A6TGU1,kpn:KPN_04420
A6TGU2,kpn:KPN_04421
A6TGU3,kpn:KPN_04422
A6TGU4,kpn:KPN_04423
A6TGU5,kpn:KPN_04424
A6TGU6,kpn:KPN_04425
A6TGU8,kpn:KPN_04427
A6TGU9,kpn:KPN_04428
A6TGV1,kpn:KPN_04430
A6TGV2,kpn:KPN_04431
A6TGV6,kpn:KPN_04435
A6TGV9,kpn:KPN_04438
A6TGW0,kpn:KPN_04439
A6TGW2,kpn:KPN_04441
A6TGY5,kpn:KPN_04464
A6TGY6,kpn:KPN_04465
A6TGY8,kpn:KPN_04467
A6TGY9,kpn:KPN_04468
A6TGZ0,kpn:KPN_04469
A6TGZ9,kpn:KPN_04478
A6TH04,kpn:KPN_04483
A6TH08,kpn:KPN_04487
A6TH09,kpn:KPN_04488
A6TH10,kpn:KPN_04489
A6TH17,kpn:KPN_04496
A6TH19,kpn:KPN_04498
A6TH22,kpn:KPN_04501
A6TH25,kpn:KPN_04504
A6TH32,kpn:KPN_04511
A6TH37,kpn:KPN_04516
A6TH45,kpn:KPN_04525
A6TH48,kpn:KPN_04528
A6TH53,kpn:KPN_04533
A6TH64,kpn:KPN_04544
A6TH65,kpn:KPN_04545
A6TH66,kpn:KPN_04546
A6TH68,kpn:KPN_04548
A6TH69,kpn:KPN_04549
A6TH70,kpn:KPN_04550
A6TH77,kpn:KPN_04557
A6TH78,kpn:KPN_04558
A6TH83,kpn:KPN_04566
A6TH86,kpn:KPN_04569
A6TH87,kpn:KPN_04570
A6TH90,kpn:KPN_04573
A6TH91,kpn:KPN_04574
A6TH92,kpn:KPN_04575
A6TH93,kpn:KPN_04576
A6TH94,kpn:KPN_04577
A6TH96,kpn:KPN_04579
A6THA3,kpn:KPN_04586
A6THA4,kpn:KPN_04587
A6THA5,kpn:KPN_04588
A6THB0,kpn:KPN_04593
A6THB1,kpn:KPN_04594
A6THB4,kpn:KPN_04597
A6THC1,kpn:KPN_04604
A6THC2,kpn:KPN_04605
A6THC6,kpn:KPN_04609
A6THC7,kpn:KPN_04610
A6THD1,kpn:KPN_04614
A6THD3,kpn:KPN_04616
A6THE0,kpn:KPN_04623
A6THE3,kpn:KPN_04626
A6THE9,kpn:KPN_04632
A6THF0,kpn:KPN_04633
A6THF2,kpn:KPN_04635
A6THF3,kpn:KPN_04636
A6THG0,kpn:KPN_04643
A6THG4,kpn:KPN_04647
A6THH2,kpn:KPN_04655
A6THH3,kpn:KPN_04656
A6THH4,kpn:KPN_04657
A6THH7,kpn:KPN_04660
A6THI2,kpn:KPN_04665
A6THI3,kpn:KPN_04666
A6THI4,kpn:KPN_04667
A6THJ4,kpn:KPN_04677
A6THQ0,kpn:KPN_04734
A6THQ6,kpn:KPN_04740
A6THQ8,kpn:KPN_04742
A6THQ9,kpn:KPN_04743
A6THR0,kpn:KPN_04748
A6THR5,kpn:KPN_04753
A6THR8,kpn:KPN_04756
A6THS2,kpn:KPN_04760
A6THS4,kpn:KPN_04762
A6THS5,kpn:KPN_04763
A6THS6,kpn:KPN_04764
A6THS7,kpn:KPN_04765
A6THS8,kpn:KPN_04766
A6THT3,kpn:KPN_04771
A6THT7,kpn:KPN_04775
A6THT8,kpn:KPN_04776
A6THU1,kpn:KPN_04779
A6THU2,kpn:KPN_04780
A6THU6,kpn:KPN_04784
A6THU8,kpn:KPN_04786
A6THV2,kpn:KPN_04790
A6THV5,kpn:KPN_04793
A6THW1,kpn:KPN_04799
A6THW4,kpn:KPN_04802
A6THX4,kpn:KPN_04812
A6THX5,kpn:KPN_04813
A6THX8,kpn:KPN_04816
A6THY3,kpn:KPN_04821
A6THZ0,kpn:KPN_04831
A6THZ2,kpn:KPN_04833
A6THZ6,kpn:KPN_04837
A6THZ7,kpn:KPN_04838
A6TI00,kpn:KPN_04841
A6TI01,kpn:KPN_04842
A6TI03,kpn:KPN_04844
A6TI04,kpn:KPN_04845
A6TI07,kpn:KPN_04848
A6TI09,kpn:KPN_04850
A6TI10,kpn:KPN_04851
A6TI12,kpn:KPN_04853
A6TI15,kpn:KPN_04856
A6TI16,kpn:KPN_04857
A6T4E3,kpn:KPN_00003
A6T4E6,kpn:KPN_00006
A6T4E8,kpn:KPN_00008
A6T4E9,kpn:KPN_00009
A6T4F5,kpn:KPN_00015
A6T4F7,kpn:KPN_00017
A6T4F9,kpn:KPN_00020
A6T4G1,kpn:KPN_00022
A6T4G2,kpn:KPN_00023
A6T4G3,kpn:KPN_00024
A6T4G4,kpn:KPN_00025
A6T4I0,kpn:KPN_00041
A6T4I1,kpn:KPN_00042
A6T4I4,kpn:KPN_00045
A6T4I5,kpn:KPN_00046
A6T4I7,kpn:KPN_00048
