"","x"
"1","WP_000110201.1"
"2","WP_000184943.1"
"3","WP_000447193.1"
"4","WP_000557944.1"
"5","WP_000857160.1"
"6","WP_001029311.1"
"7","WP_001031297.1"
"8","WP_000438826.1"
"9","WP_000504218.1"
"10","WP_000761346.1"
"11","WP_000932953.1"
"12","WP_001096616.1"
"13","WP_001125246.1"
"14","WP_001205343.1"
"15","WP_001282484.1"
"16","WP_001983304.1"
"17","WP_006582650.1"
"18","WP_000070381.1"
"19","WP_000593064.1"
"20","WP_001180321.1"
"21","WP_001262269.1"
"22","WP_162097781.1"
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44","WP_000009381.1"
"45","WP_000059636.1"
"46","WP_000064928.1"
"47","WP_000069470.1"
"48","WP_000078544.1"
"49","WP_000096286.1"
"50","WP_000104830.1"
"51","WP_000152660.1"
"52","WP_000155817.1"
"53","WP_000221360.1"
"54","WP_000246757.1"
"55","WP_000254418.1"
"56","WP_000269908.1"
"57","WP_000269910.1"
"58","WP_000276416.1"
"59","WP_000288004.1"
"60","WP_000340067.1"
"61","WP_000366815.1"
"62","WP_000372120.1"
"63","WP_000378528.1"
"64","WP_000395699.1"
"65","WP_000402510.1"
"66","WP_000443160.1"
"67","WP_000447196.1"
"68","WP_000453245.1"
"69","WP_000464612.1"
"70","WP_000466974.1"
"71","WP_000478902.1"
"72","WP_000555567.1"
"73","WP_000593543.1"
"74","WP_000627021.1"
"75","WP_000631290.1"
"76","WP_000649020.1"
"77","WP_000653919.1"
"78","WP_000655283.1"
"79","WP_000684953.1"
"80","WP_000697979.1"
"81","WP_000743263.1"
"82","WP_000755724.1"
"83","WP_000794339.1"
"84","WP_000805351.1"
"85","WP_000842149.1"
"86","WP_000859510.1"
"87","WP_000893011.1"
"88","WP_000911012.1"
"89","WP_000920558.1"
"90","WP_000925802.1"
"91","WP_000931663.1"
"92","WP_000937271.1"
"93","WP_000941154.1"
"94","WP_000964375.1"
"95","WP_000994925.1"
"96","WP_001021844.1"
"97","WP_001030448.1"
"98","WP_001038516.1"
"99","WP_001043693.1"
"100","WP_001047021.1"
"101","WP_001059480.1"
"102","WP_001081101.1"
"103","WP_001088959.1"
"104","WP_001089570.1"
"105","WP_001094923.1"
"106","WP_001098044.1"
"107","WP_001124154.1"
"108","WP_001133624.1"
"109","WP_001136766.1"
"110","WP_001140619.1"
"111","WP_001180108.1"
"112","WP_001258993.1"
"113","WP_002120129.1"
"114","WP_005804845.1"
"115","WP_005804864.1"
"116","WP_025464206.1"
"117","WP_025464207.1"
"118","WP_162097055.1"
"119",NA
"120",NA
"121",NA
"122",NA
"123",NA
"124",NA
"125",NA
"126",NA
"127",NA
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139",NA
"140",NA
"141",NA
"142",NA
"143",NA
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",NA
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",NA
"185",NA
"186",NA
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",NA
"199",NA
"200",NA
"201",NA
"202",NA
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",NA
"209",NA
"210",NA
"211",NA
"212",NA
"213","WP_000002862.1"
"214","WP_000003115.1"
"215","WP_000003406.1"
"216","WP_000003535.1"
"217","WP_000003544.1"
"218","WP_000003555.1"
"219","WP_000003701.1"
"220","WP_000003709.1"
"221","WP_000003719.1"
"222","WP_000004112.1"
"223","WP_000004228.1"
"224","WP_000004252.1"
"225","WP_000004354.1"
"226","WP_000004703.1"
"227","WP_000004974.1"
"228","WP_000005344.1"
"229","WP_000005613.1"
"230","WP_000005666.1"
"231","WP_000006591.1"
"232","WP_000006665.1"
"233","WP_000006925.1"
"234","WP_000006958.1"
"235","WP_000007331.1"
"236","WP_000007407.1"
"237","WP_000007423.1"
"238","WP_000008105.1"
"239","WP_000008520.1"
"240","WP_000008539.1"
"241","WP_000008978.1"
"242","WP_000009638.1"
"243","WP_000009660.1"
"244","WP_000009973.1"
"245","WP_000010375.1"
"246","WP_000010636.1"
"247","WP_000011145.1"
"248","WP_000011168.1"
"249","WP_000011219.1"
"250","WP_000011470.1"
"251","WP_000011679.1"
"252","WP_000011852.1"
"253","WP_000011876.1"
"254","WP_000012073.1"
"255","WP_000012461.1"
"256","WP_000013652.1"
"257","WP_000013717.1"
"258","WP_000014562.1"
"259","WP_000015691.1"
"260","WP_000015937.1"
"261","WP_000015965.1"
"262","WP_000016038.1"
"263","WP_000016122.1"
"264","WP_000016597.1"
"265","WP_000016931.1"
"266","WP_000017231.1"
"267","WP_000017859.1"
"268","WP_000018128.1"
"269","WP_000018326.1"
"270","WP_000018346.1"
"271","WP_000018553.1"
"272","WP_000018788.1"
"273","WP_000018791.1"
"274","WP_000019027.1"
"275","WP_000019495.1"
"276","WP_000020713.1"
"277","WP_000020771.1"
"278","WP_000020860.1"
"279","WP_000021172.1"
"280","WP_000021434.1"
"281","WP_000022126.1"
"282","WP_000022187.1"
"283","WP_000022555.1"
"284","WP_000023429.1"
"285","WP_000024027.1"
"286","WP_000024050.1"
"287","WP_000024256.1"
"288","WP_000024269.1"
"289","WP_000024370.1"
"290","WP_000025826.1"
"291","WP_000025988.1"
"292","WP_000026486.1"
"293","WP_000026856.1"
"294","WP_000026926.1"
"295","WP_000027064.1"
"296","WP_000027403.1"
"297","WP_000027499.1"
"298","WP_000027529.1"
"299","WP_000029000.1"
"300","WP_000029222.1"
"301","WP_000029359.1"
"302","WP_000029961.1"
"303","WP_000030403.1"
"304","WP_000030961.1"
"305","WP_000030993.1"
"306","WP_000031022.1"
"307","WP_000031228.1"
"308","WP_000031355.1"
"309","WP_000032710.1"
"310","WP_000032786.1"
"311","WP_000033651.1"
"312","WP_000033906.1"
"313","WP_000034283.1"
"314","WP_000035083.1"
"315","WP_000035256.1"
"316","WP_000035781.1"
"317","WP_000037059.1"
"318","WP_000037165.1"
"319","WP_000037356.1"
"320","WP_000037371.1"
"321","WP_000037735.1"
"322","WP_000039488.1"
"323","WP_000039800.1"
"324","WP_000039824.1"
"325","WP_000039924.1"
"326","WP_000040098.1"
"327","WP_000040106.1"
"328","WP_000040963.1"
"329","WP_000041302.1"
"330","WP_000041516.1"
"331","WP_000041516.1"
"332","WP_000042006.1"
"333","WP_000042455.1"
"334","WP_000043044.1"
"335","WP_000043121.1"
"336","WP_000043186.1"
"337","WP_000043350.1"
"338","WP_000043828.1"
"339","WP_000043924.1"
"340","WP_000043985.1"
"341","WP_000044010.1"
"342","WP_000044134.1"
"343","WP_000044166.1"
"344","WP_000044208.1"
"345","WP_000044599.1"
"346","WP_000045119.1"
"347","WP_000045364.1"
"348","WP_000045400.1"
"349","WP_000045515.1"
"350","WP_000046156.1"
"351","WP_000046446.1"
"352","WP_000046492.1"
"353","WP_000046567.1"
"354","WP_000046678.1"
"355","WP_000047395.1"
"356","WP_000047790.1"
"357","WP_000047853.1"
"358","WP_000047940.1"
"359","WP_000048256.1"
"360","WP_000048860.1"
"361","WP_000049106.1"
"362","WP_000049406.1"
"363","WP_000049447.1"
"364","WP_000049447.1"
"365","WP_000049455.1"
"366","WP_000049658.1"
"367","WP_000049720.1"
"368","WP_000050371.1"
"369","WP_000050378.1"
"370","WP_000050479.1"
"371","WP_000050481.1"
"372","WP_000050492.1"
"373","WP_000050492.1"
"374","WP_000050855.1"
"375","WP_000050876.1"
"376","WP_000050951.1"
"377","WP_000051057.1"
"378","WP_000051112.1"
"379","WP_000051122.1"
"380","WP_000051217.1"
"381","WP_000051229.1"
"382","WP_000051338.1"
"383","WP_000051401.1"
"384","WP_000051669.1"
"385","WP_000051871.1"
"386","WP_000052002.1"
"387","WP_000052236.1"
"388","WP_000052288.1"
"389","WP_000052794.1"
"390","WP_000052885.1"
"391","WP_000053789.1"
"392","WP_000053846.1"
"393","WP_000053889.1"
"394","WP_000053917.1"
"395","WP_000054101.1"
"396","WP_000054123.1"
"397","WP_000054183.1"
"398","WP_000054212.1"
"399","WP_000054321.1"
"400","WP_000054924.1"
"401","WP_000055155.1"
"402","WP_000055193.1"
