"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99","WP_000222572.1"
"100","WP_000222572.1"
"101","WP_000222572.1"
"102","WP_000222572.1"
"103","WP_000222572.1"
"104","WP_000222572.1"
"105","WP_000222572.1"
"106","WP_000222572.1"
"107","WP_000222572.1"
"108","WP_000997695.1"
"109","WP_000997695.1"
"110","WP_000997695.1"
"111","WP_000997695.1"
"112","WP_000997695.1"
"113","WP_000997695.1"
"114","WP_000997695.1"
"115","WP_002285758.1"
"116","WP_002285758.1"
"117","WP_002285758.1"
"118","WP_002285758.1"
"119","WP_002285876.1"
"120","WP_002285883.1"
"121","WP_002285885.1"
"122","WP_002285906.1"
"123","WP_002285909.1"
"124","WP_002285911.1"
"125","WP_002285913.1"
"126","WP_002285916.1"
"127","WP_002285917.1"
"128","WP_002285918.1"
"129","WP_002285920.1"
"130","WP_002285922.1"
"131","WP_002285944.1"
"132","WP_002285948.1"
"133","WP_002285949.1"
"134","WP_002285954.1"
"135","WP_002285960.1"
"136","WP_002285961.1"
"137","WP_002285962.1"
"138","WP_002285964.1"
"139","WP_002285966.1"
"140","WP_002285969.1"
"141","WP_002285971.1"
"142","WP_002285972.1"
"143","WP_002285974.1"
"144","WP_002285975.1"
"145","WP_002285976.1"
"146","WP_002285980.1"
"147","WP_002285981.1"
"148","WP_002285982.1"
"149","WP_002285985.1"
"150","WP_002285988.1"
"151","WP_002285989.1"
"152","WP_002285990.1"
"153","WP_002285994.1"
"154","WP_002285995.1"
"155","WP_002285996.1"
"156","WP_002285998.1"
"157","WP_002286000.1"
"158","WP_002286002.1"
"159","WP_002286004.1"
"160","WP_002286006.1"
"161","WP_002286007.1"
"162","WP_002286008.1"
"163","WP_002286009.1"
"164","WP_002286012.1"
"165","WP_002286015.1"
"166","WP_002286016.1"
"167","WP_002286021.1"
"168","WP_002286024.1"
"169","WP_002286025.1"
"170","WP_002286026.1"
"171","WP_002286037.1"
"172","WP_002286041.1"
"173","WP_002286047.1"
"174","WP_002286048.1"
"175","WP_002286049.1"
"176","WP_002286050.1"
"177","WP_002286051.1"
"178","WP_002286052.1"
"179","WP_002286053.1"
"180","WP_002286054.1"
"181","WP_002286055.1"
"182","WP_002286056.1"
"183","WP_002286057.1"
"184","WP_002286060.1"
"185","WP_002286061.1"
"186","WP_002286063.1"
"187","WP_002286064.1"
"188","WP_002286065.1"
"189","WP_002286066.1"
"190","WP_002286067.1"
"191","WP_002286068.1"
"192","WP_002286069.1"
"193","WP_002286070.1"
"194","WP_002286071.1"
"195","WP_002286072.1"
"196","WP_002286073.1"
"197","WP_002286075.1"
"198","WP_002286080.1"
"199","WP_002286103.1"
"200","WP_002286106.1"
"201","WP_002286108.1"
"202","WP_002286113.1"
"203","WP_002286153.1"
"204","WP_002286171.1"
"205","WP_002286175.1"
"206","WP_002286176.1"
"207","WP_002286177.1"
"208","WP_002286179.1"
"209","WP_002286180.1"
"210","WP_002286181.1"
"211","WP_002286185.1"
"212","WP_002286189.1"
"213","WP_002286194.1"
"214","WP_002286197.1"
"215","WP_002286199.1"
"216","WP_002286201.1"
"217","WP_002286203.1"
"218","WP_002286208.1"
"219","WP_002286211.1"
"220","WP_002286213.1"
"221","WP_002286214.1"
"222","WP_002286247.1"
"223","WP_002286258.1"
"224","WP_002286261.1"
"225","WP_002286265.1"
"226","WP_002286271.1"
"227","WP_002286273.1"
"228","WP_002286275.1"
"229","WP_002286278.1"
"230","WP_002286280.1"
"231","WP_002286285.1"
"232","WP_002286287.1"
"233","WP_002286292.1"
"234","WP_002286293.1"
"235","WP_002286294.1"
"236","WP_002286295.1"
"237","WP_002286296.1"
"238","WP_002286297.1"
"239","WP_002286298.1"
"240","WP_002286302.1"
"241","WP_002286304.1"
"242","WP_002286306.1"
"243","WP_002286307.1"
"244","WP_002286309.1"
"245","WP_002286313.1"
"246","WP_002286315.1"
"247","WP_002286317.1"
"248","WP_002286319.1"
"249","WP_002286323.1"
"250","WP_002286325.1"
"251","WP_002286329.1"
"252","WP_002286331.1"
"253","WP_002286333.1"
"254","WP_002286335.1"
"255","WP_002286342.1"
"256","WP_002286343.1"
"257","WP_002286344.1"
"258","WP_002286354.1"
"259","WP_002286355.1"
"260","WP_002286361.1"
"261","WP_002286364.1"
"262","WP_002286367.1"
"263","WP_002286368.1"
"264","WP_002286373.1"
"265","WP_002286375.1"
"266","WP_002286379.1"
"267","WP_002286385.1"
"268","WP_002286392.1"
"269","WP_002286400.1"
"270","WP_002286405.1"
"271","WP_002286428.1"
"272","WP_002286442.1"
"273","WP_002286449.1"
"274","WP_002286451.1"
"275","WP_002286453.1"
"276","WP_002286455.1"
"277","WP_002286457.1"
"278","WP_002286461.1"
"279","WP_002286463.1"
"280","WP_002286465.1"
"281","WP_002286467.1"
"282","WP_002286469.1"
"283","WP_002286473.1"
"284","WP_002286474.1"
"285","WP_002286484.1"
"286","WP_002286491.1"
"287","WP_002286495.1"
"288","WP_002286497.1"
"289","WP_002286500.1"
"290","WP_002286502.1"
"291","WP_002286510.1"
"292","WP_002286512.1"
"293","WP_002286516.1"
"294","WP_002286522.1"
"295","WP_002286523.1"
"296","WP_002286524.1"
"297","WP_002286525.1"
"298","WP_002286527.1"
"299","WP_002286530.1"
"300","WP_002286533.1"
"301","WP_002286538.1"
"302","WP_002286540.1"
"303","WP_002286542.1"
"304","WP_002286545.1"
"305","WP_002286547.1"
"306","WP_002286550.1"
"307","WP_002286552.1"
"308","WP_002286553.1"
"309","WP_002286557.1"
"310","WP_002286559.1"
"311","WP_002286562.1"
"312","WP_002286568.1"
"313","WP_002286573.1"
"314","WP_002286575.1"
"315","WP_002286578.1"
"316","WP_002286580.1"
"317","WP_002286582.1"
"318","WP_002286584.1"
"319","WP_002286587.1"
"320","WP_002286589.1"
"321","WP_002286592.1"
"322","WP_002286596.1"
"323","WP_002286598.1"
"324","WP_002286601.1"
"325","WP_002286604.1"
"326","WP_002286606.1"
"327","WP_002286607.1"
"328","WP_002286608.1"
"329","WP_002286612.1"
"330","WP_002286614.1"
"331","WP_002286616.1"
"332","WP_002286618.1"
"333","WP_002286621.1"
"334","WP_002286622.1"
"335","WP_002286624.1"
"336","WP_002286626.1"
"337","WP_002286627.1"
"338","WP_002286628.1"
"339","WP_002286629.1"
"340","WP_002286631.1"
"341","WP_002286633.1"
"342","WP_002286637.1"
"343","WP_002286638.1"
"344","WP_002286639.1"
"345","WP_002286640.1"
"346","WP_002286642.1"
"347","WP_002286645.1"
"348","WP_002286647.1"
"349","WP_002286649.1"
"350","WP_002286651.1"
"351","WP_002286653.1"
"352","WP_002286655.1"
"353","WP_002286656.1"
"354","WP_002286657.1"
"355","WP_002286658.1"
"356","WP_002286660.1"
"357","WP_002286662.1"
"358","WP_002286664.1"
"359","WP_002286665.1"
"360","WP_002286666.1"
"361","WP_002286668.1"
"362","WP_002286670.1"
"363","WP_002286674.1"
"364","WP_002286676.1"
"365","WP_002286678.1"
"366","WP_002286679.1"
"367","WP_002286680.1"
"368","WP_002286683.1"
"369","WP_002286686.1"
"370","WP_002286693.1"
"371","WP_002286694.1"
"372","WP_002286695.1"
"373","WP_002286696.1"
"374","WP_002286704.1"
"375","WP_002286708.1"
"376","WP_002286711.1"
"377","WP_002286721.1"
"378","WP_002286726.1"
"379","WP_002286728.1"
"380","WP_002286730.1"
"381","WP_002286736.1"
"382","WP_002286741.1"
"383","WP_002286745.1"
"384","WP_002286747.1"
"385","WP_002286749.1"
"386","WP_002286753.1"
"387","WP_002286756.1"
"388","WP_002286760.1"
"389","WP_002286764.1"
"390","WP_002286766.1"
"391","WP_002286768.1"
"392","WP_002286769.1"
"393","WP_002286770.1"
"394","WP_002286771.1"
"395","WP_002286772.1"
"396","WP_002286774.1"
"397","WP_002286776.1"
"398","WP_002286780.1"
"399","WP_002286782.1"
"400","WP_002286784.1"
"401","WP_002286786.1"
"402","WP_002286787.1"
"403","WP_002286788.1"
"404","WP_002286789.1"
"405","WP_002286801.1"
"406","WP_002286804.1"
"407","WP_002286813.1"
"408","WP_002286816.1"
"409","WP_002286818.1"
"410","WP_002286825.1"
"411","WP_002286827.1"
"412","WP_002286829.1"
"413","WP_002286831.1"
"414","WP_002286833.1"
"415","WP_002286834.1"
"416","WP_002286835.1"
"417","WP_002286836.1"
"418","WP_002286837.1"
"419","WP_002286840.1"
"420","WP_002286843.1"
"421","WP_002286845.1"
"422","WP_002286846.1"
"423","WP_002286847.1"
"424","WP_002286848.1"
"425","WP_002286849.1"
"426","WP_002286851.1"
"427","WP_002286852.1"
"428","WP_002286854.1"
"429","WP_002286855.1"
"430","WP_002286858.1"
"431","WP_002286860.1"
