"","x"
"1",NA
"2","878417"
"3","879244"
"4","879229"
"5","879230"
"6","877576"
"7","879245"
"8","877575"
"9","878214"
"10","878095"
"11","878076"
"12","877921"
"13","877795"
"14","877634"
"15","879294"
"16","879251"
"17","879255"
"18","879297"
"19","879258"
"20","879306"
"21","879309"
"22","880730"
"23","880711"
"24","880685"
"25","880901"
"26","880894"
"27","880904"
"28","880919"
"29","878631"
"30","880672"
"31","880659"
"32","880657"
"33","880646"
"34","880641"
"35","879223"
"36","879479"
"37","879212"
"38","883090"
"39","879209"
"40","879200"
"41","879196"
"42","878601"
"43","878502"
"44","878401"
"45","878350"
"46","878300"
"47","878290"
"48","877928"
"49","877666"
"50","877595"
"51","878575"
"52","878637"
"53","877739"
"54","878088"
"55","877862"
"56","877984"
"57","878150"
"58","880931"
"59","878070"
"60","880900"
"61","877992"
"62","878228"
"63","877630"
"64","878385"
"65","878495"
"66","879179"
"67","878482"
"68","878318"
"69","878366"
"70","879190"
"71","879195"
"72","879189"
"73","878396"
"74","879361"
"75","879341"
"76","879335"
"77","879396"
"78","879392"
"79","879382"
"80","879436"
"81","879413"
"82","879402"
"83","879476"
"84","879464"
"85","879446"
"86","879504"
"87","879495"
"88","879483"
"89","879573"
"90","879553"
"91","879511"
"92","880664"
"93","880654"
"94","879595"
"95","880726"
"96","880714"
"97","880677"
"98","880743"
"99","880737"
"100","880727"
"101","880786"
"102","880767"
"103","880802"
"104","881940"
"105","881877"
"106","882009"
"107","882001"
"108","882044"
"109","879416"
"110","879275"
"111","879408"
"112","879395"
"113","879388"
"114","880693"
"115","877577"
"116","878370"
"117","877585"
"118","877578"
"119","878231"
"120","878358"
"121","880611"
"122","877571"
"123","879205"
"124","880838"
"125","880627"
"126","880815"
"127","880831"
"128","880844"
"129","880875"
"130","878383"
"131","879350"
"132","879432"
"133","879331"
"134","879398"
"135","879471"
"136","879286"
"137","879399"
"138","879431"
"139","879326"
"140","879494"
"141","879447"
"142","879451"
"143","879242"
"144","879449"
"145","879465"
"146","879502"
"147","879249"
"148","879673"
"149","878563"
"150","877893"
"151","878518"
"152","878130"
"153","882145"
"154","882136"
"155","882149"
"156","882134"
"157","882140"
"158","882081"
"159","882103"
"160","879518"
"161","882025"
"162","879444"
"163","879418"
"164","879314"
"165","879316"
"166","879343"
"167","879346"
"168","878493"
"169","882156"
"170","879545"
"171","882256"
"172","877836"
"173","882282"
"174","882219"
"175","879338"
"176","878420"
"177","879259"
"178","879336"
"179","879304"
"180","878164"
"181","879288"
"182","882170"
"183","879256"
"184","879411"
"185","882255"
"186","879289"
"187","883120"
"188","883097"
"189","883101"
"190","882990"
"191","883039"
"192","879577"
"193","878345"
"194","878346"
"195","878146"
"196","879472"
"197","883080"
"198","879490"
"199","879623"
"200","879531"
"201","879445"
"202","883108"
"203","878513"
"204","879480"
"205","879760"
"206","879460"
"207","879322"
"208","879248"
"209","883035"
"210","879489"
"211","879507"
"212","879254"
"213","879334"
"214","883110"
"215","879529"
"216","883005"
"217","877906"
"218","879237"
"219","879442"
"220","879365"
"221","877806"
"222","878110"
"223","878177"
"224","880191"
"225","878086"
"226","877818"
"227","877715"
"228","878155"
"229","881957"
"230","882150"
"231","882116"
"232","877707"
"233","881909"
"234","881907"
"235","881730"
"236","881928"
"237","882048"
"238","882051"
"239","881911"
"240","881918"
"241","880907"
"242","881956"
"243","879716"
"244","882159"
"245","881952"
"246","882128"
"247","881969"
"248","880888"
"249","879262"
"250","881983"
"251","879677"
"252","881936"
"253","881878"
"254","879587"
"255","881894"
"256","880116"
"257","880870"
"258","881892"
"259","879499"
"260","881884"
"261","881981"
"262","880866"
"263","881913"
"264","880917"
"265","880697"
"266","880732"
"267","883021"
"268","880648"
"269","880607"
"270","877827"
"271","883091"
"272","880785"
"273","880776"
"274","880723"
"275","883050"
"276","880729"
"277","883024"
"278","877644"
"279","880705"
"280","880883"
"281","881922"
"282","879699"
"283","879674"
"284","879596"
"285","879633"
"286","880781"
"287","879727"
"288","880764"
"289","879473"
"290","879730"
"291","880699"
"292","880857"
"293","880681"
"294","880840"
"295","880604"
"296","880835"
"297","878357"
"298","880655"
"299","877626"
"300","877636"
"301","880687"
"302","878265"
"303","877593"
"304","877655"
"305","877629"
"306","877780"
"307","878386"
"308","880668"
"309","878303"
"310","878375"
"311","878278"
"312","878270"
"313","878297"
"314","878305"
"315","878323"
"316","878356"
"317","878399"
"318","878326"
"319","878360"
"320","878353"
"321","878380"
"322","879407"
"323","879238"
"324","880297"
"325","879241"
"326","882183"
"327","882179"
"328","882171"
"329","879435"
"330","879348"
"331","882211"
"332","882199"
"333","882191"
"334","882290"
"335","882232"
"336","882246"
"337","882266"
"338","883093"
"339","882221"
"340","879417"
"341","880294"
"342","879284"
"343","879415"
"344","879318"
"345","879329"
"346","879397"
"347","879281"
"348","879233"
"349","879375"
"350","879278"
"351","879274"
"352","879450"
"353","879351"
"354","879235"
"355","879307"
"356","879453"
"357","879498"
"358","879422"
"359","879505"
"360","879523"
"361","879847"
"362","879858"
"363","879873"
"364","880299"
"365","880928"
"366","881245"
"367","882281"
"368","882994"
"369","883000"
"370","883018"
"371","883078"
"372","883092"
"373","883126"
