From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_012296228.1,B2I429,unreviewed,B2I429_MYCMM,"Transcriptional regulator, Fis family",MMAR_p21,Mycobacterium marinum (strain ATCC BAA-535 / M),273
WP_012296228.1,B1MAD4,unreviewed,B1MAD4_MYCA9,Putative transcriptional rgulator,MAB_p01,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),273
WP_012296229.1,B2I428,unreviewed,B2I428_MYCMM,Uncharacterized protein,MMAR_p20,Mycobacterium marinum (strain ATCC BAA-535 / M),146
WP_012296229.1,B1MAD5,unreviewed,B1MAD5_MYCA9,Uncharacterized protein,MAB_p02,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),146
WP_012296230.1,B2I427,unreviewed,B2I427_MYCMM,Antitoxin,MMAR_p19,Mycobacterium marinum (strain ATCC BAA-535 / M),77
WP_012296230.1,B1MAD6,unreviewed,B1MAD6_MYCA9,Antitoxin,MAB_p03,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),77
WP_012296232.1,B2I422,unreviewed,B2I422_MYCMM,"Mercuric transport protein, MerT",merT MMAR_p14,Mycobacterium marinum (strain ATCC BAA-535 / M),144
WP_012296232.1,C6ELU0,unreviewed,C6ELU0_MYCA9,Mercuric transporter MerT,MAB_p22c,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),144
WP_012296233.1,B2I421,unreviewed,B2I421_MYCMM,"Transcriptional repressor protein, MerR",MMAR_p13,Mycobacterium marinum (strain ATCC BAA-535 / M),127
WP_012296233.1,B1MAD8,unreviewed,B1MAD8_MYCA9,Mercury resistance operon repressor MerR,MAB_p05c,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),127
WP_012296234.1,B2I420,unreviewed,B2I420_MYCMM,Mercuric reductase (EC 1.16.1.1) (Hg(II) reductase),merA MMAR_p12,Mycobacterium marinum (strain ATCC BAA-535 / M),472
WP_012296234.1,B1MAD9,unreviewed,B1MAD9_MYCA9,Mercuric reductase (EC 1.16.1.1) (Hg(II) reductase),MAB_p06,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),472
WP_012296236.1,B2I418,unreviewed,B2I418_MYCMM,Alkylmercury lyase (EC 4.99.1.2) (Organomercurial lyase),merB MMAR_p10,Mycobacterium marinum (strain ATCC BAA-535 / M),218
WP_012296236.1,B1MAE1,unreviewed,B1MAE1_MYCA9,Alkylmercury lyase (EC 4.99.1.2) (Organomercurial lyase),MAB_p08,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),218
WP_012296237.1,B2I417,unreviewed,B2I417_MYCMM,Pyridine nucleotide-disulfide oxidoreductase,MMAR_p09,Mycobacterium marinum (strain ATCC BAA-535 / M),450
WP_012296237.1,B1MAE2,unreviewed,B1MAE2_MYCA9,Probable FAD-dependent pyridine nucleotide-disulphide oxidoreductase,MAB_p09,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),450
WP_012296238.1,B2I416,unreviewed,B2I416_MYCMM,Site-specific DNA recombinase,MMAR_p08,Mycobacterium marinum (strain ATCC BAA-535 / M),194
WP_012296238.1,B1MAE3,unreviewed,B1MAE3_MYCA9,Putative resolvase/invertase/recombinase,MAB_p10,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),194
WP_012296239.1,B2I415,unreviewed,B2I415_MYCMM,Glycos_transf_1 domain-containing protein,MMAR_p07,Mycobacterium marinum (strain ATCC BAA-535 / M),196
WP_012296239.1,B1MAE4,unreviewed,B1MAE4_MYCA9,Glycos_transf_1 domain-containing protein,MAB_p11,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),196
WP_012296240.1,B2I414,unreviewed,B2I414_MYCMM,Conserved hypothetical secreted protein,MMAR_p06,Mycobacterium marinum (strain ATCC BAA-535 / M),175
WP_012296240.1,B1MAE5,unreviewed,B1MAE5_MYCA9,Conserved secreted protein,MAB_p12,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),175
WP_012296241.1,B2I413,unreviewed,B2I413_MYCMM,Conserved hypothetical membrane protein,MMAR_p05,Mycobacterium marinum (strain ATCC BAA-535 / M),814
WP_012296241.1,B1MAE6,unreviewed,B1MAE6_MYCA9,PPE domain-containing protein,MAB_p13,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),814
WP_012296242.1,B2I412,unreviewed,B2I412_MYCMM,DUF2384 domain-containing protein,MMAR_p04,Mycobacterium marinum (strain ATCC BAA-535 / M),253
WP_012296242.1,B1MAE7,unreviewed,B1MAE7_MYCA9,DUF2384 domain-containing protein,MAB_p14,Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus),253
WP_012296243.1,B2I411,unreviewed,B2I411_MYCMM,ATP-dependent exodnase (Exonuclease V),MMAR_p03,Mycobacterium marinum (strain ATCC BAA-535 / M),1110
