From	To
Q17ZS9	cdf:CD630_p020
Q17ZS8	cdf:CD630_p030
Q17ZS7	cdf:CD630_p040
Q17ZT1	cdf:CD630_p060
Q17ZT6	cdf:CD630_p070
Q17ZT4	cdf:CD630_p090
Q17ZT3	cdf:CD630_p100
A0A2C9C497	cdf:CD630_p101
Q188K5	cdf:CD630_04150
Q188K5	pdc:CDIF630_00542
Q188J7	cdf:CD630_04140
Q188J7	pdc:CDIF630_00541
Q188U7	cdf:CD630_04991
Q187X7	cdf:CD630_20101
Q187X7	pdc:CDIF630_02230
Q187I9	cdf:CD630_18760
Q187I9	pdc:CDIF630_02079
Q18DB4	cdf:CD630_03790
Q18DB4	pdc:CDIF630_00506
Q188V9	cdf:CD630_05110
F3Y5T1	cdf:CD630_05103
Q188V5	cdf:CD630_05100
Q188V7	cdf:CD630_05090
Q188U9	cdf:CD630_05070
Q188U4	cdf:CD630_05020
Q188U5	cdf:CD630_05010
Q188U6	cdf:CD630_05000
Q188U2	cdf:CD630_04980
Q188T7	cdf:CD630_04970
Q188T8	cdf:CD630_04960
Q188V4	cdf:CD630_05101
Q187X6	cdf:CD630_20080
Q187X6	pdc:CDIF630_02227
Q188V0	cdf:CD630_05060
Q18CI1	cdf:CD630_00941
Q18CI1	pdc:CDIF630_00164
Q180I6	cdf:CD630_33421
Q180J1	cdf:CD630_33460
Q18AX3	cdf:CD630_11170
Q18AX3	pdc:CDIF630_01261
Q18AW8	cdf:CD630_11130
Q18AW9	cdf:CD630_11120
Q188J5	cdf:CD630_04080
Q18DA7	cdf:CD630_03700
Q18DA7	pdc:CDIF630_00497
Q183C4	cdf:CD630_26910
Q183C4	pdc:CDIF630_02946
Q183C2	cdf:CD630_26880
Q183C2	pdc:CDIF630_02943
F3Y5V5	cdf:CD630_26871
F3Y5V5	pdc:CDIF630_02942
Q182X7	cdf:CD630_26430
Q182X7	pdc:CDIF630_02897
Q182X5	cdf:CD630_26420
Q182X5	pdc:CDIF630_02896
Q182X6	cdf:CD630_26410
Q182X6	pdc:CDIF630_02895
Q182X2	cdf:CD630_26380
Q182X2	pdc:CDIF630_02892
Q182W2	cdf:CD630_26270
Q182W2	pdc:CDIF630_02881
Q182W0	cdf:CD630_26250
Q182W0	pdc:CDIF630_02879
Q182V6	cdf:CD630_26220
Q182V6	pdc:CDIF630_02876
Q182V4	cdf:CD630_26210
Q182V4	pdc:CDIF630_02875
Q182U5	cdf:CD630_26110
Q182U5	pdc:CDIF630_02863
Q182S9	cdf:CD630_25890
Q182S9	pdc:CDIF630_02843
Q182S1	cdf:CD630_25820
Q182S1	pdc:CDIF630_02835
Q182R8	cdf:CD630_25790
Q182R8	pdc:CDIF630_02832
Q182Q0	cdf:CD630_25621
Q182Q0	pdc:CDIF630_02814
Q182P5	cdf:CD630_25580
Q182P5	pdc:CDIF630_02809
Q182L2	cdf:CD630_25240
Q182L2	pdc:CDIF630_02776
Q182L0	cdf:CD630_25220
Q182L0	pdc:CDIF630_02774
Q182K8	cdf:CD630_25210
Q182K8	pdc:CDIF630_02772
Q182K0	cdf:CD630_25130
Q182K0	pdc:CDIF630_02762
Q182H4	cdf:CD630_24870
Q182H4	pdc:CDIF630_02734
Q182G8	cdf:CD630_24820
Q182G8	pdc:CDIF630_02729
Q182G9	cdf:CD630_24810
Q182G9	pdc:CDIF630_02728
Q182F4	cdf:CD630_24670
Q182F4	pdc:CDIF630_02713
Q182E6	cdf:CD630_24590
Q182E6	pdc:CDIF630_02705
Q182D5	cdf:CD630_24461
Q182D5	pdc:CDIF630_02691
Q182C4	cdf:CD630_24390
Q182C4	pdc:CDIF630_02683
Q182C3	cdf:CD630_24370
Q182C3	pdc:CDIF630_02681
F3Y609	cdf:CD630_24351
F3Y609	pdc:CDIF630_02679
Q182B9	cdf:CD630_24330
Q182B9	pdc:CDIF630_02676
Q182B7	cdf:CD630_24300
Q182B7	pdc:CDIF630_02673
Q182B4	cdf:CD630_24291
Q182B4	pdc:CDIF630_02672
Q181Z7	cdf:CD630_24120
Q181Z7	pdc:CDIF630_02654
Q181Y5	cdf:CD630_24010
Q181Y5	pdc:CDIF630_02643
Q181Y3	cdf:CD630_23990
Q181Y3	pdc:CDIF630_02641
Q181Y4	cdf:CD630_23980
Q181Y4	pdc:CDIF630_02640
Q185N8	cdf:CD630_23660
Q185N8	pdc:CDIF630_02606
Q185M7	cdf:CD630_23560
Q185M7	pdc:CDIF630_02596
Q185M8	cdf:CD630_23550
Q185M8	pdc:CDIF630_02595
Q185M5	cdf:CD630_23540
Q185M5	pdc:CDIF630_02594
Q180R4	cdf:CD630_34160
Q180R4	pdc:CDIF630_03721
Q180Q7	cdf:CD630_34090
Q180Q7	pdc:CDIF630_03714
Q180Q4	cdf:CD630_34060
Q180Q4	pdc:CDIF630_03711
Q180Q3	cdf:CD630_34050
Q180Q3	pdc:CDIF630_03710
Q180P8	cdf:CD630_34000
Q180P8	pdc:CDIF630_03705
Q180P7	cdf:CD630_33980
Q180P7	pdc:CDIF630_03703
F3Y5W2	cdf:CD630_33682
F3Y5W2	pdc:CDIF630_03671
Q180E9	cdf:CD630_33060
Q180E9	pdc:CDIF630_03607
Q180F0	cdf:CD630_33050
Q180F0	pdc:CDIF630_03606
Q180E8	cdf:CD630_33040
Q180E8	pdc:CDIF630_03605
Q180E6	cdf:CD630_33020
Q180E6	pdc:CDIF630_03603
Q180D2	cdf:CD630_32890
Q180D2	pdc:CDIF630_03589
Q180B8	cdf:CD630_32730
Q180B8	pdc:CDIF630_03573
