From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_000002019.1,F9HB49,unreviewed,F9HB49_STRMT,Cell division protein ZapA,HMPREF9958_1765,Streptococcus mitis SK1073,100
WP_000002019.1,I0SWV2,unreviewed,I0SWV2_STRMT,Cell division protein ZapA,HMPREF1048_1775,Streptococcus mitis SK575,100
WP_000002019.1,A0A829BHQ9,unreviewed,A0A829BHQ9_STREE,Uncharacterized protein,PCS70012_01468,Streptococcus pneumoniae PCS70012,100
WP_000002019.1,R0N5D7,unreviewed,R0N5D7_STRMT,Uncharacterized protein,D064_06451,Streptococcus mitis 11/5,100
WP_000002019.1,R0P1P4,unreviewed,R0P1P4_STRMT,Uncharacterized protein,D065_09082,Streptococcus mitis 13/39,100
WP_000002019.1,A0A3R9NVS6,unreviewed,A0A3R9NVS6_STROR,Uncharacterized protein,D8800_02810,Streptococcus oralis,100
WP_000002019.1,A0A062WM64,unreviewed,A0A062WM64_STREE,Cell division protein ZapA (Seryl-tRNA synthetase (EC 6.1.1.11)),zapA A4258_13205 A5N45_03295 AZK02_03890 AZK21_02790 ERS019499_00874 ERS020334_00129 ERS020474_01814 ERS021072_00694 ERS021154_00205 ERS021218_01209 ERS022181_00865 ERS367364_01759 GM527_00910 GM529_03045 GM532_07775 GM536_05075 GM537_03855 GM539_04380 GM540_13640 GM543_03310 GM544_00675 GM546_00445 GM547_02140 SAMEA104154639_00261 SAMEA2627268_00416 SAMEA2696394_00426 SAMEA2783718_01408 SAMEA3171064_01893 SAMEA3207035_00035 SAMEA3207200_00720 SAMEA3381574_00904 SAMEA3389245_02234 SAMEA3389353_00940 SAMEA3390019_00037 SAMEA3506030_01543 SAMEA4038883_00812,Streptococcus pneumoniae,100
WP_000002019.1,A0A2I1UG35,unreviewed,A0A2I1UG35_STROR,Cell division protein ZapA,CYK16_01400,Streptococcus oralis subsp. dentisani,100
WP_000002019.1,A0A1F0BX05,unreviewed,A0A1F0BX05_9STRE,Uncharacterized protein,HMPREF2613_06940,Streptococcus sp. HMSC070B10,100
WP_000002019.1,A0A1E9GF04,unreviewed,A0A1E9GF04_9STRE,Uncharacterized protein,HMPREF2764_08525,Streptococcus sp. HMSC073F11,100
WP_000002019.1,A0A3P1VF82,unreviewed,A0A3P1VF82_9STRE,Cell division protein ZapA,zapA EII37_08880,Streptococcus sp. OH4692_COT-348,100
WP_000002019.1,A0A1S9ZBR4,unreviewed,A0A1S9ZBR4_9STRE,Cell division protein ZapA (Seryl-tRNA synthetase (EC 6.1.1.11)),zapA C5O69_04815 D6867_06165 ERS019180_01328 ERS020247_01566 ERS021757_00750,Streptococcus pseudopneumoniae,100
WP_000002019.1,A0A501PDN1,unreviewed,A0A501PDN1_9STRE,Cell division protein ZapA,zapA FJN11_01565,Streptococcus symci,100
WP_000002019.1,A0A501VNJ7,unreviewed,A0A501VNJ7_9STRE,Cell division protein ZapA,zapA FJR73_08070,Streptococcus sp. D2,100
WP_000002019.1,A0A081Q9Y7,unreviewed,A0A081Q9Y7_STRMT,Cell division ZapA family protein (Cell division protein ZapA),zapA AXK38_08360 B0179_00700 B0686_05560 B7693_08940 B7694_02810 B7695_03780 B7696_00795 B7697_06295 B7698_04930 B7699_07630 B7701_01185 B7703_03600 CYK18_04520 D8787_07630 D8789_04640 D8842_09245 D8845_07900 D8849_09585 D8855_01595 D8865_02005 FOB92_07195 GEZ69_01245 GEZ74_09155 GEZ84_01130 GEZ98_08980 HMPREF3228_00129 M594_08405 SK1126_1537 SK608_1651 SMIDD22_01468 SMIDD26_01555 SMIDD28_00461 SMNM65_17140 TZ91_01516 TZ93_00151,Streptococcus mitis,100
WP_000002019.1,A5LJX1,unreviewed,A5LJX1_STREE,Uncharacterized protein,CGSSp6BS73_11606,Streptococcus pneumoniae SP6-BS73,100
WP_000002019.1,B1I9J9,unreviewed,B1I9J9_STRPI,Uncharacterized protein,SPH_0513,Streptococcus pneumoniae (strain Hungary19A-6),100
WP_000002019.1,C1CCH1,unreviewed,C1CCH1_STRZJ,Uncharacterized protein,SPJ_0392,Streptococcus pneumoniae (strain JJA),100
WP_000002019.1,E1LPI6,unreviewed,E1LPI6_STRMT,Uncharacterized protein,SMSK564_1765,Streptococcus mitis SK564,100
WP_000002019.1,E1LQN5,unreviewed,E1LQN5_STRMT,Uncharacterized protein,SMSK597_0287,Streptococcus mitis SK597,100
WP_000003935.1,A0A064C0N3,unreviewed,A0A064C0N3_STREE,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK AZJ28_00715 AZJ70_11125 ERS019209_00781 ERS020474_01498 ERS021072_00918 ERS096071_00618 GM532_01995 GM536_05985 GM543_03885 GM547_04335 SAMEA104154639_01130 SAMEA2783718_00341 SAMEA3171064_01176 SAMEA3207035_01511 SAMEA3207200_02048 SAMEA3381574_01391,Streptococcus pneumoniae,396
WP_000003935.1,Q8DQH0,reviewed,METK_STRR6,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK spr0671,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),396
WP_000003935.1,Q04LE0,reviewed,METK_STRP2,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK SPD_0664,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),396
WP_000003935.1,A5LP88,unreviewed,A5LP88_STREE,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK CGSSp6BS73_01613,Streptococcus pneumoniae SP6-BS73,396
WP_000003935.1,B1IAT8,reviewed,METK_STRPI,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK SPH_0862,Streptococcus pneumoniae (strain Hungary19A-6),396
WP_000003935.1,B5E364,reviewed,METK_STRP4,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK SPG_0694,Streptococcus pneumoniae serotype 19F (strain G54),396
WP_000003935.1,B2INE5,reviewed,METK_STRPS,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK SPCG_0712,Streptococcus pneumoniae (strain CGSP14),396
WP_000004139.1,A0A829BH34,unreviewed,A0A829BH34_STREE,"Transcriptional regulator, TetR family",PCS70012_01158,Streptococcus pneumoniae PCS70012,185
WP_000004139.1,A0A062WMF3,unreviewed,A0A062WMF3_STREE,TetR family transcriptional regulator (TetR/AcrR family transcriptional regulator) (Transcriptional regulator),ethR A4258_08785 A5N45_07610 AZJ28_05825 AZJ70_08265 AZK02_11240 AZK21_09435 ERS019166_00596 ERS019209_00764 ERS019499_01733 ERS021072_00935 ERS021218_02229 ERS096071_00601 GM527_05490 GM529_02775 GM537_05355 GM538_08065 GM539_08830 GM540_02410 GM543_08190 GM544_06770 GM545_03680 GM546_05425 GM547_04420 SAMEA104154639_01599 SAMEA2627268_00741 SAMEA2696394_01834 SAMEA2783718_00358 SAMEA3171064_02209 SAMEA3207035_01528 SAMEA3207200_02065 SAMEA3381574_01834 SAMEA3389245_01917 SAMEA3389353_01339 SAMEA3390019_01775 SAMEA4038883_00076,Streptococcus pneumoniae,185
WP_000004139.1,V8IES3,unreviewed,V8IES3_9STRE,TetR family transcriptional regulator,U753_09440,Streptococcus pseudopneumoniae 5247,185
WP_000004139.1,A0A0H2UP86,unreviewed,A0A0H2UP86_STRPN,"Transcriptional regulator, TetR family",SP_0743,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),185
WP_000004139.1,Q8DQI5,unreviewed,Q8DQI5_STRR6,HTH tetR-type domain-containing protein,spr0653,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),185
WP_000004139.1,A0A3A4N177,unreviewed,A0A3A4N177_9STRE,TetR/AcrR family transcriptional regulator (Transcriptional regulator),C5O68_01485 C5O69_09340 ERS019180_02005,Streptococcus pseudopneumoniae,185
WP_000004139.1,A0A0H2ZQ31,unreviewed,A0A0H2ZQ31_STRP2,"Transcriptional regulator, TetR family protein",SPD_0647,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),185
WP_000004139.1,B1IAS1,unreviewed,B1IAS1_STRPI,"Transcriptional regulator, TetR family",SPH_0845,Streptococcus pneumoniae (strain Hungary19A-6),185
WP_000004139.1,C1C688,unreviewed,C1C688_STRP7,"Transcriptional regulator, TetR family",SP70585_0789,Streptococcus pneumoniae (strain 70585),185
WP_000004139.1,C1CD93,unreviewed,C1CD93_STRZJ,"Transcriptional regulator, TetR family",SPJ_0682,Streptococcus pneumoniae (strain JJA),185
WP_000004139.1,B2INC6,unreviewed,B2INC6_STRPS,"Transcriptional regulator, TetR family",SPCG_0693,Streptococcus pneumoniae (strain CGSP14),185
WP_000005008.1,A0A0B7LYZ7,unreviewed,A0A0B7LYZ7_STREE,ATP-binding cassette domain-containing protein,GM529_05780 GM543_01465,Streptococcus pneumoniae,252
WP_000005008.1,Q8DQL1,unreviewed,Q8DQL1_STRR6,ABC transporter ATP-binding protein-glutamine transport,glnQ spr0622,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),252
WP_000005008.1,A0A0H2ZLR6,unreviewed,A0A0H2ZLR6_STRP2,"Amino acid ABC transporter, ATP-binding protein",SPD_0616,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),252
WP_000006154.1,A0A098Z3K3,unreviewed,A0A098Z3K3_STREE,Thiamine diphosphokinase (EC 2.7.6.2) (Thiamine pyrophosphokinase),thiN GM536_02785 GM543_02875 SAMEA2627268_01777 SAMEA3506030_01777,Streptococcus pneumoniae,220
WP_000006154.1,A0A0H2ZNV8,unreviewed,A0A0H2ZNV8_STRP2,Thiamine pyrophosphokinase (EC 2.7.6.2),SPD_1779,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),220
WP_000006154.1,C1CA26,unreviewed,C1CA26_STRP7,Thiamine pyrophosphokinase (EC 2.7.6.2),SP70585_2053,Streptococcus pneumoniae (strain 70585),220
WP_000008798.1,A0A0H2ZRH7,unreviewed,A0A0H2ZRH7_STRP2,"Cation-transporting ATPase, E1-E2 family protein (EC 3.6.3.-)",SPD_1927,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),687
WP_000009141.1,A0A2J6EGE6,unreviewed,A0A2J6EGE6_STREE,Membrane protein (Putative sulfate exporter family transporter),yeiH GM538_09715 SAMEA3207035_01199,Streptococcus pneumoniae,336
WP_000009141.1,Q8DRN6,reviewed,Y034_STRR6,UPF0324 membrane protein spr0034,spr0034,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),336
WP_000009141.1,A0A0H2ZNK5,unreviewed,A0A0H2ZNK5_STRP2,"Membrane protein, putative",SPD_0040,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),336
WP_000010163.1,A0A062WP99,unreviewed,A0A062WP99_STREE,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),prsA_1 prs prsA_2 A4258_10570 A5N45_07065 AZJ28_02455 AZJ70_04040 AZK21_08475 ERS019166_02002 ERS019209_01074 ERS019499_00597 ERS021072_01345 ERS096071_01911 GM527_09400 GM529_10035 GM532_03330 GM536_10305 GM537_09635 GM539_03725 GM540_04705 GM543_09530 GM544_10430 GM546_02205 GM547_09735 SAMEA2627268_00032 SAMEA2696394_01851 SAMEA2783718_00769 SAMEA3171064_01483 SAMEA3207035_01193 SAMEA3207200_00480 SAMEA3381574_01318 SAMEA3389245_01283 SAMEA3389353_02141 SAMEA3390019_01543 SAMEA3506030_00622 SAMEA4038883_00621,Streptococcus pneumoniae,322
