From,To
Q0TMS1,cpf:CPF_2689
A0A0H2YT46,cpf:CPF_1242
A0A0H2YTB3,cpf:CPF_0109
Q0TUX8,cpf:CPF_0098
A0A0H2YQ72,cpf:CPF_0094
A0A0H2YR57,cpf:CPF_0107
Q0TUZ4,cpf:CPF_0082
A0A0H2YUI7,cpf:CPF_0090
A0A0H2YTE9,cpf:CPF_0087
A0A0H2YTY3,cpf:CPF_0118
A0A0H2YVG5,cpf:CPF_0097
A0A0H2YNA6,cpf:CPF_0110
A0A0H2YTB7,cpf:CPF_0125
A0A0H2YUC7,cpf:CPF_0133
A0A0H2YPP5,cpf:CPF_0104
Q0TQK3,cpf:CPF_1646
Q0TQK2,cpf:CPF_1647
Q0TQK6,cpf:CPF_1643
A0A0H2YN11,cpf:CPF_1268
Q0TRN3,cpf:CPF_1261
Q0TRN4,cpf:CPF_1260
A0A0H2YTG7,cpf:CPF_0603
A0A0H2YRF2,cpf:CPF_0601
A0A0H2YVB9,cpf:CPF_0592
A0A0H2YQK9,cpf:CPF_0593
A0A0H2YNY2,cpf:CPF_0589
A0A0H2YUA3,cpf:CPF_1292
A0A0H2YPX5,cpf:CPF_1315
A0A0H2YSR3,cpf:CPF_1310
Q0TRG5,cpf:CPF_1329
A0A0H2YPI2,cpf:CPF_1280
A0A0H2YS00,cpf:CPF_1320
A0A0H2YNV9,cpf:CPF_1307
A0A0H2YR99,cpf:CPF_1550
A0A0H2YUP8,cpf:CPF_1619
A0A0H2YV25,cpf:CPF_1615
A0A0H2YNS5,cpf:CPF_1557
A0A0H2YV16,cpf:CPF_1563
Q0TQU8,cpf:CPF_1549
A0A0H2YPK2,cpf:CPF_1622
A0A0H2YQ73,cpf:CPF_0836
A0A0H2YQS0,cpf:CPF_0814
A0A0H2YTY4,cpf:CPF_0833
A0A0H2YUA5,cpf:CPF_0821
A0A0H2YTF0,cpf:CPF_0804
A0A0H2YTS2,cpf:CPF_0851
A0A0H2YS86,cpf:CPF_0072
A0A0H2YQV6,cpf:CPF_1338
Q0TRE5,cpf:CPF_1349
A0A0H2YUG7,cpf:CPF_1336
A0A0H2YUP1,cpf:CPF_1344
A0A0H2YS31,cpf:CPF_1356
A0A0H2YQQ7,cpf:CPF_2018
A0A0H2YRE9,cpf:CPF_2003
Q0TPS2,cpf:CPF_1935
Q0TPQ2,cpf:CPF_1955
Q0TPN2,cpf:CPF_1975
A0A0H2YQQ3,cpf:CPF_1988
Q0TPJ5,cpf:CPF_2012
