From	Entry	Reviewed	Entry Name	Protein names	Organism	Length
WP_001181005.1	G9Y349	unreviewed	G9Y349_HAFAL	30S ribosomal protein S10	Hafnia alvei ATCC 51873	103
WP_001181005.1	G9YZX1	unreviewed	G9YZX1_9ENTR	30S ribosomal protein S10	Yokenella regensburgei ATCC 43003	103
WP_001181005.1	A0A7C9KGC9	unreviewed	A0A7C9KGC9_9GAMM	30S ribosomal protein S10	Photorhabdus khanii	103
WP_001181005.1	W3V349	unreviewed	W3V349_9GAMM	30S ribosomal protein S10	Photorhabdus khanii NC19	103
WP_001181005.1	F4H9A8	unreviewed	F4H9A8_GALAU	30S ribosomal protein S10	Gallibacterium anatis (strain UMN179) (Pasteurella anatis)	103
WP_001181005.1	A0A5I0YZY5	unreviewed	A0A5I0YZY5_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Oslo	103
WP_001181005.1	A0A1C4ECU3	unreviewed	A0A1C4ECU3_9ENTR	30S ribosomal protein S10	Kosakonia oryzendophytica	103
WP_001181005.1	A0A1C4GDS8	unreviewed	A0A1C4GDS8_9ENTR	30S ribosomal protein S10	Kosakonia oryziphila	103
WP_001181005.1	A0A085A4L2	unreviewed	A0A085A4L2_9ENTR	30S ribosomal protein S10	Trabulsiella guamensis ATCC 49490	103
WP_001181005.1	A0A085JPM2	unreviewed	A0A085JPM2_9GAMM	30S ribosomal protein S10	Tatumella ptyseos ATCC 33301	103
WP_001181005.1	A0A085HCX1	unreviewed	A0A085HCX1_9GAMM	30S ribosomal protein S10	Leminorella grimontii ATCC 33999 = DSM 5078	103
WP_001181005.1	A0A0H3H2H4	unreviewed	A0A0H3H2H4_KLEOK	30S ribosomal protein S10	Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686 / BUCSAV 143 / CCM 1901)	103
WP_001181005.1	A9MT00	reviewed	RS10_SALPB	30S ribosomal protein S10	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	103
WP_001181005.1	A0A0H3FKI6	unreviewed	A0A0H3FKI6_KLEAK	30S ribosomal protein S10	Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / CCUG 1429 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006 / CDC 819-56) (Enterobacter aerogenes)	103
WP_001181005.1	A0A379EH97	unreviewed	A0A379EH97_9GAMM	30S ribosomal protein S10	Proteus penneri	103
WP_001181005.1	A0A420XFA7	unreviewed	A0A420XFA7_9PAST	30S ribosomal protein S10	Otariodibacter oris	103
WP_001181005.1	A0A2D0KFW4	unreviewed	A0A2D0KFW4_9GAMM	30S ribosomal protein S10	Xenorhabdus ishibashii	103
WP_001181005.1	F9QCD2	unreviewed	F9QCD2_9PAST	30S ribosomal protein S10	Haemophilus pittmaniae HK 85	103
WP_001181005.1	A0A727QL55	unreviewed	A0A727QL55_SALHO	30S ribosomal protein S10	Salmonella enterica subsp. houtenae serovar 48:g,z51:-	103
WP_001181005.1	K8A4K1	unreviewed	K8A4K1_9ENTR	30S ribosomal protein S10	Cronobacter condimenti 1330	103
WP_001181005.1	A0A376F0A3	unreviewed	A0A376F0A3_9ENTR	30S ribosomal protein S10	Cronobacter universalis NCTC 9529	103
WP_001181005.1	A0A369YCY7	unreviewed	A0A369YCY7_9PAST	30S ribosomal protein S10	Haemophilus sputorum	103
WP_001181005.1	A0A1X3RQB0	unreviewed	A0A1X3RQB0_9GAMM	30S ribosomal protein S10	Lonsdalea iberica	103
WP_001181005.1	A0A1X3RP50	unreviewed	A0A1X3RP50_9GAMM	30S ribosomal protein S10	Lonsdalea britannica	103
WP_001181005.1	A0A0R9N8F3	unreviewed	A0A0R9N8F3_SALNE	30S ribosomal protein S10	Salmonella newport	103
WP_001181005.1	H0KGH5	unreviewed	H0KGH5_AGGAC	30S ribosomal protein S10	Aggregatibacter actinomycetemcomitans RhAA1	103
WP_001181005.1	A0A4R2MTD7	unreviewed	A0A4R2MTD7_9PAST	30S ribosomal protein S10	Bisgaardia hudsonensis	103
WP_001181005.1	I2NGI8	unreviewed	I2NGI8_9PAST	30S ribosomal protein S10	Haemophilus paraphrohaemolyticus HK411	103
WP_001181005.1	I3DGF3	unreviewed	I3DGF3_HAEPH	30S ribosomal protein S10	Haemophilus parahaemolyticus HK385	103
WP_001181005.1	I3DG81	unreviewed	I3DG81_9PAST	30S ribosomal protein S10	Pasteurella bettyae CCUG 2042	103
WP_001181005.1	A0A0G4JVD1	unreviewed	A0A0G4JVD1_9GAMM	30S ribosomal protein S10	Brenneria goodwinii	103
WP_001181005.1	H5V7V1	unreviewed	H5V7V1_ATLHE	30S ribosomal protein S10	Atlantibacter hermannii NBRC 105704	103
WP_001181005.1	A0A090V8Q3	unreviewed	A0A090V8Q3_PSEVU	30S ribosomal protein S10	Pseudescherichia vulneris NBRC 102420	103
WP_001181005.1	A0A7H8UTP8	unreviewed	A0A7H8UTP8_9PAST	30S ribosomal protein S10	Mannheimia pernigra	103
WP_001181005.1	A0A2U1UTW8	unreviewed	A0A2U1UTW8_9GAMM	30S ribosomal protein S10	Brenneria nigrifluens DSM 30175 = ATCC 13028	103
WP_001181005.1	A0A2U0T823	unreviewed	A0A2U0T823_9PAST	30S ribosomal protein S10	Pasteurella langaaensis DSM 22999	103
WP_001181005.1	A0A1W1V609	unreviewed	A0A1W1V609_9PAST	30S ribosomal protein S10	Pasteurella testudinis DSM 23072	103
WP_001181005.1	A0A7X5QQI0	unreviewed	A0A7X5QQI0_9GAMM	30S ribosomal protein S10	Photorhabdus stackebrandtii	103
WP_001181005.1	A0A1H9YAG6	unreviewed	A0A1H9YAG6_9GAMM	30S ribosomal protein S10	Thorsellia anophelis DSM 18579	103
WP_001181005.1	J7U2E6	unreviewed	J7U2E6_MORMO	30S ribosomal protein S10	Morganella morganii subsp. morganii KT	103
WP_001181005.1	A0A0H3GWM4	unreviewed	A0A0H3GWM4_KLEPH	30S ribosomal protein S10	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	103
WP_001181005.1	H3N3L6	unreviewed	H3N3L6_9ENTR	30S ribosomal protein S10	Klebsiella michiganensis	103
WP_001181005.1	K8VXC0	unreviewed	K8VXC0_9GAMM	30S ribosomal protein S10	Providencia burhodogranariea DSM 19968	103
WP_001181005.1	A0A5J2KFB8	unreviewed	A0A5J2KFB8_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Napoli	103
WP_001181005.1	A0A5J1IQB6	unreviewed	A0A5J1IQB6_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Sandiego	103
WP_001181005.1	A0A741MTH0	unreviewed	A0A741MTH0_SALER	30S ribosomal protein S10	Salmonella enterica subsp. arizonae serovar 41:z4,z23:-	103
WP_001181005.1	A0A701VJH3	unreviewed	A0A701VJH3_SALER	30S ribosomal protein S10	Salmonella enterica subsp. salamae serovar 48:d:z6	103
WP_001181005.1	A0A3V4SSR9	unreviewed	A0A3V4SSR9_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Altona	103
WP_001181005.1	A0A5I6NTZ7	unreviewed	A0A5I6NTZ7_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Glostrup	103
WP_001181005.1	A0A1B1KXH0	unreviewed	A0A1B1KXH0_9GAMM	30S ribosomal protein S10	Serratia inhibens PRI-2C	103
WP_001181005.1	A0A140NKX6	unreviewed	A0A140NKX6_PROSM	30S ribosomal protein S10	Providencia stuartii (strain MRSN 2154)	103
WP_001181005.1	A0A6S6RND5	unreviewed	A0A6S6RND5_9GAMM	30S ribosomal protein S10	Arsenophonus endosymbiont of Bemisia tabaci Q2	103
WP_001181005.1	A0A1G4ZDI7	unreviewed	A0A1G4ZDI7_9ENTR	30S ribosomal protein S10	Kosakonia sacchari	103
WP_001181005.1	A0A0K2P6R4	unreviewed	A0A0K2P6R4_9ENTR	30S ribosomal protein S10	Cronobacter dublinensis subsp. dublinensis LMG 23823	103
WP_001181005.1	A0A3A3KUH8	unreviewed	A0A3A3KUH8_SALMO	30S ribosomal protein S10	Salmonella montevideo	103
WP_001181005.1	A0A752RSI5	unreviewed	A0A752RSI5_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Carrau	103
WP_001181005.1	A0A603E973	unreviewed	A0A603E973_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Worthington	103
WP_001181005.1	A0A734MII1	unreviewed	A0A734MII1_SALER	30S ribosomal protein S10	Salmonella enterica subsp. salamae serovar 58:l,z13,z28:z6	103
WP_001181005.1	V5ZCY6	unreviewed	V5ZCY6_9GAMM	30S ribosomal protein S10	Erwinia piriflorinigrans CFBP 5888	103
WP_001181005.1	R8WL34	unreviewed	R8WL34_9ENTR	30S ribosomal protein S10	Citrobacter sp. KTE151	103
WP_001181005.1	M4RM05	unreviewed	M4RM05_BIBTR	30S ribosomal protein S10	Bibersteinia trehalosi USDA-ARS-USMARC-192	103
WP_001181005.1	A0A3N0U6J9	unreviewed	A0A3N0U6J9_9GAMM	30S ribosomal protein S10	Lonsdalea populi	103
WP_001181005.1	A0A4D6P1H8	unreviewed	A0A4D6P1H8_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	103
WP_001181005.1	A0A5C4RCX6	unreviewed	A0A5C4RCX6_PHOLU	30S ribosomal protein S10	Photorhabdus luminescens subsp. sonorensis	103
WP_001181005.1	A0A1J6Z7Q8	unreviewed	A0A1J6Z7Q8_SALHO	30S ribosomal protein S10	Salmonella enterica subsp. houtenae serovar 50:g,z51:-	103
WP_001181005.1	V1GQW2	unreviewed	V1GQW2_SALER	30S ribosomal protein S10	Salmonella enterica subsp. indica serovar 6,14,25:z10:1,(2),7 str. 1121	103
WP_001181005.1	A0A3V5VZP6	unreviewed	A0A3V5VZP6_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Ohio	103
WP_001181005.1	A0A1D7YYT9	unreviewed	A0A1D7YYT9_9GAMM	30S ribosomal protein S10	Pectobacterium wasabiae CFBP 3304	103
WP_001181005.1	A0A1V0L868	unreviewed	A0A1V0L868_9ENTR	30S ribosomal protein S10	Kosakonia radicincitans DSM 16656	103
WP_001181005.1	V7IS59	unreviewed	V7IS59_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Cubana str. 76814	103
WP_001181005.1	A0A656IQE8	unreviewed	A0A656IQE8_SALE2	30S ribosomal protein S10	Salmonella enteritidis (strain 2009K0958)	103
WP_001181005.1	M7RAQ0	unreviewed	M7RAQ0_SALDU	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Dublin str. UC16	103
WP_001181005.1	A0A5W7S255	unreviewed	A0A5W7S255_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Kintambo	103
WP_001181005.1	A0A5W0SFI8	unreviewed	A0A5W0SFI8_SALER	30S ribosomal protein S10	Salmonella enterica subsp. arizonae serovar 18:z4,z23:-	103
WP_001181005.1	A0A735VYG0	unreviewed	A0A735VYG0_SALDZ	30S ribosomal protein S10	Salmonella enterica subsp. diarizonae serovar 48:i:z	103
WP_001181005.1	U1H059	unreviewed	U1H059_9PAST	30S ribosomal protein S10	Gallibacterium anatis 12656/12	103
WP_001181005.1	S5NDH0	unreviewed	S5NDH0_SALBN	30S ribosomal protein S10	Salmonella bongori N268-08	103
WP_001181005.1	A0A224A6B6	unreviewed	A0A224A6B6_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Choleraesuis	103
WP_001181005.1	A0A7W2E8N3	unreviewed	A0A7W2E8N3_9GAMM	30S ribosomal protein S10	Pectobacterium aroidearum	103
WP_001181005.1	K8B6E6	unreviewed	K8B6E6_9ENTR	30S ribosomal protein S10	Cronobacter dublinensis 1210	103
WP_001181005.1	K8B0V5	unreviewed	K8B0V5_9ENTR	30S ribosomal protein S10	Cronobacter dublinensis 582	103
WP_001181005.1	K8CFT8	unreviewed	K8CFT8_CROSK	30S ribosomal protein S10	Cronobacter sakazakii 701	103
WP_001181005.1	K8D7R2	unreviewed	K8D7R2_CROSK	30S ribosomal protein S10	Cronobacter sakazakii 696	103
WP_001181005.1	A0A5F0JMC5	unreviewed	A0A5F0JMC5_9ENTR	30S ribosomal protein S10	Enterobacter sp. A11	103
WP_001181005.1	A0A831EU43	unreviewed	A0A831EU43_ERWAM	30S ribosomal protein S10	Erwinia amylovora NBRC 12687 = CFBP 1232	103
WP_001181005.1	T0QS46	unreviewed	T0QS46_PHOTE	30S ribosomal protein S10	Photorhabdus temperata subsp. temperata M1021	103
WP_001181005.1	A0A071LRY1	unreviewed	A0A071LRY1_9ENTR	30S ribosomal protein S10	Mangrovibacter sp. MFB070	103
WP_001181005.1	A0A7U9CU52	unreviewed	A0A7U9CU52_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae subsp. pneumoniae KpQ3	103
WP_001181005.1	A0A7U7F875	unreviewed	A0A7U7F875_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae subsp. pneumoniae Ecl8	103
WP_001181005.1	A0A7D6HNX7	unreviewed	A0A7D6HNX7_9GAMM	30S ribosomal protein S10	Arsenophonus endosymbiont of Aphis craccivora	103
WP_001181005.1	A0A5P8RZI0	unreviewed	A0A5P8RZI0_YERPE	30S ribosomal protein S10	Yersinia pestis subsp. pestis bv. Medievalis	103
WP_001181005.1	A0A380TNG8	unreviewed	A0A380TNG8_9PAST	30S ribosomal protein S10	[Actinobacillus] rossii	103
WP_001181005.1	A0A1T0AZD3	unreviewed	A0A1T0AZD3_9PAST	30S ribosomal protein S10	[Haemophilus] felis	103
WP_001181005.1	A0A3N4WF79	unreviewed	A0A3N4WF79_9PAST	30S ribosomal protein S10	Frederiksenia canicola	103
WP_001181005.1	M7C9C0	unreviewed	M7C9C0_MORMO	30S ribosomal protein S10	Morganella morganii SC01	103
WP_001181005.1	A0A2K8VYU2	unreviewed	A0A2K8VYU2_9GAMM	30S ribosomal protein S10	Dickeya solani RNS 08.23.3.1.A	103
WP_001181005.1	A0A2C9NUY2	unreviewed	A0A2C9NUY2_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643	103
WP_001181005.1	A0A5I8I1G6	unreviewed	A0A5I8I1G6_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Ouakam	103
WP_001181005.1	A0A5X3P6G5	unreviewed	A0A5X3P6G5_SALET	30S ribosomal protein S10	Salmonella enterica subsp. enterica serovar Weslaco	103
WP_001181005.1	A0A6C7C489	unreviewed	A0A6C7C489_SALER	30S ribosomal protein S10	Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K	103
WP_001181005.1	A0A248K5U6	unreviewed	A0A248K5U6_SALBN	30S ribosomal protein S10	Salmonella bongori serovar 66:z41:- str. SA19983605	103
WP_001181005.1	A0A829QTS5	unreviewed	A0A829QTS5_9GAMM	30S ribosomal protein S10	Providencia alcalifaciens 205/92	103
WP_001181005.1	A0A514EKR6	unreviewed	A0A514EKR6_9ENTR	30S ribosomal protein S10	Raoultella electrica	103
WP_001181005.1	A0A0F6TXI3	unreviewed	A0A0F6TXI3_CITAM	30S ribosomal protein S10	Citrobacter amalonaticus Y19	103
WP_001181005.1	A0A179CX16	unreviewed	A0A179CX16_BIBTR	30S ribosomal protein S10	Bibersteinia trehalosi Y31	103
WP_001181005.1	A0A7U7FHA9	unreviewed	A0A7U7FHA9_YEREN	30S ribosomal protein S10	Yersinia enterocolitica (type O:9) str. YE56/03	103
WP_001181005.1	A0A7U7FPF1	unreviewed	A0A7U7FPF1_YEREN	30S ribosomal protein S10	Yersinia enterocolitica (type O:5,27) str. YE149/02	103
WP_001181005.1	A0A7U7IWH2	unreviewed	A0A7U7IWH2_YEREN	30S ribosomal protein S10	Yersinia enterocolitica (type O:3) str. YE12/03	103
WP_001181005.1	A0A7U7FXC0	unreviewed	A0A7U7FXC0_YEREN	30S ribosomal protein S10	Yersinia enterocolitica (type O:2) str. YE3094/96	103
WP_001181005.1	A0A034SZH8	unreviewed	A0A034SZH8_9GAMM	30S ribosomal protein S10	Edwardsiella piscicida	103
WP_001181005.1	A0A4V7I794	unreviewed	A0A4V7I794_BIBTR	30S ribosomal protein S10	Bibersteinia trehalosi USDA-ARS-USMARC-188	103
WP_001181005.1	W0RAP7	unreviewed	W0RAP7_BIBTR	30S ribosomal protein S10	Bibersteinia trehalosi USDA-ARS-USMARC-190	103
WP_001181005.1	A0A291E9C6	unreviewed	A0A291E9C6_9GAMM	30S ribosomal protein S10	Providencia alcalifaciens	103
WP_001181005.1	A0A0A7RXP8	unreviewed	A0A0A7RXP8_FRIPE	30S ribosomal protein S10	Frischella perrara	103
WP_001181005.1	V0AQE8	unreviewed	V0AQE8_KLEPN	30S ribosomal protein S10	Klebsiella pneumoniae 909957	103
WP_001181005.1	A0A3B1EFU8	unreviewed	A0A3B1EFU8_GLAPU	30S ribosomal protein S10	Glaesserella parasuis D74	103
WP_001181005.1	A0A0T9PG83	unreviewed	A0A0T9PG83_9GAMM	30S ribosomal protein S10	Yersinia pekkanenii	103
