From	To
F8DJF4	scp:HMPREF0833_11135
F8DHK1	scp:HMPREF0833_11805
F8DG19	scp:HMPREF0833_10308
F8DF91	scp:HMPREF0833_10135
F8DHW9	scp:HMPREF0833_11866
F8DH15	scp:HMPREF0833_11680
F8DHV5	scp:HMPREF0833_11845
F8DGD8	scp:HMPREF0833_11590
F8DJH7	scp:HMPREF0833_11007
F8DGE0	scp:HMPREF0833_11592
F8DJP5	scp:HMPREF0833_11280
F8DGL5	scp:HMPREF0833_11594
F8DG51	scp:HMPREF0833_10340
F8DGN0	scp:HMPREF0833_11609
F8DGM1	scp:HMPREF0833_11600
F8DGW9	scp:HMPREF0833_10487
F8DI78	scp:HMPREF0833_11906
F8DKE2	scp:HMPREF0833_11268
F8DGB6	scp:HMPREF0833_11564
F8DHK0	scp:HMPREF0833_11804
F8DJV5	scp:HMPREF0833_11094
F8DIM2	scp:HMPREF0833_11983
F8DGM6	scp:HMPREF0833_11605
F8DH65	scp:HMPREF0833_10516
F8DHQ7	scp:HMPREF0833_10646
F8DHL2	scp:HMPREF0833_10598
F8DHM5	scp:HMPREF0833_10611
F8DHL3	scp:HMPREF0833_10599
F8DHC0	scp:HMPREF0833_10579
F8DI09	scp:HMPREF0833_10685
F8DHD0	scp:HMPREF0833_10589
F8DFG6	scp:HMPREF0833_11397
F8DFK4	scp:HMPREF0833_11439
F8DFX1	scp:HMPREF0833_11488
F8DKL3	scp:HMPREF0833_11358
F8DFG8	scp:HMPREF0833_11399
F8DJQ9	scp:HMPREF0833_11365
F8DJQ6	scp:HMPREF0833_11345
F8DJR8	scp:HMPREF0833_11432
F8DJQ4	scp:HMPREF0833_11340
F8DKL7	scp:HMPREF0833_11362
F8DFL0	scp:HMPREF0833_11446
F8DFK5	scp:HMPREF0833_11440
F8DJS1	scp:HMPREF0833_11454
F8DKM1	scp:HMPREF0833_11367
F8DFJ7	scp:HMPREF0833_11429
F8DGL9	scp:HMPREF0833_11598
F8DG90	scp:HMPREF0833_11538
F8DGE1	scp:HMPREF0833_11593
F8DGL6	scp:HMPREF0833_11595
F8DG73	scp:HMPREF0833_11521
