From	To
A0A1D8PC43	cal:CAALFM_C100070WA
A0A1D8PC79	cal:CAALFM_C100280CA
A0A1D8PC68	cal:CAALFM_C100370WA
A0A1D8PC77	cal:CAALFM_C100440WA
A0A1D8PC73	cal:CAALFM_C100450CA
A0A1D8PC97	cal:CAALFM_C100710CA
A0A1D8PCC6	cal:CAALFM_C100910WA
A0A1D8PCC3	cal:CAALFM_C100930CA
A0A1D8PCD0	cal:CAALFM_C100940WA
A0A1D8PCD5	cal:CAALFM_C100970WA
A0A1D8PCD7	cal:CAALFM_C100980WA
A0A1D8PCG7	cal:CAALFM_C101370CA
A0A1D8PCH9	cal:CAALFM_C101440CA
A0A1D8PCI8	cal:CAALFM_C101610CA
A0A1D8PCI6	cal:CAALFM_C101640WA
A0A1D8PCM9	cal:CAALFM_C101790WA
A0A1D8PCL8	cal:CAALFM_C101930WA
A0A1D8PCL0	cal:CAALFM_C101970WA
A0A1D8PCM7	cal:CAALFM_C102010CA
A0A1D8PCL9	cal:CAALFM_C102060WA
A0A1D8PCQ5	cal:CAALFM_C102330CA
A0A1D8PCT3	cal:CAALFM_C102700CA
A0A1D8PCV2	cal:CAALFM_C102770WA
A0A1D8PCW6	cal:CAALFM_C103030WA
A0A1D8PCX9	cal:CAALFM_C103080CA
A0A1D8PCX0	cal:CAALFM_C103100WA
A0A1D8PCX8	cal:CAALFM_C103110WA
A0A1D8PCZ2	cal:CAALFM_C103150CA
A0A1D8PCY4	cal:CAALFM_C103190CA
A0A1D8PCY5	cal:CAALFM_C103210CA
A0A1D8PD03	cal:CAALFM_C103270WA
Q5AHZ7	cal:CAALFM_C103530WA
A0A1D8PD19	cal:CAALFM_C103580WA
P0CU35	cal:CAALFM_C103620CA
P0CU35	cal:CAALFM_C106460CA
Q96W54	cal:CAALFM_C103620CA
Q96W54	cal:CAALFM_C106460CA
A0A1D8PD34	cal:CAALFM_C103660WA
Q59VR1	cal:CAALFM_C103770WA
A0A1D8PD42	cal:CAALFM_C103840WA
A0A1D8PD57	cal:CAALFM_C104070CA
A0A1D8PD83	cal:CAALFM_C104210CA
A0A1D8PDB0	cal:CAALFM_C104230WA
Q8NJN3	cal:CAALFM_C104290CA
A0A1D8PD97	cal:CAALFM_C104360CA
Q59KZ1	cal:CAALFM_C104400CA
A0A1D8PDA0	cal:CAALFM_C104430CA
A0A1D8PDA4	cal:CAALFM_C104450CA
A0A1D8PDA6	cal:CAALFM_C104520CA
A0A1D8PDB6	cal:CAALFM_C104590WA
A0A1D8PDC4	cal:CAALFM_C104610WA
A0A1D8PDD0	cal:CAALFM_C104720WA
Q59MA3	cal:CAALFM_C105030CA
A0A1D8PDI3	cal:CAALFM_C105180CA
A0A1D8PDI1	cal:CAALFM_C105190CA
A0A1D8PDP4	cal:CAALFM_C105510CA
A0A1D8PDL0	cal:CAALFM_C105530CA
A0A1D8PDK6	cal:CAALFM_C105560WA
P0C075	cal:CAALFM_C105700WA
A0A1D8PDL6	cal:CAALFM_C105720WA
A0A1D8PDP5	cal:CAALFM_C105790WA
A0A1D8PDP8	cal:CAALFM_C106050CA
A0A1D8PDR2	cal:CAALFM_C106130CA
A0A1D8PDT3	cal:CAALFM_C106450CA
A0A1D8PDT4	cal:CAALFM_C106470WA
A0A1D8PDT9	cal:CAALFM_C106480CA
A0A1D8PDX1	cal:CAALFM_C106640CA
A0A1D8PDY0	cal:CAALFM_C106840CA
A0A1D8PDY6	cal:CAALFM_C106870CA
A0A1D8PDX4	cal:CAALFM_C106880CA
A0A1D8PDZ1	cal:CAALFM_C106890CA
A0A1D8PDX5	cal:CAALFM_C106900CA
A0A1D8PDZ3	cal:CAALFM_C107060CA
A0A1D8PDZ4	cal:CAALFM_C107150WA
A0A1D8PE03	cal:CAALFM_C107160CA
P0C0X3	cal:CAALFM_C107280CA
A0A1D8PE13	cal:CAALFM_C107340WA
A0A1D8PE39	cal:CAALFM_C107530WA
A0A1D8PE82	cal:CAALFM_C107920WA
A0A1D8PE80	cal:CAALFM_C108040WA
A0A1D8PE69	cal:CAALFM_C108080CA
A0A1D8PE91	cal:CAALFM_C108260CA
A0A1D8PEB8	cal:CAALFM_C108350CA
Q59QC5	cal:CAALFM_C108480CA
A0A1D8PED9	cal:CAALFM_C108650CA
A0A1D8PEE0	cal:CAALFM_C108710WA
A0A1D8PEJ1	cal:CAALFM_C108830CA
A0A1D8PEJ9	cal:CAALFM_C108930CA
A0A1D8PEM5	cal:CAALFM_C109630WA
A0A1D8PEP2	cal:CAALFM_C109650WA
