From	To
B1MAD4	mab:MAB_p01
B1MAD5	mab:MAB_p02
B1MAD6	mab:MAB_p03
C6ELU0	mab:MAB_p22c
B1MAD8	mab:MAB_p05c
B1MAD9	mab:MAB_p06
B1MAE1	mab:MAB_p08
B1MAE2	mab:MAB_p09
B1MAE3	mab:MAB_p10
B1MAE4	mab:MAB_p11
B1MAE5	mab:MAB_p12
B1MAE6	mab:MAB_p13
B1MAE7	mab:MAB_p14
B1MAE8	mab:MAB_p15c
B1MAE9	mab:MAB_p16c
B1MAF0	mab:MAB_p17
B1MAF2	mab:MAB_p19c
B1MAF3	mab:MAB_p20c
B1MAF4	mab:MAB_p21c
B1MGA4	mab:MAB_3774c
B1MGF1	mab:MAB_3821c
B1MGA3	mab:MAB_5000c
B1MGI0	mab:MAB_3851c
B1MH70	mab:MAB_3877c
B1MH69	mab:MAB_3876c
B1MGI1	mab:MAB_3852c
B1MGH9	mab:MAB_3850c
B1MGH7	mab:MAB_3848c
B1MGH2	mab:MAB_3843
B1MGG8	mab:MAB_3839c
B1MGF4	mab:MAB_3824
B1MGE8	mab:MAB_3818c
B1MGE7	mab:MAB_3817c
B1MGE6	mab:MAB_3816c
B1MGE5	mab:MAB_3815c
B1MGE3	mab:MAB_3813c
B1MGE1	mab:MAB_3811c
B1MGE0	mab:MAB_3810
B1MGD7	mab:MAB_3807c
B1MGD6	mab:MAB_3806c
B1MGD5	mab:MAB_3805c
B1MGD4	mab:MAB_3804c
B1MGC7	mab:MAB_3797c
B1MGC5	mab:MAB_3795c
B1MGC4	mab:MAB_3794c
B1MGC3	mab:MAB_3793c
B1MGB3	mab:MAB_3783c
B1MGA2	mab:MAB_3773c
B1MGA1	mab:MAB_3772c
B1MG99	mab:MAB_3770c
B1MG86	mab:MAB_3757
B1MG83	mab:MAB_3754c
B1MG82	mab:MAB_3753c
B1MG81	mab:MAB_3752c
B1MG64	mab:MAB_3735c
B1MG55	mab:MAB_3726
B1MG51	mab:MAB_3722
B1MG21	mab:MAB_3692c
B1MG18	mab:MAB_3689
B1MG10	mab:MAB_3681
B1MG05	mab:MAB_3676
B1MG01	mab:MAB_3672c
B1MFZ5	mab:MAB_3666
B1MFZ3	mab:MAB_3664
B1MFY6	mab:MAB_3657
B1MF99	mab:MAB_3631
B1MF93	mab:MAB_3625c
B1MF87	mab:MAB_3619c
B1MF66	mab:MAB_3597c
B1MF12	mab:MAB_3542c
B1MF11	mab:MAB_3541c
B1MF10	mab:MAB_3540c
B1MF09	mab:MAB_3539
B1MF07	mab:MAB_3537c
B1MF00	mab:MAB_3530c
B1MEZ7	mab:MAB_3527
B1MEZ4	mab:MAB_3524c
B1MEY3	mab:MAB_3513c
B1MEW5	mab:MAB_3495
B1MEV7	mab:MAB_3487
B1MEU8	mab:MAB_3478c
B1MEU5	mab:MAB_3475c
B1MEU4	mab:MAB_3474c
B1MEU3	mab:MAB_3473c
B1MET6	mab:MAB_3466c
B1MET4	mab:MAB_3464
B1MES1	mab:MAB_3451c
B1ME35	mab:MAB_3428c
B1ME33	mab:MAB_3426c
B1ME30	mab:MAB_3423
B1ME29	mab:MAB_3422c
B1ME22	mab:MAB_3415c
B1ME21	mab:MAB_3414c
B1ME07	mab:MAB_3400
B1MDZ8	mab:MAB_3391
B1MDZ6	mab:MAB_3389c
B1MDZ5	mab:MAB_3388c
B1MDY8	mab:MAB_3381c
B1MDY1	mab:MAB_3374c
B1MDX5	mab:MAB_3368c
B1MDX3	mab:MAB_3366
B1MDX0	mab:MAB_3363c
B1MDW9	mab:MAB_3362c
B1MDW2	mab:MAB_3355
B1MDU9	mab:MAB_3342c
B1MDU2	mab:MAB_3335c
B1MDS9	mab:MAB_3322c
B1MDS2	mab:MAB_3315
B1MDS0	mab:MAB_3313c
B1MDR9	mab:MAB_3312
B1MDR8	mab:MAB_3311c
B1MDR7	mab:MAB_3310c
B1MDR5	mab:MAB_3308
B1MDQ7	mab:MAB_3300c
B1MDQ6	mab:MAB_3299c
B1MDQ2	mab:MAB_3295
B1MDQ0	mab:MAB_3293c
B1MDP7	mab:MAB_3290
B1MDP1	mab:MAB_3284c
B1MDP0	mab:MAB_3283c
B1MDN9	mab:MAB_3282c
B1MDN7	mab:MAB_3280
B1MDM7	mab:MAB_3270c
B1MDL6	mab:MAB_3259c
B1MDL5	mab:MAB_3258c
B1MDL4	mab:MAB_3257c
B1MDK6	mab:MAB_3249
B1MDJ6	mab:MAB_3239c
B1MDI1	mab:MAB_3224c
B1MDH8	mab:MAB_3221c
B1MDH3	mab:MAB_3218
B1MDH2	mab:MAB_3217
B1MDG6	mab:MAB_3211c
B1MDG5	mab:MAB_3210c
B1MDE4	mab:MAB_3188c
B1MDB0	mab:MAB_3154c
B1MDA3	mab:MAB_3147c
B1MD91	mab:MAB_3135c
B1MD82	mab:MAB_3126c
B1MD77	mab:MAB_3121c
B1MD75	mab:MAB_3119c
B1MD74	mab:MAB_3118c
B1MD66	mab:MAB_3110
B1MD64	mab:MAB_3108c
B1MD57	mab:MAB_3101c
B1MD54	mab:MAB_3098
B1MD47	mab:MAB_3091c
B1MD46	mab:MAB_3090c
B1MD42	mab:MAB_3085c
B1MD24	mab:MAB_3067c
B1MD20	mab:MAB_3063
B1MD18	mab:MAB_3061c
B1MD17	mab:MAB_3060c
B1MD15	mab:MAB_3058
B1MD09	mab:MAB_3052
B1MCZ3	mab:MAB_3036c
B1MCZ0	mab:MAB_3033
B1MCY5	mab:MAB_3028
B1MCY3	mab:MAB_3026c
B1MCY1	mab:MAB_3024
B1MCW7	mab:MAB_3010
B1MCW2	mab:MAB_3005c
B1MCV4	mab:MAB_2997c
B1MCV2	mab:MAB_2995
B1MCU1	mab:MAB_2984c
B1MCP1	mab:MAB_2934
B1MCP0	mab:MAB_2933c
B1MCN7	mab:MAB_2930c
B1MCN6	mab:MAB_2929c
B1MCK5	mab:MAB_2897c
B1MCK4	mab:MAB_2896c
B1MCJ6	mab:MAB_2888c
B1MCJ4	mab:MAB_2886c
B1MCJ3	mab:MAB_2885
B1MCG4	mab:MAB_2856c
B1MCG2	mab:MAB_2854c
B1MCF8	mab:MAB_2850c
B1MCF5	mab:MAB_2847c
B1MCE8	mab:MAB_2840c
B1MCD9	mab:MAB_2831c
B1MCD2	mab:MAB_2824c
B1MCC9	mab:MAB_2821c
B1MCB7	mab:MAB_2809c
B1MCB0	mab:MAB_2802c
B1MCA7	mab:MAB_2799
B1MCA5	mab:MAB_2797c
B1MCA4	mab:MAB_2796c
B1MC90	mab:MAB_2782c
B1MC89	mab:MAB_2781c
B1MC87	mab:MAB_2779c
B1MC85	mab:MAB_2777c
B1MC57	mab:MAB_2749c
B1MC55	mab:MAB_2747c
B1MC52	mab:MAB_2744c
B1MC45	mab:MAB_2737c
B1MC44	mab:MAB_2736c
B1MC43	mab:MAB_2735c
B1MC33	mab:MAB_2725c
B1MC32	mab:MAB_2724c
B1MC31	mab:MAB_2723c
B1MC27	mab:MAB_2719c
B1MC08	mab:MAB_2699c
B1MC01	mab:MAB_2692c
B1MBZ3	mab:MAB_2684c
B1MBX6	mab:MAB_2667c
B1MBV7	mab:MAB_2648c
B1MBV4	mab:MAB_2645c
B1MBT8	mab:MAB_2629
B1MBT6	mab:MAB_2627c
B1MBS9	mab:MAB_2619
B1MBS6	mab:MAB_2616c
B1MBN9	mab:MAB_2579
B1MBN8	mab:MAB_2578c
B1MBM3	mab:MAB_2563
B1MBI6	mab:MAB_2526c
B1MBH8	mab:MAB_2518
B1MBE9	mab:MAB_2489
B1MBD2	mab:MAB_2472c
B1MBD1	mab:MAB_2471c
B1MB97	mab:MAB_2437c
B1MB83	mab:MAB_2423
B1MB64	mab:MAB_2404
B1MB63	mab:MAB_2403
B1MB60	mab:MAB_2400
B1MB54	mab:MAB_2394
B1MB50	mab:MAB_2390
B1MB23	mab:MAB_2363
B1MB20	mab:MAB_2360
B1MB11	mab:MAB_2351c
B1MB09	mab:MAB_2349
B1MB01	mab:MAB_2341
B1MAZ8	mab:MAB_2338
B1MAZ2	mab:MAB_2332c
B1MAY3	mab:MAB_2323
B1MAY2	mab:MAB_2322
B1MAY0	mab:MAB_2320c
B1MAV9	mab:MAB_2299c
B1MAN9	mab:MAB_2229c
B1MKD8	mab:MAB_1142c
B1MKE3	mab:MAB_1147c
B1MKG7	mab:MAB_1171c
B1MKG9	mab:MAB_1173c
B1MKH5	mab:MAB_1179c
B1MKH9	mab:MAB_1183
B1MKI0	mab:MAB_1184c
B1MKJ7	mab:MAB_1201c
B1MKJ8	mab:MAB_1202c
B1MKJ9	mab:MAB_1203
B1MKK5	mab:MAB_1209
B1MKK9	mab:MAB_1213c
B1MKL1	mab:MAB_1215c
B1MKN0	mab:MAB_1234c
B1MKR2	mab:MAB_1266
B1MKS4	mab:MAB_1278
B1MKT4	mab:MAB_1288
B1MKT5	mab:MAB_1289c
B1MKT6	mab:MAB_1290c
B1MLF7	mab:MAB_1296
B1MLL1	mab:MAB_1350
B1MLL3	mab:MAB_1352
B1MLM4	mab:MAB_1365
B1MLN3	mab:MAB_1374
B1MLN7	mab:MAB_1378c
B1MLQ0	mab:MAB_1391
B1MLQ3	mab:MAB_1394c
B1MLR1	mab:MAB_1402c
B1MLS6	mab:MAB_1417
B1MLT9	mab:MAB_1430c
B1MLU9	mab:MAB_1440c
B1MLV0	mab:MAB_1441
B1MLV1	mab:MAB_1442
B1MLV4	mab:MAB_1445
B1MLV6	mab:MAB_1447
B1MLV7	mab:MAB_1448
B1MLV8	mab:MAB_1449
B1MLW2	mab:MAB_1453
B1MLW9	mab:MAB_1460
B1MLX1	mab:MAB_1462c
B1MLY4	mab:MAB_1475
B1MLY5	mab:MAB_1476
B1MLY8	mab:MAB_1479
B1MLZ2	mab:MAB_1483
B1MLZ3	mab:MAB_1484
B1MMN0	mab:MAB_1506c
B1MMN2	mab:MAB_1508c
B1MMP0	mab:MAB_1516
B1MMP7	mab:MAB_1523c
B1MMQ0	mab:MAB_1526
B1MMR8	mab:MAB_1545c
B1MMT5	mab:MAB_1562
B1MMU0	mab:MAB_1567
B1MMU1	mab:MAB_1568
B1MMV4	mab:MAB_1581
B1MMV6	mab:MAB_1583
B1MMW9	mab:MAB_1596
B1MMX5	mab:MAB_1602
B1MMX9	mab:MAB_1606
B1MMY3	mab:MAB_1610
B1MMY4	mab:MAB_1611
B1MMY6	mab:MAB_1613
B1MMY9	mab:MAB_1616
B1MN07	mab:MAB_1634c
B1MN09	mab:MAB_1636
B1MN16	mab:MAB_1643
B1MN28	mab:MAB_1655
B1MN33	mab:MAB_1660c
B1MN37	mab:MAB_1664c
B1MN38	mab:MAB_1665
B1MN42	mab:MAB_1669
B1MN48	mab:MAB_1675
B1MN52	mab:MAB_1679c
B1MN60	mab:MAB_1687
B1MN63	mab:MAB_1690
B1MN75	mab:MAB_1702
B1MN82	mab:MAB_1709c
B1MNM5	mab:MAB_1843
B1MNN0	mab:MAB_1848
B1MNN8	mab:MAB_1856
B1MNQ8	mab:MAB_1876c
B1MNQ9	mab:MAB_1877c
B1MNR0	mab:MAB_1878c
B1MNR8	mab:MAB_1886
B1MNR9	mab:MAB_1887
B1MNS3	mab:MAB_1891
B1MNU4	mab:MAB_1912c
B1MNV7	mab:MAB_1925
B1MNV8	mab:MAB_1926
B1MNW0	mab:MAB_1928c
