From	To
A3CM46	ssa:SSA_0820
A3CL34	ssa:SSA_0440
A3CNY7	ssa:SSA_1498
A3CKR7	ssa:SSA_0315
A3CQG2	ssa:SSA_2045
A3CK72	ssa:SSA_0116
A3CK67	ssa:SSA_0111
A3CK78	ssa:SSA_0121
A3CR45	ssa:SSA_2289
A3CK70	ssa:SSA_0114
A3CK86	ssa:SSA_0129
A3CK76	ssa:SSA_2391
A3CK89	ssa:SSA_0131
A3CQ97	ssa:SSA_1980
A3CK87	ssa:SSA_2392
A3CPW5	ssa:SSA_1839
A3CPW8	ssa:SSA_1842
A3CPW9	ssa:SSA_1843
A3CPX0	ssa:SSA_1844
A3CPX6	ssa:SSA_1850
A3CPX8	ssa:SSA_1852
A3CPZ2	ssa:SSA_1866
A3CPZ3	ssa:SSA_1867
A3CPZ8	ssa:SSA_1872
A3CQ00	ssa:SSA_1874
A3CQ15	ssa:SSA_1892
A3CQ17	ssa:SSA_1895
A3CQ23	ssa:SSA_1902
A3CQ39	ssa:SSA_1919
A3CQ43	ssa:SSA_1923
A3CQ59	ssa:SSA_1939
A3CQ62	ssa:SSA_1942
A3CQ64	ssa:SSA_1944
A3CQ66	ssa:SSA_1946
A3CQ72	ssa:SSA_1952
A3CQ82	ssa:SSA_1962
A3CQ83	ssa:SSA_1964
A3CQ86	ssa:SSA_1968
A3CQ89	ssa:SSA_1971
A3CQ90	ssa:SSA_1972
A3CQ96	ssa:SSA_1979
A3CQ99	ssa:SSA_1982
A3CQD0	ssa:SSA_2015
A3CQE5	ssa:SSA_2027
A3CQE6	ssa:SSA_2028
A3CQE9	ssa:SSA_2031
A3CQF0	ssa:SSA_2032
A3CQF1	ssa:SSA_2033
A3CQF2	ssa:SSA_2034
A3CQG4	ssa:SSA_2047
A3CQH8	ssa:SSA_2062
A3CQJ0	ssa:SSA_2074
A3CQL0	ssa:SSA_2094
A3CQL7	ssa:SSA_2103
A3CQM3	ssa:SSA_2110
A3CQM4	ssa:SSA_2111
A3CQM8	ssa:SSA_2116
A3CQN1	ssa:SSA_2119
A3CQP8	ssa:SSA_2136
A3CQQ1	ssa:SSA_2139
A3CQR2	ssa:SSA_2149
A3CQR3	ssa:SSA_2150
A3CQS6	ssa:SSA_2164
A3CQV6	ssa:SSA_2196
A3CQW2	ssa:SSA_2202
A3CQW3	ssa:SSA_2203
A3CQW5	ssa:SSA_2205
A3CQW8	ssa:SSA_2208
A3CQY3	ssa:SSA_2223
A3CQZ6	ssa:SSA_2239
A3CQZ8	ssa:SSA_2241
A3CR01	ssa:SSA_2244
A3CR18	ssa:SSA_2261
A3CR36	ssa:SSA_2279
A3CR43	ssa:SSA_2287
A3CR55	ssa:SSA_2299
A3CR85	ssa:SSA_2332
A3CR88	ssa:SSA_2335
A3CRA7	ssa:SSA_2355
A3CRA8	ssa:SSA_2356
A3CRB6	ssa:SSA_2364
A3CRC4	ssa:SSA_2372
A3CJW8	ssa:SSA_2390
A3CJX3	ssa:SSA_0009
A3CJX4	ssa:SSA_0010
A3CJX9	ssa:SSA_0015
A3CJY1	ssa:SSA_0017
A3CJY2	ssa:SSA_0018
A3CJY4	ssa:SSA_0020
A3CJZ1	ssa:SSA_0028
A3CK16	ssa:SSA_0055
A3CK32	ssa:SSA_0073
A3CK33	ssa:SSA_0074
A3CK36	ssa:SSA_0077
A3CK37	ssa:SSA_0078
A3CK38	ssa:SSA_0079
A3CK62	ssa:SSA_0106
A3CK63	ssa:SSA_0107
A3CK64	ssa:SSA_0108
A3CK65	ssa:SSA_0109
