From	To
E3HKS0	axy:AXYL_01101
E3HKR8	axy:AXYL_01099
E3HJT3	axy:AXYL_01062
E3HKP9	axy:AXYL_01080
E3HKR9	axy:AXYL_01100
E3HKU9	axy:AXYL_01130
E3HKU0	axy:AXYL_01121
E3HKP1	axy:AXYL_01070
E3HKN8	axy:AXYL_01067
E3HKN7	axy:AXYL_01066
E3HKS9	axy:AXYL_01110
E3HKS7	axy:AXYL_01108
E3HKS6	axy:AXYL_01107
E3HKS4	axy:AXYL_01105
E3HKS3	axy:AXYL_01104
E3HKS2	axy:AXYL_01103
E3HKS1	axy:AXYL_01102
E3HKQ3	axy:AXYL_01084
E3HKQ2	axy:AXYL_01083
E3HKQ1	axy:AXYL_01082
E3HKQ0	axy:AXYL_01081
E3HKP8	axy:AXYL_01079
E3HKP7	axy:AXYL_01078
E3HKP6	axy:AXYL_01077
E3HKP4	axy:AXYL_01075
E3HKP0	axy:AXYL_01069
E3HKN9	axy:AXYL_01068
E3HJT6	axy:AXYL_01065
E3HJT5	axy:AXYL_01064
E3HJT4	axy:AXYL_01063
E3HJT2	axy:AXYL_01061
E3HT07	axy:AXYL_06458
E3HSZ8	axy:AXYL_06449
E3HSX5	axy:AXYL_06426
E3HSX4	axy:AXYL_06425
E3HKG4	axy:AXYL_04806
E3HFK0	axy:AXYL_01959
E3HTC3	axy:AXYL_01548
E3HWQ2	axy:AXYL_00603
E3HTA5	axy:AXYL_00372
E3HUB1	axy:AXYL_06532
E3HT11	axy:AXYL_06462
E3HLL0	axy:AXYL_06052
E3HLL1	axy:AXYL_06053
E3HMV2	axy:AXYL_06166
E3HSX0	axy:AXYL_06421
E3HSX2	axy:AXYL_06423
E3HSX3	axy:AXYL_06424
E3HSX8	axy:AXYL_06429
E3HSY3	axy:AXYL_06434
E3HSY6	axy:AXYL_06437
E3HSZ7	axy:AXYL_06448
E3HT00	axy:AXYL_06451
E3HT02	axy:AXYL_06453
E3HT04	axy:AXYL_06455
E3HT10	axy:AXYL_06461
E3HU79	axy:AXYL_06500
E3HEB0	axy:AXYL_00662
E3HGC7	axy:AXYL_00777
E3HGE3	axy:AXYL_00793
E3HIN9	axy:AXYL_00976
E3HIQ5	axy:AXYL_00992
E3HQU0	axy:AXYL_01410
E3HS05	axy:AXYL_01459
E3HS14	axy:AXYL_01468
E3HVT5	axy:AXYL_01751
E3HWR9	axy:AXYL_01773
E3HWY2	axy:AXYL_01839
E3HFK4	axy:AXYL_01964
E3HHS6	axy:AXYL_02132
E3HHS7	axy:AXYL_02133
E3HIT2	axy:AXYL_02179
E3HIT9	axy:AXYL_02186
E3HJW9	axy:AXYL_02269
E3HJX3	axy:AXYL_02273
E3HJX4	axy:AXYL_02274
E3HHY5	axy:AXYL_03365
E3HSI0	axy:AXYL_03977
E3HXI0	axy:AXYL_05533
E3HTN2	axy:AXYL_02828
E3HN62	axy:AXYL_01239
E3HN66	axy:AXYL_01243
E3HQK6	axy:AXYL_00186
E3HQP0	axy:AXYL_00220
E3HSH8	axy:AXYL_03975
E3HE78	axy:AXYL_00630
E3HK04	axy:AXYL_02305
E3HVI9	axy:AXYL_00496
E3HT44	axy:AXYL_00310
E3HF28	axy:AXYL_05587
E3HV15	axy:AXYL_04133
E3HIG3	axy:AXYL_05860
E3HF16	axy:AXYL_05575
E3HSG8	axy:AXYL_03965
E3HPE8	axy:AXYL_00167
E3HWT6	axy:AXYL_01793
