From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_003291553.1,A0A8D3Y1A7,unreviewed,A0A8D3Y1A7_9GAMM,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),CL52_10505,Stutzerimonas balearica DSM 6083,369
WP_003291553.1,A0A550EWR1,unreviewed,A0A550EWR1_9PSED,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),EQ831_24250,Pseudomonas sp. ALS1279,369
WP_003291553.1,A0A2N1AM62,unreviewed,A0A2N1AM62_9GAMM,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),CXF87_13470,Halomonas sp. MES3-P3E,369
WP_003291553.1,A0A3T0SD14,unreviewed,A0A3T0SD14_9GAMM,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),C1896_04540,Pseudomonadaceae bacterium SI-3,369
WP_003291553.1,A0A7Y1E3Z9,unreviewed,A0A7Y1E3Z9_9PSED,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),HBO20_25935,Pseudomonas proteolytica,369
WP_003291553.1,A0A443YZ66,unreviewed,A0A443YZ66_9GAMM,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),EGC76_07565,Pseudidiomarina gelatinasegens,369
WP_003291553.1,A0A8F8B2M2,unreviewed,A0A8F8B2M2_9PSED,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),GYM54_09300,Pseudomonas sp. MTM4,369
WP_003291553.1,A0A7Y6RGA0,unreviewed,A0A7Y6RGA0_9GAMM,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),HUO07_20490,Halomonas maris,369
WP_003291553.1,A0A8G3PWG1,unreviewed,A0A8G3PWG1_PSEAI,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),IPC1485_17130 IPC1486_15705 IPC1508_20770 IPC1509_05080 IPC1510_19695 IPC1591_30820 IPC61_27550,Pseudomonas aeruginosa,369
WP_003291553.1,A0A379I8W4,unreviewed,A0A379I8W4_PSEFL,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),adhC-1 NCTC10392_00804,Pseudomonas fluorescens,369
WP_003291553.1,A0A7Y7ZAC4,unreviewed,A0A7Y7ZAC4_PSEPU,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),HX798_13280,Pseudomonas putida (Arthrobacter siderocapsulatus),369
