From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
16830701,P68805,reviewed,MSCL_STAA8,Large-conductance mechanosensitive channel,mscL SAOUHSC_01345,Staphylococcus aureus (strain NCTC 8325 / PS 47),120
3919798,Q2G2H5,reviewed,DNAA_STAA8,Chromosomal replication initiator protein DnaA,dnaA SAOUHSC_00001,Staphylococcus aureus (strain NCTC 8325 / PS 47),453
3919799,Q2G2H4,unreviewed,Q2G2H4_STAA8,Beta sliding clamp,SAOUHSC_00002,Staphylococcus aureus (strain NCTC 8325 / PS 47),377
3919176,Q2G276,unreviewed,Q2G276_STAA8,Uncharacterized protein,SAOUHSC_00003,Staphylococcus aureus (strain NCTC 8325 / PS 47),81
3919177,Q2G275,reviewed,RECF_STAA8,DNA replication and repair protein RecF,recF SAOUHSC_00004,Staphylococcus aureus (strain NCTC 8325 / PS 47),370
3919178,Q2G274,unreviewed,Q2G274_STAA8,DNA gyrase subunit B (EC 5.6.2.2),gyrB SAOUHSC_00005,Staphylococcus aureus (strain NCTC 8325 / PS 47),644
3919179,Q2G2Q0,reviewed,GYRA_STAA8,DNA gyrase subunit A (EC 5.6.2.2),gyrA SAOUHSC_00006,Staphylococcus aureus (strain NCTC 8325 / PS 47),887
3919180,Q2G2P8,reviewed,NNRD_STAA8,ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase),nnrD SAOUHSC_00007,Staphylococcus aureus (strain NCTC 8325 / PS 47),276
3919181,Q2G2P7,reviewed,HUTH_STAA8,Histidine ammonia-lyase (Histidase) (EC 4.3.1.3),hutH SAOUHSC_00008,Staphylococcus aureus (strain NCTC 8325 / PS 47),504
3919182,P95689,reviewed,SYS_STAA8,Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase),serS SAOUHSC_00009,Staphylococcus aureus (strain NCTC 8325 / PS 47),428
3919183,Q2G2P6,unreviewed,Q2G2P6_STAA8,Uncharacterized protein,SAOUHSC_00010,Staphylococcus aureus (strain NCTC 8325 / PS 47),231
3919184,Q2G2T5,unreviewed,Q2G2T5_STAA8,Uncharacterized protein,SAOUHSC_00012,Staphylococcus aureus (strain NCTC 8325 / PS 47),109
3919185,Q2G2T4,unreviewed,Q2G2T4_STAA8,AB hydrolase-1 domain-containing protein,SAOUHSC_00013,Staphylococcus aureus (strain NCTC 8325 / PS 47),322
3919186,Q2G2T2,unreviewed,Q2G2T2_STAA8,Uncharacterized protein,SAOUHSC_00014,Staphylococcus aureus (strain NCTC 8325 / PS 47),312
