From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_012481606.1	A0A0F5ZM36	unreviewed	A0A0F5ZM36_STEMA	Membrane protein	FLFIOBJN_00489 VM57_19280	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	71
WP_012481609.1	A0A0F5ZM71	unreviewed	A0A0F5ZM71_STEMA	NUDIX hydrolase	FLFIOBJN_00493 VM57_19300	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	139
WP_012481632.1	A0A0F5ZM79	unreviewed	A0A0F5ZM79_STEMA	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG CEE63_06765 FEO86_21340 FLFIOBJN_00528 HKK60_20645 I5V54_11285 VM57_19470	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	212
WP_044570681.1	A0A0F5ZMA9	unreviewed	A0A0F5ZMA9_STEMA	Uncharacterized protein	FLFIOBJN_03561 VM57_17895	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	59
WP_012481241.1	A0A0F5ZMK4	unreviewed	A0A0F5ZMK4_STEMA	YqcC family protein	FEO86_18385 FLFIOBJN_02730 VM57_16630	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	119
WP_012481327.1	A0A0F5ZML8	unreviewed	A0A0F5ZML8_STEMA	MetQ/NlpA family ABC transporter substrate-binding protein (Methionine ABC transporter substrate-binding protein)	BWP19_11965 FLFIOBJN_02081 HKK60_18440 VM57_17290	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	264
WP_012481174.1	A0A0F5ZMP1	unreviewed	A0A0F5ZMP1_STEMA	Azurin	azu FLFIOBJN_03297 VM57_16185	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	149
WP_033833434.1	A0A0F5ZMQ8	unreviewed	A0A0F5ZMQ8_STEMA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA FLFIOBJN_01312 VM57_15150	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	463
WP_012481135.1	A0A0F5ZMS2	unreviewed	A0A0F5ZMS2_STEMA	Beta-lactamase (BlaI/MecI/CopY family transcriptional regulator) (Transcriptional regulator)	B9Y76_16810 BWP19_10920 E5C33_17175 EGM71_16590 EKL94_07070 FEO86_17555 FEO90_16310 FLFIOBJN_02819 I5T99_10905 VL23_04400 VM57_15940	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	121
WP_024957828.1	A0A0F5ZMS7	unreviewed	A0A0F5ZMS7_STEMA	Tetratricopeptide repeat protein	B9Y88_17750 BWP19_19380 FEO86_17855 FLFIOBJN_03293 HKK60_04365 VM57_16165	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	281
WP_044571441.1	A0A0F5ZMU3	unreviewed	A0A0F5ZMU3_STEMA	Fimbrial protein (Pilus assembly protein PilP)	A7X75_17875 FEO86_17615 HKK60_04600 VM57_15995	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	167
WP_012480956.1	A0A0F5ZMV8	unreviewed	A0A0F5ZMV8_STEMA	DksA/TraR family C4-type zinc finger protein	A7X82_18440 FLFIOBJN_03559 VM57_14365	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	88
WP_012480937.1	A0A0F5ZMW7	unreviewed	A0A0F5ZMW7_STEMA	Probable queuosine precursor transporter (Q precursor transporter)	FLFIOBJN_03639 HKK60_06390 VM57_14240	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	261
WP_012480965.1	A0A0F5ZMX7	unreviewed	A0A0F5ZMX7_STEMA	Phosphoesterase	FLFIOBJN_03544 VM57_14450	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	213
WP_012480898.1	A0A0F5ZN21	unreviewed	A0A0F5ZN21_STEMA	Transcription elongation factor GreB (Transcript cleavage factor GreB)	greB FLFIOBJN_01859 VM57_14030	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	168
WP_012480721.1	A0A0F5ZN22	unreviewed	A0A0F5ZN22_STEMA	Poly(Hydroxyalcanoate) granule associated protein (Poly(Hydroxyalkanoate) granule-associated protein)	FLFIOBJN_01694 VM57_12670	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	163
WP_012481576.1	A0A0F5ZN63	unreviewed	A0A0F5ZN63_STEMA	Pseudouridine synthase (EC 5.4.99.-)	VM57_19045	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	179
WP_044570268.1	A0A0F5ZNG9	unreviewed	A0A0F5ZNG9_STEMA	Uncharacterized protein	VM57_10865	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	64
WP_032966708.1	A0A0F5ZNH2	unreviewed	A0A0F5ZNH2_STEMA	Uncharacterized protein	FLFIOBJN_04123 VM57_09950	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	71
WP_012480097.1	A0A0F5ZNJ8	unreviewed	A0A0F5ZNJ8_STEMA	Flagellar motor protein MotD	BWP19_05365 FLFIOBJN_03743 VM57_09690	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	338
WP_012480019.1	A0A0F5ZNL2	unreviewed	A0A0F5ZNL2_STEMA	ArsR family transcriptional regulator (Transcriptional regulator) (Winged helix-turn-helix transcriptional regulator)	BWP19_20110 FEO86_10060 FLFIOBJN_02591 VM57_09045	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	106
WP_044570285.1	A0A0F5ZNM2	unreviewed	A0A0F5ZNM2_STEMA	TetR family transcriptional regulator (TetR/AcrR family transcriptional regulator)	FLFIOBJN_00903 VM57_10935	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	194
