From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_003373491.1,A0A161X160,unreviewed,A0A161X160_9CLOT,50S ribosomal protein L36,rpmJ CLMAG_02210,Clostridium magnum DSM 2767,37
WP_003373491.1,M8DPH3,unreviewed,M8DPH3_THETY,50S ribosomal protein L36,rpmJ TthWC1_2060,Thermoanaerobacter thermohydrosulfuricus WC1,37
WP_003373491.1,U2DEZ5,unreviewed,U2DEZ5_9FIRM,50S ribosomal protein L36,rpmJ HMPREF1982_00340,Clostridiales bacterium oral taxon 876 str. F0540,37
WP_003373491.1,T0MTK2,unreviewed,T0MTK2_9CLOT,50S ribosomal protein L36,rpmJ M918_16150,Clostridium sp. BL8,37
WP_003373491.1,A0A6M0H9C5,unreviewed,A0A6M0H9C5_9CLOT,50S ribosomal protein L36,rpmJ G3M99_16870,Clostridium senegalense,37
WP_003373491.1,A0A093VRN0,unreviewed,A0A093VRN0_CLOBO,50S ribosomal protein L36,rpmJ EXM65_16295 FC774_03260 FC973_11955 FDB51_10500 FDC70_07995 FDF26_04950 FDG31_12795 FDG75_15470,Clostridium botulinum,37
WP_003373491.1,A0A240B1U8,unreviewed,A0A240B1U8_CLOCO,50S ribosomal protein L36,rpmJ HMJ28_01635 NCTC13028_02245 NCTC2909_02387 SAMN05216497_11312,Clostridium cochlearium,37
WP_003373491.1,A0A4U9RRP9,unreviewed,A0A4U9RRP9_HATHI,50S ribosomal protein L36,rpmJ NCTC503_02415,Hathewaya histolytica (Clostridium histolyticum),37
WP_003373491.1,A0A140GTG8,unreviewed,A0A140GTG8_CLOPF,50S ribosomal protein L36,rpmJ CYK66_12100 CYK96_00995 ERS852446_02150 G6Z03_12320 G6Z15_05085 G6Z34_11610 I9008_002593 I9008_003118 I9088_002388 I9088_002877 JFP838_14360 NCTC10240_02450 NCTC10578_02724 NCTC10719_02010 NCTC3182_01388 NCTC8081_00202,Clostridium perfringens,37
WP_003373491.1,A0A0B3BVG1,unreviewed,A0A0B3BVG1_9THEO,50S ribosomal protein L36,rpmJ THYS13_15450,Thermoanaerobacter sp. YS13,37
