From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003050133.1	A0A132HI35	unreviewed	A0A132HI35_9BURK	TIGR03750 family conjugal transfer protein	AU374_03315	Cupriavidus metallidurans	132
WP_003050133.1	A0A0U1PXM4	unreviewed	A0A0U1PXM4_9BURK	TIGR03750 family conjugal transfer protein	AAV94_10545	Lampropedia cohaerens	132
WP_003050133.1	A0A1D8IZA9	unreviewed	A0A1D8IZA9_9BURK	TIGR03750 family conjugal transfer protein	BI380_10745	Delftia tsuruhatensis	132
WP_003050133.1	A0A1E7RP50	unreviewed	A0A1E7RP50_9GAMM	TIGR03750 family conjugal transfer protein	BIY45_07975	Stenotrophomonas sp. BIIR7	132
WP_003050133.1	A0A2S4KCA1	unreviewed	A0A2S4KCA1_9BURK	TIGR03750 family conjugal transfer protein	BV908_15765	Diaphorobacter sp. LR2014-1	132
WP_003050133.1	A0A208Y190	unreviewed	A0A208Y190_9BURK	TIGR03750 family conjugal transfer protein	CDO44_05260	Pigmentiphaga sp. NML080357	132
WP_003050133.1	A0A2J7W876	unreviewed	A0A2J7W876_9BURK	TIGR03750 family conjugal transfer protein	CHC07_01456	Variovorax sp. B4	132
WP_003050133.1	A0A2N5BME6	unreviewed	A0A2N5BME6_9PSED	TIGR03750 family conjugal transfer protein	CX682_13235	Pseudomonas sp. FFUP_PS_41	132
WP_003050133.1	A0A2S5GTL8	unreviewed	A0A2S5GTL8_9BURK	TIGR03750 family conjugal transfer protein	C4E15_11560	Achromobacter spanius	132
WP_003050133.1	A0A6S7FGK3	unreviewed	A0A6S7FGK3_9BURK	TIGR03750 family conjugal transfer protein	LMG6000_06797	Achromobacter insolitus	132
WP_003050133.1	A0A3R8SZH2	unreviewed	A0A3R8SZH2_9BURK	TIGR03750 family conjugal transfer protein	EIP75_19705	Aquabacterium soli	132
WP_003050133.1	A0A080VJ07	unreviewed	A0A080VJ07_PSEAI	TIGR03750 family conjugal transfer protein	GUL26_11160 IPC116_17540 IPC117_18100 IPC118_19660 IPC119_15480 IPC121_11945 IPC122_10240 IPC1323_17990 IPC1324_22560 IPC1325_16000 IPC1327_18825 IPC1333_00825 IPC1334_09475 IPC1343_14010 IPC1479_08180 IPC1480_19060 IPC1481_29200 IPC1482_20335 IPC1487_17510 IPC1491_26815 IPC1492_31520 IPC1503_03985 IPC1504_03995 IPC1521_16280 IPC1523_20650 IPC1598_25685 IPC1600_21595 IPC161_14190 IPC179_14405 IPC180_09080 IPC181_07970 IPC50_22535 IPC56_00840 IPC596_21035 IPC597_22405 IPC598_24105 IPC599_23855 IPC600_20545 IPC601_21580 IPC602_23925 IPC608_26765 IPC610_22185 IPC611_22900 IPC612_20205 IPC614_21645 IPC615_17135 IPC616_09110 IPC618_21115 IPC620_16845 IPC621_09810 IPC623_11285 IPC624_20990 IPC625_21365 IPC627_26180 IPC629_21950 IPC630_25875 IPC632_15625 IPC633_10775 IPC73_04360 IPC74_12895 PAMH19_6120	Pseudomonas aeruginosa	132
WP_003050133.1	A0A2N8SZC7	unreviewed	A0A2N8SZC7_STUST	TIGR03750 family conjugal transfer protein	CXL00_01930	Stutzerimonas stutzeri (Pseudomonas stutzeri)	132
WP_003050133.1	B7WQF8	unreviewed	B7WQF8_COMTK	TIGR03750 family conjugal transfer protein	CtesDRAFT_PD0075	Comamonas testosteroni (strain DSM 14576 / KF-1)	132
WP_003050133.1	A0A2U8GWQ5	unreviewed	A0A2U8GWQ5_9RHOO	TIGR03750 family conjugal transfer protein	CEW87_01610	Azoarcus communis	132
WP_003050133.1	A0A1C7L7J5	unreviewed	A0A1C7L7J5_9BURK	TIGR03750 family conjugal transfer protein	ACM14_22230	Delftia sp. JD2	132
WP_003050133.1	J4YHU8	unreviewed	J4YHU8_9BURK	TIGR03750 family conjugal transfer protein	QWC_20617	Achromobacter marplatensis	132
WP_003050133.1	A0A368XIU8	unreviewed	A0A368XIU8_9BURK	Conjugative transfer region protein (TIGR03750 family)	DES41_10857	Pseudorhodoferax soli	132
WP_003050133.1	A0A7X5ZHY1	unreviewed	A0A7X5ZHY1_9GAMM	TIGR03750 family conjugal transfer protein	HBF25_07295	Luteibacter anthropi	132
WP_003050133.1	A0A1M5XEC3	unreviewed	A0A1M5XEC3_9BURK	Conjugative transfer region protein, TIGR03750 family	SAMN04488135_106321	Candidimonas bauzanensis	132
WP_003050133.1	A0A643G406	unreviewed	A0A643G406_9BURK	TIGR03750 family conjugal transfer protein	F7R26_013390	Cupriavidus basilensis	132
WP_003050133.1	E3HKS0	unreviewed	E3HKS0_ACHXA	TIGR03750 family conjugal transfer protein	AXYL_01101	Achromobacter xylosoxidans (strain A8)	132
WP_003050133.1	A0A0D7KE96	unreviewed	A0A0D7KE96_9BURK	TIGR03750 family conjugal transfer protein	RP29_05200	Acidovorax temperans	132
WP_003050133.1	A0A849BDK0	unreviewed	A0A849BDK0_9BURK	TIGR03750 family conjugal transfer protein	HLB16_13560	Cupriavidus gilardii	132
