From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003402602.1	A0A2S0KKZ2	unreviewed	A0A2S0KKZ2_9ACTN	AURKAIP1/COX24 domain-containing protein	C6V83_17055	Gordonia iterans	33
WP_003402602.1	A0A7T1F7J0	unreviewed	A0A7T1F7J0_MYCPC	AURKAIP1/COX24 domain-containing protein	MAPS_20090	Mycobacterium avium subsp. paratuberculosis S397	33
WP_003402602.1	Q0SF20	unreviewed	Q0SF20_RHOJR	DUF1713 domain-containing protein	RHA1_ro02059	Rhodococcus jostii (strain RHA1)	33
WP_003402602.1	A0A426R6J8	unreviewed	A0A426R6J8_9NOCA	AURKAIP1/COX24 domain-containing protein	DK926_01550	Rhodococcus sp. Eu-32	33
WP_003402602.1	A0A0D8HZC9	unreviewed	A0A0D8HZC9_RHOSX	DUF1713 domain-containing protein	SZ00_00061	Rhodococcus sp. (strain AD45)	33
WP_003402602.1	A0A4P7H5I7	unreviewed	A0A4P7H5I7_9NOCA	AURKAIP1/COX24 domain-containing protein	DMB37_17660	Nocardia sp. CS682	33
WP_003402602.1	G0TPL0	unreviewed	G0TPL0_MYCCP	DUF1713 domain-containing protein	MCAN_05031	Mycobacterium canettii (strain CIPT 140010059)	33
WP_003402602.1	A0A165M2T2	unreviewed	A0A165M2T2_RHOFA	DUF1713 domain-containing protein	A3L23_02803	Rhodococcus fascians D188	33
WP_003402602.1	A0A2G8BJD4	unreviewed	A0A2G8BJD4_9MYCO	AURKAIP1/COX24 domain-containing protein	BMW24_001860	Mycobacterium heckeshornense	33
WP_003402602.1	A0A5S9PXT2	unreviewed	A0A5S9PXT2_MYCVN	DUF1713 domain-containing protein	AELLOGFF_00756	Mycolicibacterium vanbaalenii (Mycobacterium vanbaalenii)	33
WP_003402602.1	H0JRU0	unreviewed	H0JRU0_9NOCA	DUF1713 domain-containing protein	AK37_11936	Rhodococcus pyridinivorans AK37	33
WP_003402602.1	A0A3P4A6X4	unreviewed	A0A3P4A6X4_MYCHD	DUF1713 domain-containing protein	MHAS_04870	Mycolicibacterium hassiacum (strain DSM 44199 / CIP 105218 / JCM 12690 / 3849) (Mycobacterium hassiacum)	33
WP_003402602.1	H6R3D5	unreviewed	H6R3D5_NOCCG	DUF1713 domain-containing protein	NOCYR_4982	Nocardia cyriacigeorgica (strain GUH-2)	33
WP_003402602.1	A0A561STA2	unreviewed	A0A561STA2_9PSEU	Uncharacterized protein DUF1713	FHX44_114019	Pseudonocardia hierapolitana	33
WP_003402602.1	K8XIE9	unreviewed	K8XIE9_RHOOP	DUF1713 domain-containing protein	WSS_A18341	Rhodococcus opacus M213	33
