From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
878417	Q9I7C5	reviewed	DNAA_PSEAE	Chromosomal replication initiator protein DnaA	dnaA PA0001	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	514
879244	Q9I7C4	reviewed	DPO3B_PSEAE	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN PA0002	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	367
879229	Q9I7C3	reviewed	RECF_PSEAE	DNA replication and repair protein RecF	recF PA0003	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	369
879230	Q9I7C2	reviewed	GYRB_PSEAE	DNA gyrase subunit B (EC 5.6.2.2)	gyrB PA0004	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	806
877576	Q9I7C1	unreviewed	Q9I7C1_PSEAE	Lysophosphatidic acid acyltransferase, LptA	lptA PA0005	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	257
879245	Q9I7C0	reviewed	GMHBB_PSEAE	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB PA0006	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	178
877575	Q9I7B9	unreviewed	Q9I7B9_PSEAE	Cytochrome c domain-containing protein	PA0007	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	568
878214	Q9I7B8	reviewed	SYGB_PSEAE	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS PA0008	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	684
878095	Q9I7B7	reviewed	SYGA_PSEAE	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ PA0009	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	315
878076	Q9I7B6	unreviewed	Q9I7B6_PSEAE	DNA-3-methyladenine glycosidase I	tag PA0010	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	183
