From	Entry	Reviewed	Entry Name	Protein names	Organism	Length
WP_000048054.1	G7SHC5	unreviewed	G7SHC5_STRSU	30S ribosomal protein S21	Streptococcus suis D12	58
WP_000048054.1	F5W0Z5	unreviewed	F5W0Z5_9STRE	30S ribosomal protein S21	Streptococcus infantis SK1076	58
WP_000048054.1	F9HDI3	unreviewed	F9HDI3_STRMT	30S ribosomal protein S21	Streptococcus mitis SK1073	58
WP_000048054.1	F9HQ38	unreviewed	F9HQ38_STRMT	30S ribosomal protein S21	Streptococcus mitis SK1080	58
WP_000048054.1	U2XX55	unreviewed	U2XX55_STRCV	30S ribosomal protein S21	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377	58
WP_000048054.1	F9MH95	unreviewed	F9MH95_STRMT	30S ribosomal protein S21	Streptococcus mitis SK569	58
WP_000048054.1	F9PUH6	unreviewed	F9PUH6_9STRE	30S ribosomal protein S21	Streptococcus infantis SK970	58
WP_000048054.1	G0IAP4	unreviewed	G0IAP4_STRES	30S ribosomal protein S21	Streptococcus pseudopneumoniae (strain IS7493)	58
WP_000048054.1	V8BFS1	unreviewed	V8BFS1_STRPA	30S ribosomal protein S21	Streptococcus parasanguinis CC87K	58
WP_000048054.1	A0A0F2E4V5	unreviewed	A0A0F2E4V5_STROR	30S ribosomal protein S21	Streptococcus oralis subsp. tigurinus	58
WP_000048054.1	I2J6B4	unreviewed	I2J6B4_9STRE	30S ribosomal protein S21	Streptococcus sp. SK140	58
WP_000048054.1	I2J5M2	unreviewed	I2J5M2_9STRE	30S ribosomal protein S21	Streptococcus sp. SK643	58
WP_000048054.1	I0SIY1	unreviewed	I0SIY1_STRAP	30S ribosomal protein S21	Streptococcus anginosus subsp. whileyi CCUG 39159	58
WP_000048054.1	I0X312	unreviewed	I0X312_STRIS	30S ribosomal protein S21	Streptococcus intermedius (strain ATCC 27335 / DSM 20573 / CCUG 32759 / CIP 103248 / JCM 12996 / LMG 17840 / NCTC 11324 / SK54 / 1877)	58
WP_000048054.1	I2NTT2	unreviewed	I2NTT2_STRPA	30S ribosomal protein S21	Streptococcus parasanguinis F0449	58
WP_000048054.1	I0SL57	unreviewed	I0SL57_STRMT	30S ribosomal protein S21	Streptococcus mitis SK616	58
WP_000048054.1	I0T1N9	unreviewed	I0T1N9_STRMT	30S ribosomal protein S21	Streptococcus mitis SK575	58
WP_000048054.1	I0T6R5	unreviewed	I0T6R5_STRMT	30S ribosomal protein S21	Streptococcus mitis SK579	58
WP_000048054.1	I0SQS3	unreviewed	I0SQS3_STROR	30S ribosomal protein S21	Streptococcus oralis SK1074	58
WP_000048054.1	J4X2P9	unreviewed	J4X2P9_9STRE	30S ribosomal protein S21	Streptococcus sp. BS35b	58
WP_000048054.1	A0A428HSG7	unreviewed	A0A428HSG7_9STRE	30S ribosomal protein S21	Streptococcus australis	58
WP_000048054.1	U5P2T6	unreviewed	U5P2T6_9STRE	30S ribosomal protein S21	Streptococcus ilei	58
WP_000048054.1	J1SCR3	unreviewed	J1SCR3_9STRE	30S ribosomal protein S21	Streptococcus infantis SPAR10	58
WP_000048054.1	X8K8T4	unreviewed	X8K8T4_9STRE	30S ribosomal protein S21	Streptococcus sp. SR1	58
WP_000048054.1	J4UDJ1	unreviewed	J4UDJ1_STROR	30S ribosomal protein S21	Streptococcus oralis SK304	58
WP_000048054.1	U2XZ32	unreviewed	U2XZ32_STRAP	30S ribosomal protein S21	Streptococcus anginosus T5	58
WP_000048054.1	K1A758	unreviewed	K1A758_9STRE	30S ribosomal protein S21	Streptococcus sp. GMD4S	58
WP_000048054.1	K0ZUM8	unreviewed	K0ZUM8_9STRE	30S ribosomal protein S21	Streptococcus sp. GMD6S	58
WP_000048054.1	S3BG94	unreviewed	S3BG94_9STRE	30S ribosomal protein S21	Streptococcus sp. HPH0090	58
WP_000048054.1	A0A075SHZ5	unreviewed	A0A075SHZ5_STRSU	30S ribosomal protein S21	Streptococcus suis 6407	58
WP_000048054.1	A0A4Z1DTR2	unreviewed	A0A4Z1DTR2_9STRE	30S ribosomal protein S21	Streptococcus rubneri	58
WP_000048054.1	R0LF75	unreviewed	R0LF75_STRMT	30S ribosomal protein S21	Streptococcus mitis 11/5	58
WP_000048054.1	R0M9H4	unreviewed	R0M9H4_STRMT	30S ribosomal protein S21	Streptococcus mitis 13/39	58
WP_000048054.1	A0A0F2CN74	unreviewed	A0A0F2CN74_STRGN	30S ribosomal protein S21	Streptococcus gordonii	58
WP_000048054.1	A0A125YGK4	unreviewed	A0A125YGK4_STROR	30S ribosomal protein S21	Streptococcus oralis	58
WP_000048054.1	A0A0B7GK06	unreviewed	A0A0B7GK06_STRSA	30S ribosomal protein S21	Streptococcus sanguinis	58
WP_000048054.1	A0A0K2E6E6	unreviewed	A0A0K2E6E6_STRSU	30S ribosomal protein S21	Streptococcus suis	58
WP_000048054.1	A0A0T8EFZ8	unreviewed	A0A0T8EFZ8_STREE	30S ribosomal protein S21	Streptococcus pneumoniae	58
WP_000048054.1	T0VFE5	unreviewed	T0VFE5_9STRE	30S ribosomal protein S21	Streptococcus sp. HSISM1	58
WP_000048054.1	A0A0F3H7B3	unreviewed	A0A0F3H7B3_STRPA	30S ribosomal protein S21	Streptococcus parasanguinis	58
WP_000048054.1	A0A1Q8EDT4	unreviewed	A0A1Q8EDT4_STRAI	30S ribosomal protein S21	Streptococcus acidominimus	58
WP_000048054.1	A0A0P0N8I5	unreviewed	A0A0P0N8I5_STRAP	30S ribosomal protein S21	Streptococcus anginosus	58
WP_000048054.1	S9RBB9	unreviewed	S9RBB9_STROR	30S ribosomal protein S21	Streptococcus oralis subsp. tigurinus 2426	58
WP_000048054.1	A0A428EN08	unreviewed	A0A428EN08_STRIT	30S ribosomal protein S21	Streptococcus intermedius	58
WP_000048054.1	A0A1Q8EA05	unreviewed	A0A1Q8EA05_9STRE	30S ribosomal protein S21	Streptococcus cuniculi	58
WP_000048054.1	A0A387B2H5	unreviewed	A0A387B2H5_9STRE	30S ribosomal protein S21	Streptococcus gwangjuense	58
WP_000048054.1	A0A1X1IQ08	unreviewed	A0A1X1IQ08_STROR	30S ribosomal protein S21	Streptococcus oralis subsp. dentisani	58
WP_000048054.1	A0A4Q8L1T0	unreviewed	A0A4Q8L1T0_9STRE	30S ribosomal protein S21	Streptococcus parasuis	58
WP_000048054.1	A0A1V2SPF6	unreviewed	A0A1V2SPF6_9STRE	30S ribosomal protein S21	Streptococcus azizii	58
WP_000048054.1	A0A0E4H4Q3	unreviewed	A0A0E4H4Q3_9STRE	30S ribosomal protein S21	Streptococcus varani	58
WP_000048054.1	A0A1S1GZ65	unreviewed	A0A1S1GZ65_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC34B10	58
WP_000048054.1	A0A2J9X4F5	unreviewed	A0A2J9X4F5_9STRE	30S ribosomal protein S21	Streptococcus sp. FDAARGOS_146	58
WP_000048054.1	A0A1F0BP35	unreviewed	A0A1F0BP35_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC070B10	58
WP_000048054.1	A0A1F0BG23	unreviewed	A0A1F0BG23_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC074B11	58
WP_000048054.1	A0A1S1CT44	unreviewed	A0A1S1CT44_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC063B03	58
WP_000048054.1	A0A1S1F9X2	unreviewed	A0A1S1F9X2_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC034B03	58
WP_000048054.1	A0A1S1DES3	unreviewed	A0A1S1DES3_9STRE	30S ribosomal protein S21	Streptococcus sp. HMSC066F01	58
