From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_000068665.1,F8LLB5,unreviewed,F8LLB5_STREH,30S ribosomal protein S18,rpsR SALIVB_1879,Streptococcus salivarius (strain CCHSS3),79
WP_000068665.1,A0A829I8V7,unreviewed,A0A829I8V7_STRAG,30S ribosomal protein S18,rpsR SAG0014_00285,Streptococcus agalactiae FSL S3-586,79
WP_000068665.1,V6Z449,unreviewed,V6Z449_STRAG,30S ribosomal protein S18,rpsR SAG0136_07475,Streptococcus agalactiae LMG 14747,79
WP_000068665.1,W3Y4M2,unreviewed,W3Y4M2_9STRE,30S ribosomal protein S18,rpsR HMPREF1519_1813,Streptococcus sp. SR4,79
WP_000068665.1,J7T525,unreviewed,J7T525_STRSL,30S ribosomal protein S18,rpsR RSSL_00593,Streptococcus salivarius K12,79
WP_000068665.1,A0A074IZX8,unreviewed,A0A074IZX8_STRSL,30S ribosomal protein S18,rpsR A6J87_06545 BSR19_09215 CKU37_04305 CQA85_00285 CYK22_09690 D8867_02715 DL07_04720 DWV94_07510 DWY30_05990 DWZ07_07100 FHI56_03395 FOC73_04100 GMC47_01645 GMC48_02290 GMC65_08260 HRE60_08345 I6I02_00675 NCTC7366_01823 NCTC8618_04251,Streptococcus salivarius,79
WP_000068665.1,R4ZBW0,unreviewed,R4ZBW0_STRAG,30S ribosomal protein S18,rpsR AX245_09525 C4618_09095 C6N07_04855 D5F95_03550 DK41_08665 GE200_01735 NCTC6175_00447 NCTC8181_01623 NCTC8183_00713 NCTC8185_01453 RDF_1639 TH70_1480 WA04_06465,Streptococcus agalactiae,79
WP_000068665.1,A0A656E051,unreviewed,A0A656E051_STREE,30S ribosomal protein S18,rpsR GRB29_05870,Streptococcus pneumoniae,79
WP_000068665.1,T0TCR7,unreviewed,T0TCR7_9STRE,30S ribosomal protein S18,rpsR HSISS1_1566,Streptococcus sp. HSISS1,79
WP_000068665.1,A0A239WKP8,unreviewed,A0A239WKP8_STRAI,30S ribosomal protein S18,rpsR SAMEA4504048_00389,Streptococcus acidominimus,79
WP_000068665.1,A0A3E4XK82,unreviewed,A0A3E4XK82_STRVE,30S ribosomal protein S18,rpsR DXC09_00355 NCTC12167_01690 SSSS39_00964,Streptococcus vestibularis,79
WP_000068665.1,A0A1F2HQ04,unreviewed,A0A1F2HQ04_9STRE,30S ribosomal protein S18,rpsR HMPREF3112_03025,Streptococcus sp. HMSC10E12,79
WP_000068665.1,A0A1F0CE69,unreviewed,A0A1F0CE69_9STRE,30S ribosomal protein S18,rpsR HMPREF2570_05135,Streptococcus sp. HMSC069D09,79
WP_000068665.1,A0A1F0BPS3,unreviewed,A0A1F0BPS3_9STRE,30S ribosomal protein S18,rpsR HMPREF2607_05400,Streptococcus sp. HMSC078H03,79
WP_000068665.1,A0A1S1DDT5,unreviewed,A0A1S1DDT5_9STRE,30S ribosomal protein S18,rpsR HMPREF2637_09445,Streptococcus sp. HMSC065H07,79
WP_000068665.1,A0A1F1HIR0,unreviewed,A0A1F1HIR0_9STRE,30S ribosomal protein S18,rpsR HMPREF2867_01630,Streptococcus sp. HMSC064H09,79
