From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
3639306,A0A1D8PC43,reviewed,MVD1_CANAL,Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate pyrophosphate decarboxylase) (MPD) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase),MVD MVD1 orf19.6105 CAALFM_C100070WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),362
30514953,A0A1D8PC79,unreviewed,A0A1D8PC79_CANAL,Rfc52p,RFC52 orf19.6078.1 CAALFM_C100280CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),43
30514954,A0A1D8PC68,unreviewed,A0A1D8PC68_CANAL,"Mitochondrial zinc maintenance protein 1, mitochondrial",orf19.6072.1 CAALFM_C100370WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),94
3639317,A0A1D8PC77,unreviewed,A0A1D8PC77_CANAL,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),UBP6 orf19.13484 CAALFM_C100440WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),478
30514955,A0A1D8PC73,unreviewed,A0A1D8PC73_CANAL,MICOS complex subunit MIC19,orf19.6062.3 CAALFM_C100450CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),150
3639329,A0A1D8PC97,unreviewed,A0A1D8PC97_CANAL,Tubulin beta chain,TUB2 orf19.13455 CAALFM_C100710CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),449
3639284,A0A1D8PCC6,unreviewed,A0A1D8PCC6_CANAL,SWIB/MDM2 domain-containing protein,TRI1 orf19.13434 CAALFM_C100910WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),252
3639282,A0A1D8PCC3,unreviewed,A0A1D8PCC3_CANAL,Transcriptional regulator,SIN3 orf19.13432 CAALFM_C100930CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1411
30514957,A0A1D8PCD0,unreviewed,A0A1D8PCD0_CANAL,DNA-directed RNA polymerase II core subunit,RPB11 orf19.6010.1 CAALFM_C100940WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),124
30514958,A0A1D8PCD5,unreviewed,A0A1D8PCD5_CANAL,FAM192A_Fyv6_N domain-containing protein,orf19.6008.3 CAALFM_C100970WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),152
30514959,A0A1D8PCD7,unreviewed,A0A1D8PCD7_CANAL,50S ribosomal protein L35,orf19.6008.4 CAALFM_C100980WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),89
30514961,A0A1D8PCG7,reviewed,RS21B_CANAL,40S ribosomal protein S21,RPS21B CAALFM_C101370CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),87
30514962,A0A1D8PCH9,unreviewed,A0A1D8PCH9_CANAL,Pox18p,POX18 orf19.10841 CAALFM_C101440CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),132
3640225,A0A1D8PCI8,unreviewed,A0A1D8PCI8_CANAL,Protein YOP1,orf19.10859 CAALFM_C101610CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),291
3640195,A0A1D8PCI6,reviewed,RS4_CANAL,40S ribosomal protein S4,RPS42 orf19.3354 CAALFM_C101640WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),262
3645408,A0A1D8PCM9,unreviewed,A0A1D8PCM9_CANAL,SBF complex DNA-binding subunit,SWI4 orf19.12020 CAALFM_C101790WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1019
30514966,A0A1D8PCL8,unreviewed,A0A1D8PCL8_CANAL,AMPK1_CBM domain-containing protein,orf19.4530.1 CAALFM_C101930WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),366
30514967,A0A1D8PCL0,unreviewed,A0A1D8PCL0_CANAL,Secreted protein,orf19.4528.1 CAALFM_C101970WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),92
3645417,A0A1D8PCM7,unreviewed,A0A1D8PCM7_CANAL,Zcf24p,ZCF24 orf19.11999 CAALFM_C102010CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),701
30514968,A0A1D8PCL9,unreviewed,A0A1D8PCL9_CANAL,Zinc_ribbon_15 domain-containing protein,orf19.3663.1 CAALFM_C102060WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),88
30514969,A0A1D8PCQ5,reviewed,RL26B_CANAL,60S ribosomal protein L26-B,RPL26B orf19.3690.2 CAALFM_C102330CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),127
30514972,A0A1D8PCT3,unreviewed,A0A1D8PCT3_CANAL,Plasma membrane proteolipid 3,orf19.2959.1 CAALFM_C102700CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),57
30514973,A0A1D8PCV2,unreviewed,A0A1D8PCV2_CANAL,4F5 domain-containing protein,orf19.2965.1 CAALFM_C102770WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),63
30514974,A0A1D8PCW6,reviewed,RS16A_CANAL,40S ribosomal protein S16A,RPS16A CAALFM_C103030WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),142
3636923,A0A1D8PCX9,unreviewed,A0A1D8PCX9_CANAL,Ras family GTPase,TEM1 orf19.10519 CAALFM_C103080CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),200
3636925,A0A1D8PCX0,unreviewed,A0A1D8PCX0_CANAL,Tricalbin-3,orf19.10521 CAALFM_C103100WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),1417
30514975,A0A1D8PCX8,reviewed,RL6_CANAL,60S ribosomal protein L6,RPL6 orf19.3003.1 CAALFM_C103110WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),176
30514976,A0A1D8PCZ2,unreviewed,A0A1D8PCZ2_CANAL,PH domain-containing protein,orf19.3007.2 CAALFM_C103150CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),221
30514977,A0A1D8PCY4,unreviewed,A0A1D8PCY4_CANAL,Ecm33p,ECM33 orf19.10528.1 CAALFM_C103190CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),423
3636809,A0A1D8PCY5,unreviewed,A0A1D8PCY5_CANAL,Septin,CDC12 orf19.10531 CAALFM_C103210CA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),397
3636900,A0A1D8PD03,unreviewed,A0A1D8PD03_CANAL,Putative peptide hydrolase,orf19.10539 CAALFM_C103270WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),376
3636918,Q5AHZ7,reviewed,MED17_CANAL,Mediator of RNA polymerase II transcription subunit 17 (Mediator complex subunit 17),SRB4 MED17 CAALFM_C103530WA CaO19.10573 CaO19.3055,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),565
30514980,A0A1D8PD19,unreviewed,A0A1D8PD19_CANAL,P6,orf19.3059.1 CAALFM_C103580WA,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),32
30514981,P0CU35,reviewed,RS22B_CANAL,40S ribosomal protein S22-B,RPS22B CAALFM_C103620CA orf19.3061.1,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),130
