From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_011572943.1	A0A069AM91	unreviewed	A0A069AM91_CLODI	Putative HNH endonuclease	BN1096_840027	Clostridioides difficile (Peptoclostridium difficile)	97
WP_011572943.1	Q17ZS9	unreviewed	Q17ZS9_CLOD6	HNH endonuclease	CD630_p020	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	97
WP_011572944.1	A0A069AQ95	unreviewed	A0A069AQ95_CLODI	No significant database matches	BN1096_840026	Clostridioides difficile (Peptoclostridium difficile)	71
WP_011572944.1	Q17ZS8	unreviewed	Q17ZS8_CLOD6	Conserved ypothetical protein	CD630_p030	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	71
WP_011572945.1	Q17ZS7	unreviewed	Q17ZS7_CLOD6	Phage capsid family	CD630_p040	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	443
WP_011572947.1	Q17ZT1	unreviewed	Q17ZT1_CLOD6	DUF4065 domain-containing protein	CD630_p060	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	151
WP_011572948.1	Q17ZT6	unreviewed	Q17ZT6_CLOD6	DEAD/DEAH box helicase domain	CD630_p070	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	869
WP_011572949.1	A0A031WGJ2	unreviewed	A0A031WGJ2_CLODI	Phage protein	BN1096_850008	Clostridioides difficile (Peptoclostridium difficile)	106
WP_011572950.1	A0A031WG06	unreviewed	A0A031WG06_CLODI	Uncharacterized protein	BN1096_850007	Clostridioides difficile (Peptoclostridium difficile)	49
WP_011572950.1	Q17ZT4	unreviewed	Q17ZT4_CLOD6	Arc-type ribbon-helix-helix	CD630_p090	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	49
WP_011572951.1	Q17ZT3	unreviewed	Q17ZT3_CLOD6	DNA-binding protein	CD630_p100	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	181
WP_032509615.1	A0A031WI58	unreviewed	A0A031WI58_CLODI	Conserved domain protein	BN1096_850005	Clostridioides difficile (Peptoclostridium difficile)	66
WP_032509615.1	A0A2C9C497	unreviewed	A0A2C9C497_CLOD6	Conserved domain protein	CD630_p101	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	66
WP_000466908.1	F9P879	unreviewed	F9P879_STRCV	Conjugative transposon membrane protein	ANG5_0757 HMPREF1042_1434	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377	287
WP_000466908.1	A0A1X1GFH3	unreviewed	A0A1X1GFH3_STROR	Conjugative transposon membrane protein	B7725_06425	Streptococcus oralis subsp. tigurinus	287
WP_000466908.1	A0A428B6K6	unreviewed	A0A428B6K6_STRSL	Conjugative transposon membrane protein	D8867_03380	Streptococcus salivarius	287
WP_000466908.1	A0A418G6Z2	unreviewed	A0A418G6Z2_STRAP	Conjugative transposon membrane protein	D1J72_01430	Streptococcus anginosus	287
WP_000466908.1	A0A381I4X2	unreviewed	A0A381I4X2_CLODI	Conjugative transposon membrane protein	NCTC13307_00446	Clostridioides difficile (Peptoclostridium difficile)	287
WP_000466908.1	A0A8B2XM31	unreviewed	A0A8B2XM31_9STRE	Conjugative transposon membrane protein	DWV89_01550	Streptococcus pasteurianus	287
WP_000466908.1	A0A7L8W5L5	unreviewed	A0A7L8W5L5_9STRE	Conjugative transposon membrane protein	FPL13_05265	Streptococcus sp. KS 6	287
WP_000466908.1	Q188K5	unreviewed	Q188K5_CLOD6	Putative membrane protein Tn1549-like,CTn2-Orf9	CD630_04150	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	287
WP_000466908.1	A0A3B7DNT2	unreviewed	A0A3B7DNT2_9FIRM	Conjugative transposon membrane protein	DYJ31_01435	Parvimonas micra	287
WP_000466908.1	A0A7Y9B096	unreviewed	A0A7Y9B096_9FIRM	Conjugative transposon membrane protein	HW270_02015	Mogibacterium timidum	287
WP_000466908.1	A8SK87	unreviewed	A8SK87_9FIRM	Conjugative transposon membrane protein	PEPMIC_00609	Parvimonas micra ATCC 33270	287
WP_000466908.1	E0E3S1	unreviewed	E0E3S1_9FIRM	Conjugative transposon membrane protein	HMPREF0634_0563	Peptostreptococcus stomatis DSM 17678	287
WP_000466908.1	D2MPA3	unreviewed	D2MPA3_9FIRM	Conjugative transposon membrane protein	HMPREF9013_1218	Bulleidia extructa W1219	287
WP_000466908.1	G5GKJ1	unreviewed	G5GKJ1_9FIRM	Conjugative transposon membrane protein	HMPREF9333_02083	Johnsonella ignava ATCC 51276	287
WP_000466908.1	A0A380JKJ2	unreviewed	A0A380JKJ2_STRCV	Membrane protein	I6J38_04205 NCTC11325_01151	Streptococcus constellatus	287
WP_000466908.1	M2Q0M6	unreviewed	M2Q0M6_9FIRM	Conjugative transposon membrane protein	HMPREF9943_01865	Eggerthia catenaformis OT 569 = DSM 20559	287
WP_000863833.1	F9P880	unreviewed	F9P880_STRCV	Conjugal transfer protein	ANG5_0758 HMPREF1042_1435	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377	71
WP_000863833.1	A0A1X1GF37	unreviewed	A0A1X1GF37_STROR	Conjugal transfer protein	B7725_06430	Streptococcus oralis subsp. tigurinus	71
WP_000863833.1	A0A510KMM3	unreviewed	A0A510KMM3_9FUSO	Conjugative transposon protein	JMUB3935_0839 JMUB4039_0770	Leptotrichia trevisanii	71
WP_000863833.1	A0A428B6N3	unreviewed	A0A428B6N3_STRSL	Maff2 family protein	D8867_03375	Streptococcus salivarius	71
WP_000863833.1	A0A3S4MTF9	unreviewed	A0A3S4MTF9_STRAP	Conjugal transfer protein (Conjugative transposon membrane protein)	F6I09_00130 NCTC10713_00353	Streptococcus anginosus	71
WP_000863833.1	A0A381I547	unreviewed	A0A381I547_CLODI	Conjugative transfer protein	NCTC13307_00445	Clostridioides difficile (Peptoclostridium difficile)	71
WP_000863833.1	A0A7L8W6E5	unreviewed	A0A7L8W6E5_9STRE	Conjugal transfer protein	FPL13_05270	Streptococcus sp. KS 6	71
WP_000863833.1	Q188J7	unreviewed	Q188J7_CLOD6	Putative conjugative transposon protein Tn1549-like, CTn2-Orf8	CD630_04140	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	71
WP_000863833.1	A0A7G9AXA5	unreviewed	A0A7G9AXA5_9STRE	Maff2 family protein	H8787_07640	Streptococcus sp. NSJ-72	71
WP_000863833.1	A0A3B7DS94	unreviewed	A0A3B7DS94_9FIRM	Conjugal transfer protein	DYJ31_01430	Parvimonas micra	71
WP_000863833.1	A0A4U9YUW7	unreviewed	A0A4U9YUW7_9STRE	Conjugative transposon membrane protein	NCTC5385_01513	Streptococcus pseudoporcinus	71
WP_000863833.1	A8SK86	unreviewed	A8SK86_9FIRM	Conjugal transfer protein	PEPMIC_00608	Parvimonas micra ATCC 33270	71
WP_000863833.1	C4GBN6	unreviewed	C4GBN6_9FIRM	Conjugal transfer protein	GCWU000342_01339	Shuttleworthia satelles DSM 14600	71
WP_000863833.1	E7MNN5	unreviewed	E7MNN5_9FIRM	Conjugal transfer protein	HMPREF9430_01155	Solobacterium moorei F0204	71
WP_000863833.1	A0A380JJA5	unreviewed	A0A380JJA5_STRCV	Conjugative transposon membrane protein (Maff2 family protein)	I6J38_04210 NCTC11325_01152	Streptococcus constellatus	71
WP_000863833.1	G9WSH3	unreviewed	G9WSH3_9FIRM	Conjugal transfer protein	HMPREF9624_02039	Oribacterium asaccharolyticum ACB7	71
WP_001009056.1	F5W112	unreviewed	F5W112_9STRE	Conjugal transfer protein	HMPREF9967_1388	Streptococcus infantis SK1076	73
WP_001009056.1	A0A415THG6	unreviewed	A0A415THG6_9FIRM	Conjugal transfer protein	DWZ33_09010	Dielma fastidiosa	73
WP_001009056.1	G0IBF6	unreviewed	G0IBF6_STRES	Tn916 ORF19 protein	SPPN_01435	Streptococcus pseudopneumoniae (strain IS7493)	73
WP_001009056.1	A0A7Y4P3H6	unreviewed	A0A7Y4P3H6_9BURK	Conjugal transfer protein	HKX40_02520	Pelistega europaea	73
WP_001009056.1	S5R1D3	unreviewed	S5R1D3_9STRE	Conjugative transposon protein	KE3_1593	Streptococcus lutetiensis 033	73
WP_001009056.1	A0A1X0WWC8	unreviewed	A0A1X0WWC8_STROR	Conjugal transfer protein (Conjugative transposon Tn916)	ATE35_00405 ATE37_07695 STO1_007140	Streptococcus oralis subsp. tigurinus	73
WP_001009056.1	I0SY08	unreviewed	I0SY08_STRMT	Conjugal transfer protein	HMPREF1048_0033	Streptococcus mitis SK575	73
WP_001009056.1	A0A480BDE6	unreviewed	A0A480BDE6_9FIRM	Conjugal transfer protein	PAGU1579_16540	Veillonella tobetsuensis	73
WP_001009056.1	A0A1M4ZJG9	unreviewed	A0A1M4ZJG9_9LACT	Conjugal transfer protein	SAMN02745249_01974	Atopostipes suicloacalis DSM 15692	73
WP_001009056.1	A0A151APK3	unreviewed	A0A151APK3_9CLOT	Conjugal transfer protein	CLCOL_07990	Clostridium colicanis DSM 13634	73
WP_001009056.1	A0A1M5V303	unreviewed	A0A1M5V303_9CLOT	Conjugal transfer protein	SAMN02745196_01075	Clostridium collagenovorans DSM 3089	73
WP_001009056.1	A0A1M6PBQ4	unreviewed	A0A1M6PBQ4_9CLOT	Conjugal transfer protein	SAMN02745248_01669	Hathewaya proteolytica DSM 3090	73
WP_001009056.1	A0A1T4L2B1	unreviewed	A0A1T4L2B1_9LACT	Conjugal transfer protein	SAMN02746011_00948	Globicatella sulfidifaciens DSM 15739	73
