From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
3507995	A4D9R7	unreviewed	A4D9R7_ASPFU	MFS monocarboxylate transporter, putative	AFUA_1G00100	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	206
5076901	A4D9R4	unreviewed	A4D9R4_ASPFU	Thioredoxin domain-containing protein	AFUA_1G01175	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	128
5076902	A4D9R5	unreviewed	A4D9R5_ASPFU	Isoamyl alcohol oxidase, putative	AFUA_1G01180	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	563
5076903	A4D9R6	unreviewed	A4D9R6_ASPFU	Uncharacterized protein	AFUA_1G01265	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	162
5076905	A4D9R8	unreviewed	A4D9R8_ASPFU	Uncharacterized protein	AFUA_1G02255	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	188
5076906	A4D9R9	unreviewed	A4D9R9_ASPFU	Uncharacterized protein	AFUA_1G02260	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	156
5076907	A4D9S0	unreviewed	A4D9S0_ASPFU	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	AFUA_1G02980	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	265
5076908	A4D9S1	unreviewed	A4D9S1_ASPFU	Uncharacterized protein	AFUA_1G02985	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	608
5076909	A4D9S2	unreviewed	A4D9S2_ASPFU	HD superfamily hydrolase, putative	AFUA_1G03035	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	243
5076910	A4D9S3	unreviewed	A4D9S3_ASPFU	Uncharacterized protein	AFUA_1G03040	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	182
5076912	A4D9S4	unreviewed	A4D9S4_ASPFU	Alpha-1,3-glucanase/mutanase, putative (EC 3.2.1.-)	AFUA_1G03352	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	1011
5076913	A4D9S5	unreviewed	A4D9S5_ASPFU	Uncharacterized protein	AFUA_1G03992	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	1285
5076914	A4D9S6	unreviewed	A4D9S6_ASPFU	Ubiquitin UbiA, putative	AFUA_1G04040	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	142
5076915	A4D9S7	unreviewed	A4D9S7_ASPFU	RNA polymerase I specific transcription initiation factor Rrn7, putative	AFUA_1G04062	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	527
5076916	A4D9S8	unreviewed	A4D9S8_ASPFU	Uncharacterized protein	AFUA_1G04455	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	127
5076917	A4D9S9	unreviewed	A4D9S9_ASPFU	Protein FYV10 (Protein fyv10)	AFUA_1G04490	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	408
5076918	A4D9T0	unreviewed	A4D9T0_ASPFU	Alpha/beta hydrolase, putative (EC 3.-.-.-)	AFUA_1G05590	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	477
5076919	A4D9T1	unreviewed	A4D9T1_ASPFU	Capsule-associated protein CAP1, putative	AFUA_1G05595	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	591
5076920	A4D9T2	unreviewed	A4D9T2_ASPFU	Respiratory complex assembly protein Rmp1, putative	AFUA_1G05650	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	769
5076921	A4D9T3	unreviewed	A4D9T3_ASPFU	C2 NT-type domain-containing protein	AFUA_1G05655	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	356
5076922	A4D9T4	unreviewed	A4D9T4_ASPFU	Probable lysosomal cobalamin transporter	AFUA_1G06071	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	681
5076923	A4D9T5	unreviewed	A4D9T5_ASPFU	BAG domain protein	AFUA_1G06080	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	393
5076924	A4D9T6	unreviewed	A4D9T6_ASPFU	Leucine Rich Repeat domain protein	AFUA_1G06762	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	920
5076925	A4D9T7	unreviewed	A4D9T7_ASPFU	SWIM-type domain-containing protein	AFUA_1G07550	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	301
5076926	A4D9T8	unreviewed	A4D9T8_ASPFU	Ubiquitin-specific protease, putative	AFUA_1G07555	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	387
5076927	A4D9T9	unreviewed	A4D9T9_ASPFU	WD domain protein	AFUA_1G07625	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	423
5076928	A4D9K1	unreviewed	A4D9K1_ASPFU	Shugoshin family protein	AFUA_1G08795	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	721
5076929	A4D9J9	unreviewed	A4D9J9_ASPFU	DUF636 domain protein	AFUA_1G09754	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	163
5076930	A4D9K0	unreviewed	A4D9K0_ASPFU	Cytochrome c oxidase assembly protein Cox19, putative	AFUA_1G09757	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	98
5076931	A4D9J7	unreviewed	A4D9J7_ASPFU	Uncharacterized protein	AFUA_1G10012	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	1929
5076932	A4D9J8	unreviewed	A4D9J8_ASPFU	26 proteasome complex subunit Sem1, putative	AFUA_1G10355	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	83
