From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_000048054.1,G7SHC5,unreviewed,G7SHC5_STRSU,30S ribosomal protein S21,rpsU SSUD12_1415,Streptococcus suis D12,58
WP_000048054.1,F5W0Z5,unreviewed,F5W0Z5_9STRE,30S ribosomal protein S21,rpsU HMPREF9967_1371,Streptococcus infantis SK1076,58
WP_000048054.1,F9HDI3,unreviewed,F9HDI3_STRMT,30S ribosomal protein S21,rpsU HMPREF9958_0704,Streptococcus mitis SK1073,58
WP_000048054.1,F9HQ38,unreviewed,F9HQ38_STRMT,30S ribosomal protein S21,rpsU HMPREF9957_0201,Streptococcus mitis SK1080,58
WP_000048054.1,U2XX55,unreviewed,U2XX55_STRCV,30S ribosomal protein S21,rpsU ANG5_1044,Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377,58
WP_000048054.1,F9MH95,unreviewed,F9MH95_STRMT,30S ribosomal protein S21,rpsU HMPREF9959_1059,Streptococcus mitis SK569,58
WP_000048054.1,F9PUH6,unreviewed,F9PUH6_9STRE,30S ribosomal protein S21,rpsU HMPREF9954_0880,Streptococcus infantis SK970,58
WP_000048054.1,G0IAP4,unreviewed,G0IAP4_STRES,30S ribosomal protein S21,rpsU SPPN_07040,Streptococcus pseudopneumoniae (strain IS7493),58
WP_000048054.1,V8BFS1,unreviewed,V8BFS1_STRPA,30S ribosomal protein S21,rpsU HMPREF1195_00256,Streptococcus parasanguinis CC87K,58
WP_000048054.1,A0A0F2E4V5,unreviewed,A0A0F2E4V5_STROR,30S ribosomal protein S21,rpsU ATE34_06830 ATE35_06320 ATE37_06470 B7725_01335 B7726_00780 B7727_04140 B7728_02950 B7729_06480 B7730_03740 B7731_00420 STO1_006310 TZ95_01125,Streptococcus oralis subsp. tigurinus,58
WP_000048054.1,I2J6B4,unreviewed,I2J6B4_9STRE,30S ribosomal protein S21,rpsU HMPREF1116_1903,Streptococcus sp. SK140,58
WP_000048054.1,I2J5M2,unreviewed,I2J5M2_9STRE,30S ribosomal protein S21,rpsU HMPREF1117_1612,Streptococcus sp. SK643,58
WP_000048054.1,I0SIY1,unreviewed,I0SIY1_STRAP,30S ribosomal protein S21,rpsU HMPREF1043_2038,Streptococcus anginosus subsp. whileyi CCUG 39159,58
WP_000048054.1,I0X312,unreviewed,I0X312_STRIS,30S ribosomal protein S21,rpsU HMPREF1654_01239,Streptococcus intermedius (strain ATCC 27335 / DSM 20573 / CCUG 32759 / CIP 103248 / JCM 12996 / LMG 17840 / NCTC 11324 / SK54 / 1877),58
